tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
0,7391.0,493.0,494.0,495.0,400.0,7588.0,7392.0,312.0,1444.0,1445.0,4407.0,2637.0,2721.0,7012.0,2201.0,7239.0,4401.0,2213.0,2214.0,2215.0,2216.0,4599.0,4601.0,5058.0,4602.0,4603.0,4604.0,4605.0,4562.0,7386.0,4607.0,4608.0,4609.0,4610.0,4611.0,4612.0,4613.0,3370.0,7168.0,4616.0
5003657,25320.0,25369.0,25424.0,25485.0,25534.0,25545.0,25645.0,25688.0,25747.0,25770.0,25812.0,25855.0,25943.0,25963.0,26193.0,26211.0,26224.0,26310.0,26341.0,26381.0,26410.0,26451.0,26470.0,26511.0,26540.0,26570.0,26597.0,26639.0,26687.0,26717.0,26737.0,26769.0,26814.0,26844.0,26887.0,26911.0,26935.0,26958.0,26994.0,27026.0
5003661,39720.0,39784.0,39856.0,39960.0,40044.0,40062.0,40232.0,40308.0,40411.0,40488.0,40597.0,40710.0,40827.0,40856.0,41117.0,41137.0,41151.0,41271.0,41319.0,41364.0,41396.0,41459.0,41496.0,41572.0,41625.0,41680.0,41713.0,41765.0,41823.0,41876.0,41911.0,41969.0,42024.0,42060.0,42113.0,42143.0,42177.0,42210.0,42300.0,42382.0
5003663,48720.0,48794.0,48876.0,49014.0,49126.0,49150.0,49376.0,49443.0,49534.0,49591.0,49681.0,49774.0,49898.0,49923.0,50228.0,50252.0,50269.0,50389.0,50431.0,50472.0,50503.0,50553.0,50600.0,50685.0,50744.0,50806.0,50841.0,50895.0,50956.0,51011.0,51047.0,51109.0,51164.0,51200.0,51253.0,51283.0,51322.0,51360.0,51431.0,51496.0
5003665,57720.0,57790.0,57867.0,58023.0,58150.0,58178.0,58432.0,58513.0,58623.0,58690.0,58775.0,58864.0,58974.0,59009.0,59309.0,59332.0,59349.0,59512.0,59555.0,59602.0,59641.0,59698.0,59749.0,59844.0,59910.0,59980.0,60023.0,60090.0,60166.0,60230.0,60272.0,60344.0,60399.0,60436.0,60489.0,60520.0,60578.0,60634.0,60698.0,60757.0
5003667,66720.0,66790.0,66867.0,67023.0,67150.0,67178.0,67432.0,67513.0,67623.0,67690.0,67775.0,67864.0,67974.0,68009.0,68309.0,68332.0,68349.0,68512.0,68555.0,68602.0,68641.0,68698.0,68749.0,68844.0,68910.0,68980.0,69023.0,69090.0,69166.0,69230.0,69272.0,69344.0,69399.0,69436.0,69489.0,69520.0,69578.0,69634.0,69698.0,69757.0
5003686,28920.0,28981.0,29049.0,29138.0,29210.0,29226.0,29372.0,29420.0,29485.0,29580.0,29643.0,29708.0,29814.0,29842.0,30105.0,30125.0,30139.0,30239.0,30294.0,30341.0,30368.0,30408.0,30442.0,30497.0,30535.0,30575.0,30604.0,30648.0,30698.0,30744.0,30774.0,30824.0,30869.0,30899.0,30942.0,30967.0,30996.0,31023.0,31062.0,31098.0
5003688,36120.0,36184.0,36256.0,36360.0,36444.0,36462.0,36632.0,36708.0,36811.0,36888.0,36997.0,37110.0,37227.0,37256.0,37517.0,37537.0,37551.0,37671.0,37719.0,37764.0,37796.0,37859.0,37896.0,37972.0,38025.0,38080.0,38113.0,38165.0,38223.0,38276.0,38311.0,38369.0,38424.0,38460.0,38513.0,38543.0,38577.0,38610.0,38700.0,38782.0
5003690,45120.0,45194.0,45276.0,45414.0,45526.0,45550.0,45776.0,45843.0,45934.0,45991.0,46081.0,46174.0,46298.0,46323.0,46628.0,46652.0,46669.0,46789.0,46831.0,46872.0,46903.0,46953.0,47000.0,47085.0,47144.0,47206.0,47241.0,47295.0,47356.0,47411.0,47447.0,47509.0,47564.0,47600.0,47653.0,47683.0,47722.0,47760.0,47831.0,47896.0
5003692,54120.0,54190.0,54267.0,54423.0,54550.0,54578.0,54832.0,54913.0,55023.0,55090.0,55175.0,55264.0,55374.0,55409.0,55709.0,55732.0,55749.0,55912.0,55955.0,56002.0,56041.0,56098.0,56149.0,56244.0,56310.0,56380.0,56423.0,56490.0,56566.0,56630.0,56672.0,56744.0,56799.0,56836.0,56889.0,56920.0,56978.0,57034.0,57098.0,57157.0
