tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P
5008278,22320.0,22359.0,22408.0,22469.0,22476.0,22486.0,22498.0,22535.0,22585.0,22608.0,22616.0,22631.0,22679.0,22710.0,22725.0,22746.0,22775.0,22802.0,22844.0,22861.0,22888.0,22901.0,22966.0,23008.0,23026.0,23056.0,23092.0,23132.0,23165.0,23227.0,23262.0,23295.0,23309.0,23337.0,23371.0,23411.0,23464.0,23506.0,23552.0,23629.0,23654.0,23674.0,23701.0,23730.0,23900.0,24074.0,24198.0,24285.0,24347.0,24464.0,24515.0,24572.0,24703.0,24743.0,24770.0,24852.0,24883.0,24897.0,24928.0,24961.0,25028.0,25096.0,25137.0,25220.0,25266.0,25331.0
5008280,32400.0,32478.0,32575.0,32696.0,32714.0,32741.0,32772.0,32820.0,32935.0,32989.0,33008.0,33040.0,33141.0,33207.0,33242.0,33291.0,33359.0,33410.0,33486.0,33539.0,33620.0,33641.0,33745.0,33813.0,33841.0,33904.0,33956.0,34007.0,34059.0,34155.0,34179.0,34234.0,34256.0,34302.0,34337.0,34378.0,34433.0,34496.0,34542.0,34619.0,34675.0,34721.0,34782.0,34845.0,35070.0,35316.0,35491.0,35615.0,35702.0,35869.0,35938.0,36015.0,36195.0,36238.0,36271.0,36371.0,36402.0,36416.0,36469.0,36527.0,36580.0,36633.0,36665.0,36730.0,36766.0,36817.0
5008301,29400.0,29445.0,29502.0,29572.0,29587.0,29609.0,29634.0,29659.0,29720.0,29748.0,29758.0,29785.0,29871.0,29927.0,29958.0,30000.0,30058.0,30101.0,30165.0,30208.0,30273.0,30303.0,30367.0,30409.0,30426.0,30482.0,30521.0,30572.0,30610.0,30680.0,30715.0,30770.0,30792.0,30838.0,30875.0,30918.0,30976.0,31021.0,31048.0,31093.0,31120.0,31142.0,31171.0,31201.0,31315.0,31441.0,31530.0,31593.0,31638.0,31723.0,31770.0,31822.0,31944.0,31968.0,31993.0,32066.0,32091.0,32102.0,32123.0,32147.0,32187.0,32227.0,32251.0,32300.0,32327.0,32367.0
5008518,23280.0,23319.0,23368.0,23429.0,23436.0,23446.0,23458.0,23495.0,23545.0,23568.0,23576.0,23591.0,23639.0,23670.0,23685.0,23706.0,23735.0,23762.0,23804.0,23821.0,23848.0,23861.0,23926.0,23968.0,23986.0,24016.0,24052.0,24092.0,24125.0,24187.0,24222.0,24255.0,24269.0,24297.0,24331.0,24371.0,24424.0,24466.0,24512.0,24589.0,24614.0,24634.0,24661.0,24690.0,24860.0,25034.0,25158.0,25245.0,25307.0,25424.0,25475.0,25532.0,25663.0,25703.0,25730.0,25812.0,25843.0,25857.0,25888.0,25921.0,25988.0,26056.0,26097.0,26180.0,26226.0,26291.0
5008524,55920.0,56000.0,56099.0,56222.0,56243.0,56273.0,56307.0,56377.0,56521.0,56561.0,56578.0,56622.0,56759.0,56848.0,56890.0,56948.0,57028.0,57073.0,57142.0,57183.0,57244.0,57271.0,57365.0,57426.0,57451.0,57501.0,57541.0,57632.0,57705.0,57842.0,57868.0,57925.0,57948.0,57996.0,58071.0,58159.0,58279.0,58335.0,58381.0,58460.0,58516.0,58562.0,58623.0,58685.0,58909.0,59154.0,59328.0,59451.0,59538.0,59704.0,59798.0,59902.0,60144.0,60195.0,60260.0,60456.0,60521.0,60550.0,60635.0,60729.0,60793.0,60858.0,60897.0,60976.0,61020.0,61084.0
5008559,30000.0,30059.0,30133.0,30225.0,30245.0,30274.0,30307.0,30366.0,30525.0,30589.0,30609.0,30651.0,30784.0,30871.0,30924.0,30998.0,31100.0,31155.0,31237.0,31294.0,31381.0,31409.0,31528.0,31605.0,31638.0,31697.0,31772.0,31879.0,31945.0,32068.0,32093.0,32161.0,32189.0,32246.0,32299.0,32362.0,32448.0,32514.0,32562.0,32644.0,32715.0,32773.0,32851.0,32931.0,33150.0,33456.0,33674.0,33828.0,33936.0,34144.0,34217.0,34298.0,34486.0,34530.0,34569.0,34685.0,34724.0,34742.0,34793.0,34849.0,34907.0,34966.0,35001.0,35072.0,35112.0,35169.0
5009576,25200.0,25256.0,25326.0,25413.0,25429.0,25452.0,25477.0,25519.0,25621.0,25661.0,25676.0,25705.0,25795.0,25853.0,25900.0,25965.0,26053.0,26116.0,26211.0,26264.0,26344.0,26387.0,26501.0,26575.0,26605.0,26669.0,26728.0,26823.0,26882.0,26992.0,27030.0,27095.0,27122.0,27176.0,27227.0,27288.0,27370.0,27432.0,27479.0,27559.0,27620.0,27670.0,27736.0,27804.0,27979.0,28174.0,28312.0,28410.0,28479.0,28610.0,28682.0,28762.0,28948.0,28992.0,29032.0,29150.0,29201.0,29224.0,29274.0,29328.0,29381.0,29435.0,29467.0,29532.0,29568.0,29621.0
5009582,58800.0,58880.0,58979.0,59102.0,59123.0,59153.0,59187.0,59257.0,59401.0,59441.0,59458.0,59502.0,59639.0,59728.0,59770.0,59828.0,59908.0,59953.0,60022.0,60063.0,60124.0,60151.0,60245.0,60306.0,60331.0,60381.0,60421.0,60512.0,60585.0,60722.0,60748.0,60805.0,60828.0,60876.0,60951.0,61039.0,61159.0,61215.0,61261.0,61340.0,61396.0,61442.0,61503.0,61565.0,61789.0,62034.0,62208.0,62331.0,62418.0,62584.0,62678.0,62782.0,63024.0,63075.0,63140.0,63336.0,63401.0,63430.0,63515.0,63609.0,63673.0,63738.0,63777.0,63856.0,63900.0,63964.0
5009830,54000.0,54073.0,54164.0,54276.0,54292.0,54315.0,54341.0,54413.0,54485.0,54536.0,54555.0,54593.0,54712.0,54790.0,54832.0,54890.0,54969.0,55044.0,55158.0,55217.0,55306.0,55332.0,55416.0,55471.0,55494.0,55544.0,55581.0,55704.0,55765.0,55877.0,55909.0,55972.0,55998.0,56050.0,56107.0,56174.0,56265.0,56332.0,56371.0,56437.0,56494.0,56540.0,56602.0,56666.0,56884.0,57138.0,57319.0,57446.0,57536.0,57708.0,57825.0,57956.0,58260.0,58318.0,58374.0,58540.0,58618.0,58652.0,58732.0,58820.0,58882.0,58945.0,58983.0,59060.0,59103.0,59164.0
5010691,26640.0,26696.0,26766.0,26853.0,26869.0,26892.0,26917.0,26959.0,27061.0,27101.0,27116.0,27145.0,27235.0,27293.0,27340.0,27405.0,27493.0,27556.0,27651.0,27704.0,27784.0,27827.0,27941.0,28015.0,28045.0,28109.0,28168.0,28263.0,28322.0,28432.0,28470.0,28535.0,28562.0,28616.0,28667.0,28728.0,28810.0,28872.0,28919.0,28999.0,29060.0,29110.0,29176.0,29244.0,29419.0,29614.0,29752.0,29850.0,29919.0,30050.0,30122.0,30202.0,30388.0,30432.0,30472.0,30590.0,30641.0,30664.0,30714.0,30768.0,30821.0,30875.0,30907.0,30972.0,31008.0,31061.0
5011384,35760.0,35838.0,35935.0,36055.0,36072.0,36096.0,36124.0,36175.0,36280.0,36331.0,36349.0,36386.0,36501.0,36575.0,36612.0,36664.0,36735.0,36785.0,36860.0,36905.0,36974.0,37001.0,37104.0,37171.0,37198.0,37241.0,37283.0,37353.0,37404.0,37500.0,37525.0,37577.0,37598.0,37642.0,37683.0,37731.0,37797.0,37844.0,37888.0,37962.0,38010.0,38049.0,38101.0,38155.0,38340.0,38564.0,38723.0,38835.0,38914.0,39065.0,39141.0,39225.0,39422.0,39458.0,39498.0,39617.0,39669.0,39692.0,39738.0,39789.0,39842.0,39895.0,39927.0,39992.0,40028.0,40079.0
5011600,32880.0,32958.0,33055.0,33176.0,33194.0,33221.0,33252.0,33300.0,33415.0,33469.0,33488.0,33520.0,33621.0,33687.0,33722.0,33771.0,33839.0,33890.0,33966.0,34019.0,34100.0,34121.0,34225.0,34293.0,34321.0,34384.0,34436.0,34487.0,34539.0,34635.0,34659.0,34714.0,34736.0,34782.0,34817.0,34858.0,34913.0,34976.0,35022.0,35099.0,35155.0,35201.0,35262.0,35325.0,35550.0,35796.0,35971.0,36095.0,36182.0,36349.0,36418.0,36495.0,36675.0,36718.0,36751.0,36851.0,36882.0,36896.0,36949.0,37007.0,37060.0,37113.0,37145.0,37210.0,37246.0,37297.0
