tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
5108398,58800.0,58883.0,58971.0,59051.0,59073.0,59159.0,59225.0,59257.0,59305.0,59333.0,59405.0,59471.0,59520.0,59564.0,59671.0,59757.0,59838.0,59911.0,59968.0,60048.0,60120.0,60164.0,60210.0,60247.0,60298.0,60395.0,60419.0,60471.0,60531.0,60586.0,60623.0,60672.0,60706.0,60751.0,60853.0,60935.0,60979.0,61017.0,61069.0,61150.0,61433.0,61681.0,61880.0,61964.0,62100.0,62127.0,62170.0,62224.0,62292.0,62401.0,62456.0
5108554,24300.0,24375.0,24460.0,24538.0,24557.0,24632.0,24689.0,24730.0,24791.0,24826.0,24899.0,24966.0,25014.0,25051.0,25142.0,25219.0,25292.0,25337.0,25394.0,25498.0,25556.0,25592.0,25632.0,25664.0,25708.0,25807.0,25832.0,25892.0,25963.0,26015.0,26050.0,26097.0,26143.0,26203.0,26303.0,26374.0,26418.0,26468.0,26537.0,26645.0,27042.0,27204.0,27335.0,27402.0,27508.0,27535.0,27578.0,27632.0,27700.0,27809.0,27864.0
5108556,34800.0,34872.0,34952.0,35026.0,35042.0,35105.0,35154.0,35190.0,35243.0,35274.0,35350.0,35419.0,35469.0,35505.0,35595.0,35664.0,35728.0,35772.0,35832.0,35939.0,36012.0,36058.0,36100.0,36134.0,36181.0,36289.0,36316.0,36366.0,36424.0,36478.0,36514.0,36563.0,36597.0,36641.0,36735.0,36819.0,36865.0,36905.0,36960.0,37046.0,37416.0,37635.0,37812.0,37868.0,37950.0,37977.0,38020.0,38074.0,38142.0,38251.0,38306.0
5108558,44400.0,44466.0,44546.0,44620.0,44637.0,44705.0,44757.0,44789.0,44837.0,44864.0,44939.0,45008.0,45058.0,45095.0,45186.0,45262.0,45334.0,45382.0,45444.0,45532.0,45593.0,45631.0,45672.0,45705.0,45749.0,45854.0,45881.0,45934.0,45997.0,46052.0,46089.0,46139.0,46171.0,46213.0,46298.0,46377.0,46424.0,46457.0,46503.0,46574.0,46821.0,47011.0,47164.0,47218.0,47296.0,47322.0,47365.0,47419.0,47487.0,47595.0,47650.0
5108560,54000.0,54066.0,54146.0,54220.0,54237.0,54305.0,54357.0,54389.0,54437.0,54464.0,54539.0,54608.0,54658.0,54695.0,54786.0,54862.0,54934.0,54982.0,55044.0,55132.0,55193.0,55231.0,55272.0,55305.0,55349.0,55454.0,55481.0,55534.0,55597.0,55652.0,55689.0,55739.0,55771.0,55813.0,55898.0,55977.0,56024.0,56057.0,56103.0,56174.0,56421.0,56611.0,56764.0,56818.0,56896.0,56922.0,56965.0,57019.0,57087.0,57195.0,57250.0
5108562,64800.0,64879.0,64965.0,65044.0,65074.0,65191.0,65280.0,65310.0,65355.0,65381.0,65453.0,65519.0,65568.0,65605.0,65697.0,65781.0,65860.0,65909.0,65969.0,66033.0,66098.0,66139.0,66179.0,66211.0,66256.0,66361.0,66387.0,66438.0,66497.0,66544.0,66575.0,66617.0,66649.0,66690.0,66773.0,66838.0,66876.0,66911.0,66960.0,67036.0,67245.0,67416.0,67554.0,67614.0,67726.0,67752.0,67795.0,67849.0,67916.0,68023.0,68077.0
5111521,23400.0,23475.0,23560.0,23638.0,23657.0,23732.0,23789.0,23830.0,23891.0,23926.0,23999.0,24066.0,24114.0,24151.0,24242.0,24319.0,24392.0,24437.0,24494.0,24598.0,24656.0,24692.0,24732.0,24764.0,24808.0,24907.0,24932.0,24992.0,25063.0,25115.0,25150.0,25197.0,25243.0,25303.0,25403.0,25474.0,25518.0,25568.0,25637.0,25745.0,26142.0,26304.0,26435.0,26502.0,26608.0,26635.0,26678.0,26732.0,26800.0,26909.0,26964.0
5111523,33600.0,33690.0,33776.0,33855.0,33876.0,33958.0,34021.0,34060.0,34118.0,34151.0,34249.0,34338.0,34403.0,34442.0,34537.0,34627.0,34712.0,34761.0,34824.0,34948.0,35020.0,35065.0,35109.0,35144.0,35192.0,35297.0,35323.0,35373.0,35432.0,35490.0,35529.0,35580.0,35621.0,35674.0,35759.0,35832.0,35879.0,35940.0,36024.0,36153.0,36688.0,36976.0,37207.0,37276.0,37392.0,37419.0,37462.0,37516.0,37584.0,37692.0,37747.0
5111525,43200.0,43266.0,43346.0,43420.0,43437.0,43505.0,43557.0,43589.0,43637.0,43664.0,43739.0,43808.0,43858.0,43895.0,43986.0,44062.0,44134.0,44182.0,44244.0,44332.0,44393.0,44431.0,44472.0,44505.0,44549.0,44654.0,44681.0,44734.0,44797.0,44852.0,44889.0,44939.0,44971.0,45013.0,45098.0,45177.0,45224.0,45257.0,45303.0,45374.0,45621.0,45811.0,45964.0,46018.0,46096.0,46122.0,46165.0,46219.0,46287.0,46395.0,46450.0
5111527,52800.0,52866.0,52946.0,53020.0,53037.0,53105.0,53157.0,53189.0,53237.0,53264.0,53339.0,53408.0,53458.0,53495.0,53586.0,53662.0,53734.0,53782.0,53844.0,53932.0,53993.0,54031.0,54072.0,54105.0,54149.0,54254.0,54281.0,54334.0,54397.0,54452.0,54489.0,54539.0,54571.0,54613.0,54698.0,54777.0,54824.0,54857.0,54903.0,54974.0,55221.0,55411.0,55564.0,55618.0,55696.0,55722.0,55765.0,55819.0,55887.0,55995.0,56050.0
5111529,63600.0,63679.0,63765.0,63844.0,63874.0,63991.0,64080.0,64110.0,64155.0,64181.0,64253.0,64319.0,64368.0,64405.0,64497.0,64581.0,64660.0,64709.0,64769.0,64833.0,64898.0,64939.0,64979.0,65011.0,65056.0,65161.0,65187.0,65238.0,65297.0,65344.0,65375.0,65417.0,65449.0,65490.0,65573.0,65638.0,65676.0,65711.0,65760.0,65836.0,66045.0,66216.0,66354.0,66414.0,66526.0,66552.0,66595.0,66649.0,66716.0,66823.0,66877.0
5112928,25200.0,25275.0,25360.0,25438.0,25457.0,25532.0,25589.0,25630.0,25691.0,25726.0,25799.0,25866.0,25914.0,25951.0,26042.0,26119.0,26192.0,26237.0,26294.0,26398.0,26456.0,26492.0,26532.0,26564.0,26608.0,26707.0,26732.0,26792.0,26863.0,26915.0,26950.0,26997.0,27043.0,27103.0,27203.0,27274.0,27318.0,27368.0,27437.0,27545.0,27942.0,28104.0,28235.0,28302.0,28408.0,28435.0,28478.0,28532.0,28600.0,28709.0,28764.0
5113614,60000.0,60104.0,60190.0,60269.0,60310.0,60472.0,60596.0,60627.0,60674.0,60701.0,60772.0,60837.0,60885.0,60930.0,61041.0,61163.0,61278.0,61386.0,61467.0,61544.0,61629.0,61682.0,61726.0,61761.0,61808.0,61913.0,61940.0,61992.0,62053.0,62108.0,62144.0,62193.0,62229.0,62276.0,62368.0,62436.0,62479.0,62524.0,62586.0,62683.0,62975.0,63236.0,63446.0,63517.0,63666.0,63693.0,63736.0,63790.0,63858.0,63967.0,64022.0
5114722,22500.0,22556.0,22644.0,22724.0,22739.0,22796.0,22840.0,22878.0,22935.0,22969.0,23038.0,23101.0,23148.0,23183.0,23269.0,23334.0,23395.0,23436.0,23479.0,23545.0,23594.0,23624.0,23663.0,23694.0,23737.0,23829.0,23852.0,23897.0,23950.0,23994.0,24023.0,24063.0,24090.0,24126.0,24208.0,24268.0,24314.0,24349.0,24397.0,24471.0,24677.0,24803.0,24904.0,24980.0,25048.0,25075.0,25118.0,25172.0,25240.0,25349.0,25404.0
5114724,32400.0,32490.0,32576.0,32655.0,32676.0,32758.0,32821.0,32860.0,32918.0,32951.0,33049.0,33138.0,33203.0,33242.0,33337.0,33427.0,33512.0,33561.0,33624.0,33748.0,33820.0,33865.0,33909.0,33944.0,33992.0,34097.0,34123.0,34173.0,34232.0,34290.0,34329.0,34380.0,34421.0,34474.0,34559.0,34632.0,34679.0,34740.0,34824.0,34953.0,35488.0,35776.0,36007.0,36076.0,36192.0,36219.0,36262.0,36316.0,36384.0,36492.0,36547.0
5114726,42000.0,42066.0,42146.0,42220.0,42237.0,42305.0,42357.0,42389.0,42437.0,42464.0,42539.0,42608.0,42658.0,42695.0,42786.0,42862.0,42934.0,42982.0,43044.0,43132.0,43193.0,43231.0,43272.0,43305.0,43349.0,43454.0,43481.0,43534.0,43597.0,43652.0,43689.0,43739.0,43771.0,43813.0,43898.0,43977.0,44024.0,44057.0,44103.0,44174.0,44421.0,44611.0,44764.0,44818.0,44896.0,44922.0,44965.0,45019.0,45087.0,45195.0,45250.0
5114728,51600.0,51666.0,51746.0,51820.0,51837.0,51905.0,51957.0,51989.0,52037.0,52064.0,52139.0,52208.0,52258.0,52295.0,52386.0,52462.0,52534.0,52582.0,52644.0,52732.0,52793.0,52831.0,52872.0,52905.0,52949.0,53054.0,53081.0,53134.0,53197.0,53252.0,53289.0,53339.0,53371.0,53413.0,53498.0,53577.0,53624.0,53657.0,53703.0,53774.0,54021.0,54211.0,54364.0,54418.0,54496.0,54522.0,54565.0,54619.0,54687.0,54795.0,54850.0
5114730,62400.0,62504.0,62590.0,62669.0,62710.0,62872.0,62996.0,63027.0,63074.0,63101.0,63172.0,63237.0,63285.0,63330.0,63441.0,63563.0,63678.0,63786.0,63867.0,63944.0,64029.0,64082.0,64126.0,64161.0,64208.0,64313.0,64340.0,64392.0,64453.0,64508.0,64544.0,64593.0,64629.0,64676.0,64768.0,64836.0,64879.0,64924.0,64986.0,65083.0,65375.0,65636.0,65846.0,65917.0,66066.0,66093.0,66136.0,66190.0,66258.0,66367.0,66422.0
5115558,70200.0,70263.0,70342.0,70415.0,70432.0,70499.0,70550.0,70573.0,70608.0,70628.0,70693.0,70752.0,70795.0,70832.0,70922.0,71005.0,71083.0,71124.0,71170.0,71238.0,71293.0,71327.0,71360.0,71386.0,71422.0,71515.0,71538.0,71579.0,71626.0,71668.0,71696.0,71734.0,71765.0,71805.0,71878.0,71953.0,71990.0,72018.0,72056.0,72115.0,72316.0,72451.0,72559.0,72631.0,72696.0,72721.0,72762.0,72813.0,72877.0,72979.0,73030.0
