tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P
5018757,53100.0,53228.0,53276.0,53323.0,53373.0,53405.0,53559.0,53594.0,53643.0,53689.0,53719.0,53790.0,53827.0,53866.0,53892.0,53921.0,53974.0,54003.0,54067.0,54131.0,54233.0,54284.0,54344.0,54385.0,54413.0,54443.0,54488.0,54586.0,54606.0,54643.0,54666.0,54701.0,54741.0,54769.0,54809.0,54876.0,54905.0,54951.0,54999.0,55031.0,55045.0,55101.0,55144.0,55190.0,55241.0,55290.0,55330.0,55406.0,55494.0,55617.0,55701.0,55872.0,55911.0,56142.0,56227.0,56321.0,56402.0,56446.0,56492.0,56607.0
5018759,63900.0,64028.0,64076.0,64123.0,64173.0,64215.0,64422.0,64458.0,64508.0,64555.0,64585.0,64659.0,64697.0,64737.0,64764.0,64794.0,64849.0,64880.0,64945.0,65006.0,65103.0,65161.0,65229.0,65276.0,65304.0,65334.0,65380.0,65482.0,65504.0,65543.0,65567.0,65604.0,65638.0,65662.0,65700.0,65764.0,65793.0,65839.0,65885.0,65912.0,65924.0,65971.0,66007.0,66047.0,66099.0,66150.0,66180.0,66237.0,66302.0,66423.0,66505.0,66673.0,66712.0,66963.0,67039.0,67124.0,67211.0,67259.0,67319.0,67467.0
5019194,29100.0,29219.0,29263.0,29307.0,29354.0,29393.0,29583.0,29626.0,29686.0,29743.0,29780.0,29866.0,29910.0,29956.0,29987.0,30022.0,30086.0,30121.0,30197.0,30293.0,30418.0,30476.0,30544.0,30590.0,30625.0,30662.0,30718.0,30812.0,30839.0,30887.0,30921.0,30974.0,31023.0,31056.0,31104.0,31186.0,31226.0,31289.0,31354.0,31400.0,31419.0,31488.0,31541.0,31599.0,31695.0,31789.0,31851.0,31971.0,32110.0,32330.0,32480.0,32787.0,32857.0,33165.0,33267.0,33380.0,33516.0,33591.0,33648.0,33789.0
5019562,21300.0,21374.0,21402.0,21430.0,21459.0,21491.0,21646.0,21683.0,21734.0,21783.0,21815.0,21890.0,21929.0,21970.0,21997.0,22028.0,22084.0,22115.0,22183.0,22239.0,22306.0,22335.0,22369.0,22393.0,22419.0,22446.0,22487.0,22546.0,22558.0,22580.0,22597.0,22624.0,22647.0,22663.0,22687.0,22727.0,22758.0,22807.0,22857.0,22887.0,22900.0,22933.0,22958.0,22985.0,23022.0,23059.0,23094.0,23162.0,23240.0,23322.0,23378.0,23492.0,23519.0,23646.0,23711.0,23784.0,23855.0,23894.0,23936.0,24041.0
5019564,30900.0,31051.0,31108.0,31164.0,31223.0,31278.0,31547.0,31592.0,31654.0,31713.0,31751.0,31833.0,31876.0,31921.0,31951.0,31985.0,32047.0,32081.0,32153.0,32232.0,32329.0,32382.0,32444.0,32487.0,32515.0,32545.0,32591.0,32662.0,32682.0,32719.0,32749.0,32794.0,32847.0,32884.0,32925.0,32995.0,33028.0,33080.0,33132.0,33168.0,33183.0,33236.0,33276.0,33320.0,33389.0,33457.0,33512.0,33618.0,33740.0,33976.0,34137.0,34465.0,34539.0,34855.0,34951.0,35058.0,35165.0,35224.0,35267.0,35373.0
5083455,29100.0,29214.0,29257.0,29299.0,29344.0,29381.0,29564.0,29605.0,29662.0,29717.0,29753.0,29835.0,29878.0,29922.0,29952.0,29986.0,30048.0,30082.0,30154.0,30246.0,30366.0,30422.0,30486.0,30531.0,30564.0,30601.0,30654.0,30744.0,30770.0,30816.0,30849.0,30900.0,30947.0,30979.0,31025.0,31104.0,31143.0,31204.0,31266.0,31310.0,31329.0,31396.0,31447.0,31502.0,31595.0,31685.0,31745.0,31861.0,31994.0,32206.0,32350.0,32645.0,32712.0,33008.0,33106.0,33215.0,33346.0,33418.0,33473.0,33608.0
5084442,23700.0,23793.0,23828.0,23863.0,23899.0,23926.0,24059.0,24093.0,24140.0,24185.0,24214.0,24286.0,24323.0,24362.0,24388.0,24417.0,24471.0,24501.0,24565.0,24620.0,24695.0,24736.0,24782.0,24815.0,24840.0,24868.0,24908.0,24972.0,24990.0,25023.0,25048.0,25086.0,25119.0,25141.0,25171.0,25221.0,25254.0,25307.0,25361.0,25400.0,25417.0,25464.0,25500.0,25540.0,25597.0,25652.0,25693.0,25772.0,25863.0,25977.0,26055.0,26214.0,26251.0,26422.0,26499.0,26585.0,26670.0,26717.0,26758.0,26859.0
5084446,42900.0,43007.0,43047.0,43087.0,43128.0,43155.0,43287.0,43326.0,43380.0,43431.0,43463.0,43533.0,43570.0,43608.0,43633.0,43662.0,43715.0,43744.0,43806.0,43859.0,43947.0,43995.0,44050.0,44089.0,44113.0,44140.0,44180.0,44252.0,44278.0,44324.0,44349.0,44387.0,44424.0,44450.0,44489.0,44554.0,44585.0,44634.0,44683.0,44717.0,44732.0,44777.0,44811.0,44849.0,44905.0,44960.0,44997.0,45069.0,45153.0,45276.0,45360.0,45532.0,45571.0,45770.0,45865.0,45971.0,46052.0,46096.0,46142.0,46256.0
5084448,54300.0,54423.0,54469.0,54515.0,54563.0,54593.0,54742.0,54776.0,54823.0,54868.0,54896.0,54965.0,55001.0,55038.0,55063.0,55091.0,55142.0,55170.0,55231.0,55293.0,55391.0,55440.0,55496.0,55537.0,55563.0,55593.0,55636.0,55730.0,55750.0,55785.0,55807.0,55841.0,55880.0,55906.0,55944.0,56009.0,56037.0,56081.0,56127.0,56158.0,56171.0,56225.0,56266.0,56310.0,56359.0,56406.0,56444.0,56517.0,56602.0,56720.0,56801.0,56966.0,57003.0,57225.0,57306.0,57397.0,57474.0,57517.0,57562.0,57672.0
5085934,22500.0,22593.0,22628.0,22663.0,22699.0,22726.0,22859.0,22893.0,22940.0,22985.0,23014.0,23086.0,23123.0,23162.0,23188.0,23217.0,23271.0,23301.0,23365.0,23420.0,23495.0,23536.0,23582.0,23615.0,23640.0,23668.0,23708.0,23772.0,23790.0,23823.0,23848.0,23886.0,23919.0,23941.0,23971.0,24021.0,24054.0,24107.0,24161.0,24200.0,24217.0,24264.0,24300.0,24340.0,24397.0,24452.0,24493.0,24572.0,24663.0,24777.0,24855.0,25014.0,25051.0,25222.0,25299.0,25385.0,25470.0,25517.0,25558.0,25659.0
5085936,32100.0,32245.0,32299.0,32353.0,32411.0,32464.0,32723.0,32766.0,32826.0,32883.0,32919.0,32998.0,33039.0,33082.0,33111.0,33143.0,33202.0,33235.0,33306.0,33382.0,33475.0,33526.0,33585.0,33627.0,33654.0,33684.0,33727.0,33795.0,33815.0,33850.0,33878.0,33922.0,33974.0,34009.0,34049.0,34116.0,34147.0,34197.0,34248.0,34282.0,34297.0,34348.0,34387.0,34429.0,34496.0,34561.0,34614.0,34716.0,34833.0,35059.0,35213.0,35528.0,35601.0,35905.0,35997.0,36100.0,36203.0,36260.0,36301.0,36403.0
5085938,41700.0,41807.0,41847.0,41887.0,41928.0,41955.0,42087.0,42126.0,42180.0,42231.0,42263.0,42333.0,42370.0,42408.0,42433.0,42462.0,42515.0,42544.0,42606.0,42659.0,42747.0,42795.0,42850.0,42889.0,42913.0,42940.0,42980.0,43052.0,43078.0,43124.0,43149.0,43187.0,43224.0,43250.0,43289.0,43354.0,43385.0,43434.0,43483.0,43517.0,43532.0,43577.0,43611.0,43649.0,43705.0,43760.0,43797.0,43869.0,43953.0,44076.0,44160.0,44332.0,44371.0,44570.0,44665.0,44771.0,44852.0,44896.0,44942.0,45056.0
5085940,51900.0,52023.0,52069.0,52115.0,52163.0,52193.0,52342.0,52376.0,52423.0,52468.0,52496.0,52565.0,52601.0,52638.0,52663.0,52691.0,52742.0,52770.0,52831.0,52893.0,52991.0,53040.0,53096.0,53137.0,53163.0,53193.0,53236.0,53330.0,53350.0,53385.0,53407.0,53441.0,53480.0,53506.0,53544.0,53609.0,53637.0,53681.0,53727.0,53758.0,53771.0,53825.0,53866.0,53910.0,53959.0,54006.0,54044.0,54117.0,54202.0,54320.0,54401.0,54566.0,54603.0,54825.0,54906.0,54997.0,55074.0,55117.0,55162.0,55272.0
5085942,62700.0,62823.0,62869.0,62915.0,62963.0,63004.0,63202.0,63236.0,63284.0,63330.0,63359.0,63430.0,63467.0,63505.0,63530.0,63559.0,63612.0,63641.0,63705.0,63764.0,63857.0,63913.0,63977.0,64023.0,64050.0,64080.0,64123.0,64221.0,64242.0,64280.0,64303.0,64339.0,64372.0,64395.0,64431.0,64493.0,64521.0,64565.0,64609.0,64636.0,64647.0,64692.0,64727.0,64765.0,64815.0,64864.0,64892.0,64947.0,65010.0,65126.0,65205.0,65367.0,65404.0,65645.0,65718.0,65800.0,65884.0,65930.0,65988.0,66130.0
5086725,24900.0,24993.0,25028.0,25063.0,25099.0,25126.0,25259.0,25293.0,25340.0,25385.0,25414.0,25486.0,25523.0,25562.0,25588.0,25617.0,25671.0,25701.0,25765.0,25820.0,25895.0,25936.0,25982.0,26015.0,26040.0,26068.0,26108.0,26172.0,26190.0,26223.0,26248.0,26286.0,26319.0,26341.0,26371.0,26421.0,26454.0,26507.0,26561.0,26600.0,26617.0,26664.0,26700.0,26740.0,26797.0,26852.0,26893.0,26972.0,27063.0,27177.0,27255.0,27414.0,27451.0,27622.0,27699.0,27785.0,27870.0,27917.0,27958.0,28059.0
5087366,27600.0,27714.0,27757.0,27799.0,27844.0,27881.0,28064.0,28105.0,28162.0,28217.0,28253.0,28335.0,28378.0,28422.0,28452.0,28486.0,28548.0,28582.0,28654.0,28746.0,28866.0,28922.0,28986.0,29031.0,29064.0,29101.0,29154.0,29244.0,29270.0,29316.0,29349.0,29400.0,29447.0,29479.0,29525.0,29604.0,29643.0,29704.0,29766.0,29810.0,29829.0,29896.0,29947.0,30002.0,30095.0,30185.0,30245.0,30361.0,30494.0,30706.0,30850.0,31145.0,31212.0,31508.0,31606.0,31715.0,31846.0,31918.0,31973.0,32108.0
5088987,49500.0,49613.0,49655.0,49697.0,49741.0,49764.0,49879.0,49914.0,49963.0,50010.0,50040.0,50116.0,50156.0,50197.0,50224.0,50255.0,50312.0,50344.0,50413.0,50459.0,50541.0,50584.0,50633.0,50669.0,50692.0,50718.0,50757.0,50845.0,50861.0,50890.0,50920.0,50966.0,50996.0,51016.0,51044.0,51092.0,51120.0,51164.0,51208.0,51240.0,51254.0,51291.0,51319.0,51349.0,51390.0,51429.0,51463.0,51529.0,51606.0,51723.0,51803.0,51966.0,52004.0,52141.0,52228.0,52324.0,52400.0,52442.0,52483.0,52585.0
5089735,27120.0,27234.0,27277.0,27319.0,27364.0,27401.0,27584.0,27625.0,27682.0,27737.0,27773.0,27855.0,27898.0,27942.0,27972.0,28006.0,28068.0,28102.0,28174.0,28266.0,28386.0,28442.0,28506.0,28551.0,28584.0,28621.0,28674.0,28764.0,28790.0,28836.0,28869.0,28920.0,28967.0,28999.0,29045.0,29124.0,29163.0,29224.0,29286.0,29330.0,29349.0,29416.0,29467.0,29522.0,29615.0,29705.0,29765.0,29881.0,30014.0,30226.0,30370.0,30665.0,30732.0,31028.0,31126.0,31235.0,31366.0,31438.0,31493.0,31628.0
