tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
5008108,37800.0,37841.0,37888.0,37961.0,37977.0,38019.0,38055.0,38085.0,38169.0,38202.0,38295.0,38338.0,38400.0,38449.0,38476.0,38507.0,38537.0,38598.0,38706.0,38735.0,38788.0,38807.0,38846.0,38893.0,38958.0,38992.0,39027.0,39104.0,39134.0,39268.0,39312.0,39360.0,39396.0,39433.0,39466.0,39494.0,39522.0,39588.0,39707.0,39755.0,39804.0,39836.0,39867.0,39908.0,39947.0,40001.0,40050.0,40117.0,40158.0,40214.0,40328.0,40381.0,40503.0,40522.0,40609.0,40700.0,40979.0
5008110,48600.0,48676.0,48763.0,48898.0,48929.0,48967.0,49000.0,49027.0,49104.0,49141.0,49239.0,49285.0,49351.0,49403.0,49432.0,49465.0,49496.0,49560.0,49675.0,49708.0,49755.0,49773.0,49811.0,49855.0,49916.0,49949.0,49986.0,50068.0,50094.0,50249.0,50300.0,50365.0,50415.0,50458.0,50485.0,50508.0,50531.0,50601.0,50727.0,50778.0,50829.0,50863.0,50896.0,50935.0,50972.0,51020.0,51063.0,51123.0,51158.0,51207.0,51317.0,51368.0,51484.0,51503.0,51594.0,51682.0,51952.0
5008112,59400.0,59465.0,59540.0,59657.0,59683.0,59735.0,59779.0,59815.0,59920.0,59963.0,60061.0,60106.0,60172.0,60224.0,60253.0,60286.0,60317.0,60381.0,60495.0,60526.0,60587.0,60608.0,60650.0,60700.0,60773.0,60812.0,60857.0,60957.0,60982.0,61140.0,61192.0,61253.0,61300.0,61358.0,61383.0,61405.0,61427.0,61488.0,61597.0,61650.0,61703.0,61738.0,61772.0,61808.0,61841.0,61888.0,61931.0,61989.0,62027.0,62079.0,62203.0,62260.0,62392.0,62411.0,62501.0,62592.0,62871.0
5008114,72000.0,72043.0,72092.0,72168.0,72185.0,72219.0,72248.0,72272.0,72342.0,72375.0,72457.0,72495.0,72550.0,72594.0,72618.0,72646.0,72672.0,72726.0,72822.0,72850.0,72890.0,72909.0,72939.0,72978.0,73029.0,73057.0,73093.0,73173.0,73203.0,73338.0,73382.0,73438.0,73481.0,73509.0,73536.0,73559.0,73582.0,73625.0,73703.0,73745.0,73788.0,73816.0,73843.0,73877.0,73909.0,73950.0,73987.0,74038.0,74081.0,74141.0,74224.0,74262.0,74351.0,74367.0,74444.0,74528.0,74786.0
5008116,80400.0,80443.0,80493.0,80570.0,80588.0,80618.0,80644.0,80665.0,80726.0,80747.0,80819.0,80852.0,80901.0,80939.0,80960.0,80984.0,81007.0,81054.0,81138.0,81163.0,81196.0,81212.0,81238.0,81270.0,81317.0,81342.0,81369.0,81430.0,81463.0,81589.0,81631.0,81676.0,81710.0,81734.0,81755.0,81773.0,81790.0,81813.0,81853.0,81892.0,81932.0,81958.0,81983.0,82010.0,82036.0,82068.0,82097.0,82136.0,82169.0,82215.0,82290.0,82325.0,82405.0,82419.0,82487.0,82578.0,82855.0
5015229,28800.0,28856.0,28920.0,29020.0,29044.0,29096.0,29141.0,29178.0,29283.0,29323.0,29433.0,29484.0,29558.0,29616.0,29648.0,29685.0,29720.0,29792.0,29920.0,29954.0,30016.0,30041.0,30094.0,30280.0,30515.0,30640.0,30693.0,30811.0,30856.0,31127.0,31216.0,31303.0,31369.0,31438.0,31501.0,31555.0,31610.0,31717.0,31909.0,31983.0,32057.0,32105.0,32153.0,32204.0,32252.0,32306.0,32355.0,32423.0,32504.0,32616.0,32761.0,32828.0,32982.0,33000.0,33082.0,33173.0,33452.0
5015815,27900.0,27940.0,27986.0,28058.0,28074.0,28107.0,28135.0,28158.0,28226.0,28244.0,28337.0,28380.0,28442.0,28491.0,28518.0,28549.0,28579.0,28640.0,28748.0,28778.0,28816.0,28834.0,28867.0,28928.0,29004.0,29045.0,29079.0,29154.0,29197.0,29336.0,29382.0,29432.0,29470.0,29488.0,29505.0,29519.0,29534.0,29559.0,29604.0,29642.0,29680.0,29705.0,29729.0,29756.0,29782.0,29805.0,29826.0,29855.0,29885.0,29926.0,29989.0,30018.0,30084.0,30096.0,30154.0,30245.0,30524.0
5015821,59400.0,59452.0,59511.0,59604.0,59625.0,59661.0,59692.0,59718.0,59791.0,59843.0,59937.0,59981.0,60044.0,60094.0,60122.0,60153.0,60183.0,60245.0,60355.0,60385.0,60407.0,60424.0,60458.0,60519.0,60603.0,60648.0,60674.0,60732.0,60755.0,60893.0,60939.0,61001.0,61048.0,61104.0,61127.0,61146.0,61166.0,61209.0,61285.0,61328.0,61371.0,61399.0,61427.0,61464.0,61499.0,61542.0,61581.0,61634.0,61669.0,61717.0,61806.0,61847.0,61942.0,61965.0,62073.0,62164.0,62443.0
5015823,70200.0,70241.0,70288.0,70361.0,70377.0,70414.0,70446.0,70472.0,70549.0,70579.0,70674.0,70718.0,70782.0,70833.0,70861.0,70893.0,70923.0,70985.0,71096.0,71126.0,71173.0,71187.0,71224.0,71273.0,71326.0,71355.0,71386.0,71456.0,71491.0,71629.0,71674.0,71744.0,71798.0,71859.0,71879.0,71896.0,71913.0,71948.0,72011.0,72043.0,72075.0,72096.0,72117.0,72159.0,72198.0,72234.0,72267.0,72312.0,72348.0,72397.0,72506.0,72556.0,72671.0,72721.0,72954.0,73045.0,73324.0
5015825,80100.0,80143.0,80193.0,80270.0,80288.0,80320.0,80348.0,80371.0,80436.0,80463.0,80545.0,80583.0,80638.0,80681.0,80705.0,80732.0,80758.0,80812.0,80908.0,80934.0,80966.0,80982.0,81017.0,81051.0,81103.0,81131.0,81158.0,81218.0,81242.0,81363.0,81403.0,81448.0,81482.0,81501.0,81521.0,81538.0,81554.0,81578.0,81621.0,81665.0,81709.0,81738.0,81765.0,81798.0,81828.0,81864.0,81897.0,81942.0,81976.0,82024.0,82148.0,82205.0,82336.0,82362.0,82487.0,82578.0,82857.0
