tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P
5004844,39300.0,39332.0,39390.0,39443.0,39490.0,39539.0,39563.0,39584.0,39621.0,39673.0,39694.0,39746.0,39768.0,39797.0,39835.0,39925.0,40018.0,40072.0,40096.0,40163.0,40236.0,40296.0,40342.0,40425.0,40553.0,40611.0,40671.0,40701.0,40747.0,40777.0,40833.0,40885.0,40918.0,40942.0,40983.0,41034.0,41077.0,41123.0,41157.0,41210.0,41303.0,41392.0,41418.0,41453.0,41491.0,41545.0,41648.0,41675.0,41701.0,41729.0,41750.0,41780.0,41810.0,41938.0,42065.0,42144.0,42198.0,42284.0,42334.0,42365.0,42381.0,42417.0,42451.0,42511.0,42575.0,42653.0,42906.0
5004846,49200.0,49236.0,49300.0,49359.0,49413.0,49468.0,49495.0,49520.0,49554.0,49602.0,49620.0,49666.0,49686.0,49711.0,49755.0,49862.0,49972.0,50019.0,50040.0,50098.0,50178.0,50237.0,50282.0,50364.0,50491.0,50537.0,50585.0,50610.0,50651.0,50679.0,50732.0,50782.0,50818.0,50845.0,50891.0,50947.0,50994.0,51044.0,51082.0,51129.0,51209.0,51291.0,51319.0,51356.0,51395.0,51449.0,51554.0,51586.0,51617.0,51649.0,51673.0,51707.0,51741.0,51871.0,52000.0,52081.0,52136.0,52224.0,52270.0,52303.0,52320.0,52358.0,52394.0,52452.0,52514.0,52591.0,52638.0
5004850,80100.0,80122.0,80161.0,80197.0,80230.0,80269.0,80288.0,80306.0,80334.0,80374.0,80390.0,80438.0,80458.0,80485.0,80511.0,80573.0,80636.0,80675.0,80693.0,80740.0,80810.0,80842.0,80867.0,80912.0,80980.0,81016.0,81054.0,81075.0,81100.0,81116.0,81146.0,81173.0,81192.0,81206.0,81230.0,81261.0,81288.0,81316.0,81337.0,81381.0,81456.0,81519.0,81541.0,81570.0,81598.0,81636.0,81710.0,81731.0,81751.0,81775.0,81793.0,81819.0,81845.0,81951.0,82057.0,82123.0,82168.0,82240.0,82269.0,82302.0,82318.0,82342.0,82364.0,82416.0,82472.0,82540.0,82636.0
5005311,27600.0,27637.0,27702.0,27762.0,27815.0,27876.0,27906.0,27932.0,27971.0,28026.0,28048.0,28112.0,28139.0,28173.0,28217.0,28323.0,28433.0,28497.0,28526.0,28604.0,28705.0,28787.0,28849.0,28962.0,29135.0,29187.0,29242.0,29279.0,29337.0,29374.0,29443.0,29508.0,29548.0,29578.0,29627.0,29686.0,29736.0,29789.0,29828.0,29905.0,30039.0,30308.0,30376.0,30468.0,30519.0,30590.0,30727.0,30765.0,30802.0,30840.0,30869.0,30909.0,30950.0,31098.0,31245.0,31337.0,31400.0,31501.0,31561.0,31598.0,31617.0,31675.0,31729.0,31807.0,31891.0,31993.0,32074.0
5005315,60000.0,60040.0,60111.0,60176.0,60235.0,60290.0,60317.0,60342.0,60374.0,60419.0,60437.0,60484.0,60504.0,60529.0,60567.0,60657.0,60750.0,60793.0,60812.0,60865.0,60935.0,60989.0,61030.0,61105.0,61221.0,61300.0,61382.0,61414.0,61451.0,61477.0,61526.0,61571.0,61600.0,61622.0,61659.0,61706.0,61746.0,61788.0,61819.0,61866.0,61946.0,62029.0,62054.0,62087.0,62132.0,62195.0,62315.0,62344.0,62373.0,62405.0,62429.0,62463.0,62496.0,62641.0,62785.0,62875.0,62936.0,63035.0,63082.0,63115.0,63132.0,63174.0,63212.0,63271.0,63334.0,63412.0,63550.0
5007895,25200.0,25237.0,25302.0,25362.0,25415.0,25476.0,25506.0,25532.0,25571.0,25626.0,25648.0,25712.0,25739.0,25773.0,25817.0,25923.0,26033.0,26097.0,26126.0,26204.0,26305.0,26387.0,26449.0,26562.0,26735.0,26787.0,26842.0,26879.0,26937.0,26974.0,27043.0,27108.0,27148.0,27178.0,27227.0,27286.0,27336.0,27389.0,27428.0,27505.0,27639.0,27908.0,27976.0,28068.0,28119.0,28190.0,28327.0,28365.0,28402.0,28440.0,28469.0,28509.0,28550.0,28698.0,28845.0,28937.0,29000.0,29101.0,29161.0,29198.0,29217.0,29275.0,29329.0,29407.0,29491.0,29593.0,29674.0
5007898,45900.0,45936.0,46000.0,46059.0,46113.0,46168.0,46195.0,46220.0,46254.0,46302.0,46320.0,46366.0,46386.0,46411.0,46455.0,46562.0,46672.0,46719.0,46740.0,46798.0,46878.0,46937.0,46982.0,47064.0,47191.0,47237.0,47285.0,47310.0,47351.0,47379.0,47432.0,47482.0,47518.0,47545.0,47591.0,47647.0,47694.0,47744.0,47782.0,47829.0,47909.0,47991.0,48019.0,48056.0,48095.0,48149.0,48254.0,48286.0,48317.0,48349.0,48373.0,48407.0,48441.0,48571.0,48700.0,48781.0,48836.0,48924.0,48970.0,49003.0,49020.0,49058.0,49094.0,49152.0,49214.0,49291.0,49338.0
5007900,58800.0,58840.0,58911.0,58976.0,59035.0,59090.0,59117.0,59142.0,59174.0,59219.0,59237.0,59284.0,59304.0,59329.0,59367.0,59457.0,59550.0,59593.0,59612.0,59665.0,59735.0,59789.0,59830.0,59905.0,60021.0,60100.0,60182.0,60214.0,60251.0,60277.0,60326.0,60371.0,60400.0,60422.0,60459.0,60506.0,60546.0,60588.0,60619.0,60666.0,60746.0,60829.0,60854.0,60887.0,60932.0,60995.0,61115.0,61144.0,61173.0,61205.0,61229.0,61263.0,61296.0,61441.0,61585.0,61675.0,61736.0,61835.0,61882.0,61915.0,61932.0,61974.0,62012.0,62071.0,62134.0,62212.0,62350.0
5008036,42900.0,42931.0,42985.0,43035.0,43080.0,43111.0,43126.0,43140.0,43180.0,43237.0,43260.0,43291.0,43304.0,43320.0,43340.0,43389.0,43440.0,43485.0,43505.0,43560.0,43620.0,43643.0,43660.0,43691.0,43740.0,43799.0,43860.0,43980.0,44040.0,44066.0,44115.0,44160.0,44200.0,44230.0,44280.0,44315.0,44345.0,44376.0,44400.0,44444.0,44520.0,44700.0,44776.0,44880.0,44904.0,44937.0,45000.0,45060.0,45120.0,45151.0,45174.0,45207.0,45240.0,45288.0,45336.0,45366.0,45387.0,45420.0,45600.0,45640.0,45660.0,45691.0,45720.0,45756.0,45794.0,45840.0,45960.0
5009766,34500.0,34544.0,34623.0,34696.0,34761.0,34830.0,34864.0,34894.0,34931.0,34983.0,35004.0,35057.0,35079.0,35108.0,35165.0,35302.0,35444.0,35498.0,35522.0,35587.0,35660.0,35729.0,35781.0,35876.0,36021.0,36074.0,36129.0,36162.0,36206.0,36250.0,36332.0,36409.0,36466.0,36509.0,36581.0,36644.0,36698.0,36755.0,36797.0,36856.0,36957.0,37049.0,37088.0,37140.0,37184.0,37245.0,37361.0,37389.0,37417.0,37445.0,37466.0,37496.0,37527.0,37659.0,37790.0,37872.0,37928.0,38017.0,38057.0,38086.0,38100.0,38135.0,38167.0,38218.0,38272.0,38338.0,38479.0
5009767,42300.0,42332.0,42390.0,42443.0,42490.0,42539.0,42563.0,42584.0,42621.0,42673.0,42694.0,42746.0,42768.0,42797.0,42835.0,42925.0,43018.0,43072.0,43096.0,43163.0,43236.0,43296.0,43342.0,43425.0,43553.0,43611.0,43671.0,43701.0,43747.0,43777.0,43833.0,43885.0,43918.0,43942.0,43983.0,44034.0,44077.0,44123.0,44157.0,44210.0,44303.0,44392.0,44418.0,44453.0,44491.0,44545.0,44648.0,44675.0,44701.0,44729.0,44750.0,44780.0,44810.0,44938.0,45065.0,45144.0,45198.0,45284.0,45334.0,45365.0,45381.0,45417.0,45451.0,45511.0,45575.0,45653.0,45906.0
