tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P
5107340,43620.0,43710.0,43810.0,43930.0,44027.0,44096.0,44191.0,44392.0,44490.0,44551.0,44725.0,44780.0,44824.0,44862.0,44917.0,44941.0,44973.0,44995.0,45034.0,45074.0,45124.0,45177.0,45205.0,45338.0,45372.0,45396.0,45420.0,45460.0,45488.0
5107395,74220.0,74299.0,74387.0,74493.0,74579.0,74641.0,74732.0,74926.0,75000.0,75045.0,75203.0,75253.0,75293.0,75328.0,75377.0,75404.0,75435.0,75456.0,75495.0,75535.0,75585.0,75638.0,75666.0,75793.0,75825.0,75848.0,75869.0,75904.0,75929.0
5107748,56220.0,56335.0,56462.0,56615.0,56739.0,56828.0,56940.0,57178.0,57281.0,57344.0,57534.0,57594.0,57642.0,57684.0,57743.0,57769.0,57805.0,57827.0,57868.0,57914.0,57973.0,58035.0,58067.0,58221.0,58260.0,58288.0,58313.0,58354.0,58384.0
5109730,54420.0,54535.0,54662.0,54815.0,54939.0,55028.0,55140.0,55378.0,55481.0,55544.0,55734.0,55794.0,55842.0,55884.0,55943.0,55969.0,56005.0,56027.0,56068.0,56114.0,56173.0,56235.0,56267.0,56421.0,56460.0,56488.0,56513.0,56554.0,56584.0
5109884,77820.0,77883.0,77953.0,78037.0,78105.0,78155.0,78242.0,78425.0,78494.0,78536.0,78678.0,78723.0,78759.0,78790.0,78835.0,78860.0,78892.0,78912.0,78949.0,78981.0,79022.0,79065.0,79087.0,79202.0,79231.0,79252.0,79277.0,79318.0,79348.0
5111074,52620.0,52710.0,52810.0,52930.0,53027.0,53096.0,53191.0,53392.0,53490.0,53551.0,53725.0,53780.0,53824.0,53862.0,53917.0,53941.0,53973.0,53995.0,54034.0,54074.0,54124.0,54177.0,54205.0,54338.0,54372.0,54396.0,54420.0,54460.0,54488.0
5113023,41820.0,41926.0,42044.0,42185.0,42299.0,42382.0,42474.0,42670.0,42755.0,42807.0,42970.0,43022.0,43063.0,43099.0,43149.0,43173.0,43202.0,43222.0,43258.0,43294.0,43340.0,43388.0,43414.0,43532.0,43562.0,43583.0,43605.0,43642.0,43668.0
5116238,40020.0,40126.0,40244.0,40385.0,40499.0,40582.0,40674.0,40870.0,40955.0,41007.0,41170.0,41222.0,41263.0,41299.0,41349.0,41373.0,41402.0,41422.0,41458.0,41494.0,41540.0,41588.0,41614.0,41732.0,41762.0,41783.0,41805.0,41842.0,41868.0
5116240,45420.0,45510.0,45610.0,45730.0,45827.0,45896.0,45991.0,46192.0,46290.0,46351.0,46525.0,46580.0,46624.0,46662.0,46717.0,46741.0,46773.0,46795.0,46834.0,46874.0,46924.0,46977.0,47005.0,47138.0,47172.0,47196.0,47220.0,47260.0,47288.0
5116242,59820.0,59935.0,60062.0,60215.0,60339.0,60428.0,60540.0,60778.0,60881.0,60944.0,61134.0,61194.0,61242.0,61284.0,61343.0,61369.0,61405.0,61427.0,61468.0,61514.0,61573.0,61635.0,61667.0,61821.0,61860.0,61888.0,61913.0,61954.0,61984.0
5116366,49020.0,49110.0,49210.0,49330.0,49427.0,49496.0,49591.0,49792.0,49890.0,49951.0,50125.0,50180.0,50224.0,50262.0,50317.0,50341.0,50373.0,50395.0,50434.0,50474.0,50524.0,50577.0,50605.0,50738.0,50772.0,50796.0,50820.0,50860.0,50888.0
5116918,27420.0,27494.0,27576.0,27674.0,27754.0,27811.0,27883.0,28035.0,28104.0,28146.0,28327.0,28384.0,28430.0,28470.0,28527.0,28551.0,28581.0,28604.0,28645.0,28696.0,28760.0,28828.0,28864.0,28983.0,29013.0,29035.0,29089.0,29178.0,29243.0
5116928,67020.0,67135.0,67262.0,67415.0,67539.0,67628.0,67740.0,67978.0,68081.0,68144.0,68334.0,68394.0,68442.0,68484.0,68543.0,68569.0,68605.0,68627.0,68668.0,68714.0,68773.0,68835.0,68867.0,69021.0,69060.0,69088.0,69113.0,69154.0,69184.0
5117539,29220.0,29343.0,29479.0,29643.0,29776.0,29872.0,29949.0,30111.0,30208.0,30268.0,30457.0,30517.0,30565.0,30607.0,30666.0,30691.0,30727.0,30748.0,30787.0,30836.0,30898.0,30963.0,30998.0,31114.0,31144.0,31165.0,31186.0,31221.0,31247.0
5117544,68820.0,68899.0,68987.0,69093.0,69179.0,69241.0,69332.0,69526.0,69600.0,69645.0,69803.0,69853.0,69893.0,69928.0,69977.0,70004.0,70035.0,70056.0,70095.0,70135.0,70185.0,70238.0,70266.0,70393.0,70425.0,70448.0,70469.0,70504.0,70529.0
