tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P
0,7026.0,4747.0,2960.0,1840.0,1841.0,1842.0,7374.0,2241.0,2242.0,2243.0,2200.0,5006.0,5007.0,2655.0,2656.0,2668.0,2672.0,2673.0,2206.0,4798.0,4795.0,2675.0,2124.0,2125.0,2126.0,2127.0,2128.0,2129.0,2130.0,2158.0,2159.0,4409.0,2173.0,2174.0,3425.0,2763.0,2619.0,2620.0,2345.0,5008.0,4640.0,4347.0,4341.0
5005752,29400.0,29627.0,29685.0,29890.0,29949.0,29992.0,30078.0,30809.0,30860.0,30987.0,31067.0,31191.0,31260.0,31402.0,31504.0,31577.0,31647.0,31705.0,31763.0,31802.0,32046.0,32203.0,32238.0,32277.0,32326.0,32396.0,32453.0,32567.0,32761.0,32891.0,32966.0,32994.0,33106.0,33147.0,33219.0,33331.0,33390.0,33468.0,33544.0,33603.0,33647.0,33708.0,33760.0
5005755,61200.0,61324.0,61405.0,61692.0,61768.0,61823.0,61890.0,62461.0,62508.0,62625.0,62699.0,62814.0,62878.0,63010.0,63105.0,63276.0,63439.0,63505.0,63571.0,63611.0,63862.0,64024.0,64060.0,64096.0,64140.0,64203.0,64255.0,64359.0,64536.0,64655.0,64723.0,64757.0,64895.0,64944.0,65030.0,65165.0,65259.0,65337.0,65413.0,65472.0,65516.0,65577.0,65629.0
5012361,24000.0,24037.0,24083.0,24247.0,24282.0,24321.0,24371.0,24790.0,24825.0,24914.0,24957.0,25023.0,25060.0,25136.0,25190.0,25230.0,25269.0,25306.0,25343.0,25374.0,25564.0,25687.0,25714.0,25740.0,25772.0,25818.0,25856.0,25931.0,26059.0,26147.0,26201.0,26221.0,26304.0,26346.0,26419.0,26533.0,26614.0,26692.0,26768.0,26827.0,26871.0,26932.0,26984.0
5085533,29400.0,29618.0,29674.0,29871.0,29928.0,29969.0,30052.0,30755.0,30804.0,30926.0,31003.0,31122.0,31189.0,31325.0,31423.0,31493.0,31561.0,31617.0,31673.0,31711.0,31946.0,32097.0,32130.0,32168.0,32215.0,32282.0,32337.0,32446.0,32632.0,32758.0,32830.0,32857.0,32965.0,33004.0,33073.0,33181.0,33238.0,33313.0,33386.0,33442.0,33484.0,33543.0,33594.0
5085536,61200.0,61319.0,61397.0,61673.0,61746.0,61799.0,61864.0,62412.0,62457.0,62570.0,62641.0,62751.0,62813.0,62940.0,63032.0,63196.0,63353.0,63416.0,63480.0,63519.0,63760.0,63916.0,63950.0,63984.0,64027.0,64088.0,64138.0,64238.0,64408.0,64522.0,64587.0,64620.0,64752.0,64799.0,64882.0,65012.0,65102.0,65177.0,65250.0,65306.0,65348.0,65407.0,65458.0
5100256,24000.0,24036.0,24081.0,24238.0,24272.0,24310.0,24358.0,24761.0,24795.0,24880.0,24921.0,24984.0,25020.0,25093.0,25145.0,25184.0,25221.0,25256.0,25292.0,25321.0,25504.0,25622.0,25649.0,25674.0,25705.0,25749.0,25785.0,25857.0,25980.0,26065.0,26117.0,26137.0,26216.0,26256.0,26326.0,26436.0,26514.0,26589.0,26662.0,26718.0,26760.0,26819.0,26870.0
5104803,24000.0,24036.0,24081.0,24238.0,24272.0,24310.0,24358.0,24761.0,24795.0,24880.0,24921.0,24984.0,25020.0,25093.0,25145.0,25184.0,25221.0,25256.0,25292.0,25321.0,25504.0,25622.0,25649.0,25674.0,25705.0,25749.0,25785.0,25857.0,25980.0,26065.0,26117.0,26137.0,26216.0,26256.0,26326.0,26436.0,26514.0,26589.0,26662.0,26718.0,26760.0,26819.0,26870.0
5113147,29400.0,29618.0,29674.0,29871.0,29928.0,29969.0,30052.0,30755.0,30804.0,30926.0,31003.0,31122.0,31189.0,31325.0,31423.0,31493.0,31561.0,31617.0,31673.0,31711.0,31946.0,32097.0,32130.0,32168.0,32215.0,32282.0,32337.0,32446.0,32632.0,32758.0,32830.0,32857.0,32965.0,33004.0,33073.0,33181.0,33238.0,33313.0,33386.0,33442.0,33484.0,33543.0,33594.0
