tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
0,2037.0,2040.0,3047.0,3202.0,3203.0,3204.0,3205.0,3206.0,3241.0,3242.0,3243.0,3244.0,3245.0,3212.0,3213.0,3214.0,3215.0,3216.0,3217.0,3218.0,3534.0,3535.0,3536.0,3537.0,3538.0,7556.0,3539.0,3540.0,3541.0,3546.0,3551.0,3547.0,3548.0,3542.0,3543.0,3139.0,4124.0,4125.0,4126.0,4127.0,4128.0,4129.0,4130.0,4131.0,7294.0,4156.0,4169.0,4170.0,4132.0,4134.0,4135.0,4136.0,4147.0,5167.0,4139.0,4140.0,7522.0,4175.0,5091.0,5092.0,6000.0
5008917,46200.0,46236.0,46364.0,46417.0,46538.0,46576.0,46666.0,46700.0,46728.0,46784.0,46838.0,46878.0,46932.0,46988.0,47065.0,47145.0,47209.0,47276.0,47330.0,47380.0,47418.0,47521.0,47615.0,47672.0,47708.0,47734.0,47806.0,47831.0,47906.0,48016.0,48064.0,48159.0,48210.0,48429.0,48481.0,48550.0,48576.0,48628.0,48641.0,48669.0,48694.0,48774.0,48947.0,48992.0,49062.0,49178.0,49243.0,49367.0,49456.0,49611.0,49711.0,49794.0,49883.0,49926.0,49966.0,50026.0,50099.0,50172.0,50201.0,50252.0,50386.0
5012627,46800.0,46826.0,46917.0,46955.0,47040.0,47100.0,47160.0,47191.0,47217.0,47268.0,47317.0,47353.0,47400.0,47451.0,47520.0,47588.0,47643.0,47700.0,47746.0,47789.0,47820.0,47893.0,47960.0,48000.0,48032.0,48056.0,48120.0,48180.0,48205.0,48242.0,48258.0,48290.0,48307.0,48380.0,48397.0,48420.0,48459.0,48540.0,48558.0,48600.0,48660.0,48780.0,48900.0,48918.0,48946.0,48993.0,49020.0,49060.0,49089.0,49140.0,49173.0,49200.0,49293.0,49338.0,49380.0,49417.0,49463.0,49509.0,49528.0,49560.0,49740.0
5085832,46200.0,46235.0,46358.0,46409.0,46525.0,46562.0,46649.0,46682.0,46709.0,46763.0,46815.0,46854.0,46905.0,46959.0,47033.0,47110.0,47172.0,47236.0,47288.0,47336.0,47372.0,47471.0,47561.0,47616.0,47650.0,47675.0,47745.0,47769.0,47841.0,47946.0,47992.0,48084.0,48133.0,48343.0,48393.0,48460.0,48485.0,48535.0,48547.0,48574.0,48598.0,48675.0,48841.0,48884.0,48952.0,49063.0,49126.0,49245.0,49330.0,49479.0,49575.0,49656.0,49742.0,49783.0,49821.0,49878.0,49948.0,50018.0,50046.0,50096.0,50225.0
