tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
0,621.0,289.0,496.0,7490.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,525.0,526.0,527.0,528.0,529.0,530.0,531.0,709.0,532.0,533.0,534.0,535.0,536.0,537.0,538.0,539.0,540.0,541.0,542.0,543.0,544.0,545.0,546.0,910.0,911.0,912.0,913.0,914.0,938.0,940.0,941.0,942.0,943.0,3599.0,3600.0,3601.0,3602.0,3604.0,3616.0,3618.0,3619.0,3620.0,3622.0,3623.0,4387.0
5002613,26100.0,26259.0,26392.0,26417.0,26520.0,26580.0,26624.0,26678.0,26703.0,26739.0,26761.0,26787.0,26870.0,26909.0,26966.0,26995.0,27022.0,27053.0,27091.0,27133.0,27187.0,27227.0,27265.0,27301.0,27328.0,27365.0,27392.0,27426.0,27458.0,27481.0,27528.0,27559.0,27581.0,27603.0,27630.0,27669.0,27697.0,27730.0,27799.0,27840.0,27881.0,27931.0,27956.0,28005.0,28049.0,28118.0,28153.0,28195.0,28233.0,28292.0,28314.0,28358.0,28425.0,28471.0,28524.0,28553.0,28616.0
5005168,66900.0,67067.0,67207.0,67233.0,67336.0,67396.0,67440.0,67493.0,67522.0,67564.0,67589.0,67618.0,67712.0,67763.0,67837.0,67874.0,67909.0,67949.0,67997.0,68057.0,68121.0,68168.0,68211.0,68251.0,68291.0,68346.0,68386.0,68437.0,68466.0,68488.0,68550.0,68591.0,68626.0,68662.0,68702.0,68760.0,68801.0,68849.0,68915.0,68954.0,68986.0,69031.0,69056.0,69100.0,69139.0,69198.0,69230.0,69269.0,69303.0,69357.0,69377.0,69424.0,69486.0,69525.0,69569.0,69593.0,69663.0
5005170,74400.0,74529.0,74637.0,74658.0,74727.0,74767.0,74805.0,74851.0,74876.0,74912.0,74934.0,74955.0,75022.0,75064.0,75124.0,75150.0,75174.0,75202.0,75237.0,75266.0,75301.0,75342.0,75377.0,75410.0,75439.0,75480.0,75509.0,75546.0,75569.0,75586.0,75639.0,75674.0,75703.0,75733.0,75763.0,75833.0,75883.0,75941.0,75992.0,76022.0,76053.0,76100.0,76125.0,76169.0,76209.0,76259.0,76291.0,76331.0,76367.0,76414.0,76432.0,76477.0,76536.0,76572.0,76612.0,76634.0,76749.0
5005172,81600.0,81729.0,81837.0,81858.0,81927.0,81967.0,82005.0,82051.0,82076.0,82112.0,82134.0,82155.0,82222.0,82264.0,82324.0,82350.0,82374.0,82402.0,82437.0,82466.0,82501.0,82542.0,82577.0,82610.0,82639.0,82680.0,82709.0,82746.0,82769.0,82786.0,82839.0,82874.0,82903.0,82933.0,82963.0,83033.0,83083.0,83141.0,83192.0,83222.0,83253.0,83300.0,83325.0,83369.0,83409.0,83459.0,83491.0,83531.0,83567.0,83614.0,83632.0,83677.0,83736.0,83772.0,83812.0,83834.0,83949.0
5005188,31500.0,31636.0,31750.0,31771.0,31880.0,31944.0,31989.0,32045.0,32066.0,32096.0,32115.0,32143.0,32235.0,32282.0,32351.0,32389.0,32424.0,32464.0,32514.0,32542.0,32576.0,32631.0,32676.0,32718.0,32750.0,32795.0,32827.0,32868.0,32898.0,32920.0,32984.0,33027.0,33053.0,33080.0,33117.0,33192.0,33245.0,33308.0,33367.0,33402.0,33434.0,33478.0,33503.0,33545.0,33584.0,33643.0,33673.0,33710.0,33742.0,33789.0,33807.0,33851.0,33917.0,33952.0,33991.0,34013.0,34074.0
5005191,54600.0,54773.0,54918.0,54945.0,55026.0,55074.0,55123.0,55183.0,55222.0,55277.0,55311.0,55348.0,55468.0,55536.0,55635.0,55687.0,55736.0,55792.0,55860.0,55910.0,55994.0,56057.0,56124.0,56186.0,56244.0,56325.0,56383.0,56457.0,56497.0,56527.0,56597.0,56644.0,56680.0,56717.0,56765.0,56868.0,56941.0,57026.0,57134.0,57198.0,57233.0,57282.0,57307.0,57353.0,57394.0,57477.0,57522.0,57577.0,57626.0,57690.0,57714.0,57758.0,57824.0,57873.0,57928.0,57959.0,58069.0
5005193,61500.0,61691.0,61851.0,61881.0,62039.0,62132.0,62186.0,62253.0,62293.0,62350.0,62384.0,62422.0,62547.0,62618.0,62722.0,62767.0,62809.0,62858.0,62918.0,62960.0,63035.0,63093.0,63147.0,63198.0,63241.0,63301.0,63344.0,63398.0,63434.0,63460.0,63530.0,63578.0,63618.0,63660.0,63719.0,63806.0,63868.0,63941.0,64036.0,64092.0,64127.0,64174.0,64199.0,64255.0,64305.0,64429.0,64471.0,64523.0,64569.0,64623.0,64643.0,64691.0,64759.0,64800.0,64847.0,64873.0,64937.0
5005195,70800.0,70967.0,71107.0,71133.0,71236.0,71296.0,71340.0,71393.0,71422.0,71464.0,71489.0,71518.0,71612.0,71663.0,71737.0,71774.0,71809.0,71849.0,71897.0,71957.0,72021.0,72068.0,72111.0,72151.0,72191.0,72246.0,72286.0,72337.0,72366.0,72388.0,72450.0,72491.0,72526.0,72562.0,72602.0,72660.0,72701.0,72749.0,72815.0,72854.0,72886.0,72931.0,72956.0,73000.0,73039.0,73098.0,73130.0,73169.0,73203.0,73257.0,73277.0,73324.0,73386.0,73425.0,73469.0,73493.0,73563.0
5005197,78000.0,78129.0,78237.0,78258.0,78327.0,78367.0,78405.0,78451.0,78476.0,78512.0,78534.0,78555.0,78622.0,78664.0,78724.0,78750.0,78774.0,78802.0,78837.0,78866.0,78901.0,78942.0,78977.0,79010.0,79039.0,79080.0,79109.0,79146.0,79169.0,79186.0,79239.0,79274.0,79303.0,79333.0,79363.0,79433.0,79483.0,79541.0,79592.0,79622.0,79653.0,79700.0,79725.0,79769.0,79809.0,79859.0,79891.0,79931.0,79967.0,80014.0,80032.0,80077.0,80136.0,80172.0,80212.0,80234.0,80349.0
5005199,84300.0,84429.0,84537.0,84558.0,84627.0,84667.0,84705.0,84751.0,84776.0,84812.0,84834.0,84855.0,84922.0,84964.0,85024.0,85050.0,85074.0,85102.0,85137.0,85166.0,85201.0,85242.0,85277.0,85310.0,85339.0,85380.0,85409.0,85446.0,85469.0,85486.0,85539.0,85574.0,85603.0,85633.0,85663.0,85733.0,85783.0,85841.0,85892.0,85922.0,85953.0,86000.0,86025.0,86069.0,86109.0,86159.0,86191.0,86231.0,86267.0,86314.0,86332.0,86377.0,86436.0,86472.0,86512.0,86534.0,86649.0
5010166,47400.0,47739.0,48023.0,48077.0,48166.0,48218.0,48253.0,48295.0,48314.0,48341.0,48357.0,48380.0,48456.0,48509.0,48585.0,48620.0,48653.0,48691.0,48738.0,48777.0,48838.0,48885.0,48926.0,48964.0,49004.0,49060.0,49100.0,49151.0,49180.0,49202.0,49267.0,49310.0,49345.0,49381.0,49418.0,49469.0,49505.0,49547.0,49622.0,49667.0,49706.0,49752.0,49777.0,49843.0,49902.0,49983.0,50022.0,50070.0,50114.0,50168.0,50188.0,50233.0,50295.0,50342.0,50395.0,50424.0,50545.0
5010170,61800.0,62072.0,62300.0,62342.0,62470.0,62546.0,62597.0,62660.0,62704.0,62767.0,62805.0,62824.0,62888.0,62940.0,63016.0,63054.0,63089.0,63129.0,63179.0,63241.0,63298.0,63371.0,63438.0,63500.0,63543.0,63603.0,63646.0,63700.0,63746.0,63779.0,63825.0,63856.0,63897.0,63939.0,64004.0,64051.0,64084.0,64124.0,64226.0,64287.0,64337.0,64392.0,64417.0,64468.0,64515.0,64589.0,64647.0,64718.0,64781.0,64853.0,64879.0,64941.0,65025.0,65074.0,65129.0,65160.0,65248.0
5010174,76200.0,76351.0,76478.0,76502.0,76596.0,76651.0,76685.0,76727.0,76754.0,76793.0,76817.0,76838.0,76907.0,76950.0,77012.0,77042.0,77070.0,77102.0,77142.0,77182.0,77240.0,77294.0,77335.0,77374.0,77404.0,77445.0,77475.0,77512.0,77551.0,77579.0,77636.0,77674.0,77710.0,77748.0,77789.0,77845.0,77885.0,77932.0,77990.0,78025.0,78061.0,78110.0,78135.0,78182.0,78225.0,78293.0,78325.0,78364.0,78400.0,78459.0,78481.0,78534.0,78599.0,78644.0,78695.0,78722.0,78778.0
5010176,83400.0,83551.0,83678.0,83702.0,83796.0,83851.0,83885.0,83927.0,83954.0,83993.0,84017.0,84038.0,84107.0,84150.0,84212.0,84242.0,84270.0,84302.0,84342.0,84382.0,84440.0,84494.0,84535.0,84574.0,84604.0,84645.0,84675.0,84712.0,84751.0,84779.0,84836.0,84874.0,84910.0,84948.0,84989.0,85045.0,85085.0,85132.0,85190.0,85225.0,85261.0,85310.0,85335.0,85382.0,85425.0,85493.0,85525.0,85564.0,85600.0,85659.0,85681.0,85734.0,85799.0,85844.0,85895.0,85922.0,85978.0
5012496,51000.0,51158.0,51290.0,51315.0,51404.0,51457.0,51500.0,51552.0,51588.0,51640.0,51671.0,51696.0,51779.0,51827.0,51897.0,51931.0,51963.0,52000.0,52046.0,52097.0,52167.0,52220.0,52273.0,52322.0,52365.0,52424.0,52467.0,52521.0,52554.0,52579.0,52642.0,52685.0,52718.0,52752.0,52788.0,52843.0,52882.0,52929.0,52999.0,53040.0,53073.0,53122.0,53147.0,53194.0,53237.0,53320.0,53358.0,53404.0,53445.0,53501.0,53521.0,53567.0,53630.0,53673.0,53721.0,53748.0,53812.0
5012498,58200.0,58338.0,58454.0,58476.0,58562.0,58612.0,58658.0,58714.0,58747.0,58794.0,58823.0,58852.0,58945.0,58996.0,59071.0,59112.0,59150.0,59194.0,59248.0,59309.0,59410.0,59460.0,59512.0,59560.0,59599.0,59653.0,59692.0,59742.0,59774.0,59798.0,59867.0,59914.0,59951.0,59989.0,60032.0,60079.0,60112.0,60152.0,60229.0,60275.0,60308.0,60355.0,60381.0,60425.0,60464.0,60540.0,60577.0,60622.0,60663.0,60716.0,60735.0,60782.0,60843.0,60884.0,60931.0,60957.0,61034.0
