tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P
5008694,53700.0,53738.0,53794.0,53839.0,53879.0,53907.0,53945.0,53964.0,54021.0,54040.0,54076.0,54128.0,54170.0,54206.0,54234.0,54275.0,54298.0,54348.0,54387.0,54419.0,54459.0,54489.0,54524.0,54558.0,54586.0,54618.0,54665.0,54693.0,54769.0,54826.0,54873.0,54913.0,54953.0,55002.0,55028.0,55158.0,55243.0,55355.0
5008696,58500.0,58538.0,58594.0,58639.0,58679.0,58707.0,58745.0,58764.0,58821.0,58840.0,58876.0,58928.0,58970.0,59006.0,59034.0,59075.0,59098.0,59148.0,59187.0,59219.0,59259.0,59289.0,59324.0,59358.0,59386.0,59418.0,59465.0,59493.0,59569.0,59626.0,59673.0,59713.0,59753.0,59802.0,59828.0,59958.0,60043.0,60155.0
5008698,64500.0,64536.0,64589.0,64632.0,64670.0,64696.0,64732.0,64750.0,64804.0,64822.0,64854.0,64899.0,64935.0,64966.0,64990.0,65025.0,65048.0,65089.0,65128.0,65160.0,65201.0,65233.0,65270.0,65300.0,65325.0,65354.0,65397.0,65423.0,65495.0,65543.0,65582.0,65620.0,65657.0,65703.0,65727.0,65856.0,65940.0,66051.0
5008700,69300.0,69336.0,69389.0,69432.0,69470.0,69497.0,69533.0,69551.0,69606.0,69624.0,69654.0,69696.0,69730.0,69760.0,69783.0,69816.0,69837.0,69883.0,69916.0,69943.0,69980.0,70010.0,70044.0,70072.0,70094.0,70123.0,70166.0,70191.0,70263.0,70308.0,70345.0,70383.0,70420.0,70462.0,70485.0,70600.0,70675.0,70775.0
5008704,78900.0,78928.0,78970.0,79004.0,79034.0,79055.0,79083.0,79097.0,79140.0,79154.0,79179.0,79215.0,79244.0,79269.0,79288.0,79316.0,79336.0,79367.0,79397.0,79422.0,79454.0,79477.0,79503.0,79529.0,79550.0,79571.0,79603.0,79622.0,79674.0,79711.0,79741.0,79768.0,79795.0,79826.0,79843.0,79942.0,80007.0,80093.0
5008706,83700.0,83728.0,83770.0,83804.0,83834.0,83855.0,83883.0,83897.0,83940.0,83954.0,83979.0,84015.0,84044.0,84069.0,84088.0,84116.0,84136.0,84167.0,84197.0,84222.0,84254.0,84277.0,84303.0,84329.0,84350.0,84371.0,84403.0,84422.0,84474.0,84511.0,84541.0,84568.0,84595.0,84626.0,84643.0,84742.0,84807.0,84893.0
5008857,29880.0,29933.0,30011.0,30074.0,30129.0,30168.0,30220.0,30246.0,30326.0,30352.0,30395.0,30456.0,30505.0,30548.0,30581.0,30629.0,30656.0,30710.0,30765.0,30810.0,30865.0,30914.0,30972.0,31040.0,31094.0,31160.0,31258.0,31316.0,31476.0,31566.0,31640.0,31704.0,31767.0,31869.0,31924.0,32053.0,32137.0,32250.0
5008859,35700.0,35741.0,35801.0,35849.0,35891.0,35921.0,35961.0,35981.0,36042.0,36063.0,36097.0,36146.0,36185.0,36219.0,36246.0,36285.0,36310.0,36379.0,36420.0,36453.0,36495.0,36530.0,36570.0,36607.0,36636.0,36667.0,36712.0,36739.0,36813.0,36865.0,36909.0,36955.0,37000.0,37049.0,37075.0,37197.0,37276.0,37382.0
5008861,40500.0,40541.0,40601.0,40649.0,40691.0,40721.0,40761.0,40781.0,40842.0,40863.0,40897.0,40946.0,40985.0,41019.0,41046.0,41085.0,41110.0,41179.0,41220.0,41253.0,41295.0,41330.0,41370.0,41407.0,41436.0,41467.0,41512.0,41539.0,41613.0,41665.0,41709.0,41755.0,41800.0,41849.0,41875.0,41997.0,42076.0,42182.0
5008863,45300.0,45344.0,45409.0,45461.0,45507.0,45539.0,45582.0,45603.0,45669.0,45693.0,45728.0,45778.0,45818.0,45853.0,45880.0,45918.0,45943.0,45995.0,46035.0,46067.0,46104.0,46135.0,46172.0,46209.0,46239.0,46269.0,46313.0,46339.0,46411.0,46470.0,46519.0,46564.0,46608.0,46660.0,46687.0,46819.0,46905.0,47020.0
5008865,50100.0,50144.0,50209.0,50261.0,50307.0,50339.0,50382.0,50403.0,50469.0,50493.0,50528.0,50578.0,50618.0,50653.0,50680.0,50718.0,50743.0,50795.0,50835.0,50867.0,50904.0,50935.0,50972.0,51009.0,51039.0,51069.0,51113.0,51139.0,51211.0,51270.0,51319.0,51364.0,51408.0,51460.0,51487.0,51619.0,51705.0,51820.0
5008867,54900.0,54938.0,54994.0,55039.0,55079.0,55107.0,55145.0,55164.0,55221.0,55240.0,55276.0,55328.0,55370.0,55406.0,55434.0,55475.0,55498.0,55548.0,55587.0,55619.0,55659.0,55689.0,55724.0,55758.0,55786.0,55818.0,55865.0,55893.0,55969.0,56026.0,56073.0,56113.0,56153.0,56202.0,56228.0,56358.0,56443.0,56555.0
5008869,60300.0,60338.0,60394.0,60439.0,60479.0,60507.0,60545.0,60564.0,60621.0,60640.0,60676.0,60728.0,60770.0,60806.0,60834.0,60875.0,60898.0,60948.0,60987.0,61019.0,61059.0,61089.0,61124.0,61158.0,61186.0,61218.0,61265.0,61293.0,61369.0,61426.0,61473.0,61513.0,61553.0,61602.0,61628.0,61758.0,61843.0,61955.0
5008871,66300.0,66336.0,66389.0,66432.0,66470.0,66496.0,66532.0,66550.0,66604.0,66622.0,66654.0,66699.0,66735.0,66766.0,66790.0,66825.0,66848.0,66889.0,66928.0,66960.0,67001.0,67033.0,67070.0,67100.0,67125.0,67154.0,67197.0,67223.0,67295.0,67343.0,67382.0,67420.0,67457.0,67503.0,67527.0,67656.0,67740.0,67851.0
5009048,24600.0,24644.0,24710.0,24763.0,24809.0,24842.0,24886.0,24908.0,24975.0,24998.0,25040.0,25100.0,25148.0,25190.0,25222.0,25269.0,25294.0,25356.0,25404.0,25443.0,25501.0,25542.0,25589.0,25644.0,25689.0,25741.0,25818.0,25863.0,25989.0,26061.0,26120.0,26176.0,26231.0,26310.0,26352.0,26468.0,26544.0,26645.0
5010085,27960.0,28013.0,28091.0,28154.0,28209.0,28248.0,28300.0,28326.0,28406.0,28432.0,28475.0,28536.0,28585.0,28628.0,28661.0,28709.0,28736.0,28790.0,28845.0,28890.0,28945.0,28994.0,29052.0,29120.0,29174.0,29240.0,29338.0,29396.0,29556.0,29646.0,29720.0,29784.0,29847.0,29949.0,30004.0,30133.0,30217.0,30330.0
5010087,33300.0,33344.0,33409.0,33461.0,33507.0,33539.0,33582.0,33603.0,33669.0,33693.0,33731.0,33785.0,33828.0,33866.0,33895.0,33937.0,33963.0,34010.0,34054.0,34090.0,34137.0,34179.0,34227.0,34271.0,34306.0,34345.0,34403.0,34437.0,34532.0,34593.0,34643.0,34696.0,34749.0,34816.0,34851.0,34977.0,35059.0,35169.0
5010089,38100.0,38141.0,38201.0,38249.0,38291.0,38321.0,38361.0,38381.0,38442.0,38463.0,38497.0,38546.0,38585.0,38619.0,38646.0,38685.0,38710.0,38779.0,38820.0,38853.0,38895.0,38930.0,38970.0,39007.0,39036.0,39067.0,39112.0,39139.0,39213.0,39265.0,39309.0,39355.0,39400.0,39449.0,39475.0,39597.0,39676.0,39782.0
5010091,42900.0,42944.0,43009.0,43061.0,43107.0,43139.0,43182.0,43203.0,43269.0,43293.0,43328.0,43378.0,43418.0,43453.0,43480.0,43518.0,43543.0,43595.0,43635.0,43667.0,43704.0,43735.0,43772.0,43809.0,43839.0,43869.0,43913.0,43939.0,44011.0,44070.0,44119.0,44164.0,44208.0,44260.0,44287.0,44419.0,44505.0,44620.0
5010093,47700.0,47744.0,47809.0,47861.0,47907.0,47939.0,47982.0,48003.0,48069.0,48093.0,48128.0,48178.0,48218.0,48253.0,48280.0,48318.0,48343.0,48395.0,48435.0,48467.0,48504.0,48535.0,48572.0,48609.0,48639.0,48669.0,48713.0,48739.0,48811.0,48870.0,48919.0,48964.0,49008.0,49060.0,49087.0,49219.0,49305.0,49420.0
5010095,52500.0,52544.0,52609.0,52661.0,52707.0,52739.0,52782.0,52803.0,52869.0,52893.0,52928.0,52978.0,53018.0,53053.0,53080.0,53118.0,53143.0,53195.0,53235.0,53267.0,53304.0,53335.0,53372.0,53409.0,53439.0,53469.0,53513.0,53539.0,53611.0,53670.0,53719.0,53764.0,53808.0,53860.0,53887.0,54019.0,54105.0,54220.0
5010099,62700.0,62737.0,62792.0,62836.0,62875.0,62902.0,62939.0,62957.0,63013.0,63031.0,63067.0,63118.0,63159.0,63195.0,63223.0,63262.0,63286.0,63321.0,63354.0,63381.0,63422.0,63450.0,63482.0,63513.0,63538.0,63572.0,63623.0,63653.0,63736.0,63791.0,63836.0,63874.0,63912.0,63963.0,63990.0,64124.0,64211.0,64328.0
5010101,68100.0,68136.0,68189.0,68232.0,68270.0,68297.0,68333.0,68351.0,68406.0,68424.0,68454.0,68496.0,68530.0,68560.0,68583.0,68616.0,68637.0,68683.0,68716.0,68743.0,68780.0,68810.0,68844.0,68872.0,68894.0,68923.0,68966.0,68991.0,69063.0,69108.0,69145.0,69183.0,69220.0,69262.0,69285.0,69400.0,69475.0,69575.0
5010103,72900.0,72936.0,72989.0,73032.0,73070.0,73097.0,73133.0,73151.0,73206.0,73224.0,73254.0,73296.0,73330.0,73360.0,73383.0,73416.0,73437.0,73483.0,73516.0,73543.0,73580.0,73610.0,73644.0,73672.0,73694.0,73723.0,73766.0,73791.0,73863.0,73908.0,73945.0,73983.0,74020.0,74062.0,74085.0,74200.0,74275.0,74375.0
5010105,77700.0,77728.0,77770.0,77804.0,77834.0,77855.0,77883.0,77897.0,77940.0,77954.0,77979.0,78015.0,78044.0,78069.0,78088.0,78116.0,78136.0,78167.0,78197.0,78222.0,78254.0,78277.0,78303.0,78329.0,78350.0,78371.0,78403.0,78422.0,78474.0,78511.0,78541.0,78568.0,78595.0,78626.0,78643.0,78742.0,78807.0,78893.0
5010107,82500.0,82528.0,82570.0,82604.0,82634.0,82655.0,82683.0,82697.0,82740.0,82754.0,82779.0,82815.0,82844.0,82869.0,82888.0,82916.0,82936.0,82967.0,82997.0,83022.0,83054.0,83077.0,83103.0,83129.0,83150.0,83171.0,83203.0,83222.0,83274.0,83311.0,83341.0,83368.0,83395.0,83426.0,83443.0,83542.0,83607.0,83693.0
5010307,50400.0,50442.0,50504.0,50554.0,50598.0,50629.0,50670.0,50690.0,50753.0,50773.0,50812.0,50868.0,50913.0,50952.0,50982.0,51027.0,51052.0,51138.0,51188.0,51229.0,51273.0,51307.0,51347.0,51389.0,51423.0,51455.0,51503.0,51531.0,51609.0,51661.0,51705.0,51775.0,51844.0,51895.0,51922.0,52043.0,52122.0,52227.0
5011187,28800.0,28829.0,28872.0,28907.0,28938.0,28960.0,28989.0,29003.0,29047.0,29063.0,29097.0,29145.0,29183.0,29216.0,29242.0,29279.0,29303.0,29345.0,29376.0,29402.0,29436.0,29467.0,29503.0,29536.0,29563.0,29590.0,29629.0,29652.0,29717.0,29767.0,29809.0,29838.0,29867.0,29915.0,29941.0,30037.0,30100.0,30183.0
5011189,33300.0,33341.0,33402.0,33451.0,33494.0,33524.0,33565.0,33585.0,33647.0,33668.0,33703.0,33753.0,33793.0,33828.0,33855.0,33895.0,33930.0,33969.0,34009.0,34041.0,34073.0,34101.0,34133.0,34167.0,34195.0,34227.0,34274.0,34302.0,34380.0,34445.0,34498.0,34528.0,34558.0,34606.0,34632.0,34728.0,34791.0,34874.0
5011191,37800.0,37840.0,37899.0,37947.0,37989.0,38018.0,38058.0,38078.0,38139.0,38159.0,38206.0,38273.0,38326.0,38373.0,38409.0,38461.0,38484.0,38551.0,38600.0,38641.0,38691.0,38737.0,38790.0,38831.0,38864.0,38897.0,38946.0,38975.0,39056.0,39102.0,39140.0,39177.0,39214.0,39258.0,39281.0,39407.0,39489.0,39598.0
5011193,42300.0,42345.0,42412.0,42466.0,42513.0,42546.0,42591.0,42613.0,42681.0,42705.0,42752.0,42818.0,42871.0,42917.0,42953.0,43005.0,43034.0,43096.0,43143.0,43182.0,43227.0,43264.0,43307.0,43354.0,43391.0,43424.0,43473.0,43502.0,43583.0,43651.0,43708.0,43753.0,43798.0,43844.0,43869.0,43999.0,44084.0,44196.0
5011195,46800.0,46845.0,46912.0,46966.0,47013.0,47046.0,47091.0,47113.0,47181.0,47205.0,47252.0,47318.0,47371.0,47417.0,47453.0,47505.0,47534.0,47596.0,47643.0,47682.0,47727.0,47764.0,47807.0,47854.0,47891.0,47924.0,47973.0,48002.0,48083.0,48151.0,48208.0,48253.0,48298.0,48344.0,48369.0,48499.0,48584.0,48696.0
5011201,62640.0,62683.0,62746.0,62797.0,62842.0,62873.0,62915.0,62936.0,63000.0,63022.0,63065.0,63126.0,63174.0,63216.0,63249.0,63296.0,63326.0,63404.0,63445.0,63478.0,63525.0,63565.0,63612.0,63652.0,63685.0,63715.0,63760.0,63786.0,63860.0,63919.0,63968.0,64014.0,64060.0,64106.0,64131.0,64270.0,64361.0,64481.0
5011203,67500.0,67536.0,67589.0,67631.0,67668.0,67694.0,67729.0,67746.0,67800.0,67819.0,67853.0,67902.0,67941.0,67975.0,68001.0,68040.0,68060.0,68117.0,68170.0,68214.0,68255.0,68286.0,68321.0,68361.0,68393.0,68417.0,68453.0,68474.0,68534.0,68573.0,68606.0,68645.0,68684.0,68737.0,68765.0,68891.0,68973.0,69082.0
5011207,76800.0,76842.0,76904.0,76954.0,76998.0,77029.0,77070.0,77090.0,77153.0,77174.0,77204.0,77247.0,77281.0,77311.0,77334.0,77367.0,77391.0,77441.0,77478.0,77509.0,77546.0,77571.0,77601.0,77635.0,77662.0,77686.0,77722.0,77743.0,77804.0,77845.0,77879.0,77911.0,77943.0,77979.0,77998.0,78098.0,78163.0,78251.0
5011209,81600.0,81642.0,81704.0,81754.0,81798.0,81829.0,81870.0,81890.0,81953.0,81974.0,82004.0,82047.0,82081.0,82111.0,82134.0,82167.0,82191.0,82241.0,82278.0,82309.0,82346.0,82371.0,82401.0,82435.0,82462.0,82486.0,82522.0,82543.0,82604.0,82645.0,82679.0,82711.0,82743.0,82779.0,82798.0,82898.0,82963.0,83051.0
5012315,21600.0,21631.0,21676.0,21713.0,21745.0,21768.0,21798.0,21813.0,21859.0,21875.0,21901.0,21938.0,21968.0,21994.0,22014.0,22042.0,22073.0,22112.0,22142.0,22166.0,22199.0,22224.0,22254.0,22289.0,22318.0,22341.0,22376.0,22396.0,22453.0,22503.0,22545.0,22582.0,22618.0,22668.0,22695.0,22783.0,22841.0,22918.0
5012317,25200.0,25244.0,25310.0,25363.0,25409.0,25442.0,25486.0,25508.0,25575.0,25598.0,25640.0,25700.0,25748.0,25790.0,25822.0,25869.0,25894.0,25956.0,26004.0,26043.0,26101.0,26142.0,26189.0,26244.0,26289.0,26341.0,26418.0,26463.0,26589.0,26661.0,26720.0,26776.0,26831.0,26910.0,26952.0,27068.0,27144.0,27245.0
5012319,30360.0,30413.0,30491.0,30554.0,30609.0,30648.0,30700.0,30726.0,30806.0,30832.0,30875.0,30936.0,30985.0,31028.0,31061.0,31109.0,31136.0,31190.0,31245.0,31290.0,31345.0,31394.0,31452.0,31520.0,31574.0,31640.0,31738.0,31796.0,31956.0,32046.0,32120.0,32184.0,32247.0,32349.0,32404.0,32533.0,32617.0,32730.0
5012321,36300.0,36341.0,36401.0,36449.0,36491.0,36521.0,36561.0,36581.0,36642.0,36663.0,36697.0,36746.0,36785.0,36819.0,36846.0,36885.0,36910.0,36979.0,37020.0,37053.0,37095.0,37130.0,37170.0,37207.0,37236.0,37267.0,37312.0,37339.0,37413.0,37465.0,37509.0,37555.0,37600.0,37649.0,37675.0,37797.0,37876.0,37982.0
5012323,41100.0,41141.0,41201.0,41249.0,41291.0,41321.0,41361.0,41381.0,41442.0,41463.0,41497.0,41546.0,41585.0,41619.0,41646.0,41685.0,41710.0,41779.0,41820.0,41853.0,41895.0,41930.0,41970.0,42007.0,42036.0,42067.0,42112.0,42139.0,42213.0,42265.0,42309.0,42355.0,42400.0,42449.0,42475.0,42597.0,42676.0,42782.0
5012325,45900.0,45944.0,46009.0,46061.0,46107.0,46139.0,46182.0,46203.0,46269.0,46293.0,46328.0,46378.0,46418.0,46453.0,46480.0,46518.0,46543.0,46595.0,46635.0,46667.0,46704.0,46735.0,46772.0,46809.0,46839.0,46869.0,46913.0,46939.0,47011.0,47070.0,47119.0,47164.0,47208.0,47260.0,47287.0,47419.0,47505.0,47620.0
5012327,50700.0,50744.0,50809.0,50861.0,50907.0,50939.0,50982.0,51003.0,51069.0,51093.0,51128.0,51178.0,51218.0,51253.0,51280.0,51318.0,51343.0,51395.0,51435.0,51467.0,51504.0,51535.0,51572.0,51609.0,51639.0,51669.0,51713.0,51739.0,51811.0,51870.0,51919.0,51964.0,52008.0,52060.0,52087.0,52219.0,52305.0,52420.0
5012329,55500.0,55538.0,55594.0,55639.0,55679.0,55707.0,55745.0,55764.0,55821.0,55840.0,55876.0,55928.0,55970.0,56006.0,56034.0,56075.0,56098.0,56148.0,56187.0,56219.0,56259.0,56289.0,56324.0,56358.0,56386.0,56418.0,56465.0,56493.0,56569.0,56626.0,56673.0,56713.0,56753.0,56802.0,56828.0,56958.0,57043.0,57155.0
5012331,60900.0,60937.0,60992.0,61036.0,61075.0,61102.0,61139.0,61157.0,61213.0,61231.0,61267.0,61318.0,61359.0,61395.0,61423.0,61462.0,61486.0,61521.0,61554.0,61581.0,61622.0,61650.0,61682.0,61713.0,61738.0,61772.0,61823.0,61853.0,61936.0,61991.0,62036.0,62074.0,62112.0,62163.0,62190.0,62324.0,62411.0,62528.0
5012333,71700.0,71736.0,71789.0,71832.0,71870.0,71897.0,71933.0,71951.0,72006.0,72024.0,72054.0,72096.0,72130.0,72160.0,72183.0,72216.0,72237.0,72283.0,72316.0,72343.0,72380.0,72410.0,72444.0,72472.0,72494.0,72523.0,72566.0,72591.0,72663.0,72708.0,72745.0,72783.0,72820.0,72862.0,72885.0,73000.0,73075.0,73175.0
5012335,76500.0,76528.0,76570.0,76604.0,76634.0,76655.0,76683.0,76697.0,76740.0,76754.0,76779.0,76815.0,76844.0,76869.0,76888.0,76916.0,76936.0,76967.0,76997.0,77022.0,77054.0,77077.0,77103.0,77129.0,77150.0,77171.0,77203.0,77222.0,77274.0,77311.0,77341.0,77368.0,77395.0,77426.0,77443.0,77542.0,77607.0,77693.0
5012337,81300.0,81328.0,81370.0,81404.0,81434.0,81455.0,81483.0,81497.0,81540.0,81554.0,81579.0,81615.0,81644.0,81669.0,81688.0,81716.0,81736.0,81767.0,81797.0,81822.0,81854.0,81877.0,81903.0,81929.0,81950.0,81971.0,82003.0,82022.0,82074.0,82111.0,82141.0,82168.0,82195.0,82226.0,82243.0,82342.0,82407.0,82493.0
5015451,27480.0,27524.0,27590.0,27643.0,27689.0,27722.0,27766.0,27788.0,27855.0,27878.0,27920.0,27980.0,28028.0,28070.0,28102.0,28149.0,28174.0,28236.0,28284.0,28323.0,28381.0,28422.0,28469.0,28524.0,28569.0,28621.0,28698.0,28743.0,28869.0,28941.0,29000.0,29056.0,29111.0,29190.0,29232.0,29348.0,29424.0,29525.0
5015453,32700.0,32744.0,32809.0,32861.0,32907.0,32939.0,32982.0,33003.0,33069.0,33093.0,33131.0,33185.0,33228.0,33266.0,33295.0,33337.0,33363.0,33410.0,33454.0,33490.0,33537.0,33579.0,33627.0,33671.0,33706.0,33745.0,33803.0,33837.0,33932.0,33993.0,34043.0,34096.0,34149.0,34216.0,34251.0,34377.0,34459.0,34569.0
5015455,37500.0,37541.0,37601.0,37649.0,37691.0,37721.0,37761.0,37781.0,37842.0,37863.0,37897.0,37946.0,37985.0,38019.0,38046.0,38085.0,38110.0,38179.0,38220.0,38253.0,38295.0,38330.0,38370.0,38407.0,38436.0,38467.0,38512.0,38539.0,38613.0,38665.0,38709.0,38755.0,38800.0,38849.0,38875.0,38997.0,39076.0,39182.0
5015457,42300.0,42341.0,42401.0,42449.0,42491.0,42521.0,42561.0,42581.0,42642.0,42663.0,42697.0,42746.0,42785.0,42819.0,42846.0,42885.0,42910.0,42979.0,43020.0,43053.0,43095.0,43130.0,43170.0,43207.0,43236.0,43267.0,43312.0,43339.0,43413.0,43465.0,43509.0,43555.0,43600.0,43649.0,43675.0,43797.0,43876.0,43982.0
5015459,47100.0,47144.0,47209.0,47261.0,47307.0,47339.0,47382.0,47403.0,47469.0,47493.0,47528.0,47578.0,47618.0,47653.0,47680.0,47718.0,47743.0,47795.0,47835.0,47867.0,47904.0,47935.0,47972.0,48009.0,48039.0,48069.0,48113.0,48139.0,48211.0,48270.0,48319.0,48364.0,48408.0,48460.0,48487.0,48619.0,48705.0,48820.0
5015461,51900.0,51944.0,52009.0,52061.0,52107.0,52139.0,52182.0,52203.0,52269.0,52293.0,52328.0,52378.0,52418.0,52453.0,52480.0,52518.0,52543.0,52595.0,52635.0,52667.0,52704.0,52735.0,52772.0,52809.0,52839.0,52869.0,52913.0,52939.0,53011.0,53070.0,53119.0,53164.0,53208.0,53260.0,53287.0,53419.0,53505.0,53620.0
5015463,56700.0,56738.0,56794.0,56839.0,56879.0,56907.0,56945.0,56964.0,57021.0,57040.0,57076.0,57128.0,57170.0,57206.0,57234.0,57275.0,57298.0,57348.0,57387.0,57419.0,57459.0,57489.0,57524.0,57558.0,57586.0,57618.0,57665.0,57693.0,57769.0,57826.0,57873.0,57913.0,57953.0,58002.0,58028.0,58158.0,58243.0,58355.0
5015465,62100.0,62137.0,62192.0,62236.0,62275.0,62302.0,62339.0,62357.0,62413.0,62431.0,62467.0,62518.0,62559.0,62595.0,62623.0,62662.0,62686.0,62721.0,62754.0,62781.0,62822.0,62850.0,62882.0,62913.0,62938.0,62972.0,63023.0,63053.0,63136.0,63191.0,63236.0,63274.0,63312.0,63363.0,63390.0,63524.0,63611.0,63728.0
5015467,67500.0,67536.0,67589.0,67632.0,67670.0,67696.0,67732.0,67750.0,67804.0,67822.0,67854.0,67899.0,67935.0,67966.0,67990.0,68025.0,68048.0,68089.0,68128.0,68160.0,68201.0,68233.0,68270.0,68300.0,68325.0,68354.0,68397.0,68423.0,68495.0,68543.0,68582.0,68620.0,68657.0,68703.0,68727.0,68856.0,68940.0,69051.0
5016533,28440.0,28493.0,28571.0,28634.0,28689.0,28728.0,28780.0,28806.0,28886.0,28912.0,28955.0,29016.0,29065.0,29108.0,29141.0,29189.0,29216.0,29270.0,29325.0,29370.0,29425.0,29474.0,29532.0,29600.0,29654.0,29720.0,29818.0,29876.0,30036.0,30126.0,30200.0,30264.0,30327.0,30429.0,30484.0,30613.0,30697.0,30810.0
5016535,33900.0,33944.0,34009.0,34061.0,34107.0,34139.0,34182.0,34203.0,34269.0,34293.0,34331.0,34385.0,34428.0,34466.0,34495.0,34537.0,34563.0,34610.0,34654.0,34690.0,34737.0,34779.0,34827.0,34871.0,34906.0,34945.0,35003.0,35037.0,35132.0,35193.0,35243.0,35296.0,35349.0,35416.0,35451.0,35577.0,35659.0,35769.0
5016537,38700.0,38741.0,38801.0,38849.0,38891.0,38921.0,38961.0,38981.0,39042.0,39063.0,39097.0,39146.0,39185.0,39219.0,39246.0,39285.0,39310.0,39379.0,39420.0,39453.0,39495.0,39530.0,39570.0,39607.0,39636.0,39667.0,39712.0,39739.0,39813.0,39865.0,39909.0,39955.0,40000.0,40049.0,40075.0,40197.0,40276.0,40382.0
5016539,43500.0,43544.0,43609.0,43661.0,43707.0,43739.0,43782.0,43803.0,43869.0,43893.0,43928.0,43978.0,44018.0,44053.0,44080.0,44118.0,44143.0,44195.0,44235.0,44267.0,44304.0,44335.0,44372.0,44409.0,44439.0,44469.0,44513.0,44539.0,44611.0,44670.0,44719.0,44764.0,44808.0,44860.0,44887.0,45019.0,45105.0,45220.0
5016541,48300.0,48344.0,48409.0,48461.0,48507.0,48539.0,48582.0,48603.0,48669.0,48693.0,48728.0,48778.0,48818.0,48853.0,48880.0,48918.0,48943.0,48995.0,49035.0,49067.0,49104.0,49135.0,49172.0,49209.0,49239.0,49269.0,49313.0,49339.0,49411.0,49470.0,49519.0,49564.0,49608.0,49660.0,49687.0,49819.0,49905.0,50020.0
5016543,53100.0,53144.0,53209.0,53261.0,53307.0,53339.0,53382.0,53403.0,53469.0,53493.0,53528.0,53578.0,53618.0,53653.0,53680.0,53718.0,53743.0,53795.0,53835.0,53867.0,53904.0,53935.0,53972.0,54009.0,54039.0,54069.0,54113.0,54139.0,54211.0,54270.0,54319.0,54364.0,54408.0,54460.0,54487.0,54619.0,54705.0,54820.0
5016545,57900.0,57938.0,57994.0,58039.0,58079.0,58107.0,58145.0,58164.0,58221.0,58240.0,58276.0,58328.0,58370.0,58406.0,58434.0,58475.0,58498.0,58548.0,58587.0,58619.0,58659.0,58689.0,58724.0,58758.0,58786.0,58818.0,58865.0,58893.0,58969.0,59026.0,59073.0,59113.0,59153.0,59202.0,59228.0,59358.0,59443.0,59555.0
5016547,63900.0,63937.0,63992.0,64036.0,64075.0,64102.0,64139.0,64157.0,64213.0,64231.0,64267.0,64318.0,64359.0,64395.0,64423.0,64462.0,64486.0,64521.0,64554.0,64581.0,64622.0,64650.0,64682.0,64713.0,64738.0,64772.0,64823.0,64853.0,64936.0,64991.0,65036.0,65074.0,65112.0,65163.0,65190.0,65324.0,65411.0,65528.0
5016930,24000.0,24031.0,24076.0,24113.0,24145.0,24168.0,24198.0,24213.0,24259.0,24275.0,24304.0,24345.0,24378.0,24407.0,24429.0,24460.0,24482.0,24522.0,24550.0,24573.0,24603.0,24625.0,24650.0,24671.0,24688.0,24711.0,24745.0,24765.0,24820.0,24853.0,24880.0,24907.0,24934.0,24974.0,24996.0,25108.0,25181.0,25278.0
5016932,27900.0,27929.0,27972.0,28007.0,28038.0,28060.0,28089.0,28103.0,28147.0,28163.0,28197.0,28245.0,28283.0,28316.0,28342.0,28379.0,28403.0,28445.0,28476.0,28502.0,28536.0,28567.0,28603.0,28636.0,28663.0,28690.0,28729.0,28752.0,28817.0,28867.0,28909.0,28938.0,28967.0,29015.0,29041.0,29137.0,29200.0,29283.0
5016934,32400.0,32441.0,32502.0,32551.0,32594.0,32624.0,32665.0,32685.0,32747.0,32768.0,32803.0,32853.0,32893.0,32928.0,32955.0,32995.0,33030.0,33069.0,33109.0,33141.0,33173.0,33201.0,33233.0,33267.0,33295.0,33327.0,33374.0,33402.0,33480.0,33545.0,33598.0,33628.0,33658.0,33706.0,33732.0,33828.0,33891.0,33974.0
5016936,36900.0,36940.0,36999.0,37047.0,37089.0,37118.0,37158.0,37178.0,37239.0,37259.0,37306.0,37373.0,37426.0,37473.0,37509.0,37561.0,37584.0,37651.0,37700.0,37741.0,37791.0,37837.0,37890.0,37931.0,37964.0,37997.0,38046.0,38075.0,38156.0,38202.0,38240.0,38277.0,38314.0,38358.0,38381.0,38507.0,38589.0,38698.0
5016938,41400.0,41440.0,41499.0,41547.0,41589.0,41618.0,41658.0,41678.0,41739.0,41759.0,41806.0,41873.0,41926.0,41973.0,42009.0,42061.0,42084.0,42151.0,42200.0,42241.0,42291.0,42337.0,42390.0,42431.0,42464.0,42497.0,42546.0,42575.0,42656.0,42702.0,42740.0,42777.0,42814.0,42858.0,42881.0,43007.0,43089.0,43198.0
5016942,51300.0,51345.0,51412.0,51466.0,51513.0,51546.0,51591.0,51613.0,51681.0,51705.0,51752.0,51818.0,51871.0,51917.0,51953.0,52005.0,52034.0,52096.0,52143.0,52182.0,52227.0,52264.0,52307.0,52354.0,52391.0,52424.0,52473.0,52502.0,52583.0,52651.0,52708.0,52753.0,52798.0,52844.0,52869.0,52999.0,53084.0,53196.0
