tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
0,4168.0,4170.0,4132.0,4134.0,4135.0,4136.0,4207.0,4208.0,4209.0,4210.0,4211.0,4212.0,4213.0,5139.0,4214.0,4215.0,4216.0,4289.0,4290.0,4291.0,4222.0,4224.0,4225.0,4226.0,7462.0,7461.0,4227.0,4228.0,4229.0,4230.0,4232.0,7351.0,4234.0,4235.0,6019.0,4236.0,4650.0,4651.0,4652.0,4653.0,4654.0,4655.0,6138.0,4656.0
5004523,27000.0,27080.0,27136.0,27235.0,27299.0,27352.0,27402.0,27435.0,27543.0,27559.0,27579.0,27619.0,27639.0,27654.0,27723.0,27762.0,27797.0,27861.0,27911.0,27978.0,28053.0,28117.0,28175.0,28200.0,28299.0,28328.0,28433.0,28474.0,28496.0,28509.0,28575.0,28625.0,28660.0,28732.0,28753.0,28788.0,28892.0,28975.0,29013.0,29067.0,29111.0,29160.0,29202.0,29218.0
5004525,35100.0,35192.0,35256.0,35369.0,35442.0,35502.0,35547.0,35574.0,35665.0,35681.0,35701.0,35744.0,35762.0,35776.0,35836.0,35870.0,35905.0,35969.0,36018.0,36085.0,36164.0,36237.0,36295.0,36321.0,36426.0,36456.0,36569.0,36617.0,36643.0,36658.0,36722.0,36774.0,36810.0,36883.0,36905.0,36941.0,37048.0,37133.0,37172.0,37236.0,37288.0,37347.0,37396.0,37415.0
5004527,44100.0,44192.0,44256.0,44369.0,44442.0,44502.0,44547.0,44574.0,44665.0,44681.0,44701.0,44744.0,44762.0,44776.0,44836.0,44870.0,44905.0,44969.0,45018.0,45085.0,45164.0,45237.0,45295.0,45321.0,45426.0,45456.0,45569.0,45617.0,45643.0,45658.0,45722.0,45774.0,45810.0,45883.0,45905.0,45941.0,46048.0,46133.0,46172.0,46236.0,46288.0,46347.0,46396.0,46415.0
5004529,53100.0,53229.0,53319.0,53477.0,53579.0,53664.0,53725.0,53756.0,53860.0,53878.0,53901.0,53948.0,53970.0,53988.0,54106.0,54173.0,54218.0,54297.0,54358.0,54440.0,54583.0,54689.0,54762.0,54794.0,54918.0,54954.0,55086.0,55155.0,55193.0,55214.0,55287.0,55350.0,55394.0,55483.0,55515.0,55556.0,55680.0,55782.0,55828.0,55895.0,55950.0,56012.0,56064.0,56085.0
5004531,62100.0,62199.0,62268.0,62389.0,62467.0,62533.0,62576.0,62606.0,62706.0,62724.0,62748.0,62789.0,62807.0,62823.0,62897.0,62939.0,62972.0,63040.0,63093.0,63165.0,63253.0,63335.0,63397.0,63425.0,63534.0,63565.0,63681.0,63733.0,63762.0,63778.0,63842.0,63894.0,63930.0,64003.0,64026.0,64064.0,64177.0,64264.0,64303.0,64358.0,64403.0,64454.0,64497.0,64513.0
5004533,71100.0,71182.0,71239.0,71339.0,71403.0,71457.0,71498.0,71528.0,71627.0,71645.0,71664.0,71706.0,71723.0,71736.0,71795.0,71828.0,71861.0,71921.0,71968.0,72031.0,72101.0,72170.0,72228.0,72253.0,72360.0,72391.0,72506.0,72553.0,72579.0,72594.0,72656.0,72704.0,72738.0,72807.0,72830.0,72868.0,72981.0,73065.0,73103.0,73161.0,73208.0,73261.0,73306.0,73323.0
5004535,78600.0,78672.0,78723.0,78812.0,78869.0,78916.0,78955.0,78983.0,79077.0,79094.0,79112.0,79151.0,79168.0,79183.0,79233.0,79262.0,79292.0,79350.0,79395.0,79455.0,79508.0,79561.0,79613.0,79636.0,79737.0,79766.0,79875.0,79920.0,79944.0,79958.0,80016.0,80060.0,80091.0,80153.0,80175.0,80213.0,80326.0,80413.0,80452.0,80507.0,80551.0,80601.0,80644.0,80661.0
5004537,85200.0,85272.0,85323.0,85412.0,85469.0,85516.0,85555.0,85583.0,85677.0,85694.0,85712.0,85751.0,85768.0,85783.0,85833.0,85862.0,85892.0,85950.0,85995.0,86055.0,86108.0,86161.0,86213.0,86236.0,86337.0,86366.0,86475.0,86520.0,86544.0,86558.0,86616.0,86660.0,86691.0,86753.0,86775.0,86813.0,86926.0,87013.0,87052.0,87107.0,87151.0,87201.0,87244.0,87261.0
5008066,30600.0,30713.0,30792.0,30930.0,31019.0,31093.0,31147.0,31178.0,31281.0,31297.0,31313.0,31352.0,31369.0,31384.0,31450.0,31488.0,31517.0,31579.0,31627.0,31692.0,31783.0,31856.0,31917.0,31944.0,32048.0,32078.0,32190.0,32230.0,32252.0,32265.0,32325.0,32372.0,32405.0,32472.0,32494.0,32529.0,32635.0,32720.0,32758.0,32814.0,32859.0,32910.0,32953.0,32971.0
5008068,38700.0,38792.0,38856.0,38969.0,39042.0,39102.0,39147.0,39174.0,39265.0,39281.0,39301.0,39344.0,39362.0,39376.0,39436.0,39470.0,39505.0,39569.0,39618.0,39685.0,39764.0,39837.0,39895.0,39921.0,40026.0,40056.0,40169.0,40217.0,40243.0,40258.0,40322.0,40374.0,40410.0,40483.0,40505.0,40541.0,40648.0,40733.0,40772.0,40836.0,40888.0,40947.0,40996.0,41015.0
5008070,47700.0,47813.0,47892.0,48031.0,48120.0,48195.0,48247.0,48278.0,48382.0,48401.0,48420.0,48464.0,48483.0,48501.0,48584.0,48631.0,48673.0,48747.0,48804.0,48881.0,48991.0,49100.0,49162.0,49189.0,49311.0,49346.0,49476.0,49540.0,49575.0,49595.0,49680.0,49734.0,49772.0,49850.0,49876.0,49917.0,50038.0,50134.0,50178.0,50241.0,50292.0,50350.0,50399.0,50419.0
5008072,56700.0,56844.0,56945.0,57121.0,57235.0,57329.0,57384.0,57419.0,57537.0,57557.0,57584.0,57635.0,57657.0,57681.0,57759.0,57804.0,57859.0,57944.0,58010.0,58099.0,58220.0,58310.0,58375.0,58404.0,58527.0,58563.0,58695.0,58759.0,58794.0,58814.0,58888.0,58944.0,58983.0,59063.0,59089.0,59131.0,59258.0,59349.0,59390.0,59457.0,59512.0,59574.0,59626.0,59647.0
5008074,65700.0,65803.0,65875.0,66001.0,66082.0,66151.0,66196.0,66228.0,66333.0,66350.0,66376.0,66419.0,66436.0,66452.0,66524.0,66565.0,66600.0,66669.0,66723.0,66795.0,66880.0,66956.0,67016.0,67042.0,67154.0,67186.0,67306.0,67356.0,67383.0,67399.0,67457.0,67510.0,67547.0,67624.0,67649.0,67688.0,67805.0,67891.0,67930.0,67988.0,68035.0,68088.0,68133.0,68150.0
