tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
0,4745.0,4989.0,1845.0,7166.0,1847.0,1696.0,1697.0,1698.0,1699.0,1700.0,1701.0,1702.0,1703.0,1905.0,1804.0,1803.0,77.0,78.0,79.0,80.0,82.0,817.0,818.0,819.0,265.0,6059.0,404.0,747.0,748.0,749.0,750.0,751.0,752.0,753.0,7370.0,7339.0
5095851,62160.0,62178.0,62708.0,62746.0,62816.0,62890.0,62913.0,62953.0,62973.0,63004.0,63043.0,63070.0,63104.0,63155.0,63224.0,63258.0,63308.0,63368.0,63397.0,63439.0,63529.0,63604.0,63648.0,63739.0,63891.0,64007.0,64442.0,64600.0,64652.0,64715.0,64763.0,64811.0,64871.0,64923.0,64998.0,65034.0
5108616,62160.0,62178.0,62708.0,62746.0,62816.0,62890.0,62913.0,62953.0,62973.0,63004.0,63043.0,63070.0,63104.0,63155.0,63224.0,63258.0,63308.0,63368.0,63397.0,63439.0,63529.0,63604.0,63648.0,63739.0,63891.0,64007.0,64442.0,64600.0,64652.0,64715.0,64763.0,64811.0,64871.0,64923.0,64998.0,65034.0
