tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P
5008376,27900.0,27982.0,28033.0,28099.0,28160.0,28189.0,28249.0,28281.0,28336.0,28412.0,28455.0,28516.0,28601.0,28654.0,28721.0,28812.0,28864.0,28928.0,28965.0,29112.0,29170.0,29277.0,29407.0,29476.0,29594.0,29680.0,29758.0,29847.0,29906.0,30007.0,30109.0,30229.0,30371.0,30596.0,30756.0,30928.0,31009.0,31072.0,31197.0,31314.0,31374.0,31424.0,31548.0,31654.0,31746.0,31854.0,31900.0,31977.0,32053.0,32094.0,32171.0,32218.0,32302.0,32349.0,32421.0,32464.0,32496.0,32522.0,32583.0,32620.0,32687.0,32756.0,32798.0,32837.0,32874.0,32914.0
5008378,39600.0,39680.0,39730.0,39794.0,39845.0,39870.0,39920.0,39947.0,39994.0,40058.0,40094.0,40145.0,40217.0,40262.0,40318.0,40394.0,40435.0,40485.0,40514.0,40579.0,40605.0,40652.0,40708.0,40749.0,40818.0,40906.0,40976.0,41054.0,41104.0,41189.0,41274.0,41398.0,41533.0,41737.0,41881.0,42037.0,42123.0,42189.0,42320.0,42439.0,42500.0,42551.0,42660.0,42753.0,42821.0,42901.0,42935.0,42992.0,43064.0,43102.0,43161.0,43202.0,43282.0,43327.0,43394.0,43439.0,43474.0,43502.0,43556.0,43589.0,43648.0,43718.0,43760.0,43800.0,43837.0,43878.0
5008380,50400.0,50486.0,50539.0,50608.0,50657.0,50680.0,50728.0,50754.0,50798.0,50859.0,50893.0,50942.0,51010.0,51053.0,51107.0,51180.0,51225.0,51280.0,51313.0,51382.0,51409.0,51459.0,51521.0,51562.0,51631.0,51712.0,51782.0,51860.0,51912.0,52000.0,52089.0,52214.0,52360.0,52574.0,52725.0,52888.0,52987.0,53056.0,53194.0,53328.0,53397.0,53454.0,53565.0,53660.0,53741.0,53836.0,53877.0,53946.0,54029.0,54074.0,54139.0,54186.0,54275.0,54325.0,54399.0,54447.0,54483.0,54513.0,54576.0,54615.0,54684.0,54756.0,54800.0,54841.0,54880.0,54922.0
5008382,62100.0,62201.0,62263.0,62344.0,62395.0,62420.0,62470.0,62497.0,62544.0,62608.0,62644.0,62695.0,62767.0,62812.0,62868.0,62944.0,62990.0,63047.0,63080.0,63142.0,63167.0,63212.0,63267.0,63301.0,63359.0,63427.0,63480.0,63540.0,63586.0,63664.0,63743.0,63840.0,63975.0,64239.0,64426.0,64627.0,64716.0,64791.0,64940.0,65110.0,65197.0,65270.0,65434.0,65574.0,65674.0,65791.0,65841.0,65925.0,66039.0,66100.0,66174.0,66233.0,66302.0,66341.0,66400.0,66443.0,66476.0,66502.0,66550.0,66579.0,66632.0,66686.0,66719.0,66750.0,66779.0,66810.0
5008748,24900.0,24970.0,25013.0,25068.0,25115.0,25138.0,25185.0,25210.0,25253.0,25312.0,25345.0,25393.0,25459.0,25500.0,25552.0,25623.0,25661.0,25708.0,25736.0,25810.0,25839.0,25892.0,25957.0,26002.0,26080.0,26162.0,26224.0,26295.0,26336.0,26406.0,26478.0,26601.0,26711.0,26860.0,26965.0,27079.0,27136.0,27183.0,27276.0,27389.0,27447.0,27496.0,27591.0,27673.0,27742.0,27823.0,27858.0,27915.0,27968.0,27997.0,28071.0,28116.0,28181.0,28217.0,28272.0,28316.0,28350.0,28377.0,28435.0,28470.0,28533.0,28603.0,28645.0,28685.0,28722.0,28762.0
5008750,41400.0,41480.0,41530.0,41594.0,41645.0,41670.0,41720.0,41747.0,41794.0,41858.0,41894.0,41945.0,42017.0,42062.0,42118.0,42194.0,42235.0,42285.0,42314.0,42379.0,42405.0,42452.0,42508.0,42549.0,42618.0,42706.0,42776.0,42854.0,42904.0,42989.0,43074.0,43198.0,43333.0,43537.0,43681.0,43837.0,43923.0,43989.0,44120.0,44239.0,44300.0,44351.0,44460.0,44553.0,44621.0,44701.0,44735.0,44792.0,44864.0,44902.0,44961.0,45002.0,45082.0,45127.0,45194.0,45239.0,45274.0,45302.0,45356.0,45389.0,45448.0,45518.0,45560.0,45600.0,45637.0,45678.0
5008752,52200.0,52286.0,52339.0,52408.0,52457.0,52480.0,52528.0,52554.0,52598.0,52659.0,52693.0,52742.0,52810.0,52853.0,52907.0,52980.0,53025.0,53080.0,53113.0,53182.0,53209.0,53259.0,53321.0,53362.0,53431.0,53512.0,53582.0,53660.0,53712.0,53800.0,53889.0,54014.0,54160.0,54374.0,54525.0,54688.0,54787.0,54856.0,54994.0,55128.0,55197.0,55254.0,55365.0,55460.0,55541.0,55636.0,55677.0,55746.0,55829.0,55874.0,55939.0,55986.0,56075.0,56125.0,56199.0,56247.0,56283.0,56313.0,56376.0,56415.0,56484.0,56556.0,56600.0,56641.0,56680.0,56722.0
5008754,63900.0,64001.0,64063.0,64144.0,64195.0,64220.0,64270.0,64297.0,64344.0,64408.0,64444.0,64495.0,64567.0,64612.0,64668.0,64744.0,64790.0,64847.0,64880.0,64942.0,64967.0,65012.0,65067.0,65101.0,65159.0,65227.0,65280.0,65340.0,65386.0,65464.0,65543.0,65640.0,65775.0,66039.0,66226.0,66427.0,66516.0,66591.0,66740.0,66910.0,66997.0,67070.0,67234.0,67374.0,67474.0,67591.0,67641.0,67725.0,67839.0,67900.0,67974.0,68033.0,68102.0,68141.0,68200.0,68243.0,68276.0,68302.0,68350.0,68379.0,68432.0,68486.0,68519.0,68550.0,68579.0,68610.0
5009527,24000.0,24070.0,24113.0,24168.0,24215.0,24238.0,24285.0,24310.0,24353.0,24412.0,24445.0,24493.0,24559.0,24600.0,24652.0,24723.0,24761.0,24808.0,24836.0,24910.0,24939.0,24992.0,25057.0,25102.0,25180.0,25262.0,25324.0,25395.0,25436.0,25506.0,25578.0,25701.0,25811.0,25960.0,26065.0,26179.0,26236.0,26283.0,26376.0,26489.0,26547.0,26596.0,26691.0,26773.0,26842.0,26923.0,26958.0,27015.0,27068.0,27097.0,27171.0,27216.0,27281.0,27317.0,27372.0,27416.0,27450.0,27477.0,27535.0,27570.0,27633.0,27703.0,27745.0,27785.0,27822.0,27862.0
5009529,35100.0,35188.0,35242.0,35312.0,35369.0,35396.0,35452.0,35482.0,35534.0,35605.0,35645.0,35703.0,35783.0,35833.0,35896.0,35983.0,36029.0,36085.0,36118.0,36208.0,36243.0,36308.0,36387.0,36452.0,36562.0,36666.0,36732.0,36806.0,36864.0,36963.0,37062.0,37169.0,37297.0,37532.0,37698.0,37877.0,37949.0,38012.0,38139.0,38243.0,38296.0,38341.0,38434.0,38513.0,38589.0,38678.0,38716.0,38780.0,38838.0,38869.0,38911.0,38947.0,39010.0,39045.0,39099.0,39143.0,39177.0,39204.0,39249.0,39277.0,39327.0,39375.0,39404.0,39431.0,39456.0,39484.0
