tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
0,300.0,496.0,7490.0,497.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,669.0,670.0,671.0,672.0,4382.0,1196.0,1197.0,1198.0,4782.0,1782.0,1783.0,1784.0,1785.0,1786.0,624.0,625.0,626.0,627.0,628.0,629.0,630.0,4466.0,633.0,634.0,1005.0,1788.0,1789.0,7199.0
5005056,29700.0,29878.0,29912.0,29937.0,30018.0,30080.0,30122.0,30174.0,30198.0,30232.0,30253.0,30270.0,30323.0,30375.0,30405.0,30453.0,30477.0,30543.0,30574.0,30634.0,30690.0,30739.0,30770.0,30800.0,30835.0,30850.0,30897.0,30934.0,30989.0,31018.0,31047.0,31071.0,31111.0,31134.0,31159.0,31213.0,31240.0,31285.0,31334.0,31409.0
5005058,35100.0,35278.0,35312.0,35337.0,35418.0,35480.0,35522.0,35574.0,35598.0,35632.0,35653.0,35670.0,35723.0,35775.0,35805.0,35853.0,35877.0,35943.0,35974.0,36034.0,36090.0,36139.0,36170.0,36200.0,36235.0,36250.0,36297.0,36334.0,36389.0,36418.0,36447.0,36471.0,36511.0,36534.0,36559.0,36613.0,36640.0,36685.0,36734.0,36809.0
5005060,40500.0,40592.0,40609.0,40633.0,40711.0,40770.0,40813.0,40865.0,40891.0,40927.0,40949.0,40970.0,41033.0,41094.0,41123.0,41168.0,41191.0,41265.0,41301.0,41372.0,41427.0,41474.0,41508.0,41540.0,41578.0,41594.0,41647.0,41688.0,41749.0,41782.0,41814.0,41841.0,41886.0,41912.0,41940.0,42001.0,42031.0,42071.0,42114.0,42181.0
5005062,45900.0,45993.0,46011.0,46039.0,46130.0,46199.0,46245.0,46301.0,46335.0,46384.0,46413.0,46434.0,46496.0,46556.0,46587.0,46637.0,46662.0,46740.0,46778.0,46873.0,46943.0,47004.0,47042.0,47078.0,47120.0,47138.0,47195.0,47240.0,47308.0,47344.0,47380.0,47410.0,47459.0,47488.0,47519.0,47586.0,47619.0,47663.0,47711.0,47785.0
5005064,51300.0,51393.0,51411.0,51439.0,51530.0,51599.0,51645.0,51701.0,51735.0,51784.0,51813.0,51834.0,51896.0,51956.0,51987.0,52037.0,52062.0,52140.0,52178.0,52273.0,52343.0,52404.0,52442.0,52478.0,52520.0,52538.0,52595.0,52640.0,52708.0,52744.0,52780.0,52810.0,52859.0,52888.0,52919.0,52986.0,53019.0,53063.0,53111.0,53185.0
5005066,56700.0,56847.0,56875.0,56912.0,57033.0,57125.0,57181.0,57249.0,57287.0,57341.0,57373.0,57406.0,57504.0,57600.0,57636.0,57693.0,57721.0,57810.0,57853.0,57939.0,58017.0,58085.0,58125.0,58163.0,58208.0,58227.0,58289.0,58337.0,58409.0,58447.0,58485.0,58516.0,58569.0,58599.0,58632.0,58703.0,58741.0,58789.0,58842.0,58923.0
5005068,62100.0,62247.0,62275.0,62312.0,62433.0,62525.0,62581.0,62649.0,62687.0,62741.0,62773.0,62806.0,62904.0,63000.0,63036.0,63093.0,63121.0,63210.0,63253.0,63339.0,63417.0,63485.0,63525.0,63563.0,63608.0,63627.0,63689.0,63737.0,63809.0,63847.0,63885.0,63916.0,63969.0,63999.0,64032.0,64103.0,64141.0,64189.0,64242.0,64323.0
5005070,67500.0,67647.0,67675.0,67712.0,67833.0,67925.0,67981.0,68049.0,68087.0,68141.0,68173.0,68206.0,68304.0,68400.0,68436.0,68493.0,68521.0,68610.0,68653.0,68739.0,68817.0,68885.0,68925.0,68963.0,69008.0,69027.0,69089.0,69137.0,69209.0,69247.0,69285.0,69316.0,69369.0,69399.0,69432.0,69503.0,69541.0,69589.0,69642.0,69723.0
5005072,73800.0,73877.0,73891.0,73915.0,73993.0,74052.0,74095.0,74148.0,74175.0,74213.0,74236.0,74253.0,74305.0,74357.0,74384.0,74428.0,74450.0,74533.0,74573.0,74641.0,74699.0,74750.0,74787.0,74823.0,74865.0,74883.0,74940.0,74985.0,75052.0,75088.0,75123.0,75152.0,75201.0,75229.0,75260.0,75326.0,75359.0,75405.0,75455.0,75532.0
