tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P
5017097,71100.0,71180.0,71223.0,71262.0,71319.0,71379.0,71394.0,71577.0,71662.0,71715.0,71744.0,71757.0,71782.0,71806.0,71849.0,71962.0,72135.0,72242.0,72321.0,72338.0,72386.0,72410.0
5017099,74700.0,74750.0,74777.0,74801.0,74837.0,74875.0,74884.0,74999.0,75052.0,75102.0,75129.0,75141.0,75164.0,75186.0,75219.0,75306.0,75439.0,75570.0,75667.0,75685.0,75735.0,75759.0
5018957,27000.0,27043.0,27066.0,27087.0,27117.0,27149.0,27157.0,27255.0,27300.0,27389.0,27437.0,27458.0,27500.0,27540.0,27600.0,27695.0,27840.0,27978.0,28080.0,28138.0,28301.0,28380.0
5018959,31500.0,31561.0,31594.0,31623.0,31666.0,31712.0,31723.0,31861.0,31925.0,31984.0,32016.0,32030.0,32058.0,32084.0,32132.0,32261.0,32457.0,32564.0,32643.0,32659.0,32705.0,32728.0
5089718,45900.0,45965.0,46000.0,46031.0,46077.0,46126.0,46138.0,46286.0,46354.0,46424.0,46461.0,46477.0,46510.0,46542.0,46613.0,46758.0,46978.0,47104.0,47198.0,47227.0,47308.0,47346.0
5089720,49500.0,49565.0,49600.0,49631.0,49677.0,49726.0,49738.0,49886.0,49954.0,50024.0,50061.0,50077.0,50110.0,50142.0,50213.0,50358.0,50578.0,50704.0,50798.0,50827.0,50908.0,50946.0
5089722,53100.0,53165.0,53200.0,53231.0,53277.0,53326.0,53338.0,53486.0,53554.0,53624.0,53661.0,53677.0,53710.0,53742.0,53813.0,53958.0,54178.0,54304.0,54398.0,54427.0,54508.0,54546.0
5090419,57300.0,57352.0,57380.0,57405.0,57441.0,57480.0,57489.0,57606.0,57660.0,57719.0,57751.0,57765.0,57793.0,57819.0,57867.0,57972.0,58132.0,58268.0,58369.0,58394.0,58465.0,58500.0
5090421,60900.0,60952.0,60980.0,61005.0,61041.0,61080.0,61089.0,61206.0,61260.0,61319.0,61351.0,61365.0,61393.0,61419.0,61467.0,61572.0,61732.0,61868.0,61969.0,61994.0,62065.0,62100.0
5091477,27000.0,27132.0,27203.0,27266.0,27359.0,27458.0,27482.0,27783.0,27923.0,27994.0,28032.0,28049.0,28082.0,28113.0,28210.0,28320.0,28487.0,28610.0,28701.0,28723.0,28786.0,28816.0
5091479,31500.0,31576.0,31617.0,31654.0,31708.0,31765.0,31779.0,31952.0,32032.0,32113.0,32156.0,32175.0,32213.0,32249.0,32322.0,32439.0,32618.0,32742.0,32834.0,32870.0,32971.0,33019.0
5091486,56700.0,56764.0,56798.0,56829.0,56874.0,56922.0,56934.0,57080.0,57148.0,57217.0,57254.0,57270.0,57302.0,57333.0,57426.0,57564.0,57775.0,57955.0,58088.0,58119.0,58205.0,58246.0
5091488,60300.0,60364.0,60398.0,60429.0,60474.0,60522.0,60534.0,60680.0,60748.0,60817.0,60854.0,60870.0,60902.0,60933.0,61026.0,61164.0,61375.0,61555.0,61688.0,61719.0,61805.0,61846.0
5091490,67500.0,67564.0,67598.0,67629.0,67674.0,67722.0,67734.0,67880.0,67948.0,68017.0,68054.0,68070.0,68102.0,68133.0,68226.0,68364.0,68575.0,68755.0,68888.0,68919.0,69005.0,69046.0
5091492,71100.0,71152.0,71180.0,71205.0,71242.0,71281.0,71290.0,71408.0,71461.0,71516.0,71545.0,71558.0,71584.0,71608.0,71667.0,71767.0,71920.0,72032.0,72115.0,72139.0,72207.0,72240.0
5091494,74700.0,74752.0,74780.0,74805.0,74842.0,74881.0,74890.0,75008.0,75061.0,75116.0,75145.0,75158.0,75184.0,75208.0,75267.0,75367.0,75520.0,75632.0,75715.0,75739.0,75807.0,75840.0
5095501,64500.0,64552.0,64580.0,64605.0,64641.0,64680.0,64689.0,64806.0,64860.0,64919.0,64951.0,64965.0,64993.0,65019.0,65067.0,65172.0,65332.0,65468.0,65569.0,65594.0,65665.0,65700.0
5095503,68100.0,68150.0,68177.0,68201.0,68237.0,68275.0,68284.0,68399.0,68452.0,68504.0,68532.0,68544.0,68568.0,68592.0,68635.0,68702.0,68803.0,68883.0,68942.0,68961.0,69014.0,69040.0
5095505,71700.0,71750.0,71777.0,71801.0,71837.0,71875.0,71884.0,71999.0,72052.0,72104.0,72132.0,72144.0,72168.0,72192.0,72235.0,72302.0,72403.0,72483.0,72542.0,72561.0,72614.0,72640.0
5096318,35100.0,35176.0,35217.0,35254.0,35308.0,35365.0,35379.0,35552.0,35632.0,35713.0,35756.0,35775.0,35813.0,35849.0,35922.0,36039.0,36218.0,36342.0,36434.0,36470.0,36571.0,36619.0
5096320,38700.0,38764.0,38798.0,38829.0,38874.0,38922.0,38934.0,39079.0,39145.0,39216.0,39254.0,39271.0,39305.0,39337.0,39407.0,39551.0,39771.0,39910.0,40013.0,40045.0,40135.0,40178.0
5096322,42300.0,42364.0,42398.0,42429.0,42474.0,42522.0,42534.0,42679.0,42745.0,42816.0,42854.0,42871.0,42905.0,42937.0,43007.0,43151.0,43371.0,43510.0,43613.0,43645.0,43735.0,43778.0
5096331,63900.0,63964.0,63998.0,64029.0,64074.0,64122.0,64134.0,64280.0,64348.0,64417.0,64454.0,64470.0,64502.0,64533.0,64626.0,64764.0,64975.0,65155.0,65288.0,65319.0,65405.0,65446.0
5096622,39300.0,39361.0,39393.0,39422.0,39465.0,39511.0,39522.0,39660.0,39723.0,39776.0,39804.0,39816.0,39841.0,39866.0,39944.0,40028.0,40157.0,40237.0,40296.0,40314.0,40364.0,40387.0
5096624,42900.0,42965.0,43000.0,43031.0,43077.0,43126.0,43138.0,43286.0,43354.0,43415.0,43448.0,43462.0,43491.0,43519.0,43590.0,43779.0,44066.0,44208.0,44314.0,44339.0,44410.0,44445.0
5096626,46500.0,46565.0,46600.0,46631.0,46677.0,46726.0,46738.0,46886.0,46954.0,47015.0,47048.0,47062.0,47091.0,47119.0,47190.0,47379.0,47666.0,47808.0,47914.0,47939.0,48010.0,48045.0
5096628,50100.0,50165.0,50200.0,50231.0,50277.0,50326.0,50338.0,50486.0,50554.0,50615.0,50648.0,50662.0,50691.0,50719.0,50790.0,50979.0,51266.0,51408.0,51514.0,51539.0,51610.0,51645.0
5096630,53700.0,53752.0,53780.0,53805.0,53841.0,53880.0,53889.0,54006.0,54060.0,54119.0,54151.0,54165.0,54193.0,54219.0,54267.0,54372.0,54532.0,54668.0,54769.0,54794.0,54865.0,54900.0
5106212,35100.0,35176.0,35217.0,35254.0,35308.0,35365.0,35379.0,35552.0,35632.0,35713.0,35756.0,35775.0,35813.0,35849.0,35922.0,36039.0,36218.0,36342.0,36434.0,36470.0,36571.0,36619.0
5106214,38700.0,38764.0,38798.0,38829.0,38874.0,38922.0,38934.0,39079.0,39145.0,39216.0,39254.0,39271.0,39305.0,39337.0,39407.0,39551.0,39771.0,39910.0,40013.0,40045.0,40135.0,40178.0
5106224,63900.0,63964.0,63998.0,64029.0,64074.0,64122.0,64134.0,64280.0,64348.0,64417.0,64454.0,64470.0,64502.0,64533.0,64626.0,64764.0,64975.0,65155.0,65288.0,65319.0,65405.0,65446.0
5108444,45900.0,45965.0,46000.0,46031.0,46077.0,46126.0,46138.0,46286.0,46354.0,46424.0,46461.0,46477.0,46510.0,46542.0,46613.0,46758.0,46978.0,47104.0,47198.0,47227.0,47308.0,47346.0
5108446,49500.0,49565.0,49600.0,49631.0,49677.0,49726.0,49738.0,49886.0,49954.0,50024.0,50061.0,50077.0,50110.0,50142.0,50213.0,50358.0,50578.0,50704.0,50798.0,50827.0,50908.0,50946.0
5108448,53100.0,53165.0,53200.0,53231.0,53277.0,53326.0,53338.0,53486.0,53554.0,53624.0,53661.0,53677.0,53710.0,53742.0,53813.0,53958.0,54178.0,54304.0,54398.0,54427.0,54508.0,54546.0
5115001,31500.0,31576.0,31617.0,31654.0,31708.0,31765.0,31779.0,31952.0,32032.0,32113.0,32156.0,32175.0,32213.0,32249.0,32322.0,32439.0,32618.0,32742.0,32834.0,32870.0,32971.0,33019.0
5115008,56700.0,56764.0,56798.0,56829.0,56874.0,56922.0,56934.0,57080.0,57148.0,57217.0,57254.0,57270.0,57302.0,57333.0,57426.0,57564.0,57775.0,57955.0,58088.0,58119.0,58205.0,58246.0
5115010,60300.0,60364.0,60398.0,60429.0,60474.0,60522.0,60534.0,60680.0,60748.0,60817.0,60854.0,60870.0,60902.0,60933.0,61026.0,61164.0,61375.0,61555.0,61688.0,61719.0,61805.0,61846.0
5115012,67500.0,67564.0,67598.0,67629.0,67674.0,67722.0,67734.0,67880.0,67948.0,68017.0,68054.0,68070.0,68102.0,68133.0,68226.0,68364.0,68575.0,68755.0,68888.0,68919.0,69005.0,69046.0
5115014,71100.0,71152.0,71180.0,71205.0,71242.0,71281.0,71290.0,71408.0,71461.0,71516.0,71545.0,71558.0,71584.0,71608.0,71667.0,71767.0,71920.0,72032.0,72115.0,72139.0,72207.0,72240.0
5115016,74700.0,74752.0,74780.0,74805.0,74842.0,74881.0,74890.0,75008.0,75061.0,75116.0,75145.0,75158.0,75184.0,75208.0,75267.0,75367.0,75520.0,75632.0,75715.0,75739.0,75807.0,75840.0
