tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
5002730,57180.0,57272.0,57375.0,57498.0,57598.0,57670.0,57798.0,58069.0,58159.0,58214.0,58430.0,58481.0,58515.0,58544.0,58603.0,58628.0,58658.0,58679.0,58716.0,58764.0,58824.0,58888.0,58921.0,59086.0,59128.0,59158.0,59335.0,59389.0,59437.0,59472.0,59547.0,59595.0,59640.0,59682.0,59708.0,59740.0,59814.0,59878.0,59941.0,59993.0,60077.0,60095.0,60130.0,60157.0,60203.0,60256.0,60278.0,60300.0,60311.0,60353.0,60376.0,60405.0,60430.0,60495.0,60627.0,60675.0,60716.0,60782.0,60873.0,60958.0,61000.0,61023.0,61092.0,61128.0,61208.0,61280.0,61314.0,61343.0,61410.0
5002732,67980.0,68091.0,68214.0,68362.0,68481.0,68567.0,68718.0,69037.0,69108.0,69151.0,69429.0,69491.0,69522.0,69550.0,69609.0,69634.0,69663.0,69684.0,69721.0,69757.0,69802.0,69850.0,69875.0,70019.0,70055.0,70081.0,70235.0,70277.0,70317.0,70342.0,70428.0,70483.0,70524.0,70556.0,70576.0,70600.0,70686.0,70760.0,70810.0,70852.0,70952.0,70976.0,71011.0,71038.0,71084.0,71129.0,71148.0,71167.0,71176.0,71203.0,71225.0,71265.0,71286.0,71346.0,71489.0,71541.0,71585.0,71656.0,71755.0,71823.0,71856.0,71876.0,71936.0,71975.0,72060.0,72137.0,72173.0,72210.0,72278.0
5002734,78780.0,78860.0,78949.0,79056.0,79143.0,79207.0,79340.0,79622.0,79686.0,79726.0,79913.0,79960.0,79983.0,80004.0,80059.0,80083.0,80114.0,80134.0,80170.0,80207.0,80254.0,80304.0,80330.0,80457.0,80489.0,80512.0,80627.0,80674.0,80720.0,80751.0,80827.0,80876.0,80910.0,80942.0,80961.0,80985.0,81053.0,81125.0,81180.0,81225.0,81318.0,81336.0,81371.0,81398.0,81443.0,81491.0,81510.0,81534.0,81545.0,81579.0,81597.0,81618.0,81637.0,81692.0,81796.0,81834.0,81866.0,81918.0,81990.0,82068.0,82106.0,82129.0,82198.0,82235.0,82315.0,82388.0,82422.0,82445.0,82489.0
5003612,60300.0,60433.0,60581.0,60759.0,60903.0,61008.0,61142.0,61427.0,61538.0,61606.0,61817.0,61879.0,61912.0,61941.0,62048.0,62077.0,62112.0,62135.0,62176.0,62226.0,62290.0,62357.0,62393.0,62573.0,62619.0,62651.0,62814.0,62862.0,62914.0,62953.0,63058.0,63125.0,63188.0,63238.0,63269.0,63306.0,63464.0,63543.0,63609.0,63664.0,63741.0,63758.0,63796.0,63825.0,63875.0,63921.0,63940.0,63959.0,63968.0,64019.0,64038.0,64067.0,64086.0,64156.0,64316.0,64375.0,64425.0,64505.0,64615.0,64711.0,64758.0,64783.0,64858.0,64896.0,64979.0,65054.0,65089.0,65117.0,65205.0
5004145,33780.0,33891.0,34014.0,34162.0,34281.0,34367.0,34460.0,34658.0,34766.0,34832.0,35085.0,35122.0,35151.0,35176.0,35255.0,35281.0,35313.0,35336.0,35377.0,35430.0,35498.0,35569.0,35607.0,35759.0,35798.0,35825.0,35963.0,36009.0,36052.0,36095.0,36208.0,36280.0,36361.0,36416.0,36450.0,36491.0,36571.0,36629.0,36670.0,36703.0,36766.0,36778.0,36813.0,36840.0,36885.0,36933.0,36953.0,36971.0,36980.0,37026.0,37051.0,37078.0,37096.0,37149.0,37282.0,37331.0,37373.0,37440.0,37532.0,37613.0,37653.0,37680.0,37760.0,37797.0,37877.0,37950.0,37983.0,38004.0,38078.0
5004147,44580.0,44686.0,44804.0,44946.0,45061.0,45143.0,45251.0,45481.0,45584.0,45648.0,45870.0,45929.0,45957.0,45981.0,46042.0,46067.0,46098.0,46119.0,46157.0,46200.0,46254.0,46311.0,46341.0,46496.0,46535.0,46563.0,46699.0,46742.0,46783.0,46816.0,46888.0,46934.0,46977.0,47028.0,47060.0,47099.0,47211.0,47286.0,47328.0,47363.0,47433.0,47450.0,47484.0,47510.0,47553.0,47598.0,47615.0,47633.0,47642.0,47686.0,47706.0,47732.0,47752.0,47807.0,47951.0,48004.0,48049.0,48121.0,48220.0,48302.0,48343.0,48368.0,48443.0,48479.0,48557.0,48628.0,48660.0,48688.0,48763.0
5004149,57180.0,57313.0,57461.0,57639.0,57783.0,57888.0,58022.0,58307.0,58418.0,58486.0,58697.0,58759.0,58792.0,58821.0,58928.0,58957.0,58992.0,59015.0,59056.0,59106.0,59170.0,59237.0,59273.0,59453.0,59499.0,59531.0,59694.0,59742.0,59794.0,59833.0,59938.0,60005.0,60068.0,60118.0,60149.0,60186.0,60344.0,60423.0,60489.0,60544.0,60621.0,60638.0,60676.0,60705.0,60755.0,60801.0,60820.0,60839.0,60848.0,60899.0,60918.0,60947.0,60966.0,61036.0,61196.0,61255.0,61305.0,61385.0,61495.0,61591.0,61638.0,61663.0,61738.0,61776.0,61859.0,61934.0,61969.0,61997.0,62085.0
5004151,69780.0,69887.0,70006.0,70149.0,70265.0,70350.0,70468.0,70718.0,70802.0,70853.0,71060.0,71114.0,71152.0,71185.0,71241.0,71268.0,71302.0,71325.0,71366.0,71413.0,71473.0,71536.0,71569.0,71717.0,71755.0,71781.0,71944.0,71989.0,72033.0,72071.0,72145.0,72193.0,72231.0,72265.0,72286.0,72312.0,72378.0,72438.0,72486.0,72525.0,72599.0,72614.0,72651.0,72680.0,72728.0,72773.0,72792.0,72812.0,72821.0,72861.0,72882.0,72907.0,72922.0,72979.0,73099.0,73143.0,73180.0,73240.0,73322.0,73398.0,73435.0,73457.0,73525.0,73562.0,73644.0,73718.0,73753.0,73780.0,73843.0
5004153,80580.0,80648.0,80723.0,80814.0,80887.0,80940.0,81045.0,81267.0,81332.0,81372.0,81557.0,81594.0,81620.0,81642.0,81684.0,81709.0,81739.0,81759.0,81795.0,81830.0,81875.0,81922.0,81947.0,82066.0,82096.0,82117.0,82227.0,82267.0,82310.0,82342.0,82401.0,82439.0,82471.0,82497.0,82513.0,82532.0,82586.0,82625.0,82662.0,82692.0,82758.0,82773.0,82806.0,82831.0,82873.0,82917.0,82937.0,82956.0,82965.0,82994.0,83008.0,83028.0,83044.0,83095.0,83194.0,83230.0,83261.0,83311.0,83379.0,83449.0,83483.0,83504.0,83566.0,83601.0,83677.0,83746.0,83778.0,83803.0,83845.0
5004221,22980.0,23068.0,23166.0,23284.0,23379.0,23449.0,23564.0,23808.0,23906.0,23966.0,24164.0,24207.0,24233.0,24256.0,24341.0,24366.0,24397.0,24419.0,24459.0,24505.0,24563.0,24624.0,24655.0,24785.0,24818.0,24842.0,24969.0,25013.0,25057.0,25087.0,25165.0,25215.0,25250.0,25284.0,25305.0,25331.0,25407.0,25474.0,25515.0,25549.0,25609.0,25622.0,25654.0,25679.0,25721.0,25765.0,25782.0,25799.0,25807.0,25853.0,25876.0,25909.0,25931.0,25985.0,26102.0,26145.0,26181.0,26240.0,26320.0,26399.0,26438.0,26461.0,26530.0,26564.0,26639.0,26707.0,26740.0,26767.0,26837.0
