tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P
0,4533.0,4844.0,4177.0,4178.0,4179.0,2993.0,2994.0,4180.0,4181.0,4182.0,4151.0,2997.0,4153.0,4154.0,4416.0,4201.0,4202.0,4203.0,5090.0,4204.0,4205.0,4206.0,3140.0,3141.0,3142.0,3143.0,3144.0,3145.0,3146.0,3147.0,3148.0,5127.0,5128.0,2996.0,3258.0,2060.0,2061.0,2062.0,2063.0,2064.0,2065.0,4727.0,4728.0,461.0,2068.0,2069.0,2070.0,2084.0,768.0,769.0,770.0,771.0,772.0,773.0,774.0,775.0,776.0,777.0,906.0,907.0,908.0,909.0,786.0,792.0,7586.0,7587.0,345.0,325.0,1443.0,1444.0,1445.0,4407.0,4320.0
5005783,27300.0,27362.0,27591.0,27644.0,27749.0,27805.0,27863.0,27942.0,28037.0,28145.0,28200.0,28264.0,28350.0,28478.0,28585.0,28666.0,28737.0,28770.0,28792.0,28813.0,28827.0,28897.0,28950.0,29075.0,29125.0,29198.0,29273.0,29323.0,29392.0,29472.0,29530.0,29655.0,29738.0,29881.0,29940.0,29983.0,30046.0,30142.0,30202.0,30294.0,30342.0,30447.0,30515.0,30544.0,30607.0,30702.0,30776.0,30846.0,30975.0,31009.0,31086.0,31117.0,31181.0,31232.0,31293.0,31375.0,31444.0,31488.0,31563.0,31629.0,31682.0,31753.0,31827.0,32022.0,32190.0,32309.0,32393.0,32506.0,32604.0,32673.0,32750.0,32859.0,32951.0
