tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
5007191,32220.0,32337.0,32377.0,32463.0,32566.0,32611.0,32639.0,32668.0,32743.0,32768.0,32840.0,32882.0,32911.0,32954.0,32976.0,33012.0,33032.0,33084.0,33093.0,33109.0,33129.0,33229.0,33325.0,33363.0,33460.0,33502.0,33535.0,33589.0,33645.0,33679.0,33704.0,33726.0,33768.0,33816.0,33857.0,33880.0,33938.0,33991.0,34064.0,34126.0,34168.0,34287.0,34497.0,34610.0,34657.0
5007555,40500.0,40611.0,40654.0,40745.0,40875.0,40982.0,41011.0,41042.0,41119.0,41147.0,41254.0,41302.0,41339.0,41378.0,41403.0,41445.0,41469.0,41531.0,41538.0,41554.0,41573.0,41670.0,41793.0,41830.0,41923.0,41962.0,41994.0,42045.0,42103.0,42136.0,42161.0,42186.0,42238.0,42296.0,42346.0,42374.0,42453.0,42522.0,42636.0,42732.0,42797.0,43024.0,43234.0,43347.0,43394.0
5007559,58500.0,58604.0,58647.0,58740.0,58900.0,58993.0,59028.0,59065.0,59156.0,59189.0,59288.0,59342.0,59405.0,59454.0,59481.0,59522.0,59546.0,59606.0,59614.0,59630.0,59653.0,59769.0,59887.0,59925.0,60020.0,60060.0,60110.0,60190.0,60262.0,60301.0,60330.0,60355.0,60405.0,60462.0,60496.0,60515.0,60596.0,60679.0,60792.0,60887.0,60953.0,61197.0,61407.0,61520.0,61567.0
5008239,21420.0,21507.0,21543.0,21619.0,21670.0,21717.0,21740.0,21764.0,21824.0,21845.0,21873.0,21899.0,21919.0,21989.0,22014.0,22043.0,22059.0,22101.0,22105.0,22120.0,22134.0,22208.0,22284.0,22313.0,22386.0,22418.0,22441.0,22479.0,22520.0,22551.0,22574.0,22596.0,22621.0,22649.0,22666.0,22675.0,22763.0,22799.0,22854.0,22901.0,22933.0,22993.0,23203.0,23316.0,23363.0
5009104,54780.0,54873.0,54912.0,54994.0,55079.0,55129.0,55167.0,55207.0,55274.0,55300.0,55389.0,55435.0,55468.0,55501.0,55522.0,55560.0,55582.0,55637.0,55647.0,55662.0,55680.0,55773.0,55903.0,55946.0,56056.0,56103.0,56131.0,56177.0,56253.0,56303.0,56340.0,56366.0,56420.0,56481.0,56514.0,56533.0,56584.0,56649.0,56745.0,56826.0,56882.0,57069.0,57279.0,57392.0,57439.0
5009214,25020.0,25107.0,25143.0,25219.0,25270.0,25317.0,25340.0,25364.0,25424.0,25445.0,25473.0,25499.0,25519.0,25589.0,25614.0,25643.0,25659.0,25701.0,25705.0,25720.0,25734.0,25808.0,25884.0,25913.0,25986.0,26018.0,26041.0,26079.0,26120.0,26151.0,26174.0,26196.0,26221.0,26249.0,26266.0,26275.0,26363.0,26399.0,26454.0,26501.0,26533.0,26593.0,26803.0,26916.0,26963.0
5009220,51180.0,51325.0,51369.0,51464.0,51615.0,51663.0,51699.0,51736.0,51831.0,51861.0,52011.0,52053.0,52078.0,52130.0,52155.0,52204.0,52232.0,52305.0,52315.0,52340.0,52359.0,52453.0,52584.0,52621.0,52715.0,52755.0,52786.0,52835.0,52905.0,52935.0,52958.0,52980.0,53026.0,53077.0,53106.0,53123.0,53242.0,53310.0,53399.0,53474.0,53524.0,53766.0,53976.0,54089.0,54136.0
5009278,43980.0,44125.0,44169.0,44264.0,44415.0,44463.0,44499.0,44536.0,44631.0,44661.0,44811.0,44853.0,44878.0,44930.0,44955.0,45004.0,45032.0,45105.0,45115.0,45140.0,45159.0,45253.0,45384.0,45421.0,45515.0,45555.0,45586.0,45635.0,45705.0,45735.0,45758.0,45780.0,45826.0,45877.0,45906.0,45923.0,46042.0,46110.0,46199.0,46274.0,46324.0,46566.0,46776.0,46889.0,46936.0
5009282,61980.0,62073.0,62112.0,62194.0,62279.0,62329.0,62367.0,62407.0,62474.0,62500.0,62589.0,62635.0,62668.0,62701.0,62722.0,62760.0,62782.0,62837.0,62847.0,62862.0,62880.0,62973.0,63103.0,63146.0,63256.0,63303.0,63331.0,63377.0,63453.0,63503.0,63540.0,63566.0,63620.0,63681.0,63714.0,63733.0,63784.0,63849.0,63945.0,64026.0,64082.0,64269.0,64479.0,64592.0,64639.0
5010232,58380.0,58473.0,58512.0,58594.0,58679.0,58729.0,58767.0,58807.0,58874.0,58900.0,58989.0,59035.0,59068.0,59101.0,59122.0,59160.0,59182.0,59237.0,59247.0,59262.0,59280.0,59373.0,59503.0,59546.0,59656.0,59703.0,59731.0,59777.0,59853.0,59903.0,59940.0,59966.0,60020.0,60081.0,60114.0,60133.0,60184.0,60249.0,60345.0,60426.0,60482.0,60669.0,60879.0,60992.0,61039.0
5011264,72600.0,72692.0,72728.0,72805.0,72907.0,72957.0,72984.0,73013.0,73092.0,73121.0,73209.0,73248.0,73271.0,73306.0,73328.0,73363.0,73383.0,73433.0,73443.0,73460.0,73478.0,73569.0,73680.0,73715.0,73804.0,73843.0,73872.0,73919.0,73974.0,74010.0,74037.0,74062.0,74100.0,74143.0,74165.0,74177.0,74244.0,74294.0,74378.0,74449.0,74497.0,74651.0,74861.0,74974.0,75021.0
5011609,62100.0,62204.0,62247.0,62340.0,62500.0,62593.0,62628.0,62665.0,62756.0,62789.0,62888.0,62942.0,63005.0,63054.0,63081.0,63122.0,63146.0,63206.0,63214.0,63230.0,63253.0,63369.0,63487.0,63525.0,63620.0,63660.0,63710.0,63790.0,63862.0,63901.0,63930.0,63955.0,64005.0,64062.0,64096.0,64115.0,64196.0,64279.0,64392.0,64487.0,64553.0,64797.0,65007.0,65120.0,65167.0
5011791,79620.0,79747.0,79784.0,79864.0,79938.0,79990.0,80020.0,80051.0,80129.0,80179.0,80260.0,80314.0,80340.0,80364.0,80388.0,80435.0,80462.0,80530.0,80540.0,80560.0,80581.0,80686.0,80846.0,80884.0,80980.0,81022.0,81047.0,81086.0,81125.0,81161.0,81188.0,81213.0,81238.0,81267.0,81289.0,81302.0,81359.0,81424.0,81505.0,81573.0,81619.0,81758.0,81968.0,82081.0,82128.0
5013700,28620.0,28737.0,28777.0,28863.0,28966.0,29011.0,29039.0,29068.0,29143.0,29168.0,29240.0,29282.0,29311.0,29354.0,29376.0,29412.0,29432.0,29484.0,29493.0,29509.0,29529.0,29629.0,29725.0,29763.0,29860.0,29902.0,29935.0,29989.0,30045.0,30079.0,30104.0,30126.0,30168.0,30216.0,30257.0,30280.0,30338.0,30391.0,30464.0,30526.0,30568.0,30687.0,30897.0,31010.0,31057.0
5013844,25320.0,25428.0,25468.0,25554.0,25642.0,25691.0,25724.0,25758.0,25852.0,25892.0,25963.0,26018.0,26048.0,26088.0,26120.0,26166.0,26192.0,26259.0,26271.0,26287.0,26307.0,26410.0,26589.0,26632.0,26742.0,26789.0,26865.0,26986.0,27049.0,27085.0,27111.0,27134.0,27192.0,27257.0,27295.0,27317.0,27401.0,27484.0,27592.0,27683.0,27744.0,27911.0,28121.0,28234.0,28281.0
5014253,44100.0,44211.0,44253.0,44343.0,44478.0,44601.0,44634.0,44669.0,44753.0,44786.0,44910.0,44965.0,45008.0,45063.0,45088.0,45128.0,45151.0,45211.0,45219.0,45235.0,45253.0,45344.0,45469.0,45507.0,45604.0,45646.0,45684.0,45745.0,45804.0,45838.0,45864.0,45889.0,45924.0,45963.0,45993.0,46010.0,46097.0,46167.0,46278.0,46371.0,46434.0,46657.0,46867.0,46980.0,47027.0
5018587,40020.0,40157.0,40202.0,40299.0,40418.0,40467.0,40498.0,40530.0,40613.0,40640.0,40757.0,40801.0,40837.0,40901.0,40926.0,40968.0,40992.0,41053.0,41067.0,41085.0,41100.0,41175.0,41310.0,41358.0,41479.0,41531.0,41573.0,41640.0,41699.0,41735.0,41761.0,41786.0,41845.0,41911.0,41944.0,41963.0,42043.0,42128.0,42213.0,42285.0,42334.0,42515.0,42725.0,42838.0,42885.0
5018589,47580.0,47725.0,47769.0,47864.0,48015.0,48063.0,48099.0,48136.0,48231.0,48261.0,48411.0,48453.0,48478.0,48530.0,48555.0,48604.0,48632.0,48705.0,48715.0,48740.0,48759.0,48853.0,48984.0,49021.0,49115.0,49155.0,49186.0,49235.0,49305.0,49335.0,49358.0,49380.0,49426.0,49477.0,49506.0,49523.0,49642.0,49710.0,49799.0,49874.0,49924.0,50166.0,50376.0,50489.0,50536.0
5019142,69120.0,69224.0,69263.0,69345.0,69439.0,69490.0,69519.0,69550.0,69632.0,69672.0,69755.0,69796.0,69821.0,69847.0,69870.0,69904.0,69923.0,69973.0,69979.0,69994.0,70012.0,70102.0,70208.0,70238.0,70313.0,70345.0,70371.0,70414.0,70474.0,70504.0,70527.0,70548.0,70590.0,70637.0,70664.0,70679.0,70755.0,70826.0,70906.0,70974.0,71020.0,71366.0,71576.0,71689.0,71736.0
5019533,54900.0,55004.0,55047.0,55140.0,55300.0,55393.0,55428.0,55465.0,55556.0,55589.0,55688.0,55742.0,55805.0,55854.0,55881.0,55922.0,55946.0,56006.0,56014.0,56030.0,56053.0,56169.0,56287.0,56325.0,56420.0,56460.0,56510.0,56590.0,56662.0,56701.0,56730.0,56755.0,56805.0,56862.0,56896.0,56915.0,56996.0,57079.0,57192.0,57287.0,57353.0,57597.0,57807.0,57920.0,57967.0
