tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P
0,4747.0,2960.0,1545.0,1816.0,6171.0,4974.0,4976.0,7126.0,7124.0,7343.0,7575.0,4978.0,4979.0,4986.0,7107.0,7102.0,7103.0,7104.0,7105.0,7106.0,7381.0,4742.0,4743.0,4744.0,4745.0
5003819,25200.0,25239.0,25286.0,25355.0,25406.0,25475.0,25532.0,25634.0,25686.0,25745.0,25791.0,25880.0,25936.0,26043.0,26056.0,26064.0,26088.0,26103.0,26115.0,26123.0,26303.0,26317.0,26327.0,26384.0,26393.0
5003820,28800.0,28841.0,28890.0,28962.0,29016.0,29089.0,29149.0,29256.0,29311.0,29371.0,29418.0,29509.0,29566.0,29677.0,29690.0,29698.0,29722.0,29737.0,29749.0,29757.0,29937.0,29951.0,29961.0,30018.0,30027.0
5003821,32400.0,32437.0,32481.0,32546.0,32594.0,32659.0,32713.0,32809.0,32857.0,32910.0,32951.0,33031.0,33081.0,33179.0,33192.0,33200.0,33224.0,33239.0,33251.0,33259.0,33439.0,33453.0,33463.0,33520.0,33529.0
5095941,25200.0,25238.0,25283.0,25349.0,25398.0,25465.0,25520.0,25618.0,25667.0,25724.0,25768.0,25853.0,25906.0,26010.0,26022.0,26029.0,26052.0,26067.0,26079.0,26086.0,26259.0,26272.0,26282.0,26337.0,26347.0
5095942,28800.0,28840.0,28887.0,28956.0,29008.0,29078.0,29136.0,29239.0,29291.0,29349.0,29394.0,29482.0,29537.0,29643.0,29655.0,29662.0,29685.0,29700.0,29712.0,29719.0,29892.0,29905.0,29915.0,29970.0,29980.0
5107307,32400.0,32436.0,32478.0,32540.0,32586.0,32649.0,32701.0,32793.0,32839.0,32890.0,32930.0,33007.0,33055.0,33149.0,33161.0,33168.0,33191.0,33206.0,33218.0,33225.0,33398.0,33411.0,33421.0,33476.0,33486.0
