tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5018413,70200.0,70227.0,70260.0,70279.0,70328.0,70351.0,70409.0,70440.0,70557.0,70620.0,70711.0,70800.0,70844.0,70896.0,70915.0,70950.0,70980.0,71115.0,71160.0,71193.0,71245.0,71283.0,71340.0,71580.0,71820.0,71878.0,71947.0,72000.0,72059.0,72094.0,72180.0,72309.0,72420.0,72600.0,72650.0,72716.0,72780.0,72835.0,72876.0,72960.0,73041.0,73140.0,73197.0,73247.0,73279.0,73320.0
5018415,77400.0,77427.0,77460.0,77479.0,77528.0,77551.0,77609.0,77640.0,77757.0,77820.0,77911.0,78000.0,78044.0,78096.0,78115.0,78150.0,78180.0,78315.0,78360.0,78393.0,78445.0,78483.0,78540.0,78780.0,79020.0,79078.0,79147.0,79200.0,79259.0,79294.0,79380.0,79509.0,79620.0,79800.0,79850.0,79916.0,79980.0,80035.0,80076.0,80160.0,80241.0,80340.0,80397.0,80447.0,80479.0,80520.0
5018417,84600.0,84627.0,84660.0,84679.0,84728.0,84751.0,84809.0,84840.0,84957.0,85020.0,85111.0,85200.0,85244.0,85296.0,85315.0,85350.0,85380.0,85515.0,85560.0,85593.0,85645.0,85683.0,85740.0,85980.0,86220.0,86278.0,86347.0,86400.0,86459.0,86494.0,86580.0,86709.0,86820.0,87000.0,87050.0,87116.0,87180.0,87235.0,87276.0,87360.0,87441.0,87540.0,87597.0,87647.0,87679.0,87720.0
5018478,52200.0,52309.0,52440.0,52459.0,52508.0,52531.0,52589.0,52620.0,52737.0,52800.0,52891.0,52980.0,53024.0,53076.0,53095.0,53130.0,53160.0,53295.0,53340.0,53373.0,53425.0,53463.0,53520.0,53700.0,53940.0,53998.0,54067.0,54120.0,54179.0,54214.0,54300.0,54429.0,54540.0,54720.0,54770.0,54836.0,54900.0,54955.0,54996.0,55080.0,55161.0,55260.0,55317.0,55367.0,55399.0,55440.0
5018480,59400.0,59454.0,59520.0,59539.0,59588.0,59611.0,59669.0,59700.0,59817.0,59880.0,59971.0,60060.0,60104.0,60156.0,60175.0,60210.0,60240.0,60375.0,60420.0,60453.0,60505.0,60543.0,60600.0,60780.0,61020.0,61078.0,61147.0,61200.0,61259.0,61294.0,61380.0,61509.0,61620.0,61800.0,61850.0,61916.0,61980.0,62035.0,62076.0,62160.0,62241.0,62340.0,62397.0,62447.0,62479.0,62520.0
5018484,73800.0,73827.0,73860.0,73879.0,73928.0,73951.0,74009.0,74040.0,74157.0,74220.0,74311.0,74400.0,74444.0,74496.0,74515.0,74550.0,74580.0,74715.0,74760.0,74793.0,74845.0,74883.0,74940.0,75120.0,75360.0,75418.0,75487.0,75540.0,75599.0,75634.0,75720.0,75849.0,75960.0,76140.0,76190.0,76256.0,76320.0,76375.0,76416.0,76500.0,76581.0,76680.0,76737.0,76787.0,76819.0,76860.0
5018486,81000.0,81027.0,81060.0,81079.0,81128.0,81151.0,81209.0,81240.0,81357.0,81420.0,81511.0,81600.0,81644.0,81696.0,81715.0,81750.0,81780.0,81915.0,81960.0,81993.0,82045.0,82083.0,82140.0,82320.0,82560.0,82618.0,82687.0,82740.0,82799.0,82834.0,82920.0,83049.0,83160.0,83340.0,83390.0,83456.0,83520.0,83575.0,83616.0,83700.0,83781.0,83880.0,83937.0,83987.0,84019.0,84060.0
5018977,23400.0,23454.0,23520.0,23532.0,23565.0,23580.0,23619.0,23640.0,23718.0,23760.0,23820.0,23880.0,23909.0,23944.0,23957.0,23980.0,24000.0,24090.0,24120.0,24142.0,24176.0,24202.0,24240.0,24360.0,24480.0,24518.0,24564.0,24600.0,24640.0,24664.0,24720.0,24785.0,24840.0,24960.0,25010.0,25076.0,25140.0,25177.0,25204.0,25260.0,25314.0,25380.0,25418.0,25451.0,25472.0,25500.0
5018979,30600.0,30682.0,30780.0,30799.0,30848.0,30871.0,30929.0,30960.0,31077.0,31140.0,31200.0,31260.0,31304.0,31356.0,31375.0,31410.0,31440.0,31575.0,31620.0,31653.0,31705.0,31743.0,31800.0,31980.0,32160.0,32218.0,32287.0,32340.0,32399.0,32434.0,32520.0,32617.0,32700.0,32880.0,32930.0,32996.0,33060.0,33115.0,33156.0,33240.0,33321.0,33420.0,33477.0,33527.0,33559.0,33600.0
5018981,37800.0,37882.0,37980.0,37999.0,38048.0,38071.0,38129.0,38160.0,38238.0,38280.0,38371.0,38460.0,38504.0,38556.0,38575.0,38610.0,38640.0,38775.0,38820.0,38842.0,38876.0,38902.0,38940.0,39120.0,39300.0,39358.0,39427.0,39480.0,39539.0,39574.0,39660.0,39757.0,39840.0,40020.0,40070.0,40136.0,40200.0,40255.0,40296.0,40380.0,40461.0,40560.0,40617.0,40667.0,40699.0,40740.0
5018983,45000.0,45082.0,45180.0,45199.0,45248.0,45271.0,45329.0,45360.0,45477.0,45540.0,45631.0,45720.0,45764.0,45816.0,45835.0,45870.0,45900.0,46035.0,46080.0,46113.0,46165.0,46203.0,46260.0,46440.0,46620.0,46678.0,46747.0,46800.0,46859.0,46894.0,46980.0,47077.0,47160.0,47340.0,47390.0,47456.0,47520.0,47575.0,47616.0,47700.0,47781.0,47880.0,47937.0,47987.0,48019.0,48060.0
5018985,52200.0,52282.0,52380.0,52399.0,52448.0,52471.0,52529.0,52560.0,52677.0,52740.0,52831.0,52920.0,52964.0,53016.0,53035.0,53070.0,53100.0,53235.0,53280.0,53313.0,53365.0,53403.0,53460.0,53640.0,53820.0,53878.0,53947.0,54000.0,54059.0,54094.0,54180.0,54277.0,54360.0,54540.0,54590.0,54656.0,54720.0,54775.0,54816.0,54900.0,54981.0,55080.0,55137.0,55187.0,55219.0,55260.0
5018987,59400.0,59482.0,59580.0,59599.0,59648.0,59671.0,59729.0,59760.0,59877.0,59940.0,60031.0,60120.0,60164.0,60216.0,60235.0,60270.0,60300.0,60435.0,60480.0,60513.0,60565.0,60603.0,60660.0,60840.0,61380.0,61438.0,61507.0,61560.0,61619.0,61654.0,61740.0,61869.0,61980.0,62160.0,62210.0,62276.0,62340.0,62395.0,62436.0,62520.0,62601.0,62700.0,62757.0,62807.0,62839.0,62880.0
5018989,66600.0,66627.0,66660.0,66679.0,66728.0,66751.0,66809.0,66840.0,66957.0,67020.0,67111.0,67200.0,67244.0,67296.0,67315.0,67350.0,67380.0,67515.0,67560.0,67593.0,67645.0,67683.0,67740.0,67980.0,68220.0,68278.0,68347.0,68400.0,68459.0,68494.0,68580.0,68709.0,68820.0,69000.0,69050.0,69116.0,69180.0,69235.0,69276.0,69360.0,69441.0,69540.0,69597.0,69647.0,69679.0,69720.0
5018991,73800.0,73827.0,73860.0,73879.0,73928.0,73951.0,74009.0,74040.0,74157.0,74220.0,74311.0,74400.0,74444.0,74496.0,74515.0,74550.0,74580.0,74715.0,74760.0,74793.0,74845.0,74883.0,74940.0,75180.0,75420.0,75478.0,75547.0,75600.0,75659.0,75694.0,75780.0,75909.0,76020.0,76200.0,76250.0,76316.0,76380.0,76435.0,76476.0,76560.0,76641.0,76740.0,76797.0,76847.0,76879.0,76920.0
5018993,81000.0,81027.0,81060.0,81079.0,81128.0,81151.0,81209.0,81240.0,81357.0,81420.0,81511.0,81600.0,81644.0,81696.0,81715.0,81750.0,81780.0,81915.0,81960.0,81993.0,82045.0,82083.0,82140.0,82380.0,82620.0,82678.0,82747.0,82800.0,82859.0,82894.0,82980.0,83109.0,83220.0,83400.0,83450.0,83516.0,83580.0,83635.0,83676.0,83760.0,83841.0,83940.0,83997.0,84047.0,84079.0,84120.0
