tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
0,288.0,1171.0,1172.0,1173.0,1174.0,1175.0,15.0,17.0,18.0,19.0,21.0,7602.0,85.0,203.0,204.0,205.0,1620.0,220.0,1622.0,1623.0,1624.0,1625.0,1626.0,1627.0,1628.0,1629.0,1630.0,7348.0,3669.0,3671.0,3672.0,3674.0,3675.0,3676.0,5073.0,5074.0,6054.0,4330.0,3679.0,5075.0,5076.0,3682.0,3864.0,3865.0,4910.0,4911.0,4912.0,4913.0,4914.0,4915.0,4957.0
5002624,57000.0,57070.0,57123.0,57199.0,57297.0,57400.0,57476.0,57574.0,57672.0,57713.0,57807.0,57862.0,57934.0,58019.0,58097.0,58138.0,58180.0,58291.0,58353.0,58404.0,58502.0,58588.0,58652.0,58732.0,58777.0,58815.0,58944.0,59132.0,59229.0,59286.0,59310.0,59395.0,59438.0,59531.0,59590.0,59734.0,59785.0,59838.0,59982.0,60029.0,60087.0,60121.0,60161.0,60202.0,60231.0,60250.0,60272.0,60312.0,60340.0,60374.0,60431.0
5002833,28320.0,28386.0,28436.0,28507.0,28598.0,28699.0,28773.0,28871.0,28931.0,28956.0,29014.0,29054.0,29106.0,29168.0,29241.0,29279.0,29324.0,29443.0,29502.0,29550.0,29639.0,29727.0,29792.0,29874.0,29923.0,29958.0,30091.0,30283.0,30383.0,30441.0,30463.0,30543.0,30568.0,30647.0,30706.0,30824.0,30866.0,30909.0,31028.0,31068.0,31118.0,31147.0,31183.0,31220.0,31246.0,31263.0,31283.0,31319.0,31344.0,31375.0,31425.0
5002834,41100.0,41161.0,41208.0,41275.0,41360.0,41462.0,41538.0,41612.0,41673.0,41698.0,41757.0,41799.0,41854.0,41920.0,41980.0,42012.0,42055.0,42167.0,42231.0,42284.0,42381.0,42468.0,42530.0,42608.0,42649.0,42690.0,42819.0,43005.0,43100.0,43155.0,43177.0,43254.0,43282.0,43352.0,43405.0,43553.0,43606.0,43660.0,43808.0,43854.0,43911.0,43944.0,43980.0,44017.0,44043.0,44060.0,44080.0,44116.0,44141.0,44172.0,44223.0
5003316,40800.0,40861.0,40908.0,40975.0,41060.0,41162.0,41238.0,41312.0,41373.0,41398.0,41457.0,41499.0,41554.0,41620.0,41680.0,41712.0,41755.0,41867.0,41931.0,41984.0,42081.0,42168.0,42230.0,42308.0,42349.0,42390.0,42519.0,42705.0,42800.0,42855.0,42877.0,42954.0,42982.0,43052.0,43105.0,43253.0,43306.0,43360.0,43508.0,43554.0,43611.0,43644.0,43680.0,43717.0,43743.0,43760.0,43780.0,43816.0,43841.0,43872.0,43923.0
5003318,49800.0,49860.0,49906.0,49972.0,50056.0,50150.0,50220.0,50289.0,50351.0,50377.0,50436.0,50480.0,50538.0,50608.0,50675.0,50710.0,50755.0,50873.0,50933.0,50982.0,51083.0,51174.0,51235.0,51310.0,51354.0,51395.0,51540.0,51749.0,51847.0,51904.0,51925.0,52005.0,52033.0,52117.0,52175.0,52321.0,52373.0,52426.0,52573.0,52623.0,52685.0,52720.0,52757.0,52795.0,52822.0,52839.0,52860.0,52897.0,52923.0,52955.0,53009.0
5003320,58800.0,58870.0,58923.0,58999.0,59097.0,59200.0,59276.0,59374.0,59472.0,59513.0,59607.0,59662.0,59734.0,59819.0,59897.0,59938.0,59980.0,60091.0,60153.0,60204.0,60302.0,60388.0,60452.0,60532.0,60577.0,60615.0,60744.0,60932.0,61029.0,61086.0,61110.0,61195.0,61238.0,61331.0,61390.0,61534.0,61585.0,61638.0,61782.0,61829.0,61887.0,61921.0,61961.0,62002.0,62031.0,62050.0,62072.0,62112.0,62140.0,62174.0,62231.0
5003322,67800.0,67870.0,67923.0,67999.0,68097.0,68200.0,68276.0,68374.0,68472.0,68513.0,68607.0,68662.0,68734.0,68819.0,68897.0,68938.0,68980.0,69091.0,69153.0,69204.0,69302.0,69388.0,69452.0,69532.0,69577.0,69615.0,69744.0,69932.0,70029.0,70086.0,70110.0,70195.0,70238.0,70331.0,70390.0,70534.0,70585.0,70638.0,70782.0,70829.0,70887.0,70921.0,70961.0,71002.0,71031.0,71050.0,71072.0,71112.0,71140.0,71174.0,71231.0
5003627,24600.0,24648.0,24685.0,24738.0,24805.0,24887.0,24948.0,25019.0,25063.0,25082.0,25125.0,25153.0,25190.0,25233.0,25277.0,25300.0,25332.0,25417.0,25451.0,25479.0,25541.0,25606.0,25658.0,25722.0,25771.0,25800.0,25928.0,26113.0,26200.0,26251.0,26271.0,26342.0,26367.0,26422.0,26471.0,26549.0,26577.0,26605.0,26683.0,26712.0,26747.0,26767.0,26797.0,26827.0,26849.0,26863.0,26880.0,26910.0,26931.0,26956.0,26997.0
5003630,54600.0,54670.0,54723.0,54799.0,54897.0,55000.0,55076.0,55174.0,55272.0,55313.0,55407.0,55462.0,55534.0,55619.0,55697.0,55738.0,55780.0,55891.0,55953.0,56004.0,56102.0,56188.0,56252.0,56332.0,56377.0,56415.0,56544.0,56732.0,56829.0,56886.0,56910.0,56995.0,57038.0,57131.0,57190.0,57334.0,57385.0,57438.0,57582.0,57629.0,57687.0,57721.0,57761.0,57802.0,57831.0,57850.0,57872.0,57912.0,57940.0,57974.0,58031.0
