tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P
5004958,56400.0,56413.0,56494.0,56535.0,56582.0,56625.0,56663.0,56760.0,56792.0,56904.0,56961.0,57076.0,57128.0,57194.0,57250.0,57292.0,57340.0,57390.0,57423.0,57586.0,57651.0,57680.0,57729.0,57814.0,57871.0,57923.0,58036.0,58199.0
5004960,66600.0,66613.0,66694.0,66735.0,66782.0,66825.0,66863.0,66960.0,66992.0,67104.0,67161.0,67276.0,67328.0,67394.0,67450.0,67492.0,67540.0,67590.0,67623.0,67786.0,67851.0,67880.0,67929.0,68014.0,68071.0,68123.0,68236.0,68399.0
5004962,70800.0,70811.0,70879.0,70913.0,70955.0,70994.0,71021.0,71097.0,71123.0,71200.0,71239.0,71318.0,71353.0,71402.0,71438.0,71465.0,71496.0,71529.0,71550.0,71643.0,71694.0,71717.0,71756.0,71821.0,71864.0,71902.0,72013.0,72173.0
5005785,63000.0,63013.0,63094.0,63135.0,63182.0,63225.0,63263.0,63360.0,63392.0,63504.0,63561.0,63676.0,63728.0,63794.0,63850.0,63892.0,63940.0,63990.0,64023.0,64186.0,64251.0,64280.0,64329.0,64414.0,64471.0,64523.0,64636.0,64799.0
5008171,51600.0,51635.0,51848.0,51957.0,52014.0,52065.0,52108.0,52214.0,52249.0,52318.0,52353.0,52423.0,52455.0,52495.0,52527.0,52551.0,52579.0,52608.0,52627.0,52751.0,52803.0,52826.0,52865.0,52936.0,52983.0,53036.0,53178.0,53382.0
5008173,56400.0,56411.0,56474.0,56506.0,56551.0,56591.0,56622.0,56707.0,56736.0,56812.0,56850.0,56928.0,56963.0,57003.0,57051.0,57087.0,57129.0,57172.0,57200.0,57308.0,57360.0,57384.0,57423.0,57490.0,57534.0,57586.0,57730.0,57937.0
5008175,66600.0,66611.0,66674.0,66706.0,66751.0,66791.0,66822.0,66907.0,66936.0,67012.0,67050.0,67128.0,67163.0,67203.0,67251.0,67287.0,67329.0,67372.0,67400.0,67508.0,67560.0,67584.0,67623.0,67690.0,67734.0,67786.0,67930.0,68137.0
5012819,28200.0,28214.0,28298.0,28341.0,28386.0,28427.0,28462.0,28535.0,28559.0,28650.0,28696.0,28789.0,28831.0,28882.0,28914.0,28938.0,28966.0,28995.0,29014.0,29084.0,29126.0,29145.0,29177.0,29236.0,29276.0,29323.0,29394.0,29496.0
5012821,33300.0,33312.0,33387.0,33425.0,33473.0,33517.0,33572.0,33719.0,33768.0,33850.0,33891.0,33975.0,34014.0,34059.0,34109.0,34146.0,34189.0,34233.0,34261.0,34367.0,34428.0,34455.0,34501.0,34595.0,34658.0,34712.0,34828.0,34994.0
5012823,43800.0,43835.0,44048.0,44157.0,44214.0,44265.0,44308.0,44414.0,44449.0,44518.0,44553.0,44623.0,44655.0,44695.0,44727.0,44751.0,44779.0,44808.0,44827.0,44951.0,45003.0,45026.0,45065.0,45136.0,45183.0,45236.0,45378.0,45582.0
5012825,48600.0,48635.0,48848.0,48957.0,49014.0,49065.0,49108.0,49214.0,49249.0,49318.0,49353.0,49423.0,49455.0,49495.0,49527.0,49551.0,49579.0,49608.0,49627.0,49751.0,49803.0,49826.0,49865.0,49936.0,49983.0,50036.0,50178.0,50382.0
5086192,28200.0,28218.0,28326.0,28380.0,28443.0,28500.0,28620.0,28710.0,28740.0,28800.0,28830.0,28891.0,28920.0,29100.0,29129.0,29151.0,29176.0,29202.0,29220.0,29340.0,29394.0,29419.0,29460.0,29532.0,29580.0,29700.0,29749.0,29820.0
5086194,33300.0,33315.0,33407.0,33454.0,33501.0,33544.0,33596.0,33717.0,33758.0,33852.0,33899.0,33995.0,34040.0,34113.0,34169.0,34211.0,34259.0,34309.0,34339.0,34541.0,34602.0,34630.0,34676.0,34761.0,34818.0,34882.0,35004.0,35179.0
5086196,43800.0,43813.0,43889.0,43927.0,43978.0,44024.0,44071.0,44186.0,44225.0,44331.0,44384.0,44492.0,44542.0,44611.0,44664.0,44704.0,44750.0,44797.0,44826.0,44957.0,45027.0,45059.0,45111.0,45193.0,45247.0,45307.0,45414.0,45568.0
5086198,48600.0,48613.0,48689.0,48727.0,48778.0,48824.0,48871.0,48986.0,49025.0,49131.0,49184.0,49292.0,49342.0,49411.0,49464.0,49504.0,49550.0,49597.0,49626.0,49757.0,49827.0,49859.0,49911.0,49993.0,50047.0,50107.0,50214.0,50368.0
5088441,63000.0,63013.0,63091.0,63130.0,63176.0,63217.0,63254.0,63347.0,63378.0,63486.0,63540.0,63650.0,63701.0,63764.0,63818.0,63859.0,63906.0,63954.0,63984.0,64141.0,64204.0,64232.0,64279.0,64361.0,64416.0,64466.0,64575.0,64731.0
5092716,30600.0,30615.0,30707.0,30754.0,30801.0,30844.0,30896.0,31017.0,31058.0,31152.0,31199.0,31295.0,31340.0,31413.0,31469.0,31511.0,31559.0,31609.0,31639.0,31841.0,31902.0,31930.0,31976.0,32061.0,32118.0,32182.0,32304.0,32479.0
5092718,35400.0,35415.0,35507.0,35554.0,35601.0,35644.0,35696.0,35817.0,35858.0,35952.0,35999.0,36095.0,36140.0,36213.0,36269.0,36311.0,36359.0,36409.0,36439.0,36641.0,36702.0,36730.0,36776.0,36861.0,36918.0,36982.0,37104.0,37279.0
5092720,40200.0,40211.0,40277.0,40310.0,40356.0,40398.0,40460.0,40567.0,40603.0,40705.0,40757.0,40862.0,40910.0,40963.0,41008.0,41042.0,41081.0,41122.0,41147.0,41230.0,41288.0,41314.0,41358.0,41431.0,41480.0,41529.0,41636.0,41789.0
5093405,54600.0,54613.0,54691.0,54730.0,54776.0,54817.0,54854.0,54947.0,54978.0,55086.0,55140.0,55250.0,55301.0,55364.0,55418.0,55459.0,55506.0,55554.0,55584.0,55741.0,55804.0,55832.0,55879.0,55961.0,56016.0,56066.0,56175.0,56331.0
5093407,59700.0,59713.0,59791.0,59830.0,59876.0,59917.0,59954.0,60047.0,60078.0,60186.0,60240.0,60350.0,60401.0,60464.0,60518.0,60559.0,60606.0,60654.0,60684.0,60841.0,60904.0,60932.0,60979.0,61061.0,61116.0,61166.0,61275.0,61431.0
5093410,73200.0,73211.0,73276.0,73309.0,73350.0,73387.0,73413.0,73486.0,73511.0,73585.0,73622.0,73697.0,73732.0,73779.0,73814.0,73840.0,73870.0,73901.0,73921.0,74010.0,74059.0,74081.0,74119.0,74181.0,74223.0,74260.0,74367.0,74521.0
5093412,77700.0,77713.0,77791.0,77830.0,77867.0,77900.0,77925.0,77976.0,77993.0,78048.0,78076.0,78132.0,78158.0,78192.0,78221.0,78243.0,78268.0,78294.0,78312.0,78383.0,78423.0,78441.0,78471.0,78536.0,78579.0,78612.0,78670.0,78754.0
5096488,51600.0,51613.0,51689.0,51727.0,51778.0,51824.0,51871.0,51986.0,52025.0,52131.0,52184.0,52292.0,52342.0,52411.0,52464.0,52504.0,52550.0,52597.0,52626.0,52757.0,52827.0,52859.0,52911.0,52993.0,53047.0,53107.0,53214.0,53368.0
5096490,56400.0,56413.0,56491.0,56530.0,56576.0,56617.0,56654.0,56747.0,56778.0,56886.0,56940.0,57050.0,57101.0,57164.0,57218.0,57259.0,57306.0,57354.0,57384.0,57541.0,57604.0,57632.0,57679.0,57761.0,57816.0,57866.0,57975.0,58131.0
5096492,66600.0,66613.0,66691.0,66730.0,66776.0,66817.0,66854.0,66947.0,66978.0,67086.0,67140.0,67250.0,67301.0,67364.0,67418.0,67459.0,67506.0,67554.0,67584.0,67741.0,67804.0,67832.0,67879.0,67961.0,68016.0,68066.0,68175.0,68331.0
5096494,70800.0,70811.0,70876.0,70909.0,70950.0,70987.0,71013.0,71086.0,71111.0,71185.0,71222.0,71297.0,71332.0,71379.0,71414.0,71440.0,71470.0,71501.0,71521.0,71610.0,71659.0,71681.0,71719.0,71781.0,71823.0,71860.0,71967.0,72121.0
5101073,51600.0,51613.0,51689.0,51727.0,51778.0,51824.0,51871.0,51986.0,52025.0,52131.0,52184.0,52292.0,52342.0,52411.0,52464.0,52504.0,52550.0,52597.0,52626.0,52757.0,52827.0,52859.0,52911.0,52993.0,53047.0,53107.0,53214.0,53368.0
5101075,56400.0,56413.0,56491.0,56530.0,56576.0,56617.0,56654.0,56747.0,56778.0,56886.0,56940.0,57050.0,57101.0,57164.0,57218.0,57259.0,57306.0,57354.0,57384.0,57541.0,57604.0,57632.0,57679.0,57761.0,57816.0,57866.0,57975.0,58131.0
5101077,66600.0,66613.0,66691.0,66730.0,66776.0,66817.0,66854.0,66947.0,66978.0,67086.0,67140.0,67250.0,67301.0,67364.0,67418.0,67459.0,67506.0,67554.0,67584.0,67741.0,67804.0,67832.0,67879.0,67961.0,68016.0,68066.0,68175.0,68331.0
5101079,70800.0,70811.0,70876.0,70909.0,70950.0,70987.0,71013.0,71086.0,71111.0,71185.0,71222.0,71297.0,71332.0,71379.0,71414.0,71440.0,71470.0,71501.0,71521.0,71610.0,71659.0,71681.0,71719.0,71781.0,71823.0,71860.0,71967.0,72121.0
5101420,28200.0,28218.0,28326.0,28380.0,28443.0,28500.0,28620.0,28710.0,28740.0,28800.0,28830.0,28891.0,28920.0,29100.0,29129.0,29151.0,29176.0,29202.0,29220.0,29340.0,29394.0,29419.0,29460.0,29532.0,29580.0,29700.0,29749.0,29820.0
5101422,33300.0,33315.0,33407.0,33454.0,33501.0,33544.0,33596.0,33717.0,33758.0,33852.0,33899.0,33995.0,34040.0,34113.0,34169.0,34211.0,34259.0,34309.0,34339.0,34541.0,34602.0,34630.0,34676.0,34761.0,34818.0,34882.0,35004.0,35179.0
5101424,43800.0,43813.0,43889.0,43927.0,43978.0,44024.0,44071.0,44186.0,44225.0,44331.0,44384.0,44492.0,44542.0,44611.0,44664.0,44704.0,44750.0,44797.0,44826.0,44957.0,45027.0,45059.0,45111.0,45193.0,45247.0,45307.0,45414.0,45568.0
5101426,48600.0,48613.0,48689.0,48727.0,48778.0,48824.0,48871.0,48986.0,49025.0,49131.0,49184.0,49292.0,49342.0,49411.0,49464.0,49504.0,49550.0,49597.0,49626.0,49757.0,49827.0,49859.0,49911.0,49993.0,50047.0,50107.0,50214.0,50368.0
5112176,30600.0,30615.0,30707.0,30754.0,30801.0,30844.0,30896.0,31017.0,31058.0,31152.0,31199.0,31295.0,31340.0,31413.0,31469.0,31511.0,31559.0,31609.0,31639.0,31841.0,31902.0,31930.0,31976.0,32061.0,32118.0,32182.0,32304.0,32479.0
5112180,40200.0,40211.0,40277.0,40310.0,40356.0,40398.0,40460.0,40567.0,40603.0,40705.0,40757.0,40862.0,40910.0,40963.0,41008.0,41042.0,41081.0,41122.0,41147.0,41230.0,41288.0,41314.0,41358.0,41431.0,41480.0,41529.0,41636.0,41789.0
5112182,54600.0,54613.0,54691.0,54730.0,54776.0,54817.0,54854.0,54947.0,54978.0,55086.0,55140.0,55250.0,55301.0,55364.0,55418.0,55459.0,55506.0,55554.0,55584.0,55741.0,55804.0,55832.0,55879.0,55961.0,56016.0,56066.0,56175.0,56331.0
5112184,59700.0,59713.0,59791.0,59830.0,59876.0,59917.0,59954.0,60047.0,60078.0,60186.0,60240.0,60350.0,60401.0,60464.0,60518.0,60559.0,60606.0,60654.0,60684.0,60841.0,60904.0,60932.0,60979.0,61061.0,61116.0,61166.0,61275.0,61431.0
5112189,77700.0,77713.0,77791.0,77830.0,77867.0,77900.0,77925.0,77976.0,77993.0,78048.0,78076.0,78132.0,78158.0,78192.0,78221.0,78243.0,78268.0,78294.0,78312.0,78383.0,78423.0,78441.0,78471.0,78536.0,78579.0,78612.0,78670.0,78754.0
5116510,63000.0,63013.0,63091.0,63130.0,63176.0,63217.0,63254.0,63347.0,63378.0,63486.0,63540.0,63650.0,63701.0,63764.0,63818.0,63859.0,63906.0,63954.0,63984.0,64141.0,64204.0,64232.0,64279.0,64361.0,64416.0,64466.0,64575.0,64731.0
