tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P
5092035,39600.0,39636.0,39684.0,39731.0,39759.0,39780.0,39823.0,39843.0,39867.0,39895.0,39919.0,39934.0,39955.0,40007.0,40092.0,40122.0,40157.0,40187.0,40239.0,40270.0,40296.0,40327.0,40367.0
5092037,43200.0,43236.0,43284.0,43331.0,43359.0,43380.0,43423.0,43443.0,43467.0,43495.0,43519.0,43534.0,43555.0,43607.0,43692.0,43722.0,43757.0,43787.0,43839.0,43870.0,43896.0,43927.0,43967.0
5092722,46800.0,46852.0,46920.0,46987.0,47023.0,47049.0,47104.0,47136.0,47175.0,47214.0,47248.0,47270.0,47299.0,47346.0,47429.0,47461.0,47499.0,47531.0,47587.0,47621.0,47649.0,47682.0,47727.0
5092724,50400.0,50452.0,50520.0,50587.0,50623.0,50649.0,50704.0,50736.0,50775.0,50814.0,50848.0,50870.0,50899.0,50946.0,51029.0,51061.0,51099.0,51131.0,51187.0,51221.0,51249.0,51282.0,51327.0
5092726,54000.0,54061.0,54140.0,54218.0,54256.0,54284.0,54344.0,54366.0,54392.0,54435.0,54473.0,54497.0,54529.0,54611.0,54743.0,54782.0,54828.0,54866.0,54933.0,54974.0,55007.0,55047.0,55099.0
5092728,57600.0,57648.0,57711.0,57772.0,57805.0,57830.0,57882.0,57905.0,57934.0,57980.0,58020.0,58045.0,58079.0,58142.0,58255.0,58290.0,58331.0,58365.0,58425.0,58462.0,58492.0,58528.0,58575.0
5092730,61200.0,61260.0,61338.0,61415.0,61448.0,61472.0,61523.0,61555.0,61593.0,61633.0,61668.0,61691.0,61721.0,61802.0,61934.0,61973.0,62019.0,62057.0,62124.0,62165.0,62198.0,62238.0,62290.0
5092734,72000.0,72046.0,72106.0,72164.0,72188.0,72206.0,72244.0,72270.0,72302.0,72341.0,72375.0,72397.0,72427.0,72499.0,72614.0,72653.0,72698.0,72736.0,72802.0,72843.0,72876.0,72915.0,72968.0
5092740,82800.0,82848.0,82911.0,82972.0,82999.0,83019.0,83060.0,83087.0,83120.0,83162.0,83198.0,83221.0,83252.0,83320.0,83431.0,83470.0,83516.0,83554.0,83621.0,83662.0,83695.0,83735.0,83787.0
5098361,26400.0,26453.0,26522.0,26589.0,26620.0,26643.0,26691.0,26717.0,26748.0,26790.0,26827.0,26851.0,26882.0,26953.0,27066.0,27104.0,27148.0,27185.0,27250.0,27290.0,27322.0,27360.0,27411.0
5098363,30000.0,30054.0,30125.0,30194.0,30227.0,30252.0,30303.0,30345.0,30397.0,30441.0,30479.0,30503.0,30536.0,30618.0,30738.0,30777.0,30823.0,30861.0,30928.0,30969.0,31002.0,31042.0,31094.0
5098365,33600.0,33664.0,33748.0,33829.0,33874.0,33907.0,33977.0,34007.0,34044.0,34082.0,34116.0,34137.0,34166.0,34232.0,34342.0,34380.0,34425.0,34463.0,34529.0,34569.0,34602.0,34641.0,34692.0
5098367,37200.0,37264.0,37348.0,37429.0,37474.0,37507.0,37577.0,37607.0,37644.0,37682.0,37716.0,37737.0,37766.0,37832.0,37942.0,37980.0,38025.0,38063.0,38129.0,38169.0,38202.0,38241.0,38292.0
5098369,40800.0,40864.0,40948.0,41029.0,41074.0,41107.0,41177.0,41207.0,41244.0,41282.0,41316.0,41337.0,41366.0,41432.0,41542.0,41580.0,41625.0,41663.0,41729.0,41769.0,41802.0,41841.0,41892.0
5098371,44400.0,44468.0,44558.0,44646.0,44691.0,44725.0,44795.0,44824.0,44859.0,44903.0,44942.0,44967.0,44999.0,45064.0,45173.0,45210.0,45254.0,45291.0,45355.0,45394.0,45426.0,45464.0,45514.0
5098373,48000.0,48068.0,48158.0,48246.0,48291.0,48325.0,48395.0,48424.0,48459.0,48503.0,48542.0,48567.0,48599.0,48664.0,48773.0,48810.0,48854.0,48891.0,48955.0,48994.0,49026.0,49064.0,49114.0
5098375,51600.0,51659.0,51737.0,51813.0,51853.0,51883.0,51945.0,51977.0,52015.0,52066.0,52111.0,52139.0,52177.0,52259.0,52377.0,52416.0,52462.0,52500.0,52567.0,52608.0,52641.0,52681.0,52733.0
5098377,55200.0,55260.0,55339.0,55416.0,55465.0,55501.0,55576.0,55606.0,55643.0,55688.0,55727.0,55752.0,55786.0,55858.0,56000.0,56039.0,56084.0,56122.0,56189.0,56230.0,56263.0,56302.0,56355.0
5098379,58800.0,58864.0,58948.0,59031.0,59071.0,59100.0,59162.0,59189.0,59221.0,59268.0,59309.0,59335.0,59370.0,59445.0,59582.0,59621.0,59667.0,59705.0,59772.0,59813.0,59846.0,59886.0,59938.0
5098381,62400.0,62458.0,62535.0,62610.0,62651.0,62681.0,62745.0,62773.0,62808.0,62848.0,62883.0,62905.0,62934.0,62999.0,63120.0,63158.0,63202.0,63239.0,63304.0,63344.0,63376.0,63415.0,63467.0
5098383,66000.0,66050.0,66116.0,66180.0,66211.0,66234.0,66281.0,66307.0,66339.0,66377.0,66410.0,66431.0,66460.0,66522.0,66634.0,66670.0,66713.0,66749.0,66812.0,66850.0,66881.0,66918.0,66968.0
5098385,69600.0,69650.0,69716.0,69780.0,69811.0,69834.0,69881.0,69907.0,69939.0,69977.0,70010.0,70031.0,70060.0,70122.0,70234.0,70270.0,70313.0,70349.0,70412.0,70450.0,70481.0,70518.0,70568.0
5098387,73200.0,73245.0,73304.0,73363.0,73389.0,73409.0,73450.0,73470.0,73494.0,73527.0,73556.0,73574.0,73598.0,73653.0,73752.0,73786.0,73826.0,73860.0,73919.0,73955.0,73984.0,74019.0,74066.0
5098389,76800.0,76845.0,76904.0,76963.0,76989.0,77009.0,77050.0,77070.0,77094.0,77127.0,77156.0,77174.0,77198.0,77253.0,77352.0,77386.0,77426.0,77460.0,77519.0,77555.0,77584.0,77619.0,77666.0
5098391,80400.0,80445.0,80504.0,80563.0,80589.0,80609.0,80650.0,80670.0,80694.0,80727.0,80756.0,80774.0,80798.0,80853.0,80952.0,80986.0,81026.0,81060.0,81119.0,81155.0,81184.0,81219.0,81266.0
5098393,84000.0,84045.0,84104.0,84163.0,84189.0,84209.0,84250.0,84270.0,84294.0,84327.0,84356.0,84374.0,84398.0,84453.0,84552.0,84586.0,84626.0,84660.0,84719.0,84755.0,84784.0,84819.0,84866.0
5114033,26400.0,26453.0,26522.0,26589.0,26620.0,26643.0,26691.0,26717.0,26748.0,26790.0,26827.0,26851.0,26882.0,26953.0,27066.0,27104.0,27148.0,27185.0,27250.0,27290.0,27322.0,27360.0,27411.0
5114035,30000.0,30054.0,30125.0,30194.0,30227.0,30252.0,30303.0,30345.0,30397.0,30441.0,30479.0,30503.0,30536.0,30618.0,30738.0,30777.0,30823.0,30861.0,30928.0,30969.0,31002.0,31042.0,31094.0
5114037,33600.0,33664.0,33748.0,33829.0,33874.0,33907.0,33977.0,34007.0,34044.0,34082.0,34116.0,34137.0,34166.0,34232.0,34342.0,34380.0,34425.0,34463.0,34529.0,34569.0,34602.0,34641.0,34692.0
5114039,37200.0,37264.0,37348.0,37429.0,37474.0,37507.0,37577.0,37607.0,37644.0,37682.0,37716.0,37737.0,37766.0,37832.0,37942.0,37980.0,38025.0,38063.0,38129.0,38169.0,38202.0,38241.0,38292.0
5114041,40800.0,40864.0,40948.0,41029.0,41074.0,41107.0,41177.0,41207.0,41244.0,41282.0,41316.0,41337.0,41366.0,41432.0,41542.0,41580.0,41625.0,41663.0,41729.0,41769.0,41802.0,41841.0,41892.0
5114043,44400.0,44468.0,44558.0,44646.0,44691.0,44725.0,44795.0,44824.0,44859.0,44903.0,44942.0,44967.0,44999.0,45064.0,45173.0,45210.0,45254.0,45291.0,45355.0,45394.0,45426.0,45464.0,45514.0
5114045,48000.0,48068.0,48158.0,48246.0,48291.0,48325.0,48395.0,48424.0,48459.0,48503.0,48542.0,48567.0,48599.0,48664.0,48773.0,48810.0,48854.0,48891.0,48955.0,48994.0,49026.0,49064.0,49114.0
5114047,51600.0,51659.0,51737.0,51813.0,51853.0,51883.0,51945.0,51977.0,52015.0,52066.0,52111.0,52139.0,52177.0,52259.0,52377.0,52416.0,52462.0,52500.0,52567.0,52608.0,52641.0,52681.0,52733.0
5114049,55200.0,55260.0,55339.0,55416.0,55465.0,55501.0,55576.0,55606.0,55643.0,55688.0,55727.0,55752.0,55786.0,55858.0,56000.0,56039.0,56084.0,56122.0,56189.0,56230.0,56263.0,56302.0,56355.0
5114051,58800.0,58864.0,58948.0,59031.0,59071.0,59100.0,59162.0,59189.0,59221.0,59268.0,59309.0,59335.0,59370.0,59445.0,59582.0,59621.0,59667.0,59705.0,59772.0,59813.0,59846.0,59886.0,59938.0
5114053,62400.0,62458.0,62535.0,62610.0,62651.0,62681.0,62745.0,62773.0,62808.0,62848.0,62883.0,62905.0,62934.0,62999.0,63120.0,63158.0,63202.0,63239.0,63304.0,63344.0,63376.0,63415.0,63467.0
5114055,66000.0,66050.0,66116.0,66180.0,66211.0,66234.0,66281.0,66307.0,66339.0,66377.0,66410.0,66431.0,66460.0,66522.0,66634.0,66670.0,66713.0,66749.0,66812.0,66850.0,66881.0,66918.0,66968.0
5114057,69600.0,69650.0,69716.0,69780.0,69811.0,69834.0,69881.0,69907.0,69939.0,69977.0,70010.0,70031.0,70060.0,70122.0,70234.0,70270.0,70313.0,70349.0,70412.0,70450.0,70481.0,70518.0,70568.0
5114059,73200.0,73245.0,73304.0,73363.0,73389.0,73409.0,73450.0,73470.0,73494.0,73527.0,73556.0,73574.0,73598.0,73653.0,73752.0,73786.0,73826.0,73860.0,73919.0,73955.0,73984.0,74019.0,74066.0
5114061,76800.0,76845.0,76904.0,76963.0,76989.0,77009.0,77050.0,77070.0,77094.0,77127.0,77156.0,77174.0,77198.0,77253.0,77352.0,77386.0,77426.0,77460.0,77519.0,77555.0,77584.0,77619.0,77666.0
5114063,80400.0,80445.0,80504.0,80563.0,80589.0,80609.0,80650.0,80670.0,80694.0,80727.0,80756.0,80774.0,80798.0,80853.0,80952.0,80986.0,81026.0,81060.0,81119.0,81155.0,81184.0,81219.0,81266.0
5114065,84000.0,84045.0,84104.0,84163.0,84189.0,84209.0,84250.0,84270.0,84294.0,84327.0,84356.0,84374.0,84398.0,84453.0,84552.0,84586.0,84626.0,84660.0,84719.0,84755.0,84784.0,84819.0,84866.0
