tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P
0,2037.0,3046.0,3047.0,3048.0,3049.0,3050.0,3051.0,3052.0,3053.0,3054.0,3055.0,3056.0,3057.0,4830.0,3091.0,3092.0,3093.0,3094.0,3095.0,3096.0,3097.0,3098.0,7652.0
5010468,26400.0,26455.0,26527.0,26597.0,26629.0,26653.0,26703.0,26730.0,26762.0,26806.0,26844.0,26868.0,26901.0,26975.0,27092.0,27131.0,27177.0,27216.0,27283.0,27324.0,27357.0,27397.0,27451.0
5010470,30000.0,30056.0,30130.0,30202.0,30236.0,30261.0,30315.0,30359.0,30413.0,30459.0,30499.0,30524.0,30558.0,30643.0,30768.0,30808.0,30855.0,30895.0,30964.0,31006.0,31040.0,31081.0,31138.0
5010472,33600.0,33666.0,33753.0,33838.0,33885.0,33920.0,33992.0,34024.0,34062.0,34102.0,34137.0,34159.0,34189.0,34258.0,34372.0,34412.0,34459.0,34498.0,34566.0,34608.0,34642.0,34682.0,34736.0
5010474,37200.0,37266.0,37353.0,37438.0,37485.0,37520.0,37592.0,37624.0,37662.0,37702.0,37737.0,37759.0,37789.0,37858.0,37972.0,38012.0,38059.0,38098.0,38166.0,38208.0,38242.0,38282.0,38336.0
5010476,40800.0,40866.0,40953.0,41038.0,41085.0,41120.0,41192.0,41224.0,41262.0,41302.0,41337.0,41359.0,41389.0,41458.0,41572.0,41612.0,41659.0,41698.0,41766.0,41808.0,41842.0,41882.0,41936.0
5010478,44400.0,44471.0,44564.0,44656.0,44703.0,44738.0,44811.0,44841.0,44878.0,44924.0,44964.0,44990.0,45024.0,45092.0,45205.0,45244.0,45289.0,45327.0,45394.0,45435.0,45468.0,45507.0,45560.0
5010480,48000.0,48071.0,48164.0,48256.0,48303.0,48338.0,48411.0,48441.0,48478.0,48524.0,48564.0,48590.0,48624.0,48692.0,48805.0,48844.0,48889.0,48927.0,48994.0,49035.0,49068.0,49107.0,49160.0
5010482,51600.0,51662.0,51743.0,51821.0,51863.0,51894.0,51958.0,51991.0,52031.0,52084.0,52130.0,52160.0,52199.0,52284.0,52407.0,52447.0,52494.0,52534.0,52603.0,52645.0,52679.0,52720.0,52777.0
5010484,55200.0,55263.0,55345.0,55425.0,55476.0,55513.0,55591.0,55623.0,55661.0,55708.0,55749.0,55775.0,55810.0,55885.0,56033.0,56073.0,56120.0,56160.0,56229.0,56271.0,56305.0,56346.0,56402.0
5010486,58800.0,58867.0,58955.0,59040.0,59081.0,59112.0,59176.0,59204.0,59237.0,59286.0,59329.0,59356.0,59392.0,59470.0,59612.0,59652.0,59699.0,59739.0,59808.0,59850.0,59884.0,59925.0,59982.0
5010488,62400.0,62461.0,62540.0,62618.0,62661.0,62693.0,62758.0,62788.0,62824.0,62865.0,62901.0,62924.0,62955.0,63023.0,63149.0,63188.0,63234.0,63273.0,63341.0,63382.0,63416.0,63456.0,63510.0
5010490,66000.0,66052.0,66120.0,66187.0,66219.0,66243.0,66292.0,66319.0,66352.0,66392.0,66427.0,66449.0,66478.0,66542.0,66658.0,66696.0,66740.0,66777.0,66842.0,66882.0,66914.0,66953.0,67005.0
5010492,69600.0,69652.0,69720.0,69787.0,69819.0,69843.0,69892.0,69919.0,69952.0,69992.0,70027.0,70049.0,70078.0,70142.0,70258.0,70296.0,70340.0,70377.0,70442.0,70482.0,70514.0,70553.0,70605.0
5010494,73200.0,73247.0,73309.0,73370.0,73397.0,73417.0,73460.0,73481.0,73506.0,73540.0,73570.0,73589.0,73614.0,73671.0,73774.0,73810.0,73852.0,73887.0,73948.0,73985.0,74015.0,74051.0,74101.0
5010496,76800.0,76847.0,76909.0,76970.0,76997.0,77017.0,77060.0,77081.0,77106.0,77140.0,77170.0,77189.0,77214.0,77271.0,77374.0,77410.0,77452.0,77487.0,77548.0,77585.0,77615.0,77651.0,77701.0
5010498,80400.0,80447.0,80509.0,80570.0,80597.0,80617.0,80660.0,80681.0,80706.0,80740.0,80770.0,80789.0,80814.0,80871.0,80974.0,81010.0,81052.0,81087.0,81148.0,81185.0,81215.0,81251.0,81301.0
5010500,84000.0,84047.0,84109.0,84170.0,84197.0,84217.0,84260.0,84281.0,84306.0,84340.0,84370.0,84389.0,84414.0,84471.0,84574.0,84610.0,84652.0,84687.0,84748.0,84785.0,84815.0,84851.0,84901.0
5014636,26400.0,26483.0,26591.0,26697.0,26721.0,26739.0,26777.0,26796.0,26820.0,26878.0,26928.0,26960.0,27003.0,27078.0,27189.0,27229.0,27276.0,27316.0,27385.0,27427.0,27461.0,27502.0,27559.0
5014638,30000.0,30027.0,30062.0,30096.0,30121.0,30139.0,30177.0,30196.0,30220.0,30255.0,30285.0,30304.0,30330.0,30408.0,30519.0,30558.0,30604.0,30643.0,30711.0,30752.0,30786.0,30826.0,30881.0
5014640,33600.0,33657.0,33732.0,33805.0,33845.0,33875.0,33937.0,33962.0,33993.0,34032.0,34066.0,34088.0,34118.0,34186.0,34304.0,34344.0,34391.0,34431.0,34500.0,34542.0,34576.0,34617.0,34674.0
5014642,37200.0,37257.0,37332.0,37405.0,37445.0,37475.0,37537.0,37562.0,37593.0,37632.0,37666.0,37688.0,37718.0,37786.0,37904.0,37944.0,37991.0,38031.0,38100.0,38142.0,38176.0,38217.0,38274.0
5014644,40800.0,40857.0,40932.0,41005.0,41045.0,41075.0,41137.0,41162.0,41193.0,41232.0,41266.0,41288.0,41318.0,41386.0,41504.0,41544.0,41591.0,41631.0,41700.0,41742.0,41776.0,41817.0,41874.0
5014646,44400.0,44460.0,44539.0,44617.0,44648.0,44671.0,44719.0,44745.0,44777.0,44823.0,44863.0,44888.0,44922.0,44987.0,45110.0,45146.0,45188.0,45223.0,45284.0,45322.0,45352.0,45388.0,45438.0
5014648,48000.0,48060.0,48139.0,48217.0,48248.0,48271.0,48319.0,48345.0,48377.0,48423.0,48463.0,48488.0,48522.0,48587.0,48710.0,48746.0,48788.0,48823.0,48884.0,48922.0,48952.0,48988.0,49038.0
5014650,51600.0,51686.0,51798.0,51908.0,51953.0,51987.0,52057.0,52083.0,52115.0,52164.0,52207.0,52234.0,52271.0,52356.0,52502.0,52542.0,52589.0,52629.0,52698.0,52740.0,52774.0,52815.0,52872.0
5014652,55200.0,55302.0,55435.0,55566.0,55627.0,55672.0,55768.0,55800.0,55840.0,55895.0,55943.0,55974.0,56015.0,56109.0,56226.0,56266.0,56313.0,56353.0,56422.0,56464.0,56498.0,56539.0,56596.0
5019033,61200.0,61262.0,61344.0,61424.0,61458.0,61483.0,61536.0,61569.0,61609.0,61651.0,61688.0,61711.0,61742.0,61826.0,61963.0,62003.0,62050.0,62090.0,62159.0,62201.0,62235.0,62276.0,62333.0
5092033,36000.0,36036.0,36084.0,36131.0,36159.0,36180.0,36223.0,36243.0,36267.0,36295.0,36319.0,36334.0,36355.0,36407.0,36492.0,36522.0,36557.0,36587.0,36639.0,36670.0,36696.0,36727.0,36767.0
