tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
0,1184.0,7490.0,497.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,669.0,670.0,671.0,672.0,4382.0,1196.0,1197.0,1198.0,1199.0,1200.0,4385.0,1201.0,1202.0,1203.0,6115.0,4849.0,1205.0,1206.0,1207.0,1208.0,1209.0,1210.0,3575.0,3576.0,3648.0,3649.0,3650.0,7328.0,3651.0,3652.0,3653.0,3654.0,5084.0,6054.0,4330.0,3679.0,3711.0,3712.0,6359.0,7189.0
5086072,37800.0,37939.0,37961.0,38033.0,38088.0,38130.0,38182.0,38205.0,38237.0,38256.0,38272.0,38320.0,38366.0,38393.0,38435.0,38456.0,38513.0,38541.0,38600.0,38647.0,38675.0,38720.0,38786.0,38836.0,38892.0,38949.0,38995.0,39017.0,39162.0,39188.0,39224.0,39245.0,39260.0,39307.0,39340.0,39386.0,39436.0,39479.0,39502.0,39548.0,39570.0,39639.0,39693.0,39741.0,39808.0,39841.0,40008.0,40051.0,40085.0,40161.0,40200.0
5086074,45600.0,45739.0,45761.0,45833.0,45888.0,45930.0,45982.0,46005.0,46037.0,46056.0,46072.0,46120.0,46166.0,46193.0,46235.0,46256.0,46313.0,46341.0,46400.0,46447.0,46475.0,46520.0,46586.0,46636.0,46692.0,46749.0,46795.0,46817.0,46962.0,46988.0,47024.0,47045.0,47060.0,47107.0,47140.0,47186.0,47236.0,47279.0,47302.0,47348.0,47370.0,47439.0,47493.0,47541.0,47608.0,47641.0,47808.0,47851.0,47885.0,47961.0,48000.0
5086082,74400.0,74507.0,74531.0,74608.0,74667.0,74699.0,74738.0,74762.0,74795.0,74815.0,74826.0,74860.0,74893.0,74917.0,74955.0,74974.0,75023.0,75046.0,75088.0,75123.0,75144.0,75169.0,75206.0,75234.0,75273.0,75306.0,75350.0,75359.0,75416.0,75436.0,75465.0,75479.0,75490.0,75522.0,75548.0,75588.0,75631.0,75669.0,75689.0,75729.0,75749.0,75789.0,75820.0,75848.0,75887.0,75906.0,76011.0,76043.0,76069.0,76127.0,76157.0
5086084,81900.0,82007.0,82031.0,82108.0,82167.0,82199.0,82238.0,82262.0,82295.0,82315.0,82326.0,82360.0,82393.0,82417.0,82455.0,82474.0,82523.0,82546.0,82588.0,82623.0,82644.0,82669.0,82706.0,82734.0,82773.0,82806.0,82850.0,82859.0,82916.0,82936.0,82965.0,82979.0,82990.0,83022.0,83048.0,83088.0,83131.0,83169.0,83189.0,83229.0,83249.0,83289.0,83320.0,83348.0,83387.0,83406.0,83511.0,83543.0,83569.0,83627.0,83657.0
5088468,47100.0,47239.0,47261.0,47333.0,47388.0,47430.0,47482.0,47505.0,47537.0,47556.0,47572.0,47620.0,47666.0,47693.0,47735.0,47756.0,47813.0,47841.0,47900.0,47947.0,47975.0,48020.0,48086.0,48136.0,48192.0,48249.0,48295.0,48317.0,48462.0,48488.0,48524.0,48545.0,48560.0,48607.0,48640.0,48686.0,48736.0,48779.0,48802.0,48848.0,48870.0,48939.0,48993.0,49041.0,49108.0,49141.0,49308.0,49351.0,49385.0,49461.0,49500.0
5088470,57000.0,57130.0,57158.0,57249.0,57318.0,57378.0,57452.0,57481.0,57522.0,57547.0,57571.0,57643.0,57714.0,57738.0,57776.0,57795.0,57860.0,57891.0,57950.0,57989.0,58013.0,58079.0,58175.0,58249.0,58326.0,58408.0,58443.0,58469.0,58640.0,58660.0,58688.0,58706.0,58719.0,58761.0,58796.0,58855.0,58919.0,58975.0,59004.0,59064.0,59093.0,59161.0,59214.0,59261.0,59327.0,59358.0,59640.0,59683.0,59731.0,59839.0,59893.0
5088474,70500.0,70591.0,70610.0,70671.0,70717.0,70755.0,70801.0,70827.0,70864.0,70886.0,70905.0,70963.0,71019.0,71044.0,71083.0,71103.0,71158.0,71184.0,71247.0,71285.0,71307.0,71338.0,71382.0,71416.0,71471.0,71523.0,71580.0,71598.0,71716.0,71744.0,71783.0,71801.0,71815.0,71859.0,71900.0,71955.0,72015.0,72067.0,72094.0,72150.0,72177.0,72236.0,72282.0,72323.0,72380.0,72408.0,72597.0,72626.0,72652.0,72710.0,72740.0
5089033,31800.0,31959.0,31984.0,32065.0,32127.0,32171.0,32225.0,32254.0,32295.0,32320.0,32337.0,32389.0,32441.0,32467.0,32508.0,32529.0,32603.0,32639.0,32707.0,32767.0,32803.0,32849.0,32916.0,32968.0,33035.0,33099.0,33145.0,33163.0,33283.0,33308.0,33344.0,33367.0,33384.0,33438.0,33474.0,33524.0,33578.0,33625.0,33650.0,33701.0,33726.0,33791.0,33841.0,33886.0,33949.0,33978.0,34122.0,34174.0,34211.0,34294.0,34336.0
5089035,61200.0,61369.0,61411.0,61550.0,61657.0,61711.0,61776.0,61812.0,61863.0,61894.0,61932.0,62047.0,62159.0,62191.0,62241.0,62266.0,62352.0,62393.0,62473.0,62538.0,62577.0,62620.0,62683.0,62732.0,62832.0,62907.0,62969.0,62990.0,63129.0,63153.0,63188.0,63209.0,63225.0,63296.0,63336.0,63394.0,63457.0,63512.0,63541.0,63599.0,63626.0,63705.0,63766.0,63821.0,63897.0,63933.0,64148.0,64199.0,64248.0,64358.0,64413.0
