tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5007009,28800.0,29092.0,29282.0,29552.0,29691.0,29730.0,29803.0,29844.0,29956.0,29982.0,30042.0,30092.0,30187.0,30239.0,30297.0,30355.0,30411.0,30465.0,30531.0,30589.0,30672.0,30724.0,30755.0,30814.0,30851.0,30890.0,30967.0,31017.0,31102.0,31209.0,31230.0,31269.0,31293.0,31323.0,31380.0,31482.0,31556.0,31680.0,31780.0,31822.0,31916.0,31956.0,32039.0,32073.0,32104.0,32133.0,32170.0,32197.0,32239.0,32278.0,32344.0,32403.0,32485.0,32550.0,32604.0,32647.0,32687.0,32731.0,32781.0,32822.0,32933.0
5007011,39600.0,39873.0,40063.0,40333.0,40472.0,40500.0,40567.0,40605.0,40707.0,40735.0,40798.0,40841.0,40922.0,40965.0,41013.0,41061.0,41116.0,41169.0,41233.0,41267.0,41315.0,41364.0,41392.0,41447.0,41484.0,41522.0,41612.0,41672.0,41776.0,41889.0,41911.0,41953.0,41979.0,42011.0,42072.0,42183.0,42276.0,42433.0,42548.0,42596.0,42705.0,42743.0,42833.0,42869.0,42902.0,42933.0,42973.0,43002.0,43045.0,43085.0,43152.0,43212.0,43290.0,43353.0,43414.0,43463.0,43509.0,43558.0,43604.0,43642.0,43742.0
5007013,50400.0,50673.0,50863.0,51133.0,51272.0,51300.0,51367.0,51405.0,51507.0,51535.0,51598.0,51641.0,51722.0,51765.0,51813.0,51861.0,51916.0,51969.0,52033.0,52067.0,52115.0,52164.0,52192.0,52247.0,52284.0,52322.0,52412.0,52472.0,52576.0,52689.0,52711.0,52753.0,52779.0,52811.0,52872.0,52983.0,53076.0,53233.0,53348.0,53396.0,53505.0,53543.0,53633.0,53669.0,53702.0,53733.0,53773.0,53802.0,53845.0,53885.0,53952.0,54012.0,54090.0,54153.0,54214.0,54263.0,54309.0,54358.0,54404.0,54442.0,54542.0
5007282,21600.0,21819.0,21948.0,22132.0,22227.0,22259.0,22313.0,22343.0,22425.0,22447.0,22499.0,22534.0,22601.0,22637.0,22677.0,22717.0,22757.0,22796.0,22842.0,22879.0,22932.0,22974.0,22998.0,23040.0,23068.0,23097.0,23160.0,23201.0,23254.0,23332.0,23347.0,23378.0,23397.0,23420.0,23461.0,23534.0,23583.0,23665.0,23737.0,23767.0,23836.0,23869.0,23930.0,23952.0,23972.0,23991.0,24015.0,24031.0,24061.0,24089.0,24136.0,24179.0,24244.0,24296.0,24332.0,24361.0,24388.0,24418.0,24457.0,24489.0,24576.0
5007284,30600.0,30892.0,31082.0,31352.0,31491.0,31530.0,31603.0,31644.0,31756.0,31782.0,31842.0,31892.0,31987.0,32039.0,32097.0,32155.0,32211.0,32265.0,32331.0,32389.0,32472.0,32524.0,32555.0,32614.0,32651.0,32690.0,32767.0,32817.0,32902.0,33009.0,33030.0,33069.0,33093.0,33123.0,33180.0,33282.0,33356.0,33480.0,33580.0,33622.0,33716.0,33756.0,33839.0,33873.0,33904.0,33933.0,33970.0,33997.0,34039.0,34078.0,34144.0,34203.0,34285.0,34350.0,34404.0,34447.0,34487.0,34531.0,34581.0,34622.0,34733.0
5008233,57600.0,57893.0,58101.0,58397.0,58549.0,58575.0,58644.0,58683.0,58788.0,58812.0,58868.0,58914.0,59002.0,59039.0,59081.0,59123.0,59161.0,59198.0,59242.0,59271.0,59312.0,59378.0,59416.0,59474.0,59505.0,59537.0,59627.0,59686.0,59770.0,59901.0,59927.0,59983.0,60017.0,60058.0,60124.0,60242.0,60334.0,60487.0,60597.0,60643.0,60747.0,60793.0,60873.0,60912.0,60948.0,60982.0,61025.0,61056.0,61095.0,61131.0,61192.0,61247.0,61328.0,61393.0,61459.0,61512.0,61561.0,61614.0,61663.0,61703.0,61809.0
5009040,38700.0,38922.0,39069.0,39278.0,39385.0,39405.0,39454.0,39482.0,39557.0,39580.0,39632.0,39660.0,39712.0,39746.0,39784.0,39822.0,39868.0,39912.0,39966.0,39993.0,40031.0,40071.0,40094.0,40156.0,40185.0,40215.0,40295.0,40347.0,40432.0,40529.0,40548.0,40586.0,40609.0,40637.0,40707.0,40834.0,40908.0,41032.0,41124.0,41163.0,41250.0,41286.0,41370.0,41403.0,41433.0,41461.0,41497.0,41524.0,41566.0,41604.0,41669.0,41727.0,41789.0,41839.0,41895.0,41939.0,41981.0,42026.0,42069.0,42104.0,42197.0
5009042,49500.0,49736.0,49930.0,50206.0,50349.0,50374.0,50433.0,50466.0,50555.0,50579.0,50633.0,50669.0,50737.0,50773.0,50814.0,50854.0,50893.0,50931.0,50976.0,50997.0,51028.0,51069.0,51093.0,51142.0,51176.0,51211.0,51297.0,51353.0,51420.0,51508.0,51525.0,51561.0,51583.0,51610.0,51678.0,51800.0,51894.0,52052.0,52170.0,52219.0,52330.0,52361.0,52438.0,52474.0,52507.0,52538.0,52577.0,52606.0,52647.0,52685.0,52748.0,52805.0,52883.0,52946.0,52999.0,53042.0,53082.0,53125.0,53159.0,53187.0,53263.0
5010687,22500.0,22692.0,22822.0,23006.0,23101.0,23127.0,23159.0,23177.0,23225.0,23237.0,23265.0,23288.0,23331.0,23360.0,23393.0,23425.0,23460.0,23494.0,23534.0,23567.0,23614.0,23643.0,23660.0,23698.0,23730.0,23763.0,23823.0,23863.0,23899.0,23986.0,24003.0,24036.0,24056.0,24080.0,24116.0,24180.0,24236.0,24331.0,24393.0,24419.0,24477.0,24505.0,24572.0,24594.0,24614.0,24633.0,24657.0,24673.0,24702.0,24728.0,24772.0,24812.0,24866.0,24909.0,24942.0,24969.0,24994.0,25021.0,25051.0,25076.0,25142.0
5010739,34200.0,34469.0,34733.0,35108.0,35301.0,35331.0,35397.0,35434.0,35534.0,35559.0,35616.0,35662.0,35749.0,35795.0,35847.0,35898.0,35959.0,36018.0,36089.0,36131.0,36192.0,36246.0,36277.0,36344.0,36380.0,36417.0,36510.0,36571.0,36662.0,36772.0,36794.0,36834.0,36859.0,36889.0,36954.0,37071.0,37147.0,37274.0,37377.0,37420.0,37516.0,37551.0,37625.0,37658.0,37688.0,37716.0,37752.0,37779.0,37816.0,37850.0,37907.0,37958.0,38031.0,38090.0,38146.0,38190.0,38232.0,38277.0,38321.0,38357.0,38453.0
