tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
5086005,77400.0,77410.0,77529.0,77599.0,77716.0,77798.0,77889.0,77947.0,77983.0,78022.0,78064.0,78113.0,78160.0,78199.0,78254.0,78304.0,78332.0,78373.0,78400.0,78438.0,78472.0,78506.0,78551.0,78577.0,78623.0,78685.0,78735.0,78783.0,78795.0,78838.0,78855.0,78896.0,78922.0,79014.0,79046.0,79089.0
5086007,82800.0,82810.0,82929.0,82999.0,83116.0,83198.0,83289.0,83347.0,83383.0,83422.0,83464.0,83513.0,83560.0,83599.0,83654.0,83704.0,83732.0,83773.0,83800.0,83838.0,83872.0,83906.0,83951.0,83977.0,84023.0,84085.0,84135.0,84183.0,84195.0,84238.0,84255.0,84296.0,84322.0,84414.0,84446.0,84489.0
5087489,24900.0,24907.0,24992.0,25042.0,25125.0,25205.0,25339.0,25425.0,25459.0,25495.0,25547.0,25608.0,25653.0,25689.0,25741.0,25788.0,25814.0,25848.0,25870.0,25902.0,25938.0,25974.0,26023.0,26047.0,26091.0,26152.0,26201.0,26243.0,26253.0,26291.0,26308.0,26349.0,26375.0,26466.0,26498.0,26541.0
5087491,31200.0,31209.0,31316.0,31379.0,31485.0,31636.0,31793.0,31894.0,31937.0,31984.0,32039.0,32104.0,32167.0,32218.0,32291.0,32357.0,32394.0,32440.0,32470.0,32508.0,32562.0,32615.0,32686.0,32720.0,32781.0,32874.0,32949.0,32993.0,33004.0,33044.0,33061.0,33101.0,33126.0,33214.0,33245.0,33285.0
5087493,37800.0,37810.0,37935.0,38008.0,38132.0,38258.0,38389.0,38472.0,38511.0,38553.0,38607.0,38671.0,38718.0,38757.0,38812.0,38861.0,38889.0,38932.0,38961.0,39002.0,39048.0,39094.0,39156.0,39197.0,39271.0,39381.0,39469.0,39520.0,39533.0,39579.0,39598.0,39642.0,39670.0,39769.0,39803.0,39849.0
5087495,43800.0,43812.0,43958.0,44043.0,44186.0,44305.0,44441.0,44528.0,44573.0,44622.0,44684.0,44757.0,44812.0,44857.0,44921.0,44978.0,45010.0,45055.0,45085.0,45126.0,45171.0,45216.0,45277.0,45315.0,45383.0,45492.0,45579.0,45637.0,45652.0,45705.0,45724.0,45769.0,45797.0,45897.0,45932.0,45980.0
5087497,49800.0,49812.0,49958.0,50043.0,50186.0,50305.0,50441.0,50528.0,50573.0,50622.0,50684.0,50757.0,50812.0,50857.0,50921.0,50978.0,51010.0,51055.0,51085.0,51126.0,51171.0,51216.0,51277.0,51315.0,51383.0,51492.0,51579.0,51637.0,51652.0,51705.0,51724.0,51769.0,51797.0,51897.0,51932.0,51980.0
5087499,55800.0,55813.0,55969.0,56060.0,56213.0,56352.0,56482.0,56565.0,56607.0,56652.0,56709.0,56777.0,56833.0,56879.0,56945.0,57004.0,57036.0,57083.0,57114.0,57159.0,57213.0,57266.0,57338.0,57377.0,57446.0,57553.0,57638.0,57706.0,57723.0,57786.0,57806.0,57854.0,57884.0,57991.0,58028.0,58080.0
5087501,62700.0,62713.0,62865.0,62954.0,63103.0,63235.0,63368.0,63453.0,63495.0,63541.0,63609.0,63689.0,63745.0,63790.0,63855.0,63913.0,63946.0,63991.0,64021.0,64068.0,64112.0,64155.0,64213.0,64248.0,64311.0,64429.0,64524.0,64599.0,64618.0,64687.0,64709.0,64760.0,64792.0,64906.0,64946.0,65000.0
5088776,30600.0,30607.0,30687.0,30734.0,30813.0,30860.0,30916.0,30952.0,30978.0,31007.0,31062.0,31126.0,31149.0,31168.0,31195.0,31219.0,31233.0,31255.0,31269.0,31293.0,31319.0,31345.0,31380.0,31409.0,31461.0,31507.0,31543.0,31577.0,31585.0,31616.0,31630.0,31663.0,31683.0,31755.0,31780.0,31814.0
