tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
5099315,46200.0,46212.0,46358.0,46443.0,46586.0,46705.0,46841.0,46928.0,46973.0,47022.0,47084.0,47157.0,47212.0,47257.0,47321.0,47378.0,47410.0,47455.0,47485.0,47526.0,47571.0,47616.0,47677.0,47715.0,47783.0,47892.0,47979.0,48037.0,48052.0,48105.0,48124.0,48169.0,48197.0,48297.0,48332.0,48380.0
5099319,58200.0,58213.0,58369.0,58460.0,58613.0,58752.0,58882.0,58965.0,59007.0,59052.0,59109.0,59177.0,59233.0,59279.0,59345.0,59404.0,59436.0,59483.0,59514.0,59559.0,59613.0,59666.0,59738.0,59777.0,59846.0,59953.0,60038.0,60106.0,60123.0,60186.0,60206.0,60254.0,60284.0,60391.0,60428.0,60480.0
5099321,64500.0,64513.0,64667.0,64757.0,64909.0,65033.0,65157.0,65236.0,65275.0,65317.0,65396.0,65490.0,65545.0,65590.0,65654.0,65711.0,65742.0,65794.0,65828.0,65873.0,65920.0,65967.0,66029.0,66064.0,66125.0,66208.0,66275.0,66337.0,66352.0,66408.0,66429.0,66478.0,66509.0,66618.0,66656.0,66706.0
5099323,70500.0,70512.0,70659.0,70745.0,70890.0,71002.0,71120.0,71195.0,71234.0,71276.0,71328.0,71389.0,71441.0,71483.0,71544.0,71598.0,71629.0,71675.0,71706.0,71749.0,71792.0,71834.0,71891.0,71926.0,71988.0,72066.0,72129.0,72192.0,72208.0,72265.0,72284.0,72330.0,72359.0,72461.0,72497.0,72545.0
5099460,66600.0,66611.0,66749.0,66830.0,66966.0,67073.0,67171.0,67234.0,67272.0,67313.0,67353.0,67401.0,67451.0,67492.0,67551.0,67604.0,67633.0,67676.0,67705.0,67740.0,67771.0,67802.0,67843.0,67878.0,67940.0,67993.0,68035.0,68084.0,68096.0,68141.0,68157.0,68195.0,68219.0,68303.0,68332.0,68371.0
5099462,72000.0,72011.0,72149.0,72230.0,72366.0,72473.0,72571.0,72634.0,72672.0,72713.0,72753.0,72801.0,72851.0,72892.0,72951.0,73004.0,73033.0,73076.0,73105.0,73140.0,73171.0,73202.0,73243.0,73278.0,73340.0,73393.0,73435.0,73484.0,73496.0,73541.0,73557.0,73595.0,73619.0,73703.0,73732.0,73771.0
5099464,77400.0,77411.0,77544.0,77622.0,77752.0,77845.0,77935.0,77993.0,78032.0,78074.0,78124.0,78183.0,78222.0,78254.0,78300.0,78341.0,78364.0,78408.0,78438.0,78478.0,78518.0,78557.0,78610.0,78640.0,78694.0,78755.0,78803.0,78848.0,78859.0,78900.0,78919.0,78963.0,78991.0,79090.0,79124.0,79170.0
5099466,82800.0,82811.0,82944.0,83022.0,83152.0,83245.0,83335.0,83393.0,83432.0,83474.0,83524.0,83583.0,83622.0,83654.0,83700.0,83741.0,83764.0,83808.0,83838.0,83878.0,83918.0,83957.0,84010.0,84040.0,84094.0,84155.0,84203.0,84248.0,84259.0,84300.0,84319.0,84363.0,84391.0,84490.0,84524.0,84570.0
5102347,32100.0,32109.0,32216.0,32279.0,32385.0,32536.0,32693.0,32794.0,32837.0,32884.0,32939.0,33004.0,33067.0,33118.0,33191.0,33257.0,33294.0,33340.0,33370.0,33408.0,33462.0,33515.0,33586.0,33620.0,33681.0,33774.0,33849.0,33893.0,33904.0,33944.0,33961.0,34001.0,34026.0,34114.0,34145.0,34185.0
5102349,61800.0,61813.0,61965.0,62054.0,62203.0,62335.0,62468.0,62553.0,62595.0,62641.0,62709.0,62789.0,62845.0,62890.0,62955.0,63013.0,63046.0,63091.0,63121.0,63168.0,63212.0,63255.0,63313.0,63348.0,63411.0,63529.0,63624.0,63699.0,63718.0,63787.0,63809.0,63860.0,63892.0,64006.0,64046.0,64100.0
5102351,69000.0,69012.0,69159.0,69245.0,69390.0,69502.0,69620.0,69695.0,69734.0,69776.0,69828.0,69889.0,69941.0,69983.0,70044.0,70098.0,70129.0,70175.0,70206.0,70249.0,70292.0,70334.0,70391.0,70426.0,70488.0,70566.0,70629.0,70692.0,70708.0,70765.0,70784.0,70830.0,70859.0,70961.0,70997.0,71045.0
5109280,28500.0,28508.0,28602.0,28657.0,28748.0,28894.0,29068.0,29179.0,29223.0,29271.0,29331.0,29402.0,29468.0,29522.0,29599.0,29668.0,29706.0,29754.0,29786.0,29824.0,29890.0,29955.0,30043.0,30081.0,30149.0,30275.0,30376.0,30440.0,30456.0,30514.0,30536.0,30588.0,30621.0,30737.0,30777.0,30831.0
5109963,59100.0,59113.0,59269.0,59360.0,59513.0,59652.0,59782.0,59865.0,59907.0,59952.0,60009.0,60077.0,60133.0,60179.0,60245.0,60304.0,60336.0,60383.0,60414.0,60459.0,60513.0,60566.0,60638.0,60677.0,60746.0,60853.0,60938.0,61006.0,61023.0,61086.0,61106.0,61154.0,61184.0,61291.0,61328.0,61380.0
5109965,65400.0,65413.0,65567.0,65657.0,65809.0,65933.0,66057.0,66136.0,66175.0,66217.0,66296.0,66390.0,66445.0,66490.0,66554.0,66611.0,66642.0,66694.0,66728.0,66773.0,66820.0,66867.0,66929.0,66964.0,67025.0,67108.0,67175.0,67237.0,67252.0,67308.0,67329.0,67378.0,67409.0,67518.0,67556.0,67606.0
5112838,40200.0,40210.0,40335.0,40408.0,40532.0,40658.0,40789.0,40872.0,40911.0,40953.0,41007.0,41071.0,41118.0,41157.0,41212.0,41261.0,41289.0,41332.0,41361.0,41402.0,41448.0,41494.0,41556.0,41597.0,41671.0,41781.0,41869.0,41920.0,41933.0,41979.0,41998.0,42042.0,42070.0,42169.0,42203.0,42249.0
5112842,52200.0,52212.0,52355.0,52439.0,52579.0,52697.0,52816.0,52892.0,52938.0,52988.0,53047.0,53117.0,53172.0,53217.0,53281.0,53339.0,53372.0,53425.0,53460.0,53505.0,53557.0,53609.0,53679.0,53719.0,53791.0,53931.0,54043.0,54104.0,54119.0,54175.0,54196.0,54245.0,54276.0,54385.0,54423.0,54474.0
5112844,58200.0,58213.0,58369.0,58460.0,58613.0,58752.0,58882.0,58965.0,59007.0,59052.0,59109.0,59177.0,59233.0,59279.0,59345.0,59404.0,59436.0,59483.0,59514.0,59559.0,59613.0,59666.0,59738.0,59777.0,59846.0,59953.0,60038.0,60106.0,60123.0,60186.0,60206.0,60254.0,60284.0,60391.0,60428.0,60480.0
5112846,64500.0,64513.0,64667.0,64757.0,64909.0,65033.0,65157.0,65236.0,65275.0,65317.0,65396.0,65490.0,65545.0,65590.0,65654.0,65711.0,65742.0,65794.0,65828.0,65873.0,65920.0,65967.0,66029.0,66064.0,66125.0,66208.0,66275.0,66337.0,66352.0,66408.0,66429.0,66478.0,66509.0,66618.0,66656.0,66706.0
5112848,70500.0,70512.0,70659.0,70745.0,70890.0,71002.0,71120.0,71195.0,71234.0,71276.0,71328.0,71389.0,71441.0,71483.0,71544.0,71598.0,71629.0,71675.0,71706.0,71749.0,71792.0,71834.0,71891.0,71926.0,71988.0,72066.0,72129.0,72192.0,72208.0,72265.0,72284.0,72330.0,72359.0,72461.0,72497.0,72545.0
5113205,29400.0,29408.0,29502.0,29557.0,29648.0,29794.0,29968.0,30079.0,30123.0,30171.0,30231.0,30302.0,30368.0,30422.0,30499.0,30568.0,30606.0,30654.0,30686.0,30724.0,30790.0,30855.0,30943.0,30981.0,31049.0,31175.0,31276.0,31340.0,31356.0,31414.0,31436.0,31488.0,31521.0,31637.0,31677.0,31731.0
5113207,35400.0,35410.0,35535.0,35608.0,35732.0,35858.0,35989.0,36072.0,36111.0,36153.0,36207.0,36271.0,36318.0,36357.0,36412.0,36461.0,36489.0,36532.0,36561.0,36602.0,36648.0,36694.0,36756.0,36797.0,36871.0,36981.0,37069.0,37120.0,37133.0,37179.0,37198.0,37242.0,37270.0,37369.0,37403.0,37449.0
5113209,41400.0,41412.0,41558.0,41643.0,41786.0,41905.0,42041.0,42128.0,42173.0,42222.0,42284.0,42357.0,42412.0,42457.0,42521.0,42578.0,42610.0,42655.0,42685.0,42726.0,42771.0,42816.0,42877.0,42915.0,42983.0,43092.0,43179.0,43237.0,43252.0,43305.0,43324.0,43369.0,43397.0,43497.0,43532.0,43580.0
5113211,47400.0,47412.0,47558.0,47643.0,47786.0,47905.0,48041.0,48128.0,48173.0,48222.0,48284.0,48357.0,48412.0,48457.0,48521.0,48578.0,48610.0,48655.0,48685.0,48726.0,48771.0,48816.0,48877.0,48915.0,48983.0,49092.0,49179.0,49237.0,49252.0,49305.0,49324.0,49369.0,49397.0,49497.0,49532.0,49580.0
5113213,53400.0,53412.0,53555.0,53639.0,53779.0,53897.0,54016.0,54092.0,54138.0,54188.0,54247.0,54317.0,54372.0,54417.0,54481.0,54539.0,54572.0,54625.0,54660.0,54705.0,54757.0,54809.0,54879.0,54919.0,54991.0,55131.0,55243.0,55304.0,55319.0,55375.0,55396.0,55445.0,55476.0,55585.0,55623.0,55674.0
5113217,66600.0,66612.0,66759.0,66845.0,66990.0,67102.0,67220.0,67295.0,67334.0,67376.0,67428.0,67489.0,67541.0,67583.0,67644.0,67698.0,67729.0,67775.0,67806.0,67849.0,67892.0,67934.0,67991.0,68026.0,68088.0,68166.0,68229.0,68292.0,68308.0,68365.0,68384.0,68430.0,68459.0,68561.0,68597.0,68645.0
5113218,75600.0,75610.0,75729.0,75799.0,75916.0,75998.0,76089.0,76147.0,76183.0,76222.0,76264.0,76313.0,76360.0,76399.0,76454.0,76504.0,76532.0,76573.0,76600.0,76638.0,76672.0,76706.0,76751.0,76777.0,76823.0,76885.0,76935.0,76983.0,76995.0,77038.0,77055.0,77096.0,77122.0,77214.0,77246.0,77289.0
5113220,81000.0,81010.0,81129.0,81199.0,81316.0,81398.0,81489.0,81547.0,81583.0,81622.0,81664.0,81713.0,81760.0,81799.0,81854.0,81904.0,81932.0,81973.0,82000.0,82038.0,82072.0,82106.0,82151.0,82177.0,82223.0,82285.0,82335.0,82383.0,82395.0,82438.0,82455.0,82496.0,82522.0,82614.0,82646.0,82689.0
5116665,26100.0,26107.0,26192.0,26242.0,26325.0,26405.0,26539.0,26625.0,26659.0,26695.0,26747.0,26808.0,26853.0,26889.0,26941.0,26988.0,27014.0,27048.0,27070.0,27102.0,27138.0,27174.0,27223.0,27247.0,27291.0,27352.0,27401.0,27443.0,27453.0,27491.0,27508.0,27549.0,27575.0,27666.0,27698.0,27741.0
5116667,33000.0,33009.0,33116.0,33179.0,33285.0,33436.0,33593.0,33694.0,33737.0,33784.0,33839.0,33904.0,33967.0,34018.0,34091.0,34157.0,34194.0,34240.0,34270.0,34308.0,34362.0,34415.0,34486.0,34520.0,34581.0,34674.0,34749.0,34793.0,34804.0,34844.0,34861.0,34901.0,34926.0,35014.0,35045.0,35085.0
5116669,39000.0,39010.0,39135.0,39208.0,39332.0,39458.0,39589.0,39672.0,39711.0,39753.0,39807.0,39871.0,39918.0,39957.0,40012.0,40061.0,40089.0,40132.0,40161.0,40202.0,40248.0,40294.0,40356.0,40397.0,40471.0,40581.0,40669.0,40720.0,40733.0,40779.0,40798.0,40842.0,40870.0,40969.0,41003.0,41049.0
5116671,45000.0,45012.0,45158.0,45243.0,45386.0,45505.0,45641.0,45728.0,45773.0,45822.0,45884.0,45957.0,46012.0,46057.0,46121.0,46178.0,46210.0,46255.0,46285.0,46326.0,46371.0,46416.0,46477.0,46515.0,46583.0,46692.0,46779.0,46837.0,46852.0,46905.0,46924.0,46969.0,46997.0,47097.0,47132.0,47180.0
5116673,51000.0,51012.0,51158.0,51243.0,51386.0,51505.0,51641.0,51728.0,51773.0,51822.0,51884.0,51957.0,52012.0,52057.0,52121.0,52178.0,52210.0,52255.0,52285.0,52326.0,52371.0,52416.0,52477.0,52515.0,52583.0,52692.0,52779.0,52837.0,52852.0,52905.0,52924.0,52969.0,52997.0,53097.0,53132.0,53180.0
5116675,57000.0,57013.0,57169.0,57260.0,57413.0,57552.0,57682.0,57765.0,57807.0,57852.0,57909.0,57977.0,58033.0,58079.0,58145.0,58204.0,58236.0,58283.0,58314.0,58359.0,58413.0,58466.0,58538.0,58577.0,58646.0,58753.0,58838.0,58906.0,58923.0,58986.0,59006.0,59054.0,59084.0,59191.0,59228.0,59280.0
5116677,63600.0,63613.0,63767.0,63857.0,64009.0,64133.0,64257.0,64336.0,64375.0,64417.0,64496.0,64590.0,64645.0,64690.0,64754.0,64811.0,64842.0,64894.0,64928.0,64973.0,65020.0,65067.0,65129.0,65164.0,65225.0,65308.0,65375.0,65437.0,65452.0,65508.0,65529.0,65578.0,65609.0,65718.0,65756.0,65806.0
5117352,24900.0,24907.0,24992.0,25042.0,25125.0,25205.0,25339.0,25425.0,25459.0,25495.0,25547.0,25608.0,25653.0,25689.0,25741.0,25788.0,25814.0,25848.0,25870.0,25902.0,25938.0,25974.0,26023.0,26047.0,26091.0,26152.0,26201.0,26243.0,26253.0,26291.0,26308.0,26349.0,26375.0,26466.0,26498.0,26541.0
5117354,31200.0,31209.0,31316.0,31379.0,31485.0,31636.0,31793.0,31894.0,31937.0,31984.0,32039.0,32104.0,32167.0,32218.0,32291.0,32357.0,32394.0,32440.0,32470.0,32508.0,32562.0,32615.0,32686.0,32720.0,32781.0,32874.0,32949.0,32993.0,33004.0,33044.0,33061.0,33101.0,33126.0,33214.0,33245.0,33285.0
5117356,37800.0,37810.0,37935.0,38008.0,38132.0,38258.0,38389.0,38472.0,38511.0,38553.0,38607.0,38671.0,38718.0,38757.0,38812.0,38861.0,38889.0,38932.0,38961.0,39002.0,39048.0,39094.0,39156.0,39197.0,39271.0,39381.0,39469.0,39520.0,39533.0,39579.0,39598.0,39642.0,39670.0,39769.0,39803.0,39849.0
5117358,43800.0,43812.0,43958.0,44043.0,44186.0,44305.0,44441.0,44528.0,44573.0,44622.0,44684.0,44757.0,44812.0,44857.0,44921.0,44978.0,45010.0,45055.0,45085.0,45126.0,45171.0,45216.0,45277.0,45315.0,45383.0,45492.0,45579.0,45637.0,45652.0,45705.0,45724.0,45769.0,45797.0,45897.0,45932.0,45980.0
5117362,55800.0,55813.0,55969.0,56060.0,56213.0,56352.0,56482.0,56565.0,56607.0,56652.0,56709.0,56777.0,56833.0,56879.0,56945.0,57004.0,57036.0,57083.0,57114.0,57159.0,57213.0,57266.0,57338.0,57377.0,57446.0,57553.0,57638.0,57706.0,57723.0,57786.0,57806.0,57854.0,57884.0,57991.0,58028.0,58080.0
5117364,62700.0,62713.0,62865.0,62954.0,63103.0,63235.0,63368.0,63453.0,63495.0,63541.0,63609.0,63689.0,63745.0,63790.0,63855.0,63913.0,63946.0,63991.0,64021.0,64068.0,64112.0,64155.0,64213.0,64248.0,64311.0,64429.0,64524.0,64599.0,64618.0,64687.0,64709.0,64760.0,64792.0,64906.0,64946.0,65000.0
5117514,23700.0,23707.0,23792.0,23842.0,23925.0,24005.0,24139.0,24225.0,24259.0,24295.0,24347.0,24408.0,24453.0,24489.0,24541.0,24588.0,24614.0,24648.0,24670.0,24702.0,24738.0,24774.0,24823.0,24847.0,24891.0,24952.0,25001.0,25043.0,25053.0,25091.0,25108.0,25149.0,25175.0,25266.0,25298.0,25341.0
5117516,30300.0,30308.0,30402.0,30457.0,30548.0,30694.0,30868.0,30979.0,31023.0,31071.0,31131.0,31202.0,31268.0,31322.0,31399.0,31468.0,31506.0,31554.0,31586.0,31624.0,31690.0,31755.0,31843.0,31881.0,31949.0,32075.0,32176.0,32240.0,32256.0,32314.0,32336.0,32388.0,32421.0,32537.0,32577.0,32631.0
5117520,42600.0,42612.0,42758.0,42843.0,42986.0,43105.0,43241.0,43328.0,43373.0,43422.0,43484.0,43557.0,43612.0,43657.0,43721.0,43778.0,43810.0,43855.0,43885.0,43926.0,43971.0,44016.0,44077.0,44115.0,44183.0,44292.0,44379.0,44437.0,44452.0,44505.0,44524.0,44569.0,44597.0,44697.0,44732.0,44780.0
5117528,67800.0,67812.0,67959.0,68045.0,68190.0,68302.0,68420.0,68495.0,68534.0,68576.0,68628.0,68689.0,68741.0,68783.0,68844.0,68898.0,68929.0,68975.0,69006.0,69049.0,69092.0,69134.0,69191.0,69226.0,69288.0,69366.0,69429.0,69492.0,69508.0,69565.0,69584.0,69630.0,69659.0,69761.0,69797.0,69845.0
5117530,73800.0,73810.0,73929.0,73999.0,74116.0,74198.0,74289.0,74347.0,74383.0,74422.0,74464.0,74513.0,74560.0,74599.0,74654.0,74704.0,74732.0,74773.0,74800.0,74838.0,74872.0,74906.0,74951.0,74977.0,75023.0,75085.0,75135.0,75183.0,75195.0,75238.0,75255.0,75296.0,75322.0,75414.0,75446.0,75489.0
5117532,79200.0,79210.0,79329.0,79399.0,79516.0,79598.0,79689.0,79747.0,79783.0,79822.0,79864.0,79913.0,79960.0,79999.0,80054.0,80104.0,80132.0,80173.0,80200.0,80238.0,80272.0,80306.0,80351.0,80377.0,80423.0,80485.0,80535.0,80583.0,80595.0,80638.0,80655.0,80696.0,80722.0,80814.0,80846.0,80889.0
5117534,84600.0,84610.0,84729.0,84799.0,84916.0,84998.0,85089.0,85147.0,85183.0,85222.0,85264.0,85313.0,85360.0,85399.0,85454.0,85504.0,85532.0,85573.0,85600.0,85638.0,85672.0,85706.0,85751.0,85777.0,85823.0,85885.0,85935.0,85983.0,85995.0,86038.0,86055.0,86096.0,86122.0,86214.0,86246.0,86289.0
