tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
0,3890.0,3891.0,7187.0,4001.0,3949.0,3950.0,3372.0,3373.0,3374.0,2233.0,2232.0,2234.0,2235.0,2239.0,2241.0,2242.0,7435.0,2722.0,4413.0,1476.0,7453.0,1478.0,1479.0,315.0,336.0,406.0,747.0,748.0,749.0,750.0,751.0,752.0,753.0,754.0,755.0,756.0,757.0,758.0,759.0,760.0,761.0,762.0,763.0,4953.0
5002412,28200.0,28220.0,28333.0,28433.0,28553.0,28597.0,28710.0,28793.0,28839.0,28927.0,28961.0,29021.0,29052.0,29294.0,29552.0,29607.0,29995.0,30022.0,30151.0,30405.0,30579.0,30726.0,30826.0,31271.0,31590.0,31827.0,31968.0,32065.0,32182.0,32252.0,32322.0,32408.0,32446.0,32489.0,32538.0,32615.0,32685.0,32710.0,32775.0,32824.0,32852.0,32877.0,32957.0,33164.0
5089036,28200.0,28219.0,28327.0,28423.0,28538.0,28582.0,28691.0,28771.0,28815.0,28900.0,28933.0,28991.0,29021.0,29254.0,29502.0,29555.0,29928.0,29954.0,30078.0,30322.0,30490.0,30631.0,30727.0,31155.0,31462.0,31690.0,31825.0,31918.0,32031.0,32098.0,32165.0,32248.0,32284.0,32325.0,32373.0,32447.0,32514.0,32538.0,32601.0,32648.0,32675.0,32699.0,32776.0,32975.0
