tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
5007709,36900.0,36982.0,37115.0,37188.0,37254.0,37329.0,37429.0,37476.0,37652.0,37786.0,37841.0,37918.0,37976.0,38072.0,38114.0,38149.0,38209.0,38239.0,38273.0,38347.0,38396.0,38464.0,38524.0,38545.0,38574.0,38602.0,38664.0,38726.0,38756.0,38825.0,38890.0,38946.0,38979.0,39035.0,39085.0,39154.0,39253.0,39303.0,39341.0,39410.0,39488.0,39657.0,39731.0,39992.0
5007711,45900.0,45984.0,46121.0,46202.0,46271.0,46350.0,46450.0,46497.0,46673.0,46805.0,46861.0,46946.0,47008.0,47106.0,47151.0,47188.0,47249.0,47284.0,47323.0,47409.0,47467.0,47548.0,47611.0,47633.0,47663.0,47694.0,47757.0,47819.0,47852.0,47931.0,48004.0,48065.0,48101.0,48163.0,48219.0,48282.0,48372.0,48425.0,48465.0,48524.0,48591.0,48745.0,48818.0,49073.0
5007713,54900.0,54979.0,55109.0,55210.0,55278.0,55356.0,55451.0,55496.0,55663.0,55790.0,55848.0,55937.0,55998.0,56107.0,56159.0,56202.0,56268.0,56305.0,56346.0,56435.0,56495.0,56578.0,56634.0,56653.0,56680.0,56708.0,56768.0,56828.0,56863.0,56935.0,57002.0,57059.0,57092.0,57149.0,57200.0,57252.0,57327.0,57372.0,57406.0,57470.0,57542.0,57730.0,57806.0,58073.0
5007715,63900.0,63981.0,64114.0,64252.0,64320.0,64397.0,64506.0,64557.0,64748.0,64892.0,64950.0,65029.0,65089.0,65203.0,65259.0,65305.0,65368.0,65401.0,65438.0,65519.0,65573.0,65650.0,65710.0,65731.0,65760.0,65788.0,65854.0,65920.0,65957.0,66032.0,66103.0,66160.0,66193.0,66250.0,66302.0,66352.0,66424.0,66479.0,66521.0,66587.0,66661.0,66835.0,66913.0,67187.0
5008402,84600.0,84670.0,84784.0,84841.0,84896.0,84958.0,85021.0,85051.0,85162.0,85245.0,85287.0,85342.0,85389.0,85471.0,85508.0,85538.0,85589.0,85614.0,85642.0,85702.0,85742.0,85798.0,85847.0,85864.0,85888.0,85912.0,85950.0,85987.0,86010.0,86053.0,86094.0,86135.0,86159.0,86200.0,86238.0,86263.0,86299.0,86331.0,86356.0,86400.0,86451.0,86585.0,86656.0,86905.0
5008901,31200.0,31311.0,31493.0,31595.0,31668.0,31752.0,31841.0,31883.0,32039.0,32156.0,32221.0,32328.0,32396.0,32509.0,32570.0,32620.0,32701.0,32767.0,32840.0,33000.0,33107.0,33256.0,33333.0,33360.0,33397.0,33435.0,33541.0,33645.0,33689.0,33776.0,33858.0,33942.0,33991.0,34075.0,34151.0,34226.0,34334.0,34390.0,34432.0,34519.0,34618.0,34800.0,34880.0,35162.0
5008903,40500.0,40582.0,40715.0,40788.0,40854.0,40929.0,41029.0,41076.0,41252.0,41386.0,41441.0,41518.0,41576.0,41672.0,41714.0,41749.0,41809.0,41839.0,41873.0,41947.0,41996.0,42064.0,42124.0,42145.0,42174.0,42202.0,42264.0,42326.0,42356.0,42425.0,42490.0,42546.0,42579.0,42635.0,42685.0,42754.0,42853.0,42903.0,42941.0,43010.0,43088.0,43257.0,43331.0,43592.0
5008905,49500.0,49584.0,49721.0,49802.0,49871.0,49950.0,50050.0,50097.0,50273.0,50405.0,50461.0,50546.0,50608.0,50706.0,50751.0,50788.0,50849.0,50884.0,50923.0,51009.0,51067.0,51148.0,51211.0,51233.0,51263.0,51294.0,51357.0,51419.0,51452.0,51531.0,51604.0,51665.0,51701.0,51763.0,51819.0,51882.0,51972.0,52025.0,52065.0,52124.0,52191.0,52345.0,52418.0,52673.0
5008907,58500.0,58579.0,58709.0,58810.0,58878.0,58956.0,59051.0,59096.0,59263.0,59390.0,59448.0,59537.0,59598.0,59707.0,59759.0,59802.0,59868.0,59905.0,59946.0,60035.0,60095.0,60178.0,60234.0,60253.0,60280.0,60308.0,60368.0,60428.0,60463.0,60535.0,60602.0,60659.0,60692.0,60749.0,60800.0,60852.0,60927.0,60972.0,61006.0,61070.0,61142.0,61330.0,61406.0,61673.0
5008909,67500.0,67573.0,67693.0,67773.0,67833.0,67902.0,67981.0,68018.0,68156.0,68260.0,68312.0,68386.0,68436.0,68532.0,68575.0,68611.0,68666.0,68695.0,68727.0,68797.0,68844.0,68908.0,68961.0,68979.0,69004.0,69031.0,69096.0,69161.0,69186.0,69278.0,69364.0,69419.0,69451.0,69506.0,69556.0,69614.0,69698.0,69742.0,69775.0,69819.0,69868.0,70012.0,70088.0,70356.0
