tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
5087492,34200.0,34232.0,34255.0,34279.0,34321.0,34382.0,34412.0,34446.0,34507.0,34537.0,34570.0,34612.0,34668.0,34697.0,34771.0,34808.0,34850.0,34938.0,34998.0,35048.0,35102.0,35152.0,35191.0,35234.0,35309.0,35348.0,35388.0,35430.0,35478.0,35508.0,35565.0,35589.0,35686.0,35750.0,35823.0,36001.0,36087.0,36173.0,36260.0
5087494,40800.0,40832.0,40855.0,40879.0,40921.0,40982.0,41012.0,41046.0,41107.0,41137.0,41170.0,41212.0,41268.0,41297.0,41371.0,41408.0,41450.0,41538.0,41598.0,41648.0,41702.0,41752.0,41791.0,41834.0,41909.0,41948.0,41988.0,42030.0,42078.0,42108.0,42165.0,42189.0,42286.0,42350.0,42423.0,42601.0,42687.0,42773.0,42860.0
5087496,46800.0,46834.0,46859.0,46884.0,46928.0,46992.0,47024.0,47060.0,47123.0,47154.0,47187.0,47233.0,47294.0,47326.0,47407.0,47447.0,47493.0,47570.0,47634.0,47686.0,47742.0,47793.0,47841.0,47894.0,47984.0,48030.0,48078.0,48128.0,48182.0,48217.0,48280.0,48307.0,48397.0,48456.0,48523.0,48680.0,48759.0,48838.0,48916.0
5087498,52800.0,52835.0,52860.0,52886.0,52932.0,52998.0,53031.0,53068.0,53133.0,53166.0,53202.0,53254.0,53323.0,53359.0,53452.0,53498.0,53551.0,53668.0,53730.0,53781.0,53831.0,53877.0,53916.0,53960.0,54042.0,54084.0,54128.0,54173.0,54226.0,54260.0,54315.0,54339.0,54422.0,54476.0,54539.0,54676.0,54754.0,54832.0,54910.0
5087500,58800.0,58842.0,58873.0,58904.0,58959.0,59038.0,59078.0,59122.0,59200.0,59236.0,59276.0,59330.0,59402.0,59439.0,59535.0,59583.0,59638.0,59785.0,59865.0,59931.0,59987.0,60038.0,60085.0,60138.0,60232.0,60280.0,60331.0,60383.0,60436.0,60469.0,60519.0,60540.0,60621.0,60674.0,60734.0,60907.0,60984.0,61061.0,61139.0
5088779,38700.0,38728.0,38748.0,38769.0,38805.0,38857.0,38883.0,38912.0,38964.0,38985.0,39008.0,39035.0,39071.0,39090.0,39139.0,39163.0,39192.0,39261.0,39299.0,39330.0,39372.0,39410.0,39437.0,39468.0,39534.0,39568.0,39604.0,39640.0,39678.0,39703.0,39752.0,39773.0,39836.0,39877.0,39925.0,40024.0,40087.0,40150.0,40212.0
5088783,49500.0,49531.0,49553.0,49576.0,49616.0,49673.0,49702.0,49734.0,49789.0,49823.0,49860.0,49895.0,49942.0,49966.0,50029.0,50060.0,50097.0,50142.0,50206.0,50258.0,50308.0,50353.0,50384.0,50419.0,50485.0,50519.0,50554.0,50590.0,50638.0,50669.0,50731.0,50757.0,50840.0,50894.0,50957.0,51070.0,51147.0,51224.0,51300.0
5088785,54900.0,54932.0,54955.0,54979.0,55021.0,55082.0,55112.0,55146.0,55206.0,55226.0,55248.0,55292.0,55351.0,55382.0,55461.0,55500.0,55545.0,55600.0,55664.0,55716.0,55764.0,55807.0,55838.0,55873.0,55954.0,55996.0,56040.0,56084.0,56153.0,56197.0,56250.0,56273.0,56360.0,56417.0,56482.0,56636.0,56706.0,56776.0,56846.0
5088789,65700.0,65732.0,65755.0,65779.0,65821.0,65881.0,65911.0,65945.0,66003.0,66025.0,66049.0,66087.0,66137.0,66163.0,66231.0,66264.0,66303.0,66366.0,66412.0,66449.0,66495.0,66538.0,66564.0,66592.0,66670.0,66710.0,66752.0,66795.0,66841.0,66871.0,66922.0,66944.0,67022.0,67073.0,67132.0,67271.0,67385.0,67499.0,67612.0
5088791,71100.0,71137.0,71164.0,71191.0,71239.0,71309.0,71344.0,71383.0,71450.0,71480.0,71512.0,71544.0,71587.0,71609.0,71666.0,71694.0,71727.0,71785.0,71820.0,71849.0,71894.0,71935.0,71960.0,71987.0,72047.0,72078.0,72110.0,72142.0,72187.0,72215.0,72261.0,72280.0,72332.0,72366.0,72406.0,72505.0,72585.0,72665.0,72746.0
5088795,81900.0,81932.0,81955.0,81978.0,82019.0,82078.0,82108.0,82141.0,82198.0,82217.0,82238.0,82263.0,82296.0,82313.0,82357.0,82379.0,82405.0,82475.0,82520.0,82557.0,82603.0,82645.0,82673.0,82704.0,82772.0,82807.0,82843.0,82880.0,82926.0,82956.0,83007.0,83028.0,83096.0,83140.0,83191.0,83299.0,83384.0,83469.0,83553.0
5090529,31500.0,31525.0,31543.0,31561.0,31593.0,31640.0,31663.0,31689.0,31736.0,31747.0,31758.0,31777.0,31802.0,31815.0,31848.0,31864.0,31883.0,31924.0,32024.0,32106.0,32127.0,32147.0,32178.0,32212.0,32261.0,32286.0,32312.0,32340.0,32378.0,32402.0,32448.0,32467.0,32514.0,32544.0,32579.0,32700.0,32749.0,32798.0,32848.0
5090531,36900.0,36928.0,36948.0,36969.0,37005.0,37057.0,37083.0,37112.0,37164.0,37185.0,37208.0,37235.0,37271.0,37290.0,37339.0,37363.0,37392.0,37461.0,37499.0,37530.0,37572.0,37610.0,37637.0,37668.0,37734.0,37768.0,37804.0,37840.0,37878.0,37903.0,37952.0,37973.0,38036.0,38077.0,38125.0,38224.0,38287.0,38350.0,38412.0
5090533,42300.0,42331.0,42353.0,42376.0,42416.0,42473.0,42502.0,42534.0,42589.0,42623.0,42660.0,42695.0,42742.0,42766.0,42829.0,42860.0,42897.0,42942.0,43006.0,43058.0,43108.0,43153.0,43184.0,43219.0,43285.0,43319.0,43354.0,43390.0,43438.0,43469.0,43531.0,43557.0,43640.0,43694.0,43757.0,43870.0,43947.0,44024.0,44100.0
5090902,26100.0,26138.0,26166.0,26194.0,26244.0,26316.0,26352.0,26392.0,26461.0,26492.0,26526.0,26555.0,26594.0,26614.0,26666.0,26692.0,26723.0,26823.0,26872.0,26912.0,26971.0,27025.0,27066.0,27111.0,27198.0,27243.0,27290.0,27338.0,27387.0,27419.0,27480.0,27506.0,27643.0,27732.0,27835.0,27991.0,28059.0,28127.0,28196.0
5091587,38400.0,38432.0,38455.0,38479.0,38521.0,38582.0,38612.0,38646.0,38707.0,38737.0,38770.0,38812.0,38868.0,38897.0,38971.0,39008.0,39050.0,39138.0,39198.0,39248.0,39302.0,39352.0,39391.0,39434.0,39509.0,39548.0,39588.0,39630.0,39678.0,39708.0,39765.0,39789.0,39886.0,39950.0,40023.0,40201.0,40287.0,40373.0,40460.0
