tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P
0,226.0,228.0,229.0,227.0,230.0,231.0,1641.0,1642.0,213.0,214.0,4432.0,119.0,44.0,7603.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,265.0,271.0,340.0,350.0,351.0,352.0,353.0,354.0,355.0,356.0,357.0,390.0,372.0,373.0,374.0,375.0,2804.0,376.0,377.0,378.0,380.0
5005480,30600.0,30643.0,30678.0,30736.0,30772.0,30820.0,30877.0,30913.0,30950.0,30979.0,31009.0,31041.0,31061.0,31075.0,31092.0,31140.0,31197.0,31238.0,31296.0,31337.0,31360.0,31472.0,31605.0,31704.0,31805.0,31889.0,31928.0,31966.0,32001.0,32039.0,32109.0,32155.0,32209.0,32254.0,32282.0,32306.0,32356.0,32430.0,32461.0,32480.0,32512.0,32530.0
5005482,37800.0,37847.0,37886.0,37950.0,37989.0,38042.0,38124.0,38176.0,38229.0,38261.0,38294.0,38329.0,38370.0,38399.0,38433.0,38496.0,38572.0,38623.0,38695.0,38768.0,38808.0,38971.0,39157.0,39296.0,39438.0,39560.0,39617.0,39671.0,39724.0,39781.0,39885.0,39955.0,40006.0,40048.0,40082.0,40112.0,40161.0,40234.0,40264.0,40289.0,40330.0,40353.0
5005486,52800.0,52853.0,52897.0,52970.0,53015.0,53075.0,53149.0,53196.0,53243.0,53283.0,53323.0,53366.0,53403.0,53430.0,53461.0,53523.0,53597.0,53650.0,53727.0,53797.0,53835.0,53955.0,54166.0,54323.0,54485.0,54610.0,54668.0,54725.0,54774.0,54827.0,54926.0,54993.0,55041.0,55086.0,55125.0,55160.0,55214.0,55295.0,55329.0,55356.0,55400.0,55425.0
5005488,60000.0,60050.0,60091.0,60159.0,60201.0,60257.0,60335.0,60384.0,60434.0,60479.0,60525.0,60574.0,60613.0,60641.0,60675.0,60737.0,60810.0,60864.0,60941.0,61017.0,61058.0,61231.0,61427.0,61573.0,61722.0,61840.0,61895.0,61947.0,61996.0,62049.0,62146.0,62220.0,62275.0,62328.0,62367.0,62402.0,62457.0,62539.0,62573.0,62601.0,62647.0,62674.0
5005822,32400.0,32456.0,32503.0,32580.0,32627.0,32690.0,32784.0,32843.0,32904.0,32951.0,32999.0,33050.0,33105.0,33144.0,33190.0,33257.0,33336.0,33401.0,33495.0,33610.0,33672.0,33812.0,34050.0,34227.0,34408.0,34552.0,34619.0,34683.0,34734.0,34789.0,34889.0,34949.0,34994.0,35040.0,35074.0,35104.0,35158.0,35239.0,35274.0,35300.0,35342.0,35365.0
5005824,42000.0,42048.0,42088.0,42153.0,42193.0,42247.0,42339.0,42397.0,42455.0,42499.0,42544.0,42593.0,42643.0,42679.0,42722.0,42785.0,42861.0,42925.0,43016.0,43134.0,43198.0,43338.0,43546.0,43701.0,43860.0,43993.0,44055.0,44115.0,44172.0,44233.0,44345.0,44411.0,44459.0,44504.0,44541.0,44574.0,44627.0,44707.0,44741.0,44768.0,44813.0,44838.0
5005826,51600.0,51647.0,51686.0,51751.0,51791.0,51844.0,51931.0,51986.0,52041.0,52082.0,52124.0,52169.0,52220.0,52256.0,52299.0,52361.0,52434.0,52490.0,52569.0,52660.0,52710.0,52842.0,53051.0,53207.0,53367.0,53510.0,53576.0,53640.0,53693.0,53750.0,53857.0,53933.0,53992.0,54042.0,54083.0,54118.0,54175.0,54261.0,54297.0,54327.0,54376.0,54403.0
5005828,61200.0,61252.0,61295.0,61366.0,61409.0,61467.0,61555.0,61610.0,61667.0,61714.0,61762.0,61813.0,61868.0,61908.0,61954.0,62018.0,62095.0,62152.0,62233.0,62328.0,62380.0,62510.0,62771.0,62965.0,63165.0,63321.0,63394.0,63464.0,63518.0,63576.0,63685.0,63787.0,63844.0,63892.0,63930.0,63963.0,64018.0,64100.0,64135.0,64179.0,64251.0,64291.0
5005919,34200.0,34247.0,34286.0,34349.0,34388.0,34440.0,34521.0,34572.0,34623.0,34648.0,34674.0,34701.0,34737.0,34763.0,34792.0,34871.0,34966.0,35019.0,35096.0,35174.0,35216.0,35335.0,35555.0,35718.0,35886.0,36001.0,36055.0,36107.0,36145.0,36186.0,36261.0,36326.0,36386.0,36419.0,36456.0,36489.0,36526.0,36581.0,36604.0,36630.0,36672.0,36696.0
5005921,41400.0,41447.0,41486.0,41550.0,41589.0,41642.0,41724.0,41776.0,41829.0,41861.0,41894.0,41929.0,41970.0,41999.0,42033.0,42096.0,42172.0,42223.0,42295.0,42368.0,42408.0,42571.0,42757.0,42896.0,43038.0,43160.0,43217.0,43271.0,43324.0,43381.0,43485.0,43555.0,43606.0,43648.0,43682.0,43712.0,43761.0,43834.0,43864.0,43889.0,43930.0,43953.0
5005925,56400.0,56450.0,56491.0,56559.0,56601.0,56657.0,56735.0,56784.0,56834.0,56879.0,56925.0,56974.0,57013.0,57041.0,57075.0,57137.0,57210.0,57264.0,57341.0,57417.0,57458.0,57631.0,57827.0,57973.0,58122.0,58240.0,58295.0,58347.0,58396.0,58449.0,58546.0,58620.0,58675.0,58728.0,58767.0,58802.0,58857.0,58939.0,58973.0,59001.0,59047.0,59074.0
5005927,63600.0,63643.0,63679.0,63737.0,63773.0,63821.0,63897.0,63945.0,63993.0,64027.0,64061.0,64098.0,64135.0,64161.0,64192.0,64234.0,64284.0,64324.0,64381.0,64450.0,64488.0,64600.0,64801.0,64951.0,65104.0,65218.0,65271.0,65323.0,65382.0,65445.0,65562.0,65635.0,65677.0,65732.0,65769.0,65802.0,65856.0,65936.0,65970.0,65992.0,66029.0,66050.0
5007534,34800.0,34856.0,34903.0,34980.0,35027.0,35090.0,35184.0,35243.0,35304.0,35351.0,35399.0,35450.0,35505.0,35544.0,35590.0,35657.0,35736.0,35801.0,35895.0,36010.0,36072.0,36212.0,36450.0,36627.0,36808.0,36952.0,37019.0,37083.0,37134.0,37189.0,37289.0,37349.0,37394.0,37440.0,37474.0,37504.0,37558.0,37639.0,37674.0,37700.0,37742.0,37765.0
5007536,44400.0,44447.0,44486.0,44551.0,44591.0,44644.0,44731.0,44786.0,44841.0,44882.0,44924.0,44969.0,45020.0,45056.0,45099.0,45161.0,45234.0,45290.0,45369.0,45460.0,45510.0,45642.0,45851.0,46007.0,46167.0,46310.0,46376.0,46440.0,46493.0,46550.0,46657.0,46733.0,46792.0,46842.0,46883.0,46918.0,46975.0,47061.0,47097.0,47127.0,47176.0,47203.0
5007538,54000.0,54047.0,54086.0,54150.0,54189.0,54241.0,54326.0,54379.0,54433.0,54480.0,54528.0,54579.0,54633.0,54672.0,54717.0,54780.0,54856.0,54907.0,54981.0,55081.0,55135.0,55279.0,55522.0,55703.0,55888.0,56030.0,56096.0,56160.0,56218.0,56280.0,56394.0,56468.0,56526.0,56577.0,56617.0,56652.0,56707.0,56789.0,56824.0,56857.0,56910.0,56940.0
5007540,63600.0,63652.0,63695.0,63766.0,63809.0,63867.0,63955.0,64010.0,64067.0,64114.0,64162.0,64213.0,64268.0,64308.0,64354.0,64418.0,64495.0,64552.0,64633.0,64728.0,64780.0,64910.0,65171.0,65365.0,65565.0,65721.0,65794.0,65864.0,65918.0,65976.0,66085.0,66187.0,66244.0,66292.0,66330.0,66363.0,66418.0,66500.0,66535.0,66579.0,66651.0,66691.0
5008313,51600.0,51653.0,51697.0,51770.0,51815.0,51875.0,51949.0,51996.0,52043.0,52083.0,52123.0,52166.0,52203.0,52230.0,52261.0,52323.0,52397.0,52450.0,52527.0,52597.0,52635.0,52755.0,52966.0,53123.0,53285.0,53410.0,53468.0,53525.0,53574.0,53627.0,53726.0,53793.0,53841.0,53886.0,53925.0,53960.0,54014.0,54095.0,54129.0,54156.0,54200.0,54225.0
5008315,58800.0,58850.0,58891.0,58959.0,59001.0,59057.0,59135.0,59184.0,59234.0,59279.0,59325.0,59374.0,59413.0,59441.0,59475.0,59537.0,59610.0,59664.0,59741.0,59817.0,59858.0,60031.0,60227.0,60373.0,60522.0,60640.0,60695.0,60747.0,60796.0,60849.0,60946.0,61020.0,61075.0,61128.0,61167.0,61202.0,61257.0,61339.0,61373.0,61401.0,61447.0,61474.0
