tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P
0,4843.0,4905.0,4906.0,4907.0,4908.0,4909.0,4921.0,4922.0,4923.0,4924.0,4958.0,3752.0,3751.0,3689.0,7594.0,3690.0,6117.0,5079.0,3694.0,3695.0,3696.0,3697.0,3698.0,3699.0,3885.0,1631.0,1632.0,5053.0,1633.0,1634.0,1635.0,1636.0,1637.0,1638.0,1639.0,1640.0,231.0,1641.0,1642.0,213.0,214.0,4432.0,119.0,44.0,7603.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,277.0,288.0
5004012,24900.0,24944.0,24987.0,25018.0,25038.0,25064.0,25109.0,25183.0,25211.0,25273.0,25345.0,25397.0,25418.0,25450.0,25465.0,25480.0,25544.0,25581.0,25684.0,25706.0,25745.0,25771.0,25796.0,25806.0,25938.0,25982.0,25994.0,26014.0,26033.0,26080.0,26099.0,26140.0,26236.0,26281.0,26365.0,26412.0,26470.0,26561.0,26618.0,26677.0,26729.0,26782.0,26839.0,26887.0,26921.0,26962.0,27014.0,27076.0,27134.0,27217.0,27304.0,27352.0,27584.0,27731.0
5004987,27600.0,27657.0,27713.0,27753.0,27778.0,27811.0,27868.0,27963.0,27999.0,28079.0,28172.0,28239.0,28266.0,28308.0,28321.0,28336.0,28399.0,28435.0,28537.0,28568.0,28624.0,28660.0,28685.0,28698.0,28876.0,28921.0,28933.0,28953.0,28972.0,29019.0,29027.0,29070.0,29188.0,29246.0,29353.0,29415.0,29513.0,29634.0,29710.0,29788.0,29852.0,29917.0,29987.0,30041.0,30080.0,30126.0,30204.0,30298.0,30397.0,30539.0,30632.0,30682.0,30927.0,31128.0
5083907,24900.0,24943.0,24984.0,25014.0,25033.0,25058.0,25101.0,25172.0,25199.0,25259.0,25329.0,25379.0,25399.0,25429.0,25443.0,25457.0,25519.0,25555.0,25654.0,25675.0,25713.0,25738.0,25762.0,25772.0,25899.0,25942.0,25953.0,25972.0,25990.0,26036.0,26054.0,26093.0,26185.0,26229.0,26309.0,26354.0,26410.0,26498.0,26553.0,26609.0,26659.0,26710.0,26765.0,26811.0,26844.0,26883.0,26933.0,26993.0,27049.0,27129.0,27213.0,27259.0,27482.0,27623.0
5095997,27600.0,27655.0,27708.0,27746.0,27770.0,27802.0,27857.0,27948.0,27983.0,28060.0,28150.0,28215.0,28241.0,28281.0,28294.0,28308.0,28369.0,28404.0,28502.0,28531.0,28584.0,28620.0,28644.0,28657.0,28828.0,28871.0,28882.0,28901.0,28919.0,28966.0,28974.0,29015.0,29128.0,29184.0,29287.0,29347.0,29441.0,29557.0,29630.0,29705.0,29766.0,29829.0,29896.0,29948.0,29986.0,30030.0,30105.0,30195.0,30290.0,30427.0,30516.0,30564.0,30800.0,30993.0
5101801,27600.0,27655.0,27708.0,27746.0,27770.0,27802.0,27857.0,27948.0,27983.0,28060.0,28150.0,28215.0,28241.0,28281.0,28294.0,28308.0,28369.0,28404.0,28502.0,28531.0,28584.0,28620.0,28644.0,28657.0,28828.0,28871.0,28882.0,28901.0,28919.0,28966.0,28974.0,29015.0,29128.0,29184.0,29287.0,29347.0,29441.0,29557.0,29630.0,29705.0,29766.0,29829.0,29896.0,29948.0,29986.0,30030.0,30105.0,30195.0,30290.0,30427.0,30516.0,30564.0,30800.0,30993.0
5116075,24900.0,24943.0,24984.0,25014.0,25033.0,25058.0,25101.0,25172.0,25199.0,25259.0,25329.0,25379.0,25399.0,25429.0,25443.0,25457.0,25519.0,25555.0,25654.0,25675.0,25713.0,25738.0,25762.0,25772.0,25899.0,25942.0,25953.0,25972.0,25990.0,26036.0,26054.0,26093.0,26185.0,26229.0,26309.0,26354.0,26410.0,26498.0,26553.0,26609.0,26659.0,26710.0,26765.0,26811.0,26844.0,26883.0,26933.0,26993.0,27049.0,27129.0,27213.0,27259.0,27482.0,27623.0
