tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5087683,40500.0,40570.0,40611.0,40675.0,40715.0,40745.0,40778.0,40832.0,40905.0,40974.0,41011.0,41079.0,41207.0,41334.0,41454.0,41640.0,41743.0,41811.0,41855.0,41910.0,41960.0,42006.0,42041.0,42092.0,42140.0,42171.0,42238.0,42287.0,42315.0,42340.0,42379.0,42430.0,42478.0,42513.0,42570.0,42609.0,42644.0,42716.0,42754.0,42794.0,42826.0,42888.0,42924.0,42949.0,42978.0,43004.0,43035.0,43057.0,43105.0,43182.0,43218.0,43270.0,43330.0,43377.0,43413.0,43434.0,43485.0,43581.0,43664.0
5088127,23040.0,23105.0,23143.0,23204.0,23242.0,23271.0,23303.0,23389.0,23467.0,23540.0,23579.0,23651.0,23755.0,23858.0,23985.0,24182.0,24292.0,24369.0,24420.0,24487.0,24548.0,24603.0,24645.0,24690.0,24733.0,24765.0,24851.0,24915.0,24944.0,24969.0,25026.0,25088.0,25145.0,25186.0,25252.0,25312.0,25350.0,25439.0,25478.0,25542.0,25578.0,25648.0,25688.0,25716.0,25745.0,25771.0,25802.0,25824.0,25872.0,25949.0,25985.0,26037.0,26097.0,26148.0,26180.0,26199.0,26246.0,26310.0,26364.0
5088129,33840.0,33961.0,34032.0,34144.0,34215.0,34254.0,34298.0,34422.0,34570.0,34710.0,34785.0,34867.0,35015.0,35161.0,35368.0,35689.0,35868.0,35975.0,36045.0,36121.0,36190.0,36238.0,36274.0,36325.0,36373.0,36410.0,36504.0,36573.0,36605.0,36632.0,36691.0,36752.0,36809.0,36847.0,36909.0,36965.0,37001.0,37086.0,37120.0,37163.0,37196.0,37258.0,37294.0,37320.0,37353.0,37383.0,37419.0,37444.0,37499.0,37586.0,37627.0,37680.0,37741.0,37804.0,37844.0,37868.0,37924.0,38007.0,38078.0
5088131,44640.0,44718.0,44764.0,44836.0,44880.0,44912.0,44948.0,45031.0,45141.0,45245.0,45300.0,45385.0,45516.0,45645.0,45802.0,46045.0,46180.0,46270.0,46329.0,46395.0,46455.0,46504.0,46542.0,46597.0,46649.0,46682.0,46794.0,46877.0,46907.0,46933.0,46992.0,47055.0,47114.0,47155.0,47220.0,47274.0,47321.0,47416.0,47452.0,47510.0,47545.0,47613.0,47653.0,47682.0,47715.0,47745.0,47781.0,47808.0,47868.0,47963.0,48008.0,48061.0,48122.0,48193.0,48235.0,48260.0,48320.0,48405.0,48478.0
5088133,54900.0,54974.0,55018.0,55087.0,55130.0,55165.0,55204.0,55287.0,55403.0,55513.0,55571.0,55643.0,55781.0,55918.0,56075.0,56319.0,56454.0,56557.0,56625.0,56703.0,56775.0,56844.0,56896.0,56971.0,57042.0,57089.0,57179.0,57245.0,57282.0,57313.0,57368.0,57445.0,57516.0,57576.0,57672.0,57735.0,57794.0,57896.0,57945.0,58023.0,58063.0,58139.0,58189.0,58224.0,58269.0,58310.0,58359.0,58395.0,58467.0,58581.0,58634.0,58688.0,58750.0,58825.0,58870.0,58897.0,58961.0,59050.0,59127.0
5088135,66240.0,66326.0,66377.0,66457.0,66506.0,66536.0,66569.0,66664.0,66755.0,66841.0,66887.0,66951.0,67072.0,67191.0,67391.0,67702.0,67875.0,67977.0,68043.0,68131.0,68211.0,68286.0,68343.0,68417.0,68487.0,68531.0,68615.0,68678.0,68715.0,68747.0,68819.0,68894.0,68963.0,69015.0,69099.0,69170.0,69217.0,69330.0,69377.0,69449.0,69492.0,69574.0,69625.0,69661.0,69701.0,69737.0,69781.0,69813.0,69875.0,69974.0,70021.0,70077.0,70141.0,70212.0,70250.0,70273.0,70327.0,70391.0,70445.0
5088290,50400.0,50476.0,50521.0,50591.0,50635.0,50667.0,50703.0,50760.0,50843.0,50922.0,50964.0,51026.0,51146.0,51264.0,51407.0,51629.0,51752.0,51827.0,51876.0,51930.0,51979.0,52028.0,52065.0,52119.0,52170.0,52201.0,52293.0,52362.0,52390.0,52415.0,52465.0,52524.0,52578.0,52621.0,52689.0,52731.0,52779.0,52870.0,52907.0,52967.0,53002.0,53068.0,53112.0,53143.0,53174.0,53202.0,53236.0,53261.0,53311.0,53390.0,53428.0,53485.0,53551.0,53614.0,53652.0,53675.0,53730.0,53844.0,53942.0
5088510,49800.0,49876.0,49921.0,49991.0,50035.0,50067.0,50103.0,50160.0,50243.0,50322.0,50364.0,50426.0,50546.0,50664.0,50807.0,51029.0,51152.0,51227.0,51276.0,51330.0,51379.0,51428.0,51465.0,51519.0,51570.0,51601.0,51693.0,51762.0,51790.0,51815.0,51865.0,51924.0,51978.0,52021.0,52089.0,52131.0,52179.0,52270.0,52307.0,52367.0,52402.0,52468.0,52512.0,52543.0,52574.0,52602.0,52636.0,52661.0,52711.0,52790.0,52828.0,52885.0,52951.0,53014.0,53052.0,53075.0,53130.0,53244.0,53342.0
5088512,60000.0,60068.0,60108.0,60171.0,60210.0,60237.0,60268.0,60335.0,60430.0,60520.0,60567.0,60642.0,60775.0,60907.0,61033.0,61229.0,61337.0,61413.0,61462.0,61524.0,61581.0,61639.0,61683.0,61731.0,61777.0,61809.0,61884.0,61940.0,61968.0,61993.0,62033.0,62089.0,62141.0,62185.0,62255.0,62317.0,62362.0,62457.0,62496.0,62574.0,62617.0,62700.0,62739.0,62766.0,62791.0,62814.0,62842.0,62862.0,62908.0,62981.0,63016.0,63074.0,63141.0,63194.0,63226.0,63245.0,63291.0,63363.0,63425.0
5088516,79200.0,79254.0,79286.0,79336.0,79368.0,79395.0,79426.0,79470.0,79533.0,79593.0,79625.0,79670.0,79765.0,79860.0,79986.0,80181.0,80289.0,80366.0,80417.0,80473.0,80525.0,80578.0,80618.0,80657.0,80695.0,80722.0,80775.0,80815.0,80837.0,80856.0,80892.0,80947.0,80999.0,81034.0,81091.0,81141.0,81178.0,81261.0,81300.0,81344.0,81378.0,81442.0,81479.0,81506.0,81531.0,81554.0,81581.0,81601.0,81636.0,81692.0,81719.0,81765.0,81818.0,81856.0,81887.0,81906.0,81951.0,81983.0,82011.0
5088600,33000.0,33077.0,33122.0,33193.0,33238.0,33276.0,33319.0,33377.0,33444.0,33508.0,33542.0,33641.0,33798.0,33954.0,34065.0,34238.0,34334.0,34394.0,34434.0,34522.0,34602.0,34659.0,34702.0,34748.0,34793.0,34825.0,34880.0,34921.0,34956.0,34987.0,35025.0,35078.0,35127.0,35162.0,35219.0,35274.0,35321.0,35408.0,35448.0,35491.0,35525.0,35589.0,35622.0,35645.0,35671.0,35694.0,35722.0,35742.0,35788.0,35861.0,35896.0,35940.0,35991.0,36032.0,36067.0,36088.0,36138.0,36213.0,36278.0
