tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
0,5044.0,4433.0,3752.0,3751.0,3689.0,7594.0,3690.0,6117.0,3655.0,5086.0,3656.0,3657.0,3658.0,7329.0,3659.0,3660.0,3647.0,3661.0,3573.0,3662.0,1212.0,1213.0,1214.0,1215.0,1216.0,1217.0,4563.0,1218.0,1270.0,1272.0,1273.0,1274.0,1275.0,1276.0,1277.0,1219.0,1220.0,1221.0,664.0,665.0,666.0,667.0,668.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,1184.0
5002868,57600.0,57646.0,57745.0,57765.0,57908.0,57947.0,57975.0,58095.0,58162.0,58299.0,58354.0,58448.0,58475.0,58536.0,58562.0,58631.0,58702.0,58739.0,58778.0,58798.0,58822.0,58841.0,58854.0,58876.0,58912.0,58937.0,59184.0,59253.0,59322.0,59380.0,59465.0,59549.0,59614.0,59636.0,59677.0,59709.0,59765.0,59861.0,59958.0,59987.0,60016.0,60046.0,60140.0,60208.0,60264.0,60310.0,60348.0,60385.0,60467.0,60511.0,60618.0
5002874,79200.0,79242.0,79333.0,79351.0,79447.0,79468.0,79488.0,79573.0,79620.0,79717.0,79756.0,79822.0,79845.0,79897.0,79919.0,79978.0,80038.0,80066.0,80094.0,80115.0,80140.0,80160.0,80175.0,80195.0,80227.0,80249.0,80376.0,80427.0,80498.0,80533.0,80600.0,80666.0,80717.0,80734.0,80766.0,80797.0,80852.0,80897.0,80942.0,80967.0,80992.0,81017.0,81088.0,81139.0,81176.0,81207.0,81236.0,81265.0,81312.0,81337.0,81419.0
5004484,28800.0,28850.0,28959.0,28981.0,29079.0,29096.0,29119.0,29219.0,29274.0,29388.0,29434.0,29513.0,29543.0,29609.0,29637.0,29712.0,29789.0,29821.0,29855.0,29888.0,29927.0,29959.0,29981.0,30017.0,30076.0,30115.0,30306.0,30377.0,30474.0,30515.0,30587.0,30657.0,30795.0,30842.0,30928.0,30964.0,31027.0,31118.0,31210.0,31254.0,31299.0,31345.0,31491.0,31596.0,31694.0,31776.0,31850.0,31923.0,32022.0,32075.0,32204.0
5004486,36480.0,36520.0,36606.0,36623.0,36708.0,36728.0,36749.0,36838.0,36887.0,36988.0,37029.0,37097.0,37119.0,37167.0,37187.0,37242.0,37298.0,37328.0,37359.0,37384.0,37413.0,37437.0,37454.0,37474.0,37506.0,37528.0,37641.0,37688.0,37753.0,37799.0,37867.0,37933.0,37998.0,38020.0,38060.0,38091.0,38145.0,38208.0,38271.0,38305.0,38339.0,38373.0,38449.0,38504.0,38551.0,38590.0,38642.0,38693.0,38743.0,38769.0,38866.0
5004488,43680.0,43721.0,43809.0,43826.0,43954.0,43977.0,44002.0,44108.0,44167.0,44287.0,44335.0,44418.0,44442.0,44496.0,44519.0,44581.0,44644.0,44677.0,44711.0,44742.0,44777.0,44805.0,44825.0,44850.0,44890.0,44917.0,45082.0,45138.0,45207.0,45251.0,45317.0,45382.0,45446.0,45468.0,45507.0,45537.0,45591.0,45652.0,45714.0,45748.0,45782.0,45817.0,45889.0,45941.0,45994.0,46038.0,46081.0,46123.0,46171.0,46197.0,46326.0
5004490,60300.0,60348.0,60451.0,60471.0,60581.0,60602.0,60629.0,60743.0,60806.0,60935.0,60987.0,61075.0,61100.0,61156.0,61180.0,61244.0,61308.0,61339.0,61372.0,61395.0,61421.0,61444.0,61460.0,61487.0,61530.0,61559.0,61727.0,61775.0,61841.0,61884.0,61952.0,62019.0,62090.0,62114.0,62158.0,62191.0,62249.0,62303.0,62358.0,62393.0,62428.0,62463.0,62545.0,62604.0,62667.0,62719.0,62765.0,62811.0,62861.0,62888.0,63063.0
5004494,75600.0,75638.0,75720.0,75737.0,75817.0,75831.0,75850.0,75932.0,75977.0,76070.0,76107.0,76172.0,76192.0,76237.0,76256.0,76307.0,76357.0,76381.0,76405.0,76422.0,76442.0,76461.0,76475.0,76494.0,76525.0,76545.0,76666.0,76709.0,76761.0,76798.0,76846.0,76893.0,76941.0,76957.0,76987.0,77015.0,77064.0,77107.0,77150.0,77177.0,77205.0,77233.0,77299.0,77347.0,77385.0,77416.0,77446.0,77475.0,77507.0,77524.0,77649.0
5004496,82800.0,82838.0,82920.0,82937.0,83017.0,83031.0,83050.0,83132.0,83177.0,83270.0,83307.0,83372.0,83392.0,83437.0,83456.0,83507.0,83557.0,83581.0,83605.0,83622.0,83642.0,83661.0,83675.0,83694.0,83725.0,83745.0,83866.0,83909.0,83961.0,83998.0,84046.0,84093.0,84141.0,84157.0,84187.0,84215.0,84264.0,84307.0,84350.0,84377.0,84405.0,84433.0,84499.0,84547.0,84585.0,84616.0,84646.0,84675.0,84707.0,84724.0,84849.0
5004618,24000.0,24048.0,24151.0,24172.0,24232.0,24245.0,24264.0,24347.0,24393.0,24487.0,24525.0,24590.0,24612.0,24662.0,24683.0,24740.0,24798.0,24828.0,24860.0,24882.0,24907.0,24927.0,24942.0,24969.0,25013.0,25043.0,25165.0,25212.0,25273.0,25318.0,25368.0,25418.0,25470.0,25488.0,25521.0,25553.0,25611.0,25676.0,25742.0,25778.0,25814.0,25851.0,25931.0,25988.0,26042.0,26086.0,26139.0,26192.0,26261.0,26298.0,26439.0
5004620,32400.0,32441.0,32530.0,32549.0,32644.0,32659.0,32683.0,32785.0,32842.0,32958.0,33005.0,33085.0,33111.0,33169.0,33194.0,33260.0,33328.0,33362.0,33397.0,33427.0,33461.0,33486.0,33504.0,33533.0,33581.0,33613.0,33780.0,33836.0,33918.0,33956.0,34012.0,34067.0,34138.0,34162.0,34206.0,34242.0,34306.0,34376.0,34447.0,34487.0,34527.0,34567.0,34673.0,34749.0,34811.0,34862.0,34924.0,34985.0,35053.0,35089.0,35192.0
5004622,40080.0,40121.0,40209.0,40226.0,40354.0,40377.0,40402.0,40508.0,40567.0,40687.0,40735.0,40818.0,40842.0,40896.0,40919.0,40981.0,41044.0,41077.0,41111.0,41142.0,41177.0,41205.0,41225.0,41250.0,41290.0,41317.0,41482.0,41538.0,41607.0,41651.0,41717.0,41782.0,41846.0,41868.0,41907.0,41937.0,41991.0,42052.0,42114.0,42148.0,42182.0,42217.0,42289.0,42341.0,42394.0,42438.0,42481.0,42523.0,42571.0,42597.0,42726.0
5004624,50880.0,50921.0,51009.0,51026.0,51154.0,51177.0,51202.0,51308.0,51367.0,51487.0,51535.0,51618.0,51642.0,51696.0,51719.0,51781.0,51844.0,51877.0,51911.0,51942.0,51977.0,52005.0,52025.0,52050.0,52090.0,52117.0,52282.0,52338.0,52407.0,52451.0,52517.0,52582.0,52646.0,52668.0,52707.0,52737.0,52791.0,52852.0,52914.0,52948.0,52982.0,53017.0,53089.0,53141.0,53194.0,53238.0,53281.0,53323.0,53371.0,53397.0,53526.0
5004626,57900.0,57948.0,58051.0,58071.0,58181.0,58202.0,58229.0,58343.0,58406.0,58535.0,58587.0,58675.0,58700.0,58756.0,58780.0,58844.0,58908.0,58939.0,58972.0,58995.0,59021.0,59044.0,59060.0,59087.0,59130.0,59159.0,59327.0,59375.0,59441.0,59484.0,59552.0,59619.0,59690.0,59714.0,59758.0,59791.0,59849.0,59903.0,59958.0,59993.0,60028.0,60063.0,60145.0,60204.0,60267.0,60319.0,60365.0,60411.0,60461.0,60488.0,60663.0
5006606,25200.0,25248.0,25351.0,25372.0,25432.0,25445.0,25464.0,25547.0,25593.0,25687.0,25725.0,25790.0,25812.0,25862.0,25883.0,25940.0,25998.0,26028.0,26060.0,26082.0,26107.0,26127.0,26142.0,26169.0,26213.0,26243.0,26365.0,26412.0,26473.0,26518.0,26568.0,26618.0,26670.0,26688.0,26721.0,26753.0,26811.0,26876.0,26942.0,26978.0,27014.0,27051.0,27131.0,27188.0,27242.0,27286.0,27339.0,27392.0,27461.0,27498.0,27639.0
5006608,34200.0,34240.0,34326.0,34343.0,34428.0,34448.0,34469.0,34558.0,34607.0,34708.0,34749.0,34817.0,34839.0,34887.0,34907.0,34962.0,35018.0,35048.0,35079.0,35104.0,35133.0,35157.0,35174.0,35194.0,35226.0,35248.0,35361.0,35408.0,35473.0,35519.0,35587.0,35653.0,35718.0,35740.0,35780.0,35811.0,35865.0,35928.0,35991.0,36025.0,36059.0,36093.0,36169.0,36224.0,36271.0,36310.0,36362.0,36413.0,36463.0,36489.0,36586.0
5006610,63300.0,63369.0,63517.0,63547.0,63648.0,63672.0,63705.0,63846.0,63924.0,64084.0,64148.0,64258.0,64288.0,64356.0,64384.0,64461.0,64540.0,64569.0,64599.0,64627.0,64660.0,64683.0,64699.0,64728.0,64775.0,64806.0,64982.0,65033.0,65113.0,65160.0,65228.0,65294.0,65367.0,65392.0,65438.0,65472.0,65531.0,65591.0,65652.0,65687.0,65722.0,65758.0,65839.0,65897.0,65951.0,65995.0,66038.0,66081.0,66125.0,66148.0,66281.0
5008851,31200.0,31241.0,31330.0,31349.0,31444.0,31459.0,31483.0,31585.0,31642.0,31758.0,31805.0,31885.0,31911.0,31969.0,31994.0,32060.0,32128.0,32162.0,32197.0,32227.0,32261.0,32286.0,32304.0,32333.0,32381.0,32413.0,32580.0,32636.0,32718.0,32756.0,32812.0,32867.0,32938.0,32962.0,33006.0,33042.0,33106.0,33176.0,33247.0,33287.0,33327.0,33367.0,33473.0,33549.0,33611.0,33662.0,33724.0,33785.0,33853.0,33889.0,33992.0
5008853,47280.0,47321.0,47409.0,47426.0,47554.0,47577.0,47602.0,47708.0,47767.0,47887.0,47935.0,48018.0,48042.0,48096.0,48119.0,48181.0,48244.0,48277.0,48311.0,48342.0,48377.0,48405.0,48425.0,48450.0,48490.0,48517.0,48682.0,48738.0,48807.0,48851.0,48917.0,48982.0,49046.0,49068.0,49107.0,49137.0,49191.0,49252.0,49314.0,49348.0,49382.0,49417.0,49489.0,49541.0,49594.0,49638.0,49681.0,49723.0,49771.0,49797.0,49926.0
5008855,54480.0,54527.0,54629.0,54650.0,54740.0,54762.0,54786.0,54888.0,54944.0,55060.0,55107.0,55186.0,55207.0,55255.0,55275.0,55329.0,55385.0,55410.0,55435.0,55454.0,55475.0,55498.0,55515.0,55542.0,55585.0,55614.0,55759.0,55805.0,55865.0,55910.0,55991.0,56071.0,56137.0,56159.0,56200.0,56229.0,56281.0,56333.0,56385.0,56422.0,56459.0,56497.0,56583.0,56646.0,56698.0,56742.0,56783.0,56823.0,56871.0,56896.0,57074.0
5009543,61800.0,61869.0,62017.0,62047.0,62148.0,62172.0,62205.0,62346.0,62424.0,62584.0,62648.0,62758.0,62788.0,62856.0,62884.0,62961.0,63040.0,63069.0,63099.0,63127.0,63160.0,63183.0,63199.0,63228.0,63275.0,63306.0,63482.0,63533.0,63613.0,63660.0,63728.0,63794.0,63867.0,63892.0,63938.0,63972.0,64031.0,64091.0,64152.0,64187.0,64222.0,64258.0,64339.0,64397.0,64451.0,64495.0,64538.0,64581.0,64625.0,64648.0,64781.0
5009686,25200.0,25229.0,25292.0,25305.0,25358.0,25370.0,25387.0,25460.0,25500.0,25583.0,25616.0,25674.0,25693.0,25736.0,25754.0,25803.0,25853.0,25874.0,25896.0,25909.0,25923.0,25941.0,25953.0,25969.0,25996.0,26014.0,26075.0,26122.0,26178.0,26212.0,26247.0,26282.0,26322.0,26336.0,26360.0,26383.0,26423.0,26453.0,26484.0,26509.0,26534.0,26560.0,26598.0,26625.0,26645.0,26661.0,26677.0,26693.0,26733.0,26755.0,26842.0
5009688,32400.0,32436.0,32513.0,32529.0,32587.0,32599.0,32621.0,32714.0,32765.0,32871.0,32913.0,32986.0,33014.0,33076.0,33102.0,33173.0,33244.0,33272.0,33300.0,33326.0,33355.0,33374.0,33387.0,33407.0,33440.0,33463.0,33618.0,33674.0,33743.0,33796.0,33884.0,33971.0,34036.0,34058.0,34099.0,34126.0,34174.0,34231.0,34289.0,34320.0,34352.0,34384.0,34457.0,34509.0,34559.0,34601.0,34674.0,34747.0,34825.0,34867.0,34992.0
5009690,39600.0,39643.0,39735.0,39754.0,39862.0,39904.0,39931.0,40047.0,40111.0,40242.0,40295.0,40385.0,40409.0,40462.0,40484.0,40544.0,40605.0,40634.0,40664.0,40688.0,40716.0,40735.0,40749.0,40781.0,40833.0,40867.0,41027.0,41100.0,41173.0,41208.0,41275.0,41340.0,41400.0,41420.0,41458.0,41494.0,41558.0,41612.0,41667.0,41709.0,41751.0,41794.0,41866.0,41918.0,41969.0,42012.0,42060.0,42107.0,42156.0,42182.0,42319.0
5009692,46800.0,46843.0,46935.0,46954.0,47062.0,47104.0,47131.0,47247.0,47311.0,47442.0,47495.0,47585.0,47609.0,47662.0,47684.0,47744.0,47805.0,47834.0,47864.0,47888.0,47916.0,47935.0,47949.0,47981.0,48033.0,48067.0,48227.0,48300.0,48373.0,48408.0,48475.0,48540.0,48600.0,48620.0,48658.0,48694.0,48758.0,48812.0,48867.0,48909.0,48951.0,48994.0,49066.0,49118.0,49169.0,49212.0,49260.0,49307.0,49356.0,49382.0,49519.0
5009694,54000.0,54035.0,54111.0,54127.0,54235.0,54250.0,54286.0,54442.0,54528.0,54705.0,54776.0,54898.0,54922.0,54975.0,54997.0,55057.0,55119.0,55148.0,55179.0,55205.0,55235.0,55258.0,55275.0,55305.0,55354.0,55387.0,55605.0,55675.0,55782.0,55837.0,55910.0,55981.0,56056.0,56082.0,56129.0,56168.0,56238.0,56296.0,56355.0,56386.0,56417.0,56449.0,56520.0,56571.0,56631.0,56680.0,56722.0,56764.0,56836.0,56875.0,56975.0
5010135,22800.0,22848.0,22951.0,22972.0,23032.0,23045.0,23064.0,23147.0,23193.0,23287.0,23325.0,23390.0,23412.0,23462.0,23483.0,23540.0,23598.0,23628.0,23660.0,23682.0,23707.0,23727.0,23742.0,23769.0,23813.0,23843.0,23965.0,24012.0,24073.0,24118.0,24168.0,24218.0,24270.0,24288.0,24321.0,24353.0,24411.0,24476.0,24542.0,24578.0,24614.0,24651.0,24731.0,24788.0,24842.0,24886.0,24939.0,24992.0,25061.0,25098.0,25239.0
5010137,30000.0,30041.0,30130.0,30149.0,30244.0,30259.0,30283.0,30385.0,30442.0,30558.0,30605.0,30685.0,30711.0,30769.0,30794.0,30860.0,30928.0,30962.0,30997.0,31027.0,31061.0,31086.0,31104.0,31133.0,31181.0,31213.0,31380.0,31436.0,31518.0,31556.0,31612.0,31667.0,31738.0,31762.0,31806.0,31842.0,31906.0,31976.0,32047.0,32087.0,32127.0,32167.0,32273.0,32349.0,32411.0,32462.0,32524.0,32585.0,32653.0,32689.0,32792.0
5010138,58800.0,58848.0,58951.0,58971.0,59081.0,59102.0,59129.0,59243.0,59306.0,59435.0,59487.0,59575.0,59600.0,59656.0,59680.0,59744.0,59808.0,59839.0,59872.0,59895.0,59921.0,59944.0,59960.0,59987.0,60030.0,60059.0,60227.0,60275.0,60341.0,60384.0,60452.0,60519.0,60590.0,60614.0,60658.0,60691.0,60749.0,60803.0,60858.0,60893.0,60928.0,60963.0,61045.0,61104.0,61167.0,61219.0,61265.0,61311.0,61361.0,61388.0,61563.0
5011775,56100.0,56144.0,56238.0,56257.0,56436.0,56461.0,56487.0,56596.0,56656.0,56780.0,56830.0,56916.0,56939.0,56991.0,57013.0,57072.0,57132.0,57159.0,57186.0,57204.0,57224.0,57246.0,57261.0,57287.0,57329.0,57356.0,57533.0,57598.0,57671.0,57721.0,57785.0,57848.0,57921.0,57946.0,57992.0,58025.0,58083.0,58137.0,58191.0,58226.0,58262.0,58298.0,58390.0,58457.0,58523.0,58577.0,58619.0,58661.0,58718.0,58749.0,58905.0
5017706,64800.0,64869.0,65017.0,65047.0,65148.0,65172.0,65205.0,65346.0,65424.0,65584.0,65648.0,65758.0,65788.0,65856.0,65884.0,65961.0,66040.0,66069.0,66099.0,66127.0,66160.0,66183.0,66199.0,66228.0,66275.0,66306.0,66482.0,66533.0,66613.0,66660.0,66728.0,66794.0,66867.0,66892.0,66938.0,66972.0,67031.0,67091.0,67152.0,67187.0,67222.0,67258.0,67339.0,67397.0,67451.0,67495.0,67538.0,67581.0,67625.0,67648.0,67781.0
5017708,72000.0,72035.0,72110.0,72125.0,72190.0,72204.0,72225.0,72314.0,72363.0,72464.0,72505.0,72575.0,72595.0,72641.0,72660.0,72712.0,72765.0,72789.0,72813.0,72830.0,72849.0,72871.0,72886.0,72909.0,72946.0,72970.0,73110.0,73151.0,73212.0,73251.0,73313.0,73374.0,73419.0,73434.0,73463.0,73485.0,73525.0,73582.0,73640.0,73669.0,73698.0,73728.0,73797.0,73847.0,73895.0,73935.0,73964.0,73993.0,74041.0,74067.0,74143.0
5017710,79200.0,79238.0,79320.0,79337.0,79417.0,79431.0,79450.0,79532.0,79577.0,79670.0,79707.0,79772.0,79792.0,79837.0,79856.0,79907.0,79957.0,79981.0,80005.0,80022.0,80042.0,80061.0,80075.0,80094.0,80125.0,80145.0,80266.0,80309.0,80361.0,80398.0,80446.0,80493.0,80541.0,80557.0,80587.0,80615.0,80664.0,80707.0,80750.0,80777.0,80805.0,80833.0,80899.0,80947.0,80985.0,81016.0,81046.0,81075.0,81107.0,81124.0,81249.0
5086071,34800.0,34841.0,34930.0,34949.0,35013.0,35026.0,35045.0,35126.0,35171.0,35263.0,35300.0,35362.0,35393.0,35463.0,35492.0,35572.0,35653.0,35689.0,35726.0,35745.0,35766.0,35786.0,35800.0,35829.0,35876.0,35908.0,36039.0,36077.0,36132.0,36183.0,36266.0,36348.0,36427.0,36454.0,36504.0,36539.0,36602.0,36656.0,36711.0,36742.0,36774.0,36806.0,36874.0,36924.0,36960.0,36989.0,37030.0,37071.0,37117.0,37142.0,37498.0
5086073,41700.0,41731.0,41798.0,41811.0,41876.0,41889.0,41909.0,41994.0,42041.0,42138.0,42177.0,42243.0,42265.0,42315.0,42336.0,42392.0,42449.0,42478.0,42507.0,42526.0,42548.0,42573.0,42591.0,42616.0,42656.0,42683.0,42830.0,42868.0,42919.0,42957.0,43015.0,43073.0,43135.0,43156.0,43194.0,43225.0,43280.0,43331.0,43382.0,43423.0,43465.0,43507.0,43577.0,43628.0,43674.0,43712.0,43761.0,43810.0,43869.0,43900.0,43994.0
5086079,64200.0,64233.0,64305.0,64320.0,64440.0,64500.0,64527.0,64642.0,64706.0,64837.0,64890.0,64980.0,65006.0,65064.0,65088.0,65154.0,65220.0,65249.0,65280.0,65308.0,65340.0,65375.0,65400.0,65416.0,65442.0,65460.0,65580.0,65640.0,65700.0,65760.0,65820.0,65880.0,65972.0,66003.0,66060.0,66103.0,66180.0,66240.0,66300.0,66320.0,66340.0,66360.0,66464.0,66540.0,66573.0,66600.0,66660.0,66720.0,66759.0,66780.0,66960.0
5086081,70500.0,70537.0,70616.0,70632.0,70750.0,70777.0,70806.0,70929.0,70997.0,71137.0,71193.0,71288.0,71310.0,71359.0,71380.0,71436.0,71491.0,71527.0,71565.0,71580.0,71597.0,71617.0,71631.0,71649.0,71679.0,71699.0,71808.0,71895.0,71966.0,71999.0,72055.0,72110.0,72168.0,72188.0,72223.0,72259.0,72322.0,72379.0,72436.0,72462.0,72488.0,72515.0,72618.0,72692.0,72730.0,72761.0,72789.0,72817.0,72860.0,72883.0,72968.0
5086083,78000.0,78024.0,78077.0,78088.0,78167.0,78181.0,78196.0,78262.0,78299.0,78374.0,78404.0,78456.0,78475.0,78518.0,78536.0,78585.0,78636.0,78656.0,78676.0,78688.0,78702.0,78720.0,78732.0,78748.0,78775.0,78793.0,78867.0,78907.0,78949.0,78978.0,79023.0,79068.0,79108.0,79122.0,79146.0,79169.0,79210.0,79234.0,79259.0,79283.0,79307.0,79331.0,79423.0,79489.0,79521.0,79547.0,79568.0,79588.0,79619.0,79636.0,79706.0
5086085,84600.0,84624.0,84677.0,84688.0,84767.0,84781.0,84796.0,84862.0,84899.0,84974.0,85004.0,85056.0,85075.0,85118.0,85136.0,85185.0,85236.0,85256.0,85276.0,85288.0,85302.0,85320.0,85332.0,85348.0,85375.0,85393.0,85467.0,85507.0,85549.0,85578.0,85623.0,85668.0,85708.0,85722.0,85746.0,85769.0,85810.0,85834.0,85859.0,85883.0,85907.0,85931.0,86023.0,86089.0,86121.0,86147.0,86168.0,86188.0,86219.0,86236.0,86306.0
