tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5008107,32400.0,32702.0,32916.0,32990.0,33059.0,33197.0,33321.0,33368.0,33416.0,33444.0,33478.0,33526.0,33570.0,33609.0,33653.0,33685.0,33731.0,33762.0,33791.0,33841.0,33879.0,33921.0,33942.0,33960.0,34022.0,34089.0,34158.0,34219.0,34330.0,34350.0,34371.0,34445.0,34482.0,34542.0,34617.0,34659.0,34692.0,34710.0,34783.0,34850.0,34926.0,34996.0,35053.0,35083.0,35131.0,35176.0,35208.0,35242.0,35271.0,35291.0,35346.0,35419.0,35443.0,35504.0,35553.0,35575.0,35636.0,35666.0,35692.0
5008109,43200.0,43438.0,43607.0,43683.0,43754.0,43897.0,44025.0,44057.0,44089.0,44126.0,44172.0,44235.0,44294.0,44339.0,44390.0,44440.0,44511.0,44559.0,44604.0,44678.0,44713.0,44752.0,44775.0,44794.0,44856.0,44941.0,45030.0,45092.0,45206.0,45233.0,45261.0,45346.0,45388.0,45444.0,45514.0,45560.0,45591.0,45620.0,45695.0,45765.0,45843.0,45916.0,45975.0,46005.0,46054.0,46103.0,46138.0,46175.0,46206.0,46228.0,46287.0,46360.0,46384.0,46446.0,46505.0,46531.0,46604.0,46640.0,46672.0
5008111,54000.0,54210.0,54360.0,54425.0,54486.0,54608.0,54716.0,54765.0,54816.0,54856.0,54906.0,54976.0,55041.0,55081.0,55128.0,55179.0,55252.0,55301.0,55347.0,55425.0,55481.0,55545.0,55585.0,55619.0,55731.0,55815.0,55902.0,55977.0,56114.0,56143.0,56174.0,56268.0,56315.0,56378.0,56455.0,56524.0,56560.0,56592.0,56676.0,56747.0,56827.0,56902.0,56963.0,56994.0,57044.0,57095.0,57131.0,57169.0,57201.0,57224.0,57285.0,57365.0,57392.0,57460.0,57515.0,57540.0,57608.0,57641.0,57671.0
5008113,64800.0,65093.0,65302.0,65392.0,65476.0,65644.0,65793.0,65888.0,65985.0,66034.0,66094.0,66177.0,66255.0,66310.0,66374.0,66424.0,66496.0,66545.0,66590.0,66667.0,66707.0,66753.0,66789.0,66819.0,66904.0,66998.0,67097.0,67170.0,67305.0,67341.0,67379.0,67468.0,67513.0,67609.0,67727.0,67789.0,67826.0,67855.0,67932.0,67996.0,68068.0,68134.0,68188.0,68216.0,68260.0,68321.0,68365.0,68411.0,68450.0,68478.0,68552.0,68632.0,68659.0,68726.0,68778.0,68801.0,68865.0,68896.0,68925.0
5008115,76500.0,76748.0,76925.0,76981.0,77033.0,77137.0,77229.0,77266.0,77303.0,77328.0,77360.0,77404.0,77444.0,77476.0,77513.0,77537.0,77572.0,77596.0,77618.0,77655.0,77685.0,77720.0,77739.0,77756.0,77799.0,77853.0,77910.0,77956.0,78041.0,78067.0,78095.0,78166.0,78201.0,78258.0,78329.0,78377.0,78410.0,78433.0,78473.0,78527.0,78588.0,78645.0,78691.0,78715.0,78753.0,78794.0,78823.0,78854.0,78880.0,78899.0,78948.0,79018.0,79041.0,79101.0,79142.0,79160.0,79211.0,79236.0,79258.0
5008117,84600.0,84848.0,85025.0,85081.0,85133.0,85237.0,85329.0,85366.0,85403.0,85428.0,85460.0,85504.0,85544.0,85576.0,85613.0,85637.0,85672.0,85696.0,85718.0,85755.0,85785.0,85820.0,85839.0,85856.0,85899.0,85953.0,86010.0,86056.0,86141.0,86167.0,86195.0,86266.0,86301.0,86358.0,86429.0,86477.0,86510.0,86533.0,86573.0,86627.0,86688.0,86745.0,86791.0,86815.0,86853.0,86894.0,86923.0,86954.0,86980.0,86999.0,87048.0,87118.0,87141.0,87201.0,87242.0,87260.0,87311.0,87336.0,87358.0
5015228,24600.0,24760.0,24874.0,24917.0,24957.0,25037.0,25107.0,25144.0,25181.0,25199.0,25221.0,25252.0,25280.0,25322.0,25370.0,25390.0,25419.0,25438.0,25456.0,25486.0,25523.0,25564.0,25581.0,25595.0,25639.0,25693.0,25750.0,25804.0,25904.0,25922.0,25941.0,25998.0,26027.0,26103.0,26197.0,26239.0,26266.0,26282.0,26334.0,26386.0,26445.0,26499.0,26543.0,26566.0,26603.0,26645.0,26675.0,26706.0,26733.0,26752.0,26802.0,26875.0,26899.0,26960.0,27014.0,27038.0,27105.0,27138.0,27167.0
5015814,23400.0,23549.0,23655.0,23688.0,23719.0,23780.0,23835.0,23859.0,23884.0,23897.0,23913.0,23936.0,23957.0,23976.0,23998.0,24017.0,24045.0,24064.0,24081.0,24111.0,24131.0,24154.0,24167.0,24179.0,24204.0,24250.0,24299.0,24342.0,24421.0,24440.0,24460.0,24519.0,24549.0,24585.0,24629.0,24664.0,24689.0,24703.0,24741.0,24781.0,24826.0,24868.0,24902.0,24920.0,24949.0,24984.0,25009.0,25035.0,25057.0,25073.0,25115.0,25178.0,25199.0,25252.0,25288.0,25304.0,25348.0,25369.0,25388.0
5015816,32400.0,32541.0,32642.0,32674.0,32704.0,32764.0,32817.0,32839.0,32861.0,32883.0,32911.0,32950.0,32986.0,33012.0,33042.0,33064.0,33095.0,33116.0,33136.0,33169.0,33204.0,33243.0,33264.0,33282.0,33335.0,33393.0,33454.0,33497.0,33577.0,33593.0,33611.0,33662.0,33687.0,33729.0,33780.0,33809.0,33837.0,33853.0,33886.0,33939.0,33998.0,34053.0,34098.0,34121.0,34157.0,34194.0,34220.0,34248.0,34271.0,34288.0,34332.0,34390.0,34409.0,34459.0,34502.0,34521.0,34574.0,34600.0,34624.0
5015818,43200.0,43502.0,43717.0,43771.0,43821.0,43922.0,44012.0,44049.0,44086.0,44118.0,44157.0,44211.0,44262.0,44309.0,44363.0,44396.0,44444.0,44476.0,44506.0,44556.0,44591.0,44630.0,44671.0,44706.0,44830.0,44938.0,45051.0,45112.0,45223.0,45246.0,45271.0,45325.0,45352.0,45407.0,45476.0,45528.0,45565.0,45597.0,45699.0,45763.0,45835.0,45902.0,45956.0,45984.0,46029.0,46075.0,46108.0,46143.0,46173.0,46194.0,46250.0,46324.0,46349.0,46411.0,46474.0,46502.0,46580.0,46618.0,46653.0
