tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P,088_P,089_P,090_P,091_P
0,4595.0,4596.0,4563.0,1218.0,1258.0,1259.0,1260.0,6130.0,1262.0,4692.0,1245.0,4693.0,1254.0,1255.0,1256.0,4694.0,1249.0,1247.0,1248.0,1273.0,1274.0,1275.0,1276.0,1277.0,1219.0,1220.0,1221.0,664.0,665.0,666.0,667.0,668.0,614.0,615.0,616.0,617.0,618.0,619.0,675.0,1500.0,302.0,4494.0,4495.0,4522.0,1934.0,2310.0,2311.0,2312.0,2313.0,2314.0,2315.0,2094.0,1406.0,1407.0,1409.0,2095.0,2096.0,2097.0,2099.0,2101.0,2102.0,2103.0,2332.0,2333.0,2334.0,4662.0,2335.0,2336.0,2337.0,2339.0,2340.0,2601.0,4446.0,2603.0,2557.0,4436.0,5008.0,4640.0,4347.0,2349.0,2351.0,2621.0,2622.0,2623.0,2624.0,4441.0,2626.0,2669.0,4641.0,4642.0,2355.0
5003066,50400.0,50444.0,50497.0,50540.0,50630.0,50669.0,50714.0,50735.0,50779.0,50823.0,50871.0,50911.0,50984.0,51018.0,51047.0,51103.0,51150.0,51169.0,51226.0,51310.0,51401.0,51470.0,51493.0,51536.0,51568.0,51624.0,51686.0,51749.0,51788.0,51827.0,51866.0,51950.0,52011.0,52072.0,52122.0,52164.0,52205.0,52261.0,52291.0,52394.0,52676.0,52750.0,52798.0,52963.0,53112.0,53307.0,53467.0,53566.0,53620.0,53648.0,53706.0,53801.0,53893.0,53954.0,54008.0,54097.0,54169.0,54221.0,54325.0,54350.0,54461.0,54558.0,54599.0,54694.0,54745.0,54828.0,54860.0,54914.0,54988.0,55059.0,55108.0,55183.0,55285.0,55431.0,55571.0,55653.0,55732.0,55846.0,56004.0,56063.0,56157.0,56207.0,56237.0,56264.0,56320.0,56361.0,56399.0,56416.0,56463.0,56491.0,56527.0
5003068,65400.0,65440.0,65487.0,65524.0,65602.0,65636.0,65675.0,65693.0,65731.0,65766.0,65802.0,65832.0,65887.0,65912.0,65934.0,65976.0,66011.0,66026.0,66068.0,66132.0,66200.0,66260.0,66280.0,66317.0,66347.0,66400.0,66458.0,66517.0,66550.0,66583.0,66616.0,66687.0,66739.0,66797.0,66845.0,66885.0,66925.0,66979.0,67008.0,67091.0,67318.0,67388.0,67434.0,67589.0,67729.0,67913.0,68023.0,68093.0,68132.0,68156.0,68206.0,68278.0,68352.0,68401.0,68445.0,68501.0,68546.0,68581.0,68662.0,68681.0,68767.0,68820.0,68843.0,68895.0,68929.0,68985.0,69003.0,69034.0,69065.0,69103.0,69134.0,69181.0,69239.0,69322.0,69402.0,69449.0,69494.0,69567.0,69669.0,69720.0,69802.0,69851.0,69881.0,69908.0,69963.0,70004.0,70042.0,70059.0,70106.0,70133.0,70166.0
5003202,35400.0,35444.0,35497.0,35548.0,35656.0,35703.0,35757.0,35782.0,35835.0,35883.0,35935.0,35978.0,36057.0,36093.0,36125.0,36185.0,36235.0,36256.0,36315.0,36389.0,36469.0,36542.0,36567.0,36613.0,36646.0,36704.0,36769.0,36834.0,36875.0,36917.0,36959.0,37052.0,37120.0,37178.0,37226.0,37286.0,37346.0,37408.0,37441.0,37557.0,37875.0,37947.0,37994.0,38154.0,38298.0,38487.0,38625.0,38713.0,38761.0,38789.0,38845.0,38936.0,39032.0,39081.0,39125.0,39194.0,39250.0,39292.0,39380.0,39401.0,39494.0,39563.0,39592.0,39660.0,39699.0,39763.0,39786.0,39824.0,39869.0,39913.0,39955.0,40019.0,40097.0,40209.0,40317.0,40380.0,40441.0,40528.0,40649.0,40702.0,40786.0,40835.0,40865.0,40892.0,40948.0,40989.0,41027.0,41044.0,41091.0,41119.0,41153.0
5003204,49800.0,49846.0,49900.0,49948.0,50050.0,50094.0,50145.0,50168.0,50219.0,50265.0,50312.0,50351.0,50423.0,50456.0,50485.0,50540.0,50586.0,50605.0,50658.0,50732.0,50812.0,50883.0,50907.0,50951.0,50985.0,51045.0,51112.0,51180.0,51218.0,51257.0,51296.0,51370.0,51424.0,51481.0,51528.0,51575.0,51622.0,51675.0,51704.0,51808.0,52092.0,52161.0,52206.0,52360.0,52499.0,52683.0,52815.0,52905.0,52954.0,52983.0,53041.0,53129.0,53219.0,53277.0,53329.0,53403.0,53464.0,53505.0,53605.0,53629.0,53736.0,53809.0,53840.0,53911.0,53956.0,54029.0,54052.0,54091.0,54139.0,54191.0,54234.0,54300.0,54386.0,54509.0,54627.0,54696.0,54763.0,54855.0,54984.0,55035.0,55117.0,55166.0,55196.0,55223.0,55279.0,55320.0,55358.0,55375.0,55422.0,55450.0,55486.0
5003206,64800.0,64843.0,64894.0,64936.0,65024.0,65062.0,65106.0,65126.0,65169.0,65209.0,65252.0,65288.0,65354.0,65384.0,65410.0,65460.0,65502.0,65519.0,65571.0,65651.0,65736.0,65802.0,65825.0,65866.0,65899.0,65958.0,66015.0,66073.0,66106.0,66139.0,66173.0,66256.0,66316.0,66377.0,66427.0,66473.0,66518.0,66569.0,66596.0,66708.0,67015.0,67095.0,67147.0,67324.0,67484.0,67694.0,67831.0,67914.0,67960.0,67990.0,68052.0,68142.0,68217.0,68270.0,68317.0,68384.0,68438.0,68474.0,68559.0,68579.0,68669.0,68728.0,68753.0,68812.0,68847.0,68903.0,68922.0,68954.0,68990.0,69034.0,69071.0,69127.0,69191.0,69283.0,69372.0,69424.0,69474.0,69555.0,69669.0,69719.0,69799.0,69848.0,69878.0,69905.0,69960.0,70001.0,70039.0,70056.0,70103.0,70130.0,70164.0
5003208,77400.0,77445.0,77499.0,77535.0,77611.0,77644.0,77682.0,77699.0,77736.0,77773.0,77808.0,77837.0,77891.0,77916.0,77938.0,77979.0,78013.0,78027.0,78069.0,78132.0,78199.0,78247.0,78263.0,78294.0,78321.0,78368.0,78418.0,78468.0,78495.0,78522.0,78549.0,78622.0,78674.0,78721.0,78760.0,78796.0,78831.0,78872.0,78894.0,78970.0,79179.0,79246.0,79290.0,79438.0,79572.0,79747.0,79850.0,79917.0,79954.0,79980.0,80032.0,80098.0,80151.0,80195.0,80234.0,80286.0,80328.0,80363.0,80439.0,80457.0,80538.0,80583.0,80602.0,80647.0,80677.0,80725.0,80742.0,80770.0,80799.0,80835.0,80865.0,80912.0,80965.0,81040.0,81112.0,81154.0,81195.0,81259.0,81348.0,81395.0,81469.0,81518.0,81548.0,81575.0,81631.0,81672.0,81710.0,81727.0,81774.0,81802.0,81836.0
5003735,30000.0,30054.0,30118.0,30174.0,30292.0,30343.0,30402.0,30429.0,30487.0,30539.0,30590.0,30632.0,30709.0,30744.0,30775.0,30834.0,30883.0,30903.0,30963.0,31046.0,31136.0,31245.0,31282.0,31350.0,31392.0,31467.0,31549.0,31632.0,31683.0,31735.0,31788.0,31913.0,32004.0,32088.0,32158.0,32225.0,32292.0,32390.0,32443.0,32564.0,32896.0,32983.0,33040.0,33234.0,33409.0,33639.0,33776.0,33877.0,33933.0,33961.0,34017.0,34095.0,34175.0,34227.0,34273.0,34335.0,34385.0,34419.0,34503.0,34523.0,34613.0,34677.0,34704.0,34768.0,34809.0,34875.0,34896.0,34930.0,34974.0,35013.0,35051.0,35109.0,35178.0,35277.0,35372.0,35428.0,35482.0,35556.0,35660.0,35713.0,35796.0,35844.0,35873.0,35900.0,35955.0,35995.0,36032.0,36049.0,36095.0,36122.0,36156.0
5003945,48600.0,48646.0,48700.0,48748.0,48850.0,48894.0,48945.0,48968.0,49019.0,49065.0,49112.0,49151.0,49223.0,49256.0,49285.0,49340.0,49386.0,49405.0,49458.0,49532.0,49612.0,49683.0,49707.0,49751.0,49785.0,49845.0,49912.0,49980.0,50018.0,50057.0,50096.0,50170.0,50224.0,50281.0,50328.0,50375.0,50422.0,50475.0,50504.0,50608.0,50892.0,50961.0,51006.0,51160.0,51299.0,51483.0,51615.0,51705.0,51754.0,51783.0,51841.0,51929.0,52019.0,52077.0,52129.0,52203.0,52264.0,52305.0,52405.0,52429.0,52536.0,52609.0,52640.0,52711.0,52756.0,52829.0,52852.0,52891.0,52939.0,52991.0,53034.0,53100.0,53186.0,53309.0,53427.0,53496.0,53563.0,53655.0,53784.0,53835.0,53917.0,53966.0,53996.0,54023.0,54079.0,54120.0,54158.0,54175.0,54222.0,54250.0,54286.0
5003947,63600.0,63643.0,63694.0,63736.0,63824.0,63862.0,63906.0,63926.0,63969.0,64009.0,64052.0,64088.0,64154.0,64184.0,64210.0,64260.0,64302.0,64319.0,64371.0,64451.0,64536.0,64602.0,64625.0,64666.0,64699.0,64758.0,64815.0,64873.0,64906.0,64939.0,64973.0,65056.0,65116.0,65177.0,65227.0,65273.0,65318.0,65369.0,65396.0,65508.0,65815.0,65895.0,65947.0,66124.0,66284.0,66494.0,66631.0,66714.0,66760.0,66790.0,66852.0,66942.0,67017.0,67070.0,67117.0,67184.0,67238.0,67274.0,67359.0,67379.0,67469.0,67528.0,67553.0,67612.0,67647.0,67703.0,67722.0,67754.0,67790.0,67834.0,67871.0,67927.0,67991.0,68083.0,68172.0,68224.0,68274.0,68355.0,68469.0,68519.0,68599.0,68648.0,68678.0,68705.0,68760.0,68801.0,68839.0,68856.0,68903.0,68930.0,68964.0
