tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5016122,47100.0,47215.0,47422.0,47464.0,47513.0,47548.0,47575.0,47605.0,47628.0,47711.0,47735.0,47766.0,47817.0,47877.0,47893.0,47952.0,48013.0,48059.0,48144.0,48195.0,48224.0,48288.0,48312.0,48333.0,48385.0,48403.0,48472.0,48505.0,48528.0,48550.0,48592.0,48643.0,48683.0,48731.0,48804.0,48837.0,48886.0,48981.0,49006.0,49021.0,49069.0,49100.0,49125.0,49140.0,49165.0,49207.0
5089967,77400.0,77498.0,77676.0,77735.0,77803.0,77843.0,77874.0,77910.0,77936.0,78029.0,78056.0,78091.0,78132.0,78179.0,78197.0,78260.0,78307.0,78342.0,78407.0,78446.0,78478.0,78548.0,78574.0,78597.0,78653.0,78673.0,78745.0,78775.0,78797.0,78818.0,78857.0,78908.0,78946.0,78996.0,79073.0,79108.0,79155.0,79247.0,79271.0,79285.0,79331.0,79360.0,79384.0,79399.0,79424.0,79464.0
5091824,50100.0,50210.0,50410.0,50451.0,50498.0,50531.0,50557.0,50586.0,50608.0,50688.0,50711.0,50741.0,50790.0,50848.0,50864.0,50920.0,50979.0,51023.0,51105.0,51154.0,51182.0,51244.0,51267.0,51287.0,51337.0,51354.0,51420.0,51451.0,51473.0,51494.0,51535.0,51584.0,51622.0,51668.0,51738.0,51770.0,51817.0,51909.0,51933.0,51947.0,51993.0,52022.0,52046.0,52061.0,52086.0,52126.0
5091826,77100.0,77187.0,77344.0,77372.0,77405.0,77426.0,77442.0,77461.0,77475.0,77527.0,77541.0,77559.0,77590.0,77620.0,77632.0,77674.0,77714.0,77744.0,77800.0,77834.0,77861.0,77920.0,77942.0,77961.0,78009.0,78026.0,78111.0,78143.0,78166.0,78187.0,78227.0,78281.0,78317.0,78358.0,78420.0,78448.0,78495.0,78587.0,78611.0,78625.0,78671.0,78700.0,78724.0,78739.0,78764.0,78804.0
5091828,84000.0,84087.0,84244.0,84272.0,84305.0,84326.0,84342.0,84361.0,84375.0,84427.0,84441.0,84459.0,84490.0,84520.0,84532.0,84574.0,84614.0,84644.0,84700.0,84734.0,84761.0,84820.0,84842.0,84861.0,84909.0,84926.0,85011.0,85043.0,85066.0,85087.0,85127.0,85181.0,85217.0,85258.0,85320.0,85348.0,85395.0,85487.0,85511.0,85525.0,85571.0,85600.0,85624.0,85639.0,85664.0,85704.0
5093367,79200.0,79298.0,79476.0,79535.0,79603.0,79643.0,79674.0,79710.0,79736.0,79829.0,79856.0,79891.0,79932.0,79979.0,79997.0,80060.0,80107.0,80142.0,80207.0,80246.0,80278.0,80348.0,80374.0,80397.0,80453.0,80473.0,80545.0,80575.0,80597.0,80618.0,80657.0,80708.0,80746.0,80796.0,80873.0,80908.0,80955.0,81047.0,81071.0,81085.0,81131.0,81160.0,81184.0,81199.0,81224.0,81264.0
5095190,47100.0,47210.0,47410.0,47451.0,47498.0,47531.0,47557.0,47586.0,47608.0,47688.0,47711.0,47741.0,47790.0,47848.0,47864.0,47920.0,47979.0,48023.0,48105.0,48154.0,48182.0,48244.0,48267.0,48287.0,48337.0,48354.0,48420.0,48451.0,48473.0,48494.0,48535.0,48584.0,48622.0,48668.0,48738.0,48770.0,48817.0,48909.0,48933.0,48947.0,48993.0,49022.0,49046.0,49061.0,49086.0,49126.0
5095192,53100.0,53205.0,53395.0,53436.0,53484.0,53517.0,53543.0,53572.0,53593.0,53668.0,53692.0,53722.0,53774.0,53826.0,53850.0,53937.0,53995.0,54038.0,54118.0,54166.0,54197.0,54265.0,54290.0,54312.0,54366.0,54385.0,54450.0,54487.0,54514.0,54539.0,54587.0,54648.0,54688.0,54727.0,54786.0,54812.0,54859.0,54951.0,54975.0,54989.0,55035.0,55064.0,55088.0,55103.0,55128.0,55168.0
5096337,59100.0,59205.0,59395.0,59436.0,59484.0,59517.0,59543.0,59572.0,59593.0,59668.0,59692.0,59722.0,59774.0,59826.0,59850.0,59937.0,59995.0,60038.0,60118.0,60166.0,60197.0,60265.0,60290.0,60312.0,60366.0,60385.0,60450.0,60487.0,60514.0,60539.0,60587.0,60648.0,60688.0,60727.0,60786.0,60812.0,60859.0,60951.0,60975.0,60989.0,61035.0,61064.0,61088.0,61103.0,61128.0,61168.0
5097077,38100.0,38188.0,38347.0,38383.0,38424.0,38450.0,38470.0,38493.0,38517.0,38605.0,38631.0,38664.0,38721.0,38759.0,38775.0,38832.0,38889.0,38932.0,39012.0,39059.0,39088.0,39151.0,39174.0,39194.0,39245.0,39264.0,39323.0,39355.0,39378.0,39400.0,39442.0,39496.0,39534.0,39578.0,39645.0,39676.0,39723.0,39815.0,39839.0,39853.0,39899.0,39928.0,39952.0,39967.0,39992.0,40032.0
5097084,71100.0,71199.0,71377.0,71419.0,71467.0,71506.0,71536.0,71570.0,71590.0,71663.0,71686.0,71716.0,71766.0,71806.0,71824.0,71890.0,71930.0,71960.0,72015.0,72047.0,72084.0,72165.0,72195.0,72221.0,72286.0,72310.0,72377.0,72412.0,72437.0,72461.0,72505.0,72551.0,72587.0,72630.0,72696.0,72725.0,72772.0,72864.0,72888.0,72902.0,72948.0,72977.0,73001.0,73016.0,73041.0,73081.0
5098938,35100.0,35188.0,35347.0,35383.0,35424.0,35450.0,35470.0,35493.0,35517.0,35605.0,35631.0,35664.0,35721.0,35759.0,35775.0,35832.0,35889.0,35932.0,36012.0,36059.0,36088.0,36151.0,36174.0,36194.0,36245.0,36264.0,36323.0,36355.0,36378.0,36400.0,36442.0,36496.0,36534.0,36578.0,36645.0,36676.0,36723.0,36815.0,36839.0,36853.0,36899.0,36928.0,36952.0,36967.0,36992.0,37032.0
5098940,41100.0,41188.0,41347.0,41383.0,41424.0,41450.0,41470.0,41493.0,41517.0,41605.0,41631.0,41664.0,41721.0,41759.0,41775.0,41832.0,41889.0,41932.0,42012.0,42059.0,42088.0,42151.0,42174.0,42194.0,42245.0,42264.0,42323.0,42355.0,42378.0,42400.0,42442.0,42496.0,42534.0,42578.0,42645.0,42676.0,42723.0,42815.0,42839.0,42853.0,42899.0,42928.0,42952.0,42967.0,42992.0,43032.0
5098944,62100.0,62296.0,62651.0,62674.0,62700.0,62728.0,62750.0,62775.0,62795.0,62869.0,62884.0,62903.0,62945.0,62980.0,62995.0,63050.0,63093.0,63125.0,63185.0,63220.0,63245.0,63300.0,63320.0,63338.0,63382.0,63399.0,63466.0,63492.0,63511.0,63529.0,63563.0,63610.0,63643.0,63687.0,63754.0,63784.0,63831.0,63923.0,63947.0,63961.0,64007.0,64036.0,64060.0,64075.0,64100.0,64140.0
5098947,80400.0,80487.0,80644.0,80672.0,80705.0,80726.0,80742.0,80761.0,80775.0,80827.0,80841.0,80859.0,80890.0,80920.0,80932.0,80974.0,81014.0,81044.0,81100.0,81134.0,81161.0,81220.0,81242.0,81261.0,81309.0,81326.0,81411.0,81443.0,81466.0,81487.0,81527.0,81581.0,81617.0,81658.0,81720.0,81748.0,81795.0,81887.0,81911.0,81925.0,81971.0,82000.0,82024.0,82039.0,82064.0,82104.0
5100210,73800.0,73907.0,74100.0,74156.0,74220.0,74265.0,74300.0,74340.0,74379.0,74520.0,74546.0,74580.0,74640.0,74700.0,74779.0,75060.0,75106.0,75140.0,75203.0,75240.0,75274.0,75348.0,75375.0,75399.0,75459.0,75480.0,75540.0,75573.0,75596.0,75618.0,75660.0,75720.0,75780.0,75836.0,75921.0,75960.0,76024.0,76148.0,76181.0,76200.0,76262.0,76302.0,76334.0,76354.0,76387.0,76440.0
