tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P
5003725,74700.0,74766.0,74865.0,74903.0,74929.0,74976.0,75029.0,75091.0,75138.0,75179.0,75211.0,75258.0,75318.0,75348.0,75393.0,75477.0,75596.0,75632.0,75755.0,75799.0,75916.0,76082.0,76313.0,76455.0,76547.0,76604.0,76718.0,76837.0,76898.0,76949.0,77006.0,77063.0,77151.0,77184.0,77214.0,77275.0,77300.0,77343.0,77412.0,77448.0,77488.0,77526.0,77568.0,77607.0,77656.0,77703.0,77745.0,77774.0,77801.0,77838.0
5003727,83400.0,83457.0,83542.0,83573.0,83594.0,83632.0,83675.0,83715.0,83761.0,83800.0,83831.0,83870.0,83920.0,83946.0,83984.0,84043.0,84127.0,84152.0,84239.0,84271.0,84357.0,84529.0,84730.0,84854.0,84934.0,84982.0,85078.0,85183.0,85237.0,85282.0,85326.0,85370.0,85439.0,85470.0,85497.0,85551.0,85573.0,85611.0,85671.0,85702.0,85738.0,85771.0,85808.0,85843.0,85885.0,85930.0,85971.0,85999.0,86025.0,86060.0
5003948,22800.0,22870.0,22976.0,23018.0,23047.0,23099.0,23172.0,23235.0,23299.0,23354.0,23396.0,23493.0,23616.0,23716.0,23863.0,24007.0,24211.0,24272.0,24484.0,24561.0,24668.0,24845.0,25073.0,25213.0,25283.0,25341.0,25458.0,25574.0,25633.0,25683.0,25748.0,25813.0,25913.0,25940.0,25964.0,26026.0,26051.0,26095.0,26164.0,26200.0,26241.0,26279.0,26321.0,26361.0,26410.0,26455.0,26496.0,26524.0,26549.0,26584.0
5003950,31800.0,31887.0,32019.0,32071.0,32107.0,32171.0,32246.0,32321.0,32381.0,32433.0,32474.0,32607.0,32777.0,32908.0,33102.0,33255.0,33471.0,33536.0,33761.0,33841.0,33955.0,34174.0,34485.0,34677.0,34757.0,34821.0,34950.0,35063.0,35121.0,35169.0,35230.0,35290.0,35384.0,35412.0,35438.0,35495.0,35519.0,35559.0,35623.0,35656.0,35694.0,35729.0,35768.0,35805.0,35851.0,35893.0,35931.0,35957.0,35981.0,36015.0
5003951,60600.0,60678.0,60797.0,60840.0,60869.0,60922.0,60992.0,61056.0,61111.0,61158.0,61196.0,61263.0,61348.0,61391.0,61455.0,61571.0,61735.0,61784.0,61954.0,62016.0,62156.0,62356.0,62647.0,62826.0,62916.0,62986.0,63126.0,63293.0,63379.0,63451.0,63519.0,63587.0,63692.0,63727.0,63758.0,63832.0,63863.0,63916.0,63999.0,64042.0,64091.0,64137.0,64188.0,64236.0,64294.0,64345.0,64391.0,64423.0,64452.0,64492.0
5004068,30900.0,30971.0,31079.0,31127.0,31160.0,31220.0,31302.0,31370.0,31426.0,31474.0,31513.0,31575.0,31654.0,31696.0,31757.0,31837.0,31951.0,31985.0,32104.0,32147.0,32230.0,32402.0,32624.0,32760.0,32827.0,32881.0,32988.0,33089.0,33141.0,33184.0,33232.0,33280.0,33353.0,33375.0,33395.0,33458.0,33484.0,33529.0,33600.0,33637.0,33679.0,33718.0,33761.0,33802.0,33850.0,33890.0,33927.0,33952.0,33975.0,34007.0
5004070,39300.0,39381.0,39504.0,39547.0,39577.0,39630.0,39691.0,39768.0,39847.0,39915.0,39968.0,40041.0,40134.0,40176.0,40237.0,40319.0,40435.0,40470.0,40590.0,40632.0,40748.0,41001.0,41228.0,41368.0,41442.0,41490.0,41586.0,41693.0,41748.0,41793.0,41856.0,41919.0,42017.0,42042.0,42064.0,42119.0,42142.0,42181.0,42243.0,42275.0,42311.0,42345.0,42383.0,42418.0,42461.0,42503.0,42541.0,42567.0,42591.0,42625.0
5004072,68100.0,68166.0,68265.0,68306.0,68334.0,68384.0,68441.0,68493.0,68549.0,68597.0,68636.0,68707.0,68798.0,68831.0,68881.0,68981.0,69123.0,69165.0,69312.0,69366.0,69521.0,69737.0,70011.0,70179.0,70261.0,70319.0,70434.0,70552.0,70612.0,70663.0,70721.0,70779.0,70868.0,70902.0,70932.0,70996.0,71022.0,71067.0,71139.0,71176.0,71218.0,71258.0,71302.0,71343.0,71394.0,71441.0,71484.0,71514.0,71541.0,71577.0
5004853,27000.0,27070.0,27176.0,27218.0,27247.0,27299.0,27372.0,27435.0,27499.0,27554.0,27596.0,27693.0,27816.0,27916.0,28063.0,28207.0,28411.0,28472.0,28684.0,28761.0,28868.0,29045.0,29273.0,29413.0,29483.0,29541.0,29658.0,29774.0,29833.0,29883.0,29948.0,30013.0,30113.0,30140.0,30164.0,30226.0,30251.0,30295.0,30364.0,30400.0,30441.0,30479.0,30521.0,30561.0,30610.0,30655.0,30696.0,30724.0,30749.0,30784.0
5004856,66000.0,66078.0,66197.0,66240.0,66269.0,66322.0,66392.0,66456.0,66511.0,66558.0,66596.0,66663.0,66748.0,66791.0,66855.0,66971.0,67135.0,67184.0,67354.0,67416.0,67556.0,67756.0,68047.0,68226.0,68316.0,68386.0,68526.0,68693.0,68779.0,68851.0,68919.0,68987.0,69092.0,69127.0,69158.0,69232.0,69263.0,69316.0,69399.0,69442.0,69491.0,69537.0,69588.0,69636.0,69694.0,69745.0,69791.0,69823.0,69852.0,69892.0
