tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P
0,4664.0,2160.0,4665.0,4666.0,4667.0,4668.0,3376.0,3377.0,3378.0,3379.0,4669.0,2146.0,2147.0,2148.0,2149.0,2150.0,2151.0,2152.0,2153.0,2154.0,6245.0,6013.0,6247.0,2681.0,4691.0,4796.0,4690.0,4411.0,2239.0,2241.0,2242.0,7435.0,2722.0,4413.0,1476.0,7453.0,1478.0,1479.0,315.0,336.0,404.0,747.0,748.0,749.0,750.0,751.0,752.0,753.0,754.0,755.0
5006847,28800.0,28856.0,28896.0,28939.0,28974.0,29045.0,29086.0,29114.0,29157.0,29205.0,29234.0,29309.0,29346.0,29377.0,29410.0,29455.0,29478.0,29517.0,29564.0,29599.0,29633.0,29672.0,29699.0,29990.0,30023.0,30159.0,30235.0,30260.0,30482.0,30712.0,30789.0,31180.0,31207.0,31337.0,31638.0,31845.0,32019.0,32137.0,32622.0,32971.0,33203.0,33353.0,33414.0,33488.0,33542.0,33596.0,33663.0,33718.0,33781.0,33852.0
5009212,27900.0,27956.0,27996.0,28039.0,28074.0,28145.0,28186.0,28215.0,28261.0,28312.0,28343.0,28423.0,28463.0,28496.0,28531.0,28579.0,28604.0,28646.0,28688.0,28720.0,28750.0,28785.0,28810.0,29072.0,29100.0,29219.0,29285.0,29307.0,29500.0,29701.0,29756.0,30088.0,30111.0,30221.0,30439.0,30589.0,30715.0,30800.0,31251.0,31575.0,31797.0,31942.0,32020.0,32115.0,32181.0,32247.0,32329.0,32366.0,32408.0,32457.0
5011668,27000.0,27056.0,27096.0,27139.0,27174.0,27245.0,27286.0,27315.0,27361.0,27412.0,27443.0,27523.0,27563.0,27596.0,27631.0,27679.0,27704.0,27746.0,27788.0,27820.0,27850.0,27885.0,27910.0,28172.0,28200.0,28319.0,28385.0,28407.0,28600.0,28801.0,28856.0,29188.0,29211.0,29321.0,29539.0,29689.0,29815.0,29900.0,30351.0,30675.0,30897.0,31042.0,31120.0,31215.0,31281.0,31347.0,31429.0,31466.0,31508.0,31557.0
5085180,28800.0,28854.0,28892.0,28934.0,28967.0,29035.0,29075.0,29102.0,29143.0,29189.0,29217.0,29289.0,29325.0,29355.0,29387.0,29430.0,29452.0,29490.0,29535.0,29569.0,29601.0,29638.0,29664.0,29945.0,29976.0,30107.0,30180.0,30204.0,30417.0,30639.0,30713.0,31089.0,31115.0,31240.0,31529.0,31728.0,31895.0,32009.0,32476.0,32811.0,33033.0,33178.0,33237.0,33308.0,33360.0,33412.0,33476.0,33529.0,33589.0,33658.0
5093355,27000.0,27054.0,27092.0,27134.0,27167.0,27235.0,27275.0,27303.0,27347.0,27396.0,27426.0,27503.0,27541.0,27573.0,27607.0,27653.0,27677.0,27717.0,27758.0,27788.0,27817.0,27851.0,27875.0,28127.0,28154.0,28268.0,28331.0,28352.0,28538.0,28732.0,28785.0,29104.0,29126.0,29232.0,29442.0,29586.0,29707.0,29789.0,30223.0,30534.0,30748.0,30887.0,30962.0,31053.0,31117.0,31180.0,31259.0,31295.0,31336.0,31382.0
5095491,27900.0,27954.0,27992.0,28034.0,28067.0,28135.0,28175.0,28203.0,28247.0,28296.0,28326.0,28403.0,28441.0,28473.0,28507.0,28553.0,28577.0,28617.0,28658.0,28688.0,28717.0,28751.0,28775.0,29027.0,29054.0,29168.0,29231.0,29252.0,29438.0,29632.0,29685.0,30004.0,30026.0,30132.0,30342.0,30486.0,30607.0,30689.0,31123.0,31434.0,31648.0,31787.0,31862.0,31953.0,32017.0,32080.0,32159.0,32195.0,32236.0,32282.0
5102140,27000.0,27054.0,27092.0,27134.0,27167.0,27235.0,27275.0,27303.0,27347.0,27396.0,27426.0,27503.0,27541.0,27573.0,27607.0,27653.0,27677.0,27717.0,27758.0,27788.0,27817.0,27851.0,27875.0,28127.0,28154.0,28268.0,28331.0,28352.0,28538.0,28732.0,28785.0,29104.0,29126.0,29232.0,29442.0,29586.0,29707.0,29789.0,30223.0,30534.0,30748.0,30887.0,30962.0,31053.0,31117.0,31180.0,31259.0,31295.0,31336.0,31382.0
5113194,28800.0,28854.0,28892.0,28934.0,28967.0,29035.0,29075.0,29102.0,29143.0,29189.0,29217.0,29289.0,29325.0,29355.0,29387.0,29430.0,29452.0,29490.0,29535.0,29569.0,29601.0,29638.0,29664.0,29945.0,29976.0,30107.0,30180.0,30204.0,30417.0,30639.0,30713.0,31089.0,31115.0,31240.0,31529.0,31728.0,31895.0,32009.0,32476.0,32811.0,33033.0,33178.0,33237.0,33308.0,33360.0,33412.0,33476.0,33529.0,33589.0,33658.0
