tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
0,4392.0,2446.0,2459.0,2460.0,2461.0,2462.0,2463.0,2431.0,2432.0,2433.0,2434.0,2435.0,2436.0,2437.0,2438.0,2439.0,2440.0,2441.0,2442.0,2443.0,2444.0,1344.0,1345.0,1347.0,1348.0,1349.0,1350.0,1352.0,1353.0,7589.0,1355.0,1357.0,1359.0,319.0,281.0,4.0,194.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,148.0,149.0,150.0,27.0,28.0,29.0,4680.0,90.0,91.0,129.0,130.0,131.0,164.0,165.0,166.0,7458.0,4479.0,4376.0,4377.0,4890.0,4369.0,6219.0,6229.0,7131.0
5004244,36600.0,36692.0,36739.0,36793.0,36849.0,36891.0,36929.0,37014.0,37074.0,37130.0,37185.0,37238.0,37262.0,37326.0,37383.0,37424.0,37512.0,37594.0,37666.0,37709.0,37782.0,37848.0,37917.0,38016.0,38091.0,38131.0,38176.0,38251.0,38286.0,38363.0,38385.0,38488.0,38635.0,38746.0,39007.0,39128.0,39217.0,39295.0,39342.0,39389.0,39451.0,39494.0,39594.0,39619.0,39665.0,39714.0,39758.0,39833.0,39870.0,39904.0,39930.0,39955.0,39991.0,40089.0,40123.0,40175.0,40242.0,40284.0,40317.0,40379.0,40453.0,40482.0,40535.0,40560.0,40622.0,40679.0,40736.0,40787.0
5004248,58500.0,58561.0,58592.0,58628.0,58665.0,58703.0,58737.0,58813.0,58865.0,58914.0,58961.0,59018.0,59044.0,59113.0,59167.0,59199.0,59257.0,59312.0,59374.0,59410.0,59472.0,59528.0,59585.0,59667.0,59729.0,59770.0,59816.0,59893.0,59929.0,60087.0,60116.0,60250.0,60425.0,60557.0,60880.0,61068.0,61166.0,61242.0,61288.0,61344.0,61419.0,61466.0,61575.0,61602.0,61649.0,61699.0,61744.0,61821.0,61860.0,61900.0,61931.0,61961.0,62002.0,62091.0,62122.0,62169.0,62230.0,62268.0,62298.0,62354.0,62421.0,62447.0,62495.0,62517.0,62573.0,62631.0,62690.0,62743.0
5004250,69600.0,69678.0,69718.0,69764.0,69811.0,69842.0,69870.0,69931.0,69982.0,70030.0,70076.0,70125.0,70147.0,70206.0,70254.0,70298.0,70361.0,70420.0,70483.0,70520.0,70583.0,70641.0,70711.0,70812.0,70889.0,70936.0,70989.0,71077.0,71118.0,71219.0,71247.0,71378.0,71580.0,71732.0,72001.0,72109.0,72189.0,72258.0,72301.0,72345.0,72404.0,72444.0,72536.0,72570.0,72608.0,72649.0,72686.0,72749.0,72782.0,72816.0,72843.0,72869.0,72905.0,72989.0,73018.0,73062.0,73119.0,73155.0,73183.0,73235.0,73298.0,73322.0,73367.0,73388.0,73442.0,73490.0,73538.0,73581.0
5004412,28500.0,28571.0,28607.0,28648.0,28690.0,28735.0,28776.0,28867.0,28919.0,28968.0,29016.0,29084.0,29114.0,29197.0,29271.0,29313.0,29419.0,29519.0,29618.0,29676.0,29776.0,29867.0,29945.0,30057.0,30142.0,30215.0,30296.0,30432.0,30496.0,30611.0,30631.0,30724.0,30863.0,30967.0,31213.0,31332.0,31448.0,31525.0,31572.0,31625.0,31696.0,31749.0,31871.0,31898.0,31955.0,32017.0,32072.0,32166.0,32213.0,32255.0,32288.0,32319.0,32363.0,32469.0,32506.0,32562.0,32635.0,32680.0,32716.0,32783.0,32863.0,32894.0,32951.0,32977.0,33044.0,33105.0,33167.0,33222.0
5004414,47700.0,47770.0,47805.0,47846.0,47888.0,47933.0,47974.0,48064.0,48122.0,48176.0,48230.0,48282.0,48305.0,48369.0,48424.0,48461.0,48541.0,48615.0,48677.0,48713.0,48775.0,48833.0,48905.0,49009.0,49087.0,49133.0,49184.0,49270.0,49310.0,49432.0,49455.0,49563.0,49729.0,49853.0,50151.0,50301.0,50416.0,50505.0,50559.0,50616.0,50691.0,50739.0,50849.0,50885.0,50939.0,50997.0,51049.0,51138.0,51182.0,51224.0,51257.0,51288.0,51332.0,51440.0,51477.0,51534.0,51608.0,51654.0,51690.0,51758.0,51839.0,51870.0,51928.0,51955.0,52026.0,52091.0,52157.0,52215.0
5004416,58800.0,58866.0,58900.0,58939.0,58979.0,59019.0,59055.0,59136.0,59189.0,59239.0,59287.0,59344.0,59370.0,59439.0,59482.0,59513.0,59581.0,59644.0,59710.0,59749.0,59815.0,59874.0,59935.0,60023.0,60089.0,60139.0,60194.0,60286.0,60329.0,60463.0,60490.0,60615.0,60785.0,60912.0,61236.0,61390.0,61499.0,61588.0,61642.0,61724.0,61834.0,61883.0,61996.0,62038.0,62100.0,62166.0,62225.0,62327.0,62378.0,62421.0,62454.0,62486.0,62531.0,62638.0,62675.0,62731.0,62804.0,62850.0,62886.0,62953.0,63034.0,63065.0,63123.0,63150.0,63218.0,63291.0,63364.0,63429.0
5005526,27900.0,27971.0,28007.0,28048.0,28090.0,28135.0,28176.0,28267.0,28319.0,28368.0,28416.0,28484.0,28514.0,28597.0,28671.0,28713.0,28819.0,28919.0,29018.0,29076.0,29176.0,29267.0,29345.0,29457.0,29542.0,29615.0,29696.0,29832.0,29896.0,30011.0,30031.0,30124.0,30263.0,30367.0,30613.0,30732.0,30848.0,30925.0,30972.0,31025.0,31096.0,31149.0,31271.0,31298.0,31355.0,31417.0,31472.0,31566.0,31613.0,31655.0,31688.0,31719.0,31763.0,31869.0,31906.0,31962.0,32035.0,32080.0,32116.0,32183.0,32263.0,32294.0,32351.0,32377.0,32444.0,32505.0,32567.0,32622.0
5005528,39600.0,39681.0,39722.0,39769.0,39817.0,39857.0,39893.0,39974.0,40035.0,40092.0,40148.0,40201.0,40225.0,40288.0,40335.0,40373.0,40448.0,40519.0,40581.0,40617.0,40679.0,40736.0,40809.0,40914.0,40994.0,41038.0,41087.0,41170.0,41209.0,41335.0,41357.0,41460.0,41609.0,41720.0,41995.0,42153.0,42266.0,42357.0,42412.0,42467.0,42540.0,42585.0,42690.0,42720.0,42768.0,42820.0,42866.0,42945.0,42986.0,43019.0,43045.0,43070.0,43104.0,43194.0,43225.0,43272.0,43334.0,43373.0,43403.0,43460.0,43528.0,43554.0,43603.0,43625.0,43683.0,43742.0,43801.0,43854.0
5005530,60600.0,60666.0,60700.0,60739.0,60779.0,60819.0,60855.0,60936.0,60989.0,61039.0,61087.0,61144.0,61170.0,61239.0,61282.0,61313.0,61381.0,61444.0,61510.0,61549.0,61615.0,61674.0,61735.0,61823.0,61889.0,61939.0,61994.0,62086.0,62129.0,62263.0,62290.0,62415.0,62585.0,62712.0,63036.0,63190.0,63299.0,63388.0,63442.0,63524.0,63634.0,63683.0,63796.0,63838.0,63900.0,63966.0,64025.0,64127.0,64178.0,64221.0,64254.0,64286.0,64331.0,64438.0,64475.0,64531.0,64604.0,64650.0,64686.0,64753.0,64834.0,64865.0,64923.0,64950.0,65018.0,65091.0,65164.0,65229.0
