tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P
0,2210.0,2211.0,2241.0,2242.0,2243.0,2244.0,2245.0,2246.0,2247.0,2248.0,2249.0,2250.0,2251.0,1472.0,4408.0,1473.0,1474.0,1476.0,7453.0,1478.0,1479.0,315.0,347.0,406.0,2810.0,7387.0
5017649,48300.0,48413.0,48516.0,48553.0,48647.0,48687.0,48723.0,48781.0,48846.0,48882.0,48908.0,48932.0,48976.0,49026.0,49074.0,49101.0,49162.0,49242.0,49342.0,49426.0,49484.0,49680.0,49778.0,49890.0,50003.0,50050.0
5090056,60900.0,61041.0,61169.0,61207.0,61303.0,61345.0,61389.0,61459.0,61522.0,61555.0,61580.0,61604.0,61652.0,61707.0,61760.0,61790.0,61857.0,61942.0,62052.0,62144.0,62207.0,62389.0,62483.0,62591.0,62700.0,62744.0
