tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
0,4747.0,7298.0,2294.0,6039.0,1816.0,6171.0,4974.0,4976.0,2510.0,7242.0,7238.0,7224.0,1581.0,4793.0,6068.0,1584.0,983.0,984.0,985.0,987.0,988.0,138.0,139.0,140.0,141.0,142.0,143.0,92.0,93.0,94.0,126.0,989.0,6009.0,990.0,991.0,992.0,7044.0,993.0,5060.0,5061.0,1235.0,1251.0,253.0,7130.0,1237.0,1253.0,997.0,998.0,999.0,1000.0,1001.0,1002.0,1003.0,1004.0,1005.0,1006.0,1007.0,1008.0,1009.0,1010.0,1012.0
5002689,23400.0,23635.0,23691.0,23775.0,23820.0,23857.0,23908.0,23948.0,24023.0,24059.0,24081.0,24112.0,24133.0,24235.0,24312.0,24340.0,24410.0,24459.0,24491.0,24543.0,24584.0,24617.0,24674.0,24710.0,24750.0,24784.0,24827.0,24877.0,24922.0,24989.0,25043.0,25148.0,25226.0,25318.0,25382.0,25470.0,25582.0,25622.0,25698.0,25728.0,25750.0,25802.0,25919.0,26049.0,26070.0,26163.0,26227.0,26252.0,26307.0,26351.0,26379.0,26446.0,26509.0,26545.0,26575.0,26615.0,26656.0,26708.0,26723.0,26760.0,26800.0
5002691,37200.0,37464.0,37528.0,37602.0,37641.0,37683.0,37739.0,37776.0,37845.0,37882.0,37904.0,37942.0,37967.0,38065.0,38142.0,38170.0,38240.0,38308.0,38353.0,38425.0,38482.0,38521.0,38589.0,38633.0,38682.0,38724.0,38777.0,38837.0,38888.0,38964.0,39026.0,39122.0,39199.0,39291.0,39355.0,39441.0,39552.0,39591.0,39666.0,39696.0,39717.0,39768.0,39884.0,40012.0,40033.0,40127.0,40194.0,40220.0,40278.0,40335.0,40372.0,40459.0,40540.0,40579.0,40612.0,40662.0,40707.0,40763.0,40779.0,40821.0,40867.0
5002693,50400.0,50668.0,50732.0,50815.0,50860.0,50911.0,50979.0,51019.0,51095.0,51140.0,51166.0,51206.0,51233.0,51335.0,51429.0,51463.0,51549.0,51639.0,51698.0,51793.0,51868.0,51909.0,51982.0,52036.0,52097.0,52150.0,52216.0,52292.0,52355.0,52449.0,52525.0,52644.0,52729.0,52830.0,52900.0,52996.0,53121.0,53165.0,53250.0,53283.0,53307.0,53365.0,53496.0,53640.0,53663.0,53768.0,53849.0,53881.0,53951.0,54012.0,54052.0,54146.0,54234.0,54279.0,54318.0,54373.0,54427.0,54495.0,54513.0,54558.0,54608.0
5002695,64800.0,65081.0,65148.0,65251.0,65307.0,65357.0,65425.0,65475.0,65571.0,65609.0,65632.0,65670.0,65695.0,65804.0,65898.0,65932.0,66018.0,66079.0,66119.0,66184.0,66235.0,66281.0,66361.0,66412.0,66470.0,66520.0,66582.0,66653.0,66706.0,66785.0,66849.0,66936.0,67027.0,67135.0,67210.0,67311.0,67414.0,67450.0,67520.0,67547.0,67567.0,67614.0,67722.0,67841.0,67860.0,67946.0,68010.0,68035.0,68091.0,68124.0,68145.0,68233.0,68315.0,68354.0,68387.0,68437.0,68488.0,68553.0,68570.0,68613.0,68661.0
5003883,42000.0,42268.0,42332.0,42415.0,42460.0,42511.0,42579.0,42619.0,42695.0,42740.0,42766.0,42806.0,42833.0,42935.0,43029.0,43063.0,43149.0,43239.0,43298.0,43393.0,43468.0,43509.0,43582.0,43636.0,43697.0,43750.0,43816.0,43892.0,43955.0,44049.0,44125.0,44244.0,44329.0,44430.0,44500.0,44596.0,44721.0,44765.0,44850.0,44883.0,44907.0,44965.0,45096.0,45240.0,45263.0,45368.0,45449.0,45481.0,45551.0,45612.0,45652.0,45746.0,45834.0,45879.0,45918.0,45973.0,46027.0,46095.0,46113.0,46158.0,46208.0
5004968,28500.0,28762.0,28825.0,28927.0,28981.0,29031.0,29099.0,29144.0,29230.0,29271.0,29295.0,29345.0,29379.0,29496.0,29601.0,29639.0,29735.0,29802.0,29846.0,29916.0,29971.0,30021.0,30109.0,30169.0,30237.0,30295.0,30368.0,30452.0,30509.0,30595.0,30665.0,30762.0,30855.0,30965.0,31042.0,31145.0,31300.0,31355.0,31460.0,31501.0,31531.0,31603.0,31765.0,31944.0,31973.0,32101.0,32191.0,32226.0,32304.0,32355.0,32388.0,32482.0,32570.0,32616.0,32655.0,32720.0,32765.0,32821.0,32842.0,32895.0,32952.0
5004970,39600.0,39864.0,39928.0,40002.0,40041.0,40083.0,40139.0,40176.0,40245.0,40282.0,40304.0,40342.0,40367.0,40465.0,40542.0,40570.0,40640.0,40708.0,40753.0,40825.0,40882.0,40921.0,40989.0,41033.0,41082.0,41124.0,41177.0,41237.0,41288.0,41364.0,41426.0,41522.0,41599.0,41691.0,41755.0,41841.0,41952.0,41991.0,42066.0,42096.0,42117.0,42168.0,42284.0,42412.0,42433.0,42527.0,42594.0,42620.0,42678.0,42735.0,42772.0,42859.0,42940.0,42979.0,43012.0,43062.0,43107.0,43163.0,43179.0,43221.0,43267.0
5004972,55200.0,55466.0,55530.0,55617.0,55663.0,55706.0,55765.0,55807.0,55886.0,55927.0,55951.0,55995.0,56025.0,56138.0,56224.0,56255.0,56332.0,56421.0,56480.0,56574.0,56649.0,56701.0,56792.0,56856.0,56928.0,56990.0,57068.0,57158.0,57228.0,57333.0,57419.0,57530.0,57645.0,57781.0,57876.0,58005.0,58135.0,58181.0,58269.0,58304.0,58329.0,58389.0,58525.0,58675.0,58699.0,58806.0,58883.0,58913.0,58981.0,59072.0,59131.0,59225.0,59312.0,59357.0,59395.0,59452.0,59506.0,59575.0,59594.0,59643.0,59697.0
5004974,70200.0,70437.0,70494.0,70586.0,70636.0,70678.0,70736.0,70771.0,70838.0,70879.0,70903.0,70943.0,70970.0,71066.0,71141.0,71168.0,71237.0,71305.0,71350.0,71421.0,71477.0,71513.0,71577.0,71620.0,71669.0,71711.0,71764.0,71824.0,71873.0,71946.0,72005.0,72086.0,72155.0,72237.0,72294.0,72372.0,72480.0,72518.0,72592.0,72621.0,72642.0,72692.0,72806.0,72931.0,72951.0,73042.0,73101.0,73124.0,73176.0,73221.0,73250.0,73327.0,73399.0,73442.0,73479.0,73546.0,73591.0,73648.0,73664.0,73704.0,73749.0
