tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P
5095682,22800.0,22876.0,22945.0,23008.0,23055.0,23129.0,23168.0,23199.0,23237.0,23343.0,23370.0,23403.0,23473.0,23549.0,23608.0,23668.0,23835.0,23873.0,23910.0,23947.0,24011.0,24039.0,24085.0,24138.0,24157.0,24221.0,24256.0,24297.0,24330.0,24375.0,24464.0,24486.0,24538.0,24599.0,24657.0,24696.0,24748.0,24791.0,24847.0,24916.0,24988.0,25033.0,25073.0,25129.0,25215.0,25385.0,25537.0,25778.0,25898.0,26030.0,26091.0,26151.0,26190.0
5095684,30600.0,30697.0,30786.0,30867.0,30906.0,31005.0,31042.0,31071.0,31110.0,31270.0,31302.0,31340.0,31413.0,31493.0,31555.0,31618.0,31812.0,31856.0,31898.0,31941.0,32017.0,32054.0,32113.0,32182.0,32206.0,32289.0,32332.0,32383.0,32424.0,32479.0,32568.0,32590.0,32642.0,32702.0,32755.0,32790.0,32837.0,32884.0,32945.0,33033.0,33124.0,33169.0,33216.0,33281.0,33380.0,33588.0,33756.0,34023.0,34136.0,34256.0,34312.0,34366.0,34401.0
5095686,39600.0,39686.0,39764.0,39835.0,39886.0,39981.0,40022.0,40055.0,40098.0,40200.0,40229.0,40263.0,40334.0,40395.0,40442.0,40490.0,40649.0,40685.0,40720.0,40755.0,40816.0,40846.0,40894.0,40950.0,40970.0,41038.0,41070.0,41108.0,41139.0,41181.0,41301.0,41331.0,41383.0,41444.0,41500.0,41538.0,41588.0,41623.0,41668.0,41757.0,41856.0,41912.0,41943.0,41985.0,42050.0,42199.0,42346.0,42579.0,42697.0,42806.0,42856.0,42905.0,42943.0
5096375,48600.0,48678.0,48750.0,48815.0,48845.0,48928.0,48963.0,48991.0,49032.0,49144.0,49172.0,49205.0,49276.0,49346.0,49400.0,49455.0,49640.0,49682.0,49722.0,49763.0,49835.0,49873.0,49934.0,50005.0,50030.0,50116.0,50152.0,50195.0,50229.0,50276.0,50381.0,50408.0,50455.0,50510.0,50561.0,50595.0,50640.0,50671.0,50711.0,50800.0,50876.0,50928.0,50958.0,50999.0,51062.0,51211.0,51380.0,51649.0,51740.0,51871.0,51932.0,51991.0,52027.0
5096377,57600.0,57682.0,57757.0,57826.0,57864.0,57952.0,57985.0,58010.0,58049.0,58167.0,58195.0,58228.0,58299.0,58360.0,58408.0,58456.0,58626.0,58665.0,58702.0,58739.0,58805.0,58841.0,58898.0,58965.0,58989.0,59068.0,59106.0,59151.0,59187.0,59235.0,59329.0,59353.0,59398.0,59451.0,59505.0,59541.0,59588.0,59618.0,59657.0,59738.0,59804.0,59842.0,59874.0,59918.0,59986.0,60136.0,60294.0,60544.0,60641.0,60743.0,60790.0,60836.0,60885.0
5096379,66600.0,66682.0,66757.0,66826.0,66864.0,66952.0,66985.0,67010.0,67049.0,67167.0,67195.0,67228.0,67299.0,67360.0,67408.0,67456.0,67626.0,67665.0,67702.0,67739.0,67805.0,67841.0,67898.0,67965.0,67989.0,68068.0,68106.0,68151.0,68187.0,68235.0,68329.0,68353.0,68398.0,68451.0,68505.0,68541.0,68588.0,68618.0,68657.0,68738.0,68804.0,68842.0,68874.0,68918.0,68986.0,69136.0,69294.0,69544.0,69641.0,69743.0,69790.0,69836.0,69885.0
5096381,75600.0,75661.0,75717.0,75768.0,75797.0,75862.0,75883.0,75899.0,75933.0,76021.0,76040.0,76063.0,76116.0,76163.0,76199.0,76236.0,76340.0,76364.0,76387.0,76410.0,76449.0,76465.0,76491.0,76521.0,76532.0,76568.0,76589.0,76614.0,76634.0,76660.0,76721.0,76736.0,76769.0,76808.0,76839.0,76860.0,76887.0,76908.0,76936.0,76985.0,77024.0,77052.0,77070.0,77094.0,77132.0,77243.0,77356.0,77536.0,77599.0,77660.0,77688.0,77715.0,77737.0
5096383,84600.0,84661.0,84717.0,84768.0,84797.0,84862.0,84883.0,84899.0,84933.0,85021.0,85040.0,85063.0,85116.0,85163.0,85199.0,85236.0,85340.0,85364.0,85387.0,85410.0,85449.0,85465.0,85491.0,85521.0,85532.0,85568.0,85589.0,85614.0,85634.0,85660.0,85721.0,85736.0,85769.0,85808.0,85839.0,85860.0,85887.0,85908.0,85936.0,85985.0,86024.0,86052.0,86070.0,86094.0,86132.0,86243.0,86356.0,86536.0,86599.0,86660.0,86688.0,86715.0,86737.0
5096473,26400.0,26476.0,26545.0,26608.0,26655.0,26729.0,26768.0,26799.0,26837.0,26943.0,26970.0,27003.0,27073.0,27149.0,27208.0,27268.0,27435.0,27473.0,27510.0,27547.0,27611.0,27639.0,27685.0,27738.0,27757.0,27821.0,27856.0,27897.0,27930.0,27975.0,28064.0,28086.0,28138.0,28199.0,28257.0,28296.0,28348.0,28391.0,28447.0,28516.0,28588.0,28633.0,28673.0,28729.0,28815.0,28985.0,29137.0,29378.0,29498.0,29630.0,29691.0,29751.0,29790.0
5096475,35100.0,35197.0,35286.0,35367.0,35406.0,35505.0,35542.0,35571.0,35610.0,35770.0,35802.0,35840.0,35913.0,35993.0,36055.0,36118.0,36312.0,36356.0,36398.0,36441.0,36517.0,36554.0,36613.0,36682.0,36706.0,36789.0,36832.0,36883.0,36924.0,36979.0,37068.0,37090.0,37142.0,37202.0,37255.0,37290.0,37337.0,37384.0,37445.0,37533.0,37624.0,37669.0,37716.0,37781.0,37880.0,38088.0,38256.0,38523.0,38636.0,38756.0,38812.0,38866.0,38901.0
5096477,44100.0,44178.0,44250.0,44315.0,44345.0,44428.0,44463.0,44491.0,44532.0,44644.0,44672.0,44705.0,44776.0,44846.0,44900.0,44955.0,45140.0,45182.0,45222.0,45263.0,45335.0,45373.0,45434.0,45505.0,45530.0,45616.0,45652.0,45695.0,45729.0,45776.0,45881.0,45908.0,45955.0,46010.0,46061.0,46095.0,46140.0,46171.0,46211.0,46300.0,46376.0,46428.0,46458.0,46499.0,46562.0,46711.0,46880.0,47149.0,47240.0,47371.0,47432.0,47491.0,47527.0
5096479,53100.0,53182.0,53257.0,53326.0,53364.0,53452.0,53485.0,53510.0,53549.0,53667.0,53695.0,53728.0,53799.0,53860.0,53908.0,53956.0,54126.0,54165.0,54202.0,54239.0,54305.0,54341.0,54398.0,54465.0,54489.0,54568.0,54606.0,54651.0,54687.0,54735.0,54829.0,54853.0,54898.0,54951.0,55005.0,55041.0,55088.0,55118.0,55157.0,55238.0,55304.0,55342.0,55374.0,55418.0,55486.0,55636.0,55794.0,56044.0,56141.0,56243.0,56290.0,56336.0,56385.0
5096481,62100.0,62182.0,62257.0,62326.0,62364.0,62452.0,62485.0,62510.0,62549.0,62667.0,62695.0,62728.0,62799.0,62860.0,62908.0,62956.0,63126.0,63165.0,63202.0,63239.0,63305.0,63341.0,63398.0,63465.0,63489.0,63568.0,63606.0,63651.0,63687.0,63735.0,63829.0,63853.0,63898.0,63951.0,64005.0,64041.0,64088.0,64118.0,64157.0,64238.0,64304.0,64342.0,64374.0,64418.0,64486.0,64636.0,64794.0,65044.0,65141.0,65243.0,65290.0,65336.0,65385.0
5096483,71100.0,71161.0,71217.0,71267.0,71296.0,71370.0,71395.0,71415.0,71451.0,71557.0,71584.0,71617.0,71678.0,71735.0,71779.0,71823.0,71951.0,71980.0,72008.0,72036.0,72085.0,72104.0,72134.0,72169.0,72181.0,72222.0,72245.0,72272.0,72293.0,72322.0,72412.0,72435.0,72466.0,72503.0,72537.0,72560.0,72591.0,72624.0,72667.0,72722.0,72767.0,72798.0,72822.0,72855.0,72905.0,73041.0,73178.0,73397.0,73480.0,73554.0,73588.0,73622.0,73647.0
5096485,80100.0,80161.0,80217.0,80268.0,80297.0,80362.0,80383.0,80399.0,80433.0,80521.0,80540.0,80563.0,80616.0,80663.0,80699.0,80736.0,80840.0,80864.0,80887.0,80910.0,80949.0,80965.0,80991.0,81021.0,81032.0,81068.0,81089.0,81114.0,81134.0,81160.0,81221.0,81236.0,81269.0,81308.0,81339.0,81360.0,81387.0,81408.0,81436.0,81485.0,81524.0,81552.0,81570.0,81594.0,81632.0,81743.0,81856.0,82036.0,82099.0,82160.0,82188.0,82215.0,82237.0
5103927,26400.0,26476.0,26545.0,26608.0,26655.0,26729.0,26768.0,26799.0,26837.0,26943.0,26970.0,27003.0,27073.0,27149.0,27208.0,27268.0,27435.0,27473.0,27510.0,27547.0,27611.0,27639.0,27685.0,27738.0,27757.0,27821.0,27856.0,27897.0,27930.0,27975.0,28064.0,28086.0,28138.0,28199.0,28257.0,28296.0,28348.0,28391.0,28447.0,28516.0,28588.0,28633.0,28673.0,28729.0,28815.0,28985.0,29137.0,29378.0,29498.0,29630.0,29691.0,29751.0,29790.0
5103929,35100.0,35197.0,35286.0,35367.0,35406.0,35505.0,35542.0,35571.0,35610.0,35770.0,35802.0,35840.0,35913.0,35993.0,36055.0,36118.0,36312.0,36356.0,36398.0,36441.0,36517.0,36554.0,36613.0,36682.0,36706.0,36789.0,36832.0,36883.0,36924.0,36979.0,37068.0,37090.0,37142.0,37202.0,37255.0,37290.0,37337.0,37384.0,37445.0,37533.0,37624.0,37669.0,37716.0,37781.0,37880.0,38088.0,38256.0,38523.0,38636.0,38756.0,38812.0,38866.0,38901.0
5103931,44100.0,44178.0,44250.0,44315.0,44345.0,44428.0,44463.0,44491.0,44532.0,44644.0,44672.0,44705.0,44776.0,44846.0,44900.0,44955.0,45140.0,45182.0,45222.0,45263.0,45335.0,45373.0,45434.0,45505.0,45530.0,45616.0,45652.0,45695.0,45729.0,45776.0,45881.0,45908.0,45955.0,46010.0,46061.0,46095.0,46140.0,46171.0,46211.0,46300.0,46376.0,46428.0,46458.0,46499.0,46562.0,46711.0,46880.0,47149.0,47240.0,47371.0,47432.0,47491.0,47527.0
5103933,53100.0,53182.0,53257.0,53326.0,53364.0,53452.0,53485.0,53510.0,53549.0,53667.0,53695.0,53728.0,53799.0,53860.0,53908.0,53956.0,54126.0,54165.0,54202.0,54239.0,54305.0,54341.0,54398.0,54465.0,54489.0,54568.0,54606.0,54651.0,54687.0,54735.0,54829.0,54853.0,54898.0,54951.0,55005.0,55041.0,55088.0,55118.0,55157.0,55238.0,55304.0,55342.0,55374.0,55418.0,55486.0,55636.0,55794.0,56044.0,56141.0,56243.0,56290.0,56336.0,56385.0
5103935,62100.0,62182.0,62257.0,62326.0,62364.0,62452.0,62485.0,62510.0,62549.0,62667.0,62695.0,62728.0,62799.0,62860.0,62908.0,62956.0,63126.0,63165.0,63202.0,63239.0,63305.0,63341.0,63398.0,63465.0,63489.0,63568.0,63606.0,63651.0,63687.0,63735.0,63829.0,63853.0,63898.0,63951.0,64005.0,64041.0,64088.0,64118.0,64157.0,64238.0,64304.0,64342.0,64374.0,64418.0,64486.0,64636.0,64794.0,65044.0,65141.0,65243.0,65290.0,65336.0,65385.0
5103937,71100.0,71161.0,71217.0,71267.0,71296.0,71370.0,71395.0,71415.0,71451.0,71557.0,71584.0,71617.0,71678.0,71735.0,71779.0,71823.0,71951.0,71980.0,72008.0,72036.0,72085.0,72104.0,72134.0,72169.0,72181.0,72222.0,72245.0,72272.0,72293.0,72322.0,72412.0,72435.0,72466.0,72503.0,72537.0,72560.0,72591.0,72624.0,72667.0,72722.0,72767.0,72798.0,72822.0,72855.0,72905.0,73041.0,73178.0,73397.0,73480.0,73554.0,73588.0,73622.0,73647.0
5103939,80100.0,80161.0,80217.0,80268.0,80297.0,80362.0,80383.0,80399.0,80433.0,80521.0,80540.0,80563.0,80616.0,80663.0,80699.0,80736.0,80840.0,80864.0,80887.0,80910.0,80949.0,80965.0,80991.0,81021.0,81032.0,81068.0,81089.0,81114.0,81134.0,81160.0,81221.0,81236.0,81269.0,81308.0,81339.0,81360.0,81387.0,81408.0,81436.0,81485.0,81524.0,81552.0,81570.0,81594.0,81632.0,81743.0,81856.0,82036.0,82099.0,82160.0,82188.0,82215.0,82237.0
5112603,22800.0,22876.0,22945.0,23008.0,23055.0,23129.0,23168.0,23199.0,23237.0,23343.0,23370.0,23403.0,23473.0,23549.0,23608.0,23668.0,23835.0,23873.0,23910.0,23947.0,24011.0,24039.0,24085.0,24138.0,24157.0,24221.0,24256.0,24297.0,24330.0,24375.0,24464.0,24486.0,24538.0,24599.0,24657.0,24696.0,24748.0,24791.0,24847.0,24916.0,24988.0,25033.0,25073.0,25129.0,25215.0,25385.0,25537.0,25778.0,25898.0,26030.0,26091.0,26151.0,26190.0
5112605,30600.0,30697.0,30786.0,30867.0,30906.0,31005.0,31042.0,31071.0,31110.0,31270.0,31302.0,31340.0,31413.0,31493.0,31555.0,31618.0,31812.0,31856.0,31898.0,31941.0,32017.0,32054.0,32113.0,32182.0,32206.0,32289.0,32332.0,32383.0,32424.0,32479.0,32568.0,32590.0,32642.0,32702.0,32755.0,32790.0,32837.0,32884.0,32945.0,33033.0,33124.0,33169.0,33216.0,33281.0,33380.0,33588.0,33756.0,34023.0,34136.0,34256.0,34312.0,34366.0,34401.0
5112607,39600.0,39686.0,39764.0,39835.0,39886.0,39981.0,40022.0,40055.0,40098.0,40200.0,40229.0,40263.0,40334.0,40395.0,40442.0,40490.0,40649.0,40685.0,40720.0,40755.0,40816.0,40846.0,40894.0,40950.0,40970.0,41038.0,41070.0,41108.0,41139.0,41181.0,41301.0,41331.0,41383.0,41444.0,41500.0,41538.0,41588.0,41623.0,41668.0,41757.0,41856.0,41912.0,41943.0,41985.0,42050.0,42199.0,42346.0,42579.0,42697.0,42806.0,42856.0,42905.0,42943.0
5112609,48600.0,48678.0,48750.0,48815.0,48845.0,48928.0,48963.0,48991.0,49032.0,49144.0,49172.0,49205.0,49276.0,49346.0,49400.0,49455.0,49640.0,49682.0,49722.0,49763.0,49835.0,49873.0,49934.0,50005.0,50030.0,50116.0,50152.0,50195.0,50229.0,50276.0,50381.0,50408.0,50455.0,50510.0,50561.0,50595.0,50640.0,50671.0,50711.0,50800.0,50876.0,50928.0,50958.0,50999.0,51062.0,51211.0,51380.0,51649.0,51740.0,51871.0,51932.0,51991.0,52027.0
5112611,57600.0,57682.0,57757.0,57826.0,57864.0,57952.0,57985.0,58010.0,58049.0,58167.0,58195.0,58228.0,58299.0,58360.0,58408.0,58456.0,58626.0,58665.0,58702.0,58739.0,58805.0,58841.0,58898.0,58965.0,58989.0,59068.0,59106.0,59151.0,59187.0,59235.0,59329.0,59353.0,59398.0,59451.0,59505.0,59541.0,59588.0,59618.0,59657.0,59738.0,59804.0,59842.0,59874.0,59918.0,59986.0,60136.0,60294.0,60544.0,60641.0,60743.0,60790.0,60836.0,60885.0
5112613,66600.0,66682.0,66757.0,66826.0,66864.0,66952.0,66985.0,67010.0,67049.0,67167.0,67195.0,67228.0,67299.0,67360.0,67408.0,67456.0,67626.0,67665.0,67702.0,67739.0,67805.0,67841.0,67898.0,67965.0,67989.0,68068.0,68106.0,68151.0,68187.0,68235.0,68329.0,68353.0,68398.0,68451.0,68505.0,68541.0,68588.0,68618.0,68657.0,68738.0,68804.0,68842.0,68874.0,68918.0,68986.0,69136.0,69294.0,69544.0,69641.0,69743.0,69790.0,69836.0,69885.0
5112615,75600.0,75661.0,75717.0,75768.0,75797.0,75862.0,75883.0,75899.0,75933.0,76021.0,76040.0,76063.0,76116.0,76163.0,76199.0,76236.0,76340.0,76364.0,76387.0,76410.0,76449.0,76465.0,76491.0,76521.0,76532.0,76568.0,76589.0,76614.0,76634.0,76660.0,76721.0,76736.0,76769.0,76808.0,76839.0,76860.0,76887.0,76908.0,76936.0,76985.0,77024.0,77052.0,77070.0,77094.0,77132.0,77243.0,77356.0,77536.0,77599.0,77660.0,77688.0,77715.0,77737.0
5112617,84600.0,84661.0,84717.0,84768.0,84797.0,84862.0,84883.0,84899.0,84933.0,85021.0,85040.0,85063.0,85116.0,85163.0,85199.0,85236.0,85340.0,85364.0,85387.0,85410.0,85449.0,85465.0,85491.0,85521.0,85532.0,85568.0,85589.0,85614.0,85634.0,85660.0,85721.0,85736.0,85769.0,85808.0,85839.0,85860.0,85887.0,85908.0,85936.0,85985.0,86024.0,86052.0,86070.0,86094.0,86132.0,86243.0,86356.0,86536.0,86599.0,86660.0,86688.0,86715.0,86737.0
