tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P
5009933,44100.0,44182.0,44257.0,44324.0,44355.0,44441.0,44478.0,44507.0,44550.0,44666.0,44695.0,44729.0,44803.0,44876.0,44932.0,44989.0,45182.0,45226.0,45268.0,45310.0,45384.0,45423.0,45486.0,45560.0,45586.0,45676.0,45714.0,45758.0,45794.0,45842.0,45951.0,45979.0,46028.0,46085.0,46138.0,46173.0,46220.0,46252.0,46294.0,46387.0,46466.0,46520.0,46551.0,46594.0,46659.0,46814.0,46989.0,47269.0,47364.0,47500.0,47563.0,47625.0,47662.0
5009935,53100.0,53186.0,53264.0,53335.0,53374.0,53465.0,53499.0,53525.0,53566.0,53689.0,53718.0,53752.0,53826.0,53890.0,53939.0,53989.0,54166.0,54206.0,54245.0,54284.0,54352.0,54389.0,54449.0,54518.0,54543.0,54626.0,54665.0,54712.0,54749.0,54800.0,54898.0,54923.0,54970.0,55025.0,55080.0,55117.0,55167.0,55198.0,55239.0,55323.0,55392.0,55432.0,55465.0,55511.0,55582.0,55738.0,55901.0,56162.0,56263.0,56369.0,56418.0,56466.0,56517.0
5009937,62100.0,62186.0,62264.0,62335.0,62374.0,62465.0,62499.0,62525.0,62566.0,62689.0,62718.0,62752.0,62826.0,62890.0,62939.0,62989.0,63166.0,63206.0,63245.0,63284.0,63352.0,63389.0,63449.0,63518.0,63543.0,63626.0,63665.0,63712.0,63749.0,63800.0,63898.0,63923.0,63970.0,64025.0,64080.0,64117.0,64167.0,64198.0,64239.0,64323.0,64392.0,64432.0,64465.0,64511.0,64582.0,64738.0,64901.0,65162.0,65263.0,65369.0,65418.0,65466.0,65517.0
5009939,71100.0,71163.0,71221.0,71274.0,71304.0,71381.0,71407.0,71428.0,71465.0,71575.0,71603.0,71637.0,71700.0,71759.0,71805.0,71851.0,71984.0,72014.0,72043.0,72072.0,72123.0,72142.0,72173.0,72209.0,72222.0,72265.0,72289.0,72317.0,72339.0,72369.0,72463.0,72487.0,72520.0,72558.0,72594.0,72618.0,72650.0,72684.0,72729.0,72786.0,72833.0,72865.0,72890.0,72924.0,72976.0,73117.0,73260.0,73487.0,73573.0,73650.0,73686.0,73721.0,73747.0
5009941,80100.0,80164.0,80222.0,80275.0,80305.0,80373.0,80394.0,80411.0,80446.0,80537.0,80557.0,80581.0,80636.0,80685.0,80723.0,80761.0,80869.0,80893.0,80917.0,80941.0,80982.0,80999.0,81026.0,81057.0,81068.0,81106.0,81128.0,81154.0,81175.0,81202.0,81265.0,81281.0,81316.0,81356.0,81388.0,81409.0,81438.0,81460.0,81489.0,81540.0,81581.0,81610.0,81628.0,81653.0,81693.0,81808.0,81926.0,82113.0,82179.0,82242.0,82271.0,82300.0,82323.0
5010827,26400.0,26481.0,26555.0,26621.0,26646.0,26722.0,26756.0,26783.0,26823.0,26947.0,26971.0,26999.0,27082.0,27155.0,27212.0,27270.0,27383.0,27409.0,27434.0,27459.0,27502.0,27522.0,27554.0,27591.0,27604.0,27650.0,27675.0,27705.0,27729.0,27762.0,27851.0,27874.0,27920.0,27973.0,28021.0,28053.0,28097.0,28135.0,28185.0,28252.0,28311.0,28346.0,28366.0,28393.0,28435.0,28560.0,28672.0,28851.0,28930.0,29007.0,29043.0,29078.0,29109.0
5010829,35100.0,35185.0,35263.0,35334.0,35378.0,35482.0,35517.0,35545.0,35582.0,35676.0,35702.0,35733.0,35790.0,35853.0,35902.0,35951.0,36080.0,36109.0,36137.0,36165.0,36215.0,36239.0,36278.0,36323.0,36339.0,36394.0,36436.0,36485.0,36524.0,36578.0,36662.0,36683.0,36720.0,36763.0,36806.0,36834.0,36872.0,36904.0,36947.0,37039.0,37133.0,37186.0,37220.0,37267.0,37340.0,37501.0,37655.0,37901.0,37983.0,38085.0,38132.0,38178.0,38227.0
5010831,44100.0,44184.0,44260.0,44329.0,44376.0,44465.0,44507.0,44540.0,44589.0,44702.0,44729.0,44760.0,44839.0,44918.0,44979.0,45041.0,45183.0,45215.0,45246.0,45277.0,45333.0,45367.0,45421.0,45484.0,45506.0,45581.0,45624.0,45675.0,45716.0,45773.0,45875.0,45901.0,45961.0,46032.0,46100.0,46145.0,46206.0,46233.0,46269.0,46363.0,46455.0,46507.0,46535.0,46574.0,46634.0,46788.0,46930.0,47156.0,47256.0,47364.0,47414.0,47462.0,47492.0
5010833,53100.0,53180.0,53253.0,53319.0,53362.0,53457.0,53491.0,53517.0,53558.0,53667.0,53693.0,53723.0,53798.0,53865.0,53917.0,53970.0,54096.0,54125.0,54152.0,54180.0,54228.0,54253.0,54293.0,54340.0,54356.0,54412.0,54442.0,54477.0,54505.0,54544.0,54628.0,54649.0,54693.0,54744.0,54798.0,54834.0,54881.0,54911.0,54951.0,55032.0,55123.0,55170.0,55199.0,55240.0,55303.0,55474.0,55648.0,55925.0,55979.0,56080.0,56127.0,56173.0,56198.0
5010835,62100.0,62180.0,62253.0,62319.0,62362.0,62457.0,62491.0,62517.0,62558.0,62667.0,62693.0,62723.0,62798.0,62865.0,62917.0,62970.0,63096.0,63125.0,63152.0,63180.0,63228.0,63253.0,63293.0,63340.0,63356.0,63412.0,63442.0,63477.0,63505.0,63544.0,63628.0,63649.0,63693.0,63744.0,63798.0,63834.0,63881.0,63911.0,63951.0,64032.0,64123.0,64170.0,64199.0,64240.0,64303.0,64474.0,64648.0,64925.0,64979.0,65080.0,65127.0,65173.0,65198.0
