tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
5004004,84600.0,84635.0,84676.0,84739.0,84754.0,84788.0,84817.0,84841.0,84909.0,84929.0,84999.0,85032.0,85079.0,85116.0,85195.0,85243.0,85295.0,85355.0,85423.0,85455.0,85509.0,85580.0,85624.0,85662.0,85726.0,85761.0,85809.0,85835.0,85882.0,85928.0,85962.0,86012.0,86046.0,86086.0,86124.0,86150.0,86183.0,86235.0,86267.0,86297.0,86366.0,86402.0,86461.0,86485.0,86510.0,86579.0,86597.0,86631.0,86671.0,86705.0,86728.0,86758.0,86778.0,86804.0,86850.0,86894.0,86927.0,86945.0,86970.0,87008.0,87105.0,87256.0,87451.0,87516.0,87582.0,87613.0,87643.0,87668.0
5004498,26400.0,26448.0,26503.0,26589.0,26609.0,26648.0,26682.0,26710.0,26789.0,26814.0,26903.0,26944.0,27004.0,27051.0,27150.0,27210.0,27269.0,27336.0,27417.0,27455.0,27519.0,27604.0,27656.0,27701.0,27778.0,27835.0,27912.0,27955.0,28033.0,28109.0,28166.0,28249.0,28293.0,28346.0,28400.0,28436.0,28484.0,28571.0,28624.0,28672.0,28784.0,28877.0,28971.0,29009.0,29050.0,29159.0,29187.0,29242.0,29306.0,29367.0,29408.0,29463.0,29508.0,29568.0,29673.0,29752.0,29805.0,29878.0,29978.0,30133.0,30297.0,30510.0,30787.0,30889.0,31040.0,31110.0,31178.0,31219.0
5004500,38400.0,38444.0,38494.0,38573.0,38591.0,38630.0,38664.0,38692.0,38772.0,38799.0,38893.0,38936.0,38999.0,39049.0,39154.0,39216.0,39287.0,39368.0,39460.0,39503.0,39576.0,39673.0,39732.0,39783.0,39872.0,39925.0,39997.0,40033.0,40097.0,40160.0,40207.0,40275.0,40317.0,40366.0,40410.0,40440.0,40479.0,40559.0,40606.0,40649.0,40734.0,40802.0,40904.0,40945.0,40989.0,41098.0,41125.0,41185.0,41255.0,41313.0,41352.0,41404.0,41439.0,41485.0,41581.0,41673.0,41722.0,41755.0,41800.0,41869.0,42013.0,42202.0,42447.0,42540.0,42668.0,42727.0,42785.0,42820.0
5004502,50400.0,50449.0,50505.0,50593.0,50613.0,50653.0,50687.0,50715.0,50795.0,50823.0,50922.0,50968.0,51034.0,51086.0,51196.0,51262.0,51342.0,51432.0,51536.0,51585.0,51667.0,51776.0,51842.0,51899.0,51998.0,52051.0,52123.0,52161.0,52229.0,52296.0,52346.0,52419.0,52460.0,52508.0,52551.0,52580.0,52617.0,52698.0,52740.0,52781.0,52881.0,52950.0,53049.0,53089.0,53132.0,53234.0,53260.0,53315.0,53380.0,53438.0,53477.0,53529.0,53562.0,53606.0,53700.0,53782.0,53835.0,53871.0,53921.0,53998.0,54142.0,54317.0,54544.0,54639.0,54760.0,54816.0,54870.0,54905.0
5004504,63000.0,63057.0,63122.0,63223.0,63246.0,63286.0,63320.0,63348.0,63430.0,63458.0,63555.0,63600.0,63665.0,63716.0,63824.0,63889.0,63963.0,64047.0,64156.0,64207.0,64293.0,64407.0,64477.0,64537.0,64640.0,64693.0,64764.0,64799.0,64862.0,64924.0,64970.0,65039.0,65076.0,65120.0,65160.0,65187.0,65222.0,65309.0,65364.0,65410.0,65497.0,65562.0,65650.0,65686.0,65724.0,65822.0,65847.0,65896.0,65954.0,66006.0,66041.0,66088.0,66120.0,66163.0,66246.0,66322.0,66361.0,66399.0,66451.0,66531.0,66693.0,66884.0,67132.0,67236.0,67362.0,67421.0,67478.0,67520.0
5005231,27000.0,27048.0,27103.0,27189.0,27209.0,27248.0,27282.0,27310.0,27389.0,27414.0,27503.0,27544.0,27604.0,27651.0,27750.0,27810.0,27869.0,27936.0,28017.0,28055.0,28119.0,28204.0,28256.0,28301.0,28378.0,28435.0,28512.0,28555.0,28633.0,28709.0,28766.0,28849.0,28893.0,28946.0,29000.0,29036.0,29084.0,29171.0,29224.0,29272.0,29384.0,29477.0,29571.0,29609.0,29650.0,29759.0,29787.0,29842.0,29906.0,29967.0,30008.0,30063.0,30108.0,30168.0,30273.0,30352.0,30405.0,30478.0,30578.0,30733.0,30897.0,31110.0,31387.0,31489.0,31640.0,31710.0,31778.0,31819.0
5005233,39600.0,39644.0,39694.0,39773.0,39791.0,39830.0,39864.0,39892.0,39972.0,39999.0,40093.0,40136.0,40199.0,40249.0,40354.0,40416.0,40487.0,40568.0,40660.0,40703.0,40776.0,40873.0,40932.0,40983.0,41072.0,41125.0,41197.0,41233.0,41297.0,41360.0,41407.0,41475.0,41517.0,41566.0,41610.0,41640.0,41679.0,41759.0,41806.0,41849.0,41934.0,42002.0,42104.0,42145.0,42189.0,42298.0,42325.0,42385.0,42455.0,42513.0,42552.0,42604.0,42639.0,42685.0,42781.0,42873.0,42922.0,42955.0,43000.0,43069.0,43213.0,43402.0,43647.0,43740.0,43868.0,43927.0,43985.0,44020.0
5005235,51600.0,51649.0,51705.0,51793.0,51813.0,51853.0,51887.0,51915.0,51995.0,52023.0,52122.0,52168.0,52234.0,52286.0,52396.0,52462.0,52542.0,52632.0,52736.0,52785.0,52867.0,52976.0,53042.0,53099.0,53198.0,53251.0,53323.0,53361.0,53429.0,53496.0,53546.0,53619.0,53660.0,53708.0,53751.0,53780.0,53817.0,53898.0,53940.0,53981.0,54081.0,54150.0,54249.0,54289.0,54332.0,54434.0,54460.0,54515.0,54580.0,54638.0,54677.0,54729.0,54762.0,54806.0,54900.0,54982.0,55035.0,55071.0,55121.0,55198.0,55342.0,55517.0,55744.0,55839.0,55960.0,56016.0,56070.0,56105.0
5005237,63900.0,63957.0,64022.0,64123.0,64146.0,64186.0,64220.0,64248.0,64330.0,64358.0,64455.0,64500.0,64565.0,64616.0,64724.0,64789.0,64863.0,64947.0,65056.0,65107.0,65193.0,65307.0,65377.0,65437.0,65540.0,65593.0,65664.0,65699.0,65762.0,65824.0,65870.0,65939.0,65976.0,66020.0,66060.0,66087.0,66122.0,66209.0,66264.0,66310.0,66397.0,66462.0,66550.0,66586.0,66624.0,66722.0,66747.0,66796.0,66854.0,66906.0,66941.0,66988.0,67020.0,67063.0,67146.0,67222.0,67261.0,67299.0,67351.0,67431.0,67593.0,67784.0,68032.0,68136.0,68262.0,68321.0,68378.0,68420.0
5005390,60300.0,60357.0,60422.0,60523.0,60546.0,60586.0,60620.0,60648.0,60730.0,60758.0,60855.0,60900.0,60965.0,61016.0,61124.0,61189.0,61263.0,61347.0,61456.0,61507.0,61593.0,61707.0,61777.0,61837.0,61940.0,61993.0,62064.0,62099.0,62162.0,62224.0,62270.0,62339.0,62376.0,62420.0,62460.0,62487.0,62522.0,62609.0,62664.0,62710.0,62797.0,62862.0,62950.0,62986.0,63024.0,63122.0,63147.0,63196.0,63254.0,63306.0,63341.0,63388.0,63420.0,63463.0,63546.0,63622.0,63661.0,63699.0,63751.0,63831.0,63993.0,64184.0,64432.0,64536.0,64662.0,64721.0,64778.0,64820.0
