tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
0,6057.0,2183.0,2184.0,2185.0,1423.0,1424.0,1425.0,1426.0,1463.0,4399.0,4400.0,1464.0,1469.0,1465.0,1466.0,1467.0,1468.0,1377.0,1378.0,4514.0,4515.0,1995.0,1996.0,1997.0,1998.0,1999.0,2001.0,2002.0,1359.0,274.0,7164.0,1505.0,4509.0,499.0,500.0,501.0,1484.0,1481.0,7320.0,1486.0,1487.0,1488.0,1489.0,1490.0
5003326,72000.0,72025.0,72084.0,72147.0,72236.0,72269.0,72310.0,72357.0,72402.0,72441.0,72474.0,72502.0,72534.0,72582.0,72606.0,72630.0,72664.0,72753.0,72794.0,72867.0,72920.0,72982.0,73054.0,73098.0,73183.0,73254.0,73306.0,73407.0,73611.0,73908.0,74108.0,74181.0,74274.0,74334.0,74378.0,74421.0,74520.0,74552.0,74635.0,74696.0,74743.0,74773.0,74813.0,74862.0
5004074,29700.0,29712.0,29741.0,29773.0,29837.0,29861.0,29891.0,29934.0,29969.0,29999.0,30024.0,30045.0,30069.0,30106.0,30124.0,30143.0,30170.0,30234.0,30267.0,30326.0,30364.0,30409.0,30461.0,30492.0,30542.0,30584.0,30615.0,30699.0,30834.0,31029.0,31187.0,31215.0,31299.0,31353.0,31384.0,31415.0,31477.0,31497.0,31549.0,31587.0,31622.0,31644.0,31673.0,31710.0
5004076,36900.0,36937.0,37026.0,37121.0,37219.0,37256.0,37301.0,37354.0,37405.0,37449.0,37486.0,37517.0,37552.0,37605.0,37631.0,37658.0,37698.0,37806.0,37842.0,37908.0,37959.0,38018.0,38087.0,38129.0,38220.0,38297.0,38352.0,38465.0,38635.0,38882.0,39076.0,39242.0,39326.0,39380.0,39419.0,39458.0,39555.0,39587.0,39668.0,39728.0,39768.0,39793.0,39826.0,39868.0
5004078,45000.0,45022.0,45075.0,45131.0,45233.0,45271.0,45319.0,45376.0,45429.0,45477.0,45517.0,45551.0,45589.0,45647.0,45676.0,45705.0,45747.0,45840.0,45881.0,45954.0,46011.0,46077.0,46154.0,46201.0,46306.0,46394.0,46458.0,46593.0,46808.0,47119.0,47306.0,47371.0,47464.0,47525.0,47574.0,47623.0,47737.0,47774.0,47870.0,47941.0,47990.0,48021.0,48062.0,48112.0
5004080,53100.0,53124.0,53182.0,53244.0,53333.0,53366.0,53407.0,53460.0,53523.0,53564.0,53598.0,53627.0,53660.0,53709.0,53733.0,53758.0,53793.0,53868.0,53907.0,53977.0,54030.0,54091.0,54162.0,54205.0,54323.0,54422.0,54493.0,54610.0,54873.0,55254.0,55489.0,55524.0,55645.0,55724.0,55761.0,55798.0,55907.0,55942.0,56033.0,56101.0,56135.0,56156.0,56184.0,56220.0
5004082,61200.0,61232.0,61310.0,61393.0,61470.0,61499.0,61534.0,61579.0,61621.0,61660.0,61693.0,61721.0,61753.0,61801.0,61825.0,61849.0,61883.0,61959.0,62002.0,62081.0,62120.0,62165.0,62217.0,62249.0,62320.0,62379.0,62422.0,62532.0,62767.0,63107.0,63328.0,63397.0,63499.0,63565.0,63613.0,63660.0,63766.0,63801.0,63890.0,63956.0,63991.0,64013.0,64043.0,64080.0
5004084,69600.0,69640.0,69736.0,69838.0,69929.0,69963.0,70005.0,70060.0,70112.0,70157.0,70195.0,70227.0,70263.0,70318.0,70345.0,70373.0,70413.0,70508.0,70554.0,70638.0,70695.0,70761.0,70838.0,70885.0,70990.0,71078.0,71142.0,71355.0,71667.0,72121.0,72314.0,72451.0,72537.0,72593.0,72640.0,72686.0,72791.0,72825.0,72913.0,72978.0,73019.0,73045.0,73079.0,73121.0
5004086,78000.0,78026.0,78090.0,78158.0,78230.0,78257.0,78290.0,78340.0,78384.0,78421.0,78452.0,78478.0,78507.0,78551.0,78573.0,78596.0,78628.0,78696.0,78731.0,78795.0,78832.0,78875.0,78925.0,78956.0,79018.0,79070.0,79108.0,79211.0,79446.0,79788.0,80004.0,80069.0,80156.0,80213.0,80253.0,80292.0,80366.0,80390.0,80452.0,80497.0,80534.0,80558.0,80589.0,80628.0
5004468,24600.0,24623.0,24679.0,24738.0,24820.0,24851.0,24888.0,24942.0,24994.0,25036.0,25071.0,25101.0,25134.0,25184.0,25209.0,25235.0,25271.0,25347.0,25388.0,25463.0,25518.0,25582.0,25656.0,25701.0,25783.0,25852.0,25903.0,26007.0,26155.0,26370.0,26554.0,26592.0,26676.0,26730.0,26770.0,26809.0,26899.0,26928.0,27003.0,27059.0,27108.0,27139.0,27180.0,27231.0
5004470,33000.0,33034.0,33115.0,33201.0,33305.0,33344.0,33392.0,33458.0,33519.0,33569.0,33611.0,33647.0,33687.0,33748.0,33778.0,33809.0,33854.0,33968.0,34023.0,34122.0,34190.0,34268.0,34359.0,34414.0,34513.0,34596.0,34657.0,34791.0,35031.0,35380.0,35592.0,35660.0,35747.0,35804.0,35844.0,35884.0,35978.0,36008.0,36087.0,36145.0,36195.0,36227.0,36269.0,36322.0
