tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P
5086901,53400.0,53461.0,53510.0,53548.0,53593.0,53678.0,53737.0,53792.0,53823.0,53859.0,53890.0,53923.0,53998.0,54122.0,54232.0,54252.0,54292.0,54346.0,54447.0,54492.0,54547.0,54593.0,54629.0,54658.0,54697.0,54809.0,54912.0,54955.0,55032.0,55065.0,55115.0,55148.0,55198.0,55278.0,55351.0,55407.0,55466.0,55530.0,55596.0,55630.0,55663.0,55699.0,55745.0,55805.0,55897.0,55954.0,56037.0,56112.0,56185.0,56298.0,56332.0,56419.0,56483.0,56528.0,56583.0,56647.0,56692.0,56738.0,56825.0,56872.0,56931.0,56998.0,57029.0,57121.0
5086903,67800.0,67837.0,67866.0,67927.0,67999.0,68059.0,68101.0,68140.0,68162.0,68198.0,68229.0,68263.0,68317.0,68374.0,68474.0,68499.0,68548.0,68614.0,68737.0,68792.0,68859.0,68915.0,68939.0,68958.0,68984.0,69064.0,69137.0,69170.0,69230.0,69252.0,69286.0,69308.0,69341.0,69413.0,69478.0,69528.0,69571.0,69618.0,69677.0,69708.0,69738.0,69770.0,69810.0,69863.0,69943.0,69994.0,70083.0,70163.0,70216.0,70298.0,70347.0,70489.0,70593.0,70665.0,70757.0,70864.0,70939.0,70989.0,71083.0,71118.0,71161.0,71226.0,71256.0,71346.0
5091643,30000.0,30141.0,30254.0,30361.0,30488.0,30567.0,30621.0,30672.0,30700.0,30750.0,30792.0,30838.0,30933.0,30998.0,31087.0,31113.0,31166.0,31237.0,31369.0,31428.0,31500.0,31560.0,31617.0,31663.0,31725.0,31823.0,31913.0,31949.0,32013.0,32040.0,32082.0,32109.0,32150.0,32211.0,32267.0,32310.0,32358.0,32411.0,32475.0,32509.0,32541.0,32576.0,32621.0,32680.0,32769.0,32824.0,32906.0,32980.0,33020.0,33081.0,33112.0,33188.0,33244.0,33283.0,33352.0,33432.0,33488.0,33525.0,33594.0,33637.0,33691.0,33755.0,33785.0,33873.0
5091645,45000.0,45061.0,45110.0,45148.0,45193.0,45278.0,45337.0,45392.0,45423.0,45459.0,45490.0,45523.0,45598.0,45722.0,45832.0,45852.0,45892.0,45946.0,46047.0,46092.0,46147.0,46193.0,46229.0,46258.0,46297.0,46409.0,46512.0,46555.0,46632.0,46665.0,46715.0,46748.0,46798.0,46878.0,46951.0,47007.0,47066.0,47130.0,47196.0,47230.0,47263.0,47299.0,47345.0,47405.0,47497.0,47554.0,47637.0,47712.0,47785.0,47898.0,47932.0,48019.0,48083.0,48128.0,48183.0,48247.0,48292.0,48338.0,48425.0,48472.0,48531.0,48598.0,48629.0,48721.0
5091647,57300.0,57337.0,57366.0,57427.0,57499.0,57559.0,57601.0,57640.0,57662.0,57698.0,57729.0,57763.0,57817.0,57874.0,57974.0,57999.0,58048.0,58114.0,58237.0,58292.0,58359.0,58415.0,58439.0,58458.0,58484.0,58564.0,58637.0,58670.0,58730.0,58752.0,58786.0,58808.0,58841.0,58913.0,58978.0,59028.0,59071.0,59118.0,59177.0,59208.0,59238.0,59270.0,59310.0,59363.0,59443.0,59494.0,59583.0,59663.0,59716.0,59798.0,59847.0,59989.0,60093.0,60165.0,60257.0,60364.0,60439.0,60489.0,60583.0,60618.0,60661.0,60726.0,60756.0,60846.0
5091649,73200.0,73241.0,73274.0,73300.0,73331.0,73389.0,73429.0,73467.0,73487.0,73534.0,73574.0,73616.0,73706.0,73822.0,73913.0,73927.0,73956.0,73995.0,74067.0,74099.0,74139.0,74173.0,74218.0,74254.0,74304.0,74405.0,74498.0,74521.0,74563.0,74591.0,74634.0,74662.0,74705.0,74761.0,74812.0,74852.0,74880.0,74910.0,74974.0,75007.0,75039.0,75073.0,75101.0,75138.0,75195.0,75231.0,75305.0,75372.0,75464.0,75607.0,75646.0,75726.0,75785.0,75826.0,75882.0,75947.0,75992.0,76012.0,76050.0,76072.0,76099.0,76150.0,76174.0,76244.0
5091997,22800.0,22975.0,23114.0,23137.0,23165.0,23232.0,23278.0,23322.0,23347.0,23390.0,23426.0,23465.0,23540.0,23628.0,23723.0,23751.0,23807.0,23882.0,24021.0,24083.0,24159.0,24223.0,24277.0,24320.0,24379.0,24473.0,24559.0,24603.0,24681.0,24709.0,24752.0,24780.0,24821.0,24899.0,24970.0,25025.0,25084.0,25148.0,25266.0,25327.0,25386.0,25450.0,25528.0,25630.0,25786.0,25883.0,25953.0,26015.0,26135.0,26321.0,26498.0,26616.0,26703.0,26764.0,26824.0,26894.0,26944.0,26986.0,27066.0,27146.0,27246.0,27345.0,27391.0,27529.0
5092001,48000.0,48061.0,48110.0,48148.0,48193.0,48278.0,48337.0,48392.0,48423.0,48459.0,48490.0,48523.0,48598.0,48722.0,48832.0,48852.0,48892.0,48946.0,49047.0,49092.0,49147.0,49193.0,49229.0,49258.0,49297.0,49409.0,49512.0,49555.0,49632.0,49665.0,49715.0,49748.0,49798.0,49878.0,49951.0,50007.0,50066.0,50130.0,50196.0,50230.0,50263.0,50299.0,50345.0,50405.0,50497.0,50554.0,50637.0,50712.0,50785.0,50898.0,50932.0,51019.0,51083.0,51128.0,51183.0,51247.0,51292.0,51338.0,51425.0,51472.0,51531.0,51598.0,51629.0,51721.0
5092003,61200.0,61237.0,61266.0,61327.0,61399.0,61459.0,61501.0,61540.0,61562.0,61598.0,61629.0,61663.0,61717.0,61774.0,61874.0,61899.0,61948.0,62014.0,62137.0,62192.0,62259.0,62315.0,62339.0,62358.0,62384.0,62464.0,62537.0,62570.0,62630.0,62652.0,62686.0,62708.0,62741.0,62813.0,62878.0,62928.0,62971.0,63018.0,63077.0,63108.0,63138.0,63170.0,63210.0,63263.0,63343.0,63394.0,63483.0,63563.0,63616.0,63698.0,63747.0,63889.0,63993.0,64065.0,64157.0,64264.0,64339.0,64389.0,64483.0,64518.0,64561.0,64626.0,64656.0,64746.0
5092005,76200.0,76240.0,76272.0,76327.0,76393.0,76455.0,76497.0,76537.0,76559.0,76605.0,76644.0,76687.0,76735.0,76781.0,76837.0,76850.0,76876.0,76911.0,76976.0,77005.0,77041.0,77072.0,77107.0,77135.0,77172.0,77262.0,77344.0,77369.0,77414.0,77440.0,77479.0,77505.0,77543.0,77596.0,77644.0,77681.0,77721.0,77764.0,77802.0,77822.0,77841.0,77861.0,77892.0,77933.0,77995.0,78033.0,78089.0,78140.0,78172.0,78221.0,78259.0,78305.0,78339.0,78362.0,78387.0,78416.0,78437.0,78450.0,78474.0,78509.0,78554.0,78621.0,78652.0,78745.0
