tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5005426,58800.0,58851.0,58889.0,58917.0,58957.0,58998.0,59053.0,59115.0,59199.0,59240.0,59282.0,59332.0,59410.0,59488.0,59521.0,59583.0,59636.0,59703.0,59791.0,59829.0,59882.0,59939.0,59981.0,60013.0,60072.0,60107.0,60156.0,60181.0,60220.0,60267.0,60295.0,60340.0,60373.0,60436.0,60478.0,60522.0,60612.0,60664.0,60708.0,60749.0,60790.0,60834.0,60857.0,60995.0,61085.0,61216.0
5005428,67500.0,67535.0,67561.0,67584.0,67616.0,67648.0,67686.0,67729.0,67787.0,67815.0,67844.0,67877.0,67952.0,68022.0,68052.0,68104.0,68148.0,68204.0,68278.0,68311.0,68358.0,68408.0,68445.0,68473.0,68525.0,68555.0,68605.0,68631.0,68685.0,68735.0,68765.0,68809.0,68841.0,68902.0,68943.0,68986.0,69074.0,69123.0,69163.0,69198.0,69233.0,69272.0,69293.0,69414.0,69493.0,69608.0
5005430,74700.0,74728.0,74748.0,74769.0,74798.0,74828.0,74858.0,74892.0,74938.0,74960.0,74983.0,75009.0,75056.0,75096.0,75113.0,75152.0,75185.0,75227.0,75282.0,75310.0,75350.0,75393.0,75424.0,75448.0,75493.0,75520.0,75565.0,75589.0,75630.0,75671.0,75695.0,75728.0,75752.0,75800.0,75833.0,75872.0,75954.0,75994.0,76028.0,76057.0,76085.0,76118.0,76135.0,76235.0,76300.0,76396.0
5005432,80100.0,80128.0,80148.0,80169.0,80198.0,80228.0,80258.0,80292.0,80338.0,80360.0,80383.0,80409.0,80456.0,80496.0,80513.0,80552.0,80585.0,80627.0,80682.0,80710.0,80750.0,80793.0,80824.0,80848.0,80893.0,80920.0,80965.0,80989.0,81030.0,81071.0,81095.0,81128.0,81152.0,81200.0,81233.0,81272.0,81354.0,81394.0,81428.0,81457.0,81485.0,81518.0,81535.0,81635.0,81700.0,81796.0
5005742,29700.0,29740.0,29770.0,29807.0,29859.0,29913.0,29985.0,30066.0,30176.0,30229.0,30284.0,30348.0,30436.0,30569.0,30626.0,30713.0,30787.0,30880.0,31003.0,31044.0,31102.0,31164.0,31210.0,31245.0,31310.0,31350.0,31413.0,31445.0,31510.0,31580.0,31622.0,31687.0,31734.0,31816.0,31871.0,31934.0,32064.0,32133.0,32190.0,32245.0,32300.0,32364.0,32398.0,32511.0,32585.0,32693.0
5005744,37200.0,37245.0,37279.0,37309.0,37351.0,37396.0,37443.0,37495.0,37566.0,37601.0,37636.0,37678.0,37768.0,37844.0,37877.0,37943.0,37999.0,38070.0,38165.0,38207.0,38266.0,38329.0,38375.0,38410.0,38475.0,38514.0,38573.0,38604.0,38664.0,38721.0,38755.0,38807.0,38845.0,38908.0,38950.0,38994.0,39086.0,39139.0,39183.0,39228.0,39273.0,39322.0,39348.0,39474.0,39556.0,39677.0
5005746,44400.0,44445.0,44479.0,44509.0,44551.0,44596.0,44643.0,44695.0,44766.0,44801.0,44836.0,44878.0,44968.0,45044.0,45077.0,45143.0,45199.0,45270.0,45365.0,45407.0,45466.0,45529.0,45575.0,45610.0,45675.0,45714.0,45773.0,45804.0,45864.0,45921.0,45955.0,46007.0,46045.0,46108.0,46150.0,46194.0,46286.0,46339.0,46383.0,46428.0,46473.0,46522.0,46548.0,46674.0,46756.0,46877.0
5005749,60000.0,60051.0,60089.0,60117.0,60157.0,60198.0,60253.0,60315.0,60399.0,60440.0,60482.0,60532.0,60610.0,60688.0,60721.0,60783.0,60836.0,60903.0,60991.0,61029.0,61082.0,61139.0,61181.0,61213.0,61272.0,61307.0,61356.0,61381.0,61420.0,61467.0,61495.0,61540.0,61573.0,61636.0,61678.0,61722.0,61812.0,61864.0,61908.0,61949.0,61990.0,62034.0,62057.0,62195.0,62285.0,62416.0
5006340,74700.0,74726.0,74745.0,74766.0,74795.0,74826.0,74859.0,74896.0,74946.0,74970.0,74995.0,75023.0,75067.0,75120.0,75142.0,75192.0,75235.0,75289.0,75360.0,75396.0,75447.0,75501.0,75541.0,75571.0,75627.0,75661.0,75712.0,75738.0,75788.0,75829.0,75853.0,75894.0,75924.0,75977.0,76012.0,76057.0,76149.0,76188.0,76221.0,76252.0,76283.0,76323.0,76345.0,76463.0,76540.0,76652.0
5006342,80100.0,80126.0,80145.0,80166.0,80195.0,80226.0,80259.0,80296.0,80346.0,80370.0,80395.0,80423.0,80467.0,80520.0,80542.0,80592.0,80635.0,80689.0,80760.0,80796.0,80847.0,80901.0,80941.0,80971.0,81027.0,81061.0,81112.0,81138.0,81188.0,81229.0,81253.0,81294.0,81324.0,81377.0,81412.0,81457.0,81549.0,81588.0,81621.0,81652.0,81683.0,81723.0,81745.0,81863.0,81940.0,82052.0
5007907,45600.0,45645.0,45679.0,45715.0,45765.0,45816.0,45868.0,45926.0,46005.0,46044.0,46083.0,46130.0,46225.0,46320.0,46361.0,46428.0,46485.0,46557.0,46654.0,46702.0,46770.0,46843.0,46896.0,46936.0,47012.0,47059.0,47141.0,47184.0,47251.0,47324.0,47368.0,47433.0,47479.0,47543.0,47586.0,47633.0,47732.0,47790.0,47839.0,47885.0,47930.0,48012.0,48055.0,48187.0,48273.0,48400.0
5007909,52800.0,52838.0,52866.0,52893.0,52931.0,52971.0,53018.0,53071.0,53142.0,53177.0,53213.0,53254.0,53336.0,53421.0,53458.0,53525.0,53582.0,53654.0,53750.0,53795.0,53859.0,53927.0,53977.0,54015.0,54086.0,54131.0,54196.0,54230.0,54290.0,54358.0,54399.0,54463.0,54508.0,54587.0,54640.0,54690.0,54794.0,54859.0,54912.0,54954.0,54995.0,55057.0,55090.0,55221.0,55307.0,55433.0
5007911,60000.0,60041.0,60071.0,60097.0,60134.0,60172.0,60223.0,60280.0,60357.0,60395.0,60434.0,60479.0,60562.0,60629.0,60658.0,60712.0,60758.0,60816.0,60894.0,60933.0,60988.0,61046.0,61089.0,61121.0,61182.0,61218.0,61277.0,61307.0,61369.0,61430.0,61467.0,61532.0,61579.0,61636.0,61674.0,61719.0,61813.0,61867.0,61912.0,61955.0,61997.0,62057.0,62089.0,62214.0,62295.0,62414.0
5007913,67500.0,67528.0,67548.0,67574.0,67610.0,67648.0,67687.0,67731.0,67790.0,67819.0,67848.0,67882.0,67969.0,68020.0,68042.0,68104.0,68157.0,68224.0,68312.0,68345.0,68392.0,68442.0,68479.0,68507.0,68559.0,68591.0,68643.0,68670.0,68719.0,68775.0,68809.0,68855.0,68888.0,68946.0,68985.0,69036.0,69141.0,69199.0,69248.0,69286.0,69324.0,69376.0,69404.0,69501.0,69565.0,69658.0
5008338,24900.0,24932.0,24955.0,24976.0,25005.0,25034.0,25074.0,25119.0,25179.0,25208.0,25238.0,25274.0,25318.0,25375.0,25400.0,25449.0,25490.0,25542.0,25612.0,25645.0,25692.0,25742.0,25779.0,25807.0,25859.0,25891.0,25947.0,25976.0,26026.0,26077.0,26108.0,26163.0,26202.0,26271.0,26318.0,26367.0,26469.0,26526.0,26573.0,26623.0,26672.0,26737.0,26772.0,26882.0,26954.0,27059.0
5008340,31500.0,31540.0,31570.0,31607.0,31659.0,31713.0,31785.0,31866.0,31976.0,32029.0,32084.0,32148.0,32236.0,32369.0,32426.0,32513.0,32587.0,32680.0,32803.0,32844.0,32902.0,32964.0,33010.0,33045.0,33110.0,33150.0,33213.0,33245.0,33310.0,33380.0,33422.0,33487.0,33534.0,33616.0,33671.0,33734.0,33864.0,33933.0,33990.0,34045.0,34100.0,34164.0,34198.0,34311.0,34385.0,34493.0
5008342,48000.0,48045.0,48079.0,48109.0,48151.0,48196.0,48243.0,48295.0,48366.0,48401.0,48436.0,48478.0,48568.0,48644.0,48677.0,48743.0,48799.0,48870.0,48965.0,49007.0,49066.0,49129.0,49175.0,49210.0,49275.0,49314.0,49373.0,49404.0,49464.0,49521.0,49555.0,49607.0,49645.0,49708.0,49750.0,49794.0,49886.0,49939.0,49983.0,50028.0,50073.0,50122.0,50148.0,50274.0,50356.0,50477.0
5008343,56400.0,56442.0,56474.0,56505.0,56549.0,56594.0,56662.0,56738.0,56841.0,56891.0,56943.0,57004.0,57091.0,57174.0,57209.0,57280.0,57341.0,57418.0,57519.0,57557.0,57611.0,57669.0,57711.0,57743.0,57803.0,57840.0,57899.0,57930.0,57989.0,58053.0,58091.0,58144.0,58182.0,58238.0,58276.0,58323.0,58422.0,58479.0,58527.0,58567.0,58607.0,58662.0,58692.0,58816.0,58897.0,59016.0
5008345,63900.0,63935.0,63961.0,63988.0,64025.0,64064.0,64113.0,64168.0,64243.0,64279.0,64316.0,64361.0,64430.0,64497.0,64526.0,64582.0,64630.0,64690.0,64769.0,64805.0,64856.0,64910.0,64950.0,64980.0,65036.0,65070.0,65119.0,65144.0,65185.0,65240.0,65272.0,65320.0,65355.0,65412.0,65450.0,65487.0,65563.0,65617.0,65662.0,65702.0,65742.0,65772.0,65788.0,65923.0,66011.0,66141.0
5008347,71100.0,71135.0,71161.0,71184.0,71216.0,71248.0,71286.0,71329.0,71387.0,71415.0,71444.0,71477.0,71552.0,71622.0,71652.0,71704.0,71748.0,71804.0,71878.0,71911.0,71958.0,72008.0,72045.0,72073.0,72125.0,72155.0,72205.0,72231.0,72285.0,72335.0,72365.0,72409.0,72441.0,72502.0,72543.0,72586.0,72674.0,72723.0,72763.0,72798.0,72833.0,72872.0,72893.0,73014.0,73093.0,73208.0
