tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P
5004475,54000.0,54084.0,54121.0,54144.0,54224.0,54263.0,54319.0,54340.0,54403.0,54476.0,54523.0,54581.0,54616.0,54671.0,54795.0,54876.0,55079.0,55327.0,55493.0,55609.0,55689.0,55775.0,55840.0,55927.0,56002.0,56052.0,56223.0,56352.0,56411.0,56478.0,56506.0,56575.0,56613.0,56636.0,56671.0,56723.0,56758.0,56794.0,56842.0,56886.0,56914.0,56973.0,57094.0,57175.0,57267.0,57314.0,57364.0
5004477,63600.0,63668.0,63698.0,63717.0,63782.0,63826.0,63889.0,63912.0,63983.0,64065.0,64118.0,64182.0,64211.0,64256.0,64374.0,64452.0,64644.0,64937.0,65134.0,65271.0,65365.0,65460.0,65532.0,65620.0,65685.0,65728.0,65875.0,65991.0,66042.0,66100.0,66125.0,66188.0,66222.0,66246.0,66283.0,66331.0,66364.0,66397.0,66442.0,66483.0,66508.0,66567.0,66688.0,66753.0,66827.0,66865.0,66905.0
5004479,72000.0,72057.0,72082.0,72098.0,72151.0,72188.0,72241.0,72260.0,72319.0,72388.0,72432.0,72486.0,72515.0,72561.0,72675.0,72749.0,72921.0,73156.0,73313.0,73423.0,73498.0,73578.0,73638.0,73713.0,73770.0,73808.0,73939.0,74054.0,74101.0,74155.0,74177.0,74232.0,74263.0,74287.0,74323.0,74370.0,74402.0,74435.0,74479.0,74519.0,74544.0,74597.0,74705.0,74763.0,74829.0,74863.0,74900.0
5004481,79200.0,79246.0,79267.0,79280.0,79323.0,79354.0,79397.0,79413.0,79462.0,79519.0,79555.0,79600.0,79624.0,79663.0,79770.0,79840.0,80012.0,80220.0,80359.0,80456.0,80523.0,80602.0,80662.0,80718.0,80768.0,80801.0,80916.0,81015.0,81056.0,81103.0,81123.0,81173.0,81201.0,81226.0,81264.0,81311.0,81343.0,81376.0,81420.0,81460.0,81484.0,81531.0,81627.0,81677.0,81734.0,81763.0,81793.0
5005397,32400.0,32453.0,32477.0,32492.0,32541.0,32581.0,32638.0,32659.0,32724.0,32799.0,32847.0,32907.0,32939.0,32990.0,33100.0,33172.0,33329.0,33524.0,33654.0,33745.0,33807.0,33878.0,33932.0,33984.0,34031.0,34062.0,34169.0,34257.0,34294.0,34336.0,34357.0,34409.0,34438.0,34462.0,34499.0,34540.0,34568.0,34597.0,34635.0,34670.0,34692.0,34740.0,34837.0,34917.0,35008.0,35055.0,35104.0
5005399,39900.0,39966.0,39995.0,40013.0,40076.0,40117.0,40175.0,40197.0,40263.0,40340.0,40389.0,40449.0,40489.0,40552.0,40663.0,40735.0,40918.0,41129.0,41271.0,41370.0,41437.0,41537.0,41612.0,41699.0,41753.0,41789.0,41913.0,42030.0,42068.0,42111.0,42139.0,42208.0,42245.0,42269.0,42305.0,42352.0,42384.0,42416.0,42460.0,42499.0,42524.0,42565.0,42649.0,42708.0,42775.0,42810.0,42846.0
5005401,48000.0,48075.0,48108.0,48129.0,48200.0,48246.0,48312.0,48336.0,48410.0,48497.0,48552.0,48621.0,48658.0,48716.0,48840.0,48921.0,49128.0,49406.0,49592.0,49722.0,49811.0,49919.0,50000.0,50100.0,50171.0,50218.0,50378.0,50503.0,50556.0,50615.0,50639.0,50698.0,50729.0,50756.0,50798.0,50852.0,50889.0,50927.0,50977.0,51023.0,51051.0,51106.0,51217.0,51281.0,51354.0,51392.0,51431.0
5005403,56100.0,56174.0,56207.0,56227.0,56296.0,56341.0,56404.0,56427.0,56498.0,56581.0,56634.0,56700.0,56738.0,56798.0,56907.0,56979.0,57166.0,57429.0,57606.0,57729.0,57813.0,57937.0,58030.0,58121.0,58184.0,58226.0,58368.0,58481.0,58519.0,58562.0,58582.0,58632.0,58660.0,58682.0,58716.0,58762.0,58793.0,58825.0,58868.0,58907.0,58932.0,58987.0,59100.0,59164.0,59237.0,59275.0,59315.0
5005405,64200.0,64277.0,64311.0,64333.0,64406.0,64440.0,64489.0,64507.0,64562.0,64626.0,64667.0,64717.0,64745.0,64789.0,64891.0,64958.0,65134.0,65365.0,65520.0,65628.0,65702.0,65801.0,65876.0,65950.0,66000.0,66034.0,66149.0,66281.0,66321.0,66367.0,66393.0,66457.0,66492.0,66513.0,66546.0,66600.0,66637.0,66675.0,66725.0,66771.0,66799.0,66853.0,66964.0,67036.0,67118.0,67160.0,67204.0
5005407,72600.0,72659.0,72685.0,72701.0,72757.0,72797.0,72853.0,72874.0,72938.0,73012.0,73059.0,73116.0,73148.0,73198.0,73283.0,73338.0,73542.0,73830.0,74023.0,74158.0,74250.0,74343.0,74412.0,74493.0,74554.0,74595.0,74735.0,74851.0,74904.0,74963.0,74988.0,75050.0,75084.0,75107.0,75143.0,75191.0,75224.0,75258.0,75303.0,75344.0,75370.0,75425.0,75537.0,75602.0,75676.0,75714.0,75755.0
5005409,81000.0,81050.0,81072.0,81086.0,81134.0,81165.0,81209.0,81225.0,81275.0,81333.0,81370.0,81417.0,81443.0,81483.0,81578.0,81640.0,81782.0,82057.0,82242.0,82371.0,82459.0,82538.0,82598.0,82639.0,82679.0,82706.0,82798.0,82906.0,82945.0,82990.0,83009.0,83056.0,83082.0,83105.0,83141.0,83187.0,83218.0,83250.0,83293.0,83332.0,83357.0,83400.0,83487.0,83539.0,83599.0,83630.0,83662.0
5005578,43800.0,43868.0,43898.0,43917.0,43982.0,44022.0,44079.0,44100.0,44164.0,44239.0,44287.0,44345.0,44379.0,44433.0,44568.0,44656.0,44857.0,45110.0,45280.0,45398.0,45479.0,45583.0,45661.0,45757.0,45832.0,45882.0,46052.0,46186.0,46241.0,46304.0,46332.0,46401.0,46438.0,46462.0,46500.0,46552.0,46587.0,46623.0,46671.0,46715.0,46742.0,46797.0,46910.0,46987.0,47075.0,47120.0,47167.0
5005580,52200.0,52284.0,52321.0,52344.0,52424.0,52463.0,52519.0,52540.0,52603.0,52676.0,52723.0,52781.0,52816.0,52871.0,52995.0,53076.0,53279.0,53527.0,53693.0,53809.0,53889.0,53975.0,54040.0,54127.0,54202.0,54252.0,54423.0,54552.0,54611.0,54678.0,54706.0,54775.0,54813.0,54836.0,54871.0,54923.0,54958.0,54994.0,55042.0,55086.0,55114.0,55173.0,55294.0,55375.0,55467.0,55514.0,55564.0
5005582,61200.0,61264.0,61292.0,61310.0,61370.0,61411.0,61470.0,61492.0,61558.0,61635.0,61684.0,61745.0,61777.0,61828.0,61935.0,62005.0,62190.0,62490.0,62691.0,62831.0,62928.0,63031.0,63109.0,63201.0,63274.0,63323.0,63490.0,63616.0,63696.0,63786.0,63814.0,63883.0,63920.0,63944.0,63980.0,64033.0,64069.0,64106.0,64155.0,64200.0,64227.0,64283.0,64398.0,64462.0,64535.0,64572.0,64611.0
5005584,70200.0,70257.0,70282.0,70298.0,70351.0,70388.0,70441.0,70460.0,70519.0,70588.0,70632.0,70686.0,70715.0,70761.0,70875.0,70949.0,71121.0,71356.0,71513.0,71623.0,71698.0,71778.0,71838.0,71913.0,71970.0,72008.0,72139.0,72254.0,72301.0,72355.0,72377.0,72432.0,72463.0,72487.0,72523.0,72570.0,72602.0,72635.0,72679.0,72719.0,72744.0,72797.0,72905.0,72963.0,73029.0,73063.0,73100.0
5005586,78000.0,78046.0,78067.0,78080.0,78123.0,78154.0,78197.0,78213.0,78262.0,78319.0,78355.0,78400.0,78424.0,78463.0,78570.0,78640.0,78812.0,79020.0,79159.0,79256.0,79323.0,79402.0,79462.0,79518.0,79568.0,79601.0,79716.0,79815.0,79856.0,79903.0,79923.0,79973.0,80001.0,80026.0,80064.0,80111.0,80143.0,80176.0,80220.0,80260.0,80284.0,80331.0,80427.0,80477.0,80534.0,80563.0,80593.0
5006654,25800.0,25857.0,25882.0,25898.0,25951.0,25996.0,26060.0,26084.0,26156.0,26239.0,26292.0,26357.0,26393.0,26451.0,26554.0,26621.0,26780.0,26962.0,27084.0,27169.0,27228.0,27320.0,27389.0,27447.0,27503.0,27540.0,27666.0,27787.0,27832.0,27883.0,27905.0,27960.0,27990.0,28010.0,28041.0,28078.0,28103.0,28129.0,28164.0,28196.0,28217.0,28273.0,28388.0,28438.0,28495.0,28525.0,28556.0
5006656,34200.0,34272.0,34304.0,34324.0,34392.0,34434.0,34494.0,34516.0,34583.0,34661.0,34711.0,34772.0,34810.0,34870.0,35006.0,35095.0,35314.0,35578.0,35755.0,35878.0,35962.0,36060.0,36134.0,36222.0,36294.0,36342.0,36506.0,36631.0,36680.0,36735.0,36759.0,36818.0,36849.0,36873.0,36910.0,36960.0,36994.0,37029.0,37075.0,37117.0,37143.0,37201.0,37320.0,37384.0,37456.0,37493.0,37532.0
5006658,42600.0,42668.0,42698.0,42717.0,42782.0,42822.0,42879.0,42900.0,42964.0,43039.0,43087.0,43145.0,43179.0,43233.0,43368.0,43456.0,43657.0,43910.0,44080.0,44198.0,44279.0,44383.0,44461.0,44557.0,44632.0,44682.0,44852.0,44986.0,45041.0,45104.0,45132.0,45201.0,45238.0,45262.0,45300.0,45352.0,45387.0,45423.0,45471.0,45515.0,45542.0,45597.0,45710.0,45787.0,45875.0,45920.0,45967.0
5006660,51000.0,51068.0,51098.0,51117.0,51182.0,51222.0,51279.0,51300.0,51364.0,51439.0,51487.0,51545.0,51579.0,51633.0,51768.0,51856.0,52057.0,52310.0,52480.0,52598.0,52679.0,52783.0,52861.0,52957.0,53032.0,53082.0,53252.0,53386.0,53441.0,53504.0,53532.0,53601.0,53638.0,53662.0,53700.0,53752.0,53787.0,53823.0,53871.0,53915.0,53942.0,53997.0,54110.0,54187.0,54275.0,54320.0,54367.0
5006662,60000.0,60064.0,60092.0,60110.0,60170.0,60211.0,60270.0,60292.0,60358.0,60435.0,60484.0,60545.0,60577.0,60628.0,60735.0,60805.0,60990.0,61290.0,61491.0,61631.0,61728.0,61831.0,61909.0,62001.0,62074.0,62123.0,62290.0,62416.0,62496.0,62586.0,62614.0,62683.0,62720.0,62744.0,62780.0,62833.0,62869.0,62906.0,62955.0,63000.0,63027.0,63083.0,63198.0,63262.0,63335.0,63372.0,63411.0
5008611,32400.0,32509.0,32557.0,32587.0,32690.0,32745.0,32823.0,32852.0,32940.0,33042.0,33107.0,33185.0,33229.0,33300.0,33436.0,33525.0,33752.0,34044.0,34240.0,34376.0,34469.0,34567.0,34641.0,34729.0,34800.0,34848.0,35010.0,35135.0,35174.0,35218.0,35241.0,35297.0,35327.0,35349.0,35384.0,35431.0,35463.0,35496.0,35540.0,35580.0,35604.0,35658.0,35767.0,35830.0,35901.0,35938.0,35976.0
5008613,40800.0,40868.0,40898.0,40917.0,40982.0,41022.0,41079.0,41100.0,41164.0,41239.0,41287.0,41345.0,41379.0,41433.0,41568.0,41656.0,41857.0,42110.0,42280.0,42398.0,42479.0,42583.0,42661.0,42757.0,42832.0,42882.0,43052.0,43186.0,43241.0,43304.0,43332.0,43401.0,43438.0,43462.0,43500.0,43552.0,43587.0,43623.0,43671.0,43715.0,43742.0,43797.0,43910.0,43987.0,44075.0,44120.0,44167.0
5008615,49200.0,49268.0,49298.0,49317.0,49382.0,49422.0,49479.0,49500.0,49564.0,49639.0,49687.0,49745.0,49779.0,49833.0,49968.0,50056.0,50257.0,50510.0,50680.0,50798.0,50879.0,50983.0,51061.0,51157.0,51232.0,51282.0,51452.0,51586.0,51641.0,51704.0,51732.0,51801.0,51838.0,51862.0,51900.0,51952.0,51987.0,52023.0,52071.0,52115.0,52142.0,52197.0,52310.0,52387.0,52475.0,52520.0,52567.0
5008617,57600.0,57671.0,57703.0,57723.0,57789.0,57829.0,57885.0,57906.0,57970.0,58044.0,58091.0,58149.0,58183.0,58236.0,58358.0,58438.0,58634.0,58906.0,59088.0,59215.0,59302.0,59393.0,59462.0,59563.0,59638.0,59688.0,59860.0,60003.0,60069.0,60144.0,60174.0,60248.0,60288.0,60312.0,60349.0,60400.0,60435.0,60470.0,60517.0,60560.0,60588.0,60651.0,60778.0,60849.0,60930.0,60972.0,61015.0
5009806,27600.0,27692.0,27733.0,27758.0,27844.0,27909.0,28001.0,28035.0,28139.0,28259.0,28336.0,28430.0,28471.0,28537.0,28650.0,28724.0,28907.0,29152.0,29316.0,29430.0,29508.0,29606.0,29680.0,29753.0,29824.0,29872.0,30034.0,30181.0,30240.0,30307.0,30343.0,30431.0,30479.0,30503.0,30539.0,30587.0,30620.0,30654.0,30699.0,30740.0,30766.0,30832.0,30966.0,31042.0,31128.0,31172.0,31219.0
5009808,36000.0,36072.0,36104.0,36124.0,36192.0,36234.0,36294.0,36316.0,36383.0,36461.0,36511.0,36572.0,36610.0,36670.0,36806.0,36895.0,37114.0,37378.0,37555.0,37678.0,37762.0,37860.0,37934.0,38022.0,38094.0,38142.0,38306.0,38431.0,38480.0,38535.0,38559.0,38618.0,38649.0,38673.0,38710.0,38760.0,38794.0,38829.0,38875.0,38917.0,38943.0,39001.0,39120.0,39184.0,39256.0,39293.0,39332.0
