tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
5005960,31200.0,31284.0,31552.0,31744.0,31916.0,32175.0,32183.0,32282.0,32330.0,32493.0,32640.0,32833.0,33019.0,33120.0,33175.0,33205.0,33266.0,33341.0,33422.0,33488.0,33547.0,33614.0,33668.0,33709.0,33804.0,33827.0,33929.0,33985.0,34017.0,34070.0,34130.0,34199.0,34288.0,34338.0,34386.0,34478.0,34578.0,34666.0,34702.0,34757.0,34806.0,34843.0,34859.0,34896.0,34927.0,34943.0,35034.0,35100.0,35119.0,35203.0,35329.0
5005962,40800.0,40845.0,40986.0,41133.0,41265.0,41463.0,41469.0,41542.0,41585.0,41732.0,41865.0,42039.0,42172.0,42257.0,42303.0,42334.0,42397.0,42481.0,42557.0,42614.0,42665.0,42744.0,42808.0,42849.0,42949.0,42973.0,43080.0,43128.0,43155.0,43205.0,43261.0,43327.0,43405.0,43455.0,43503.0,43585.0,43675.0,43768.0,43805.0,43866.0,43921.0,43965.0,43984.0,44028.0,44064.0,44080.0,44170.0,44231.0,44249.0,44328.0,44468.0
5005964,50400.0,50445.0,50586.0,50733.0,50865.0,51063.0,51069.0,51142.0,51185.0,51332.0,51465.0,51639.0,51772.0,51857.0,51903.0,51934.0,51997.0,52081.0,52157.0,52214.0,52265.0,52344.0,52408.0,52449.0,52549.0,52573.0,52680.0,52728.0,52755.0,52805.0,52861.0,52927.0,53005.0,53055.0,53103.0,53185.0,53275.0,53368.0,53405.0,53466.0,53521.0,53565.0,53584.0,53628.0,53664.0,53680.0,53770.0,53831.0,53849.0,53928.0,54068.0
5005966,60000.0,60045.0,60187.0,60355.0,60505.0,60731.0,60738.0,60837.0,60887.0,61059.0,61214.0,61417.0,61581.0,61665.0,61711.0,61740.0,61799.0,61891.0,61971.0,62031.0,62085.0,62164.0,62229.0,62275.0,62374.0,62398.0,62503.0,62550.0,62577.0,62642.0,62715.0,62799.0,62893.0,62951.0,63006.0,63108.0,63219.0,63330.0,63375.0,63445.0,63509.0,63562.0,63589.0,63651.0,63701.0,63718.0,63818.0,63883.0,63901.0,63984.0,64159.0
5005968,70200.0,70242.0,70374.0,70522.0,70655.0,70856.0,70862.0,70976.0,71024.0,71186.0,71333.0,71525.0,71639.0,71717.0,71759.0,71784.0,71834.0,71922.0,72003.0,72052.0,72096.0,72158.0,72209.0,72244.0,72336.0,72358.0,72457.0,72495.0,72516.0,72558.0,72604.0,72658.0,72732.0,72761.0,72788.0,72858.0,72935.0,73030.0,73068.0,73127.0,73181.0,73231.0,73255.0,73310.0,73356.0,73366.0,73425.0,73494.0,73514.0,73602.0,73726.0
5007666,30600.0,30644.0,30783.0,30868.0,30945.0,31060.0,31064.0,31121.0,31150.0,31247.0,31335.0,31450.0,31606.0,31654.0,31680.0,31702.0,31747.0,31798.0,31841.0,31888.0,31930.0,31967.0,31997.0,32022.0,32082.0,32096.0,32160.0,32188.0,32204.0,32239.0,32279.0,32325.0,32381.0,32429.0,32474.0,32535.0,32601.0,32649.0,32668.0,32714.0,32755.0,32780.0,32791.0,32816.0,32836.0,32848.0,32918.0,32970.0,32985.0,33051.0,33167.0
5007672,55800.0,55846.0,55991.0,56118.0,56232.0,56403.0,56408.0,56477.0,56530.0,56711.0,56874.0,57087.0,57206.0,57290.0,57336.0,57373.0,57448.0,57526.0,57613.0,57663.0,57707.0,57781.0,57841.0,57900.0,57983.0,58003.0,58092.0,58163.0,58203.0,58257.0,58318.0,58388.0,58493.0,58535.0,58576.0,58646.0,58722.0,58822.0,58862.0,58925.0,58981.0,59019.0,59039.0,59085.0,59122.0,59136.0,59219.0,59279.0,59296.0,59372.0,59502.0
5008180,49800.0,49843.0,49981.0,50111.0,50228.0,50404.0,50410.0,50495.0,50532.0,50658.0,50772.0,50920.0,51037.0,51125.0,51173.0,51201.0,51257.0,51346.0,51433.0,51483.0,51528.0,51590.0,51640.0,51676.0,51761.0,51782.0,51873.0,51918.0,51943.0,51997.0,52058.0,52128.0,52193.0,52231.0,52267.0,52341.0,52421.0,52506.0,52540.0,52599.0,52652.0,52700.0,52720.0,52767.0,52805.0,52817.0,52887.0,52941.0,52956.0,53025.0,53170.0
5008182,59400.0,59448.0,59601.0,59726.0,59838.0,60007.0,60013.0,60104.0,60156.0,60333.0,60493.0,60701.0,60871.0,60966.0,61018.0,61062.0,61150.0,61242.0,61340.0,61386.0,61428.0,61509.0,61575.0,61635.0,61711.0,61729.0,61811.0,61849.0,61870.0,61926.0,61988.0,62060.0,62138.0,62182.0,62224.0,62301.0,62385.0,62473.0,62509.0,62578.0,62641.0,62682.0,62711.0,62777.0,62830.0,62846.0,62938.0,62998.0,63015.0,63093.0,63196.0
5008184,69000.0,69041.0,69170.0,69306.0,69428.0,69612.0,69618.0,69699.0,69745.0,69900.0,70040.0,70224.0,70354.0,70424.0,70463.0,70487.0,70536.0,70603.0,70675.0,70719.0,70758.0,70811.0,70855.0,70887.0,70966.0,70985.0,71069.0,71109.0,71131.0,71160.0,71192.0,71230.0,71315.0,71343.0,71369.0,71431.0,71498.0,71593.0,71631.0,71687.0,71738.0,71773.0,71798.0,71855.0,71902.0,71914.0,71983.0,72038.0,72054.0,72125.0,72272.0
