tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
5016903,76800.0,76858.0,77050.0,77106.0,77121.0,77150.0,77171.0,77226.0,77260.0,77304.0,77341.0,77389.0,77440.0,77472.0,77484.0,77521.0,77559.0,77585.0,77628.0,77649.0,77688.0,77733.0,77761.0,77812.0,77851.0,77898.0,77937.0,77961.0,78002.0,78046.0,78082.0,78123.0,78151.0,78206.0,78276.0,78347.0,78392.0,78554.0,78671.0,78799.0,78938.0,78990.0,79039.0,79136.0,79233.0,79284.0,79336.0,79362.0,79395.0,79440.0,79482.0,79536.0,79598.0,79647.0,79693.0,79727.0,79762.0,79794.0,79823.0,79860.0,79899.0,79919.0,79967.0,79985.0,80023.0,80051.0,80082.0,80129.0
5018491,39000.0,39054.0,39233.0,39288.0,39303.0,39361.0,39387.0,39454.0,39494.0,39546.0,39604.0,39678.0,39758.0,39808.0,39826.0,39883.0,39942.0,39984.0,40051.0,40084.0,40137.0,40197.0,40235.0,40302.0,40359.0,40427.0,40483.0,40526.0,40599.0,40711.0,40779.0,40856.0,40909.0,41009.0,41148.0,41291.0,41380.0,41652.0,41847.0,41967.0,42097.0,42160.0,42219.0,42376.0,42473.0,42524.0,42575.0,42612.0,42658.0,42722.0,42782.0,42839.0,42905.0,42957.0,43006.0,43050.0,43096.0,43150.0,43199.0,43261.0,43310.0,43336.0,43397.0,43419.0,43458.0,43487.0,43519.0,43567.0
5085410,63000.0,63064.0,63279.0,63340.0,63356.0,63404.0,63435.0,63514.0,63562.0,63624.0,63672.0,63733.0,63812.0,63862.0,63880.0,63937.0,63990.0,64027.0,64087.0,64117.0,64168.0,64226.0,64263.0,64329.0,64386.0,64454.0,64510.0,64546.0,64607.0,64702.0,64755.0,64815.0,64856.0,64936.0,65031.0,65128.0,65188.0,65483.0,65695.0,65836.0,65989.0,66047.0,66102.0,66246.0,66377.0,66446.0,66516.0,66555.0,66603.0,66670.0,66732.0,66796.0,66870.0,66929.0,66985.0,67025.0,67067.0,67120.0,67169.0,67231.0,67278.0,67302.0,67360.0,67380.0,67416.0,67442.0,67471.0,67515.0
5085480,35100.0,35152.0,35324.0,35377.0,35391.0,35447.0,35472.0,35536.0,35575.0,35625.0,35681.0,35752.0,35828.0,35876.0,35893.0,35949.0,36006.0,36046.0,36110.0,36142.0,36193.0,36251.0,36287.0,36352.0,36406.0,36472.0,36526.0,36567.0,36638.0,36746.0,36811.0,36885.0,36936.0,37033.0,37167.0,37304.0,37390.0,37651.0,37839.0,37954.0,38079.0,38140.0,38196.0,38347.0,38440.0,38489.0,38538.0,38574.0,38618.0,38680.0,38737.0,38792.0,38855.0,38905.0,38952.0,38994.0,39039.0,39091.0,39139.0,39198.0,39245.0,39270.0,39329.0,39350.0,39388.0,39416.0,39447.0,39492.0
5089549,36000.0,36052.0,36224.0,36277.0,36291.0,36347.0,36372.0,36436.0,36475.0,36525.0,36581.0,36652.0,36728.0,36776.0,36793.0,36849.0,36906.0,36946.0,37010.0,37042.0,37093.0,37151.0,37187.0,37252.0,37306.0,37372.0,37426.0,37467.0,37538.0,37646.0,37711.0,37785.0,37836.0,37933.0,38067.0,38204.0,38290.0,38551.0,38739.0,38854.0,38979.0,39040.0,39096.0,39247.0,39340.0,39389.0,39438.0,39474.0,39518.0,39580.0,39637.0,39692.0,39755.0,39805.0,39852.0,39894.0,39939.0,39991.0,40039.0,40098.0,40145.0,40170.0,40229.0,40250.0,40288.0,40316.0,40347.0,40392.0
5089551,46800.0,46860.0,47058.0,47117.0,47133.0,47176.0,47207.0,47288.0,47337.0,47400.0,47451.0,47517.0,47602.0,47655.0,47674.0,47736.0,47795.0,47836.0,47902.0,47936.0,47990.0,48052.0,48091.0,48161.0,48229.0,48311.0,48379.0,48419.0,48488.0,48573.0,48630.0,48694.0,48738.0,48822.0,48929.0,49039.0,49107.0,49350.0,49524.0,49652.0,49791.0,49851.0,49906.0,50035.0,50138.0,50192.0,50248.0,50285.0,50331.0,50395.0,50455.0,50520.0,50595.0,50655.0,50712.0,50767.0,50825.0,50887.0,50944.0,51015.0,51066.0,51093.0,51157.0,51179.0,51220.0,51250.0,51284.0,51335.0
5095521,39600.0,39652.0,39824.0,39877.0,39891.0,39947.0,39972.0,40036.0,40075.0,40125.0,40181.0,40252.0,40328.0,40376.0,40393.0,40449.0,40506.0,40546.0,40610.0,40642.0,40693.0,40751.0,40787.0,40852.0,40906.0,40972.0,41026.0,41067.0,41138.0,41246.0,41311.0,41385.0,41436.0,41533.0,41667.0,41804.0,41890.0,42151.0,42339.0,42454.0,42579.0,42640.0,42696.0,42847.0,42940.0,42989.0,43038.0,43074.0,43118.0,43180.0,43237.0,43292.0,43355.0,43405.0,43452.0,43494.0,43539.0,43591.0,43639.0,43698.0,43745.0,43770.0,43829.0,43850.0,43888.0,43916.0,43947.0,43992.0
5095527,73200.0,73258.0,73452.0,73509.0,73524.0,73553.0,73578.0,73641.0,73679.0,73729.0,73771.0,73825.0,73889.0,73929.0,73944.0,73991.0,74039.0,74073.0,74128.0,74156.0,74200.0,74251.0,74283.0,74340.0,74389.0,74448.0,74497.0,74530.0,74585.0,74649.0,74697.0,74751.0,74788.0,74860.0,74935.0,75012.0,75060.0,75249.0,75384.0,75512.0,75650.0,75707.0,75761.0,75864.0,75967.0,76021.0,76077.0,76113.0,76157.0,76219.0,76276.0,76332.0,76396.0,76447.0,76495.0,76532.0,76571.0,76615.0,76656.0,76707.0,76752.0,76775.0,76831.0,76852.0,76891.0,76920.0,76952.0,76998.0
5096655,43800.0,43860.0,44058.0,44117.0,44133.0,44176.0,44207.0,44288.0,44337.0,44400.0,44451.0,44517.0,44602.0,44655.0,44674.0,44736.0,44795.0,44836.0,44902.0,44936.0,44990.0,45052.0,45091.0,45161.0,45229.0,45311.0,45379.0,45419.0,45488.0,45573.0,45630.0,45694.0,45738.0,45822.0,45929.0,46039.0,46107.0,46350.0,46524.0,46652.0,46791.0,46851.0,46906.0,47035.0,47138.0,47192.0,47248.0,47285.0,47331.0,47395.0,47455.0,47520.0,47595.0,47655.0,47712.0,47767.0,47825.0,47887.0,47944.0,48015.0,48066.0,48093.0,48157.0,48179.0,48220.0,48250.0,48284.0,48335.0
5098738,36900.0,36952.0,37124.0,37177.0,37191.0,37247.0,37272.0,37336.0,37375.0,37425.0,37481.0,37552.0,37628.0,37676.0,37693.0,37749.0,37806.0,37846.0,37910.0,37942.0,37993.0,38051.0,38087.0,38152.0,38206.0,38272.0,38326.0,38367.0,38438.0,38546.0,38611.0,38685.0,38736.0,38833.0,38967.0,39104.0,39190.0,39451.0,39639.0,39754.0,39879.0,39940.0,39996.0,40147.0,40240.0,40289.0,40338.0,40374.0,40418.0,40480.0,40537.0,40592.0,40655.0,40705.0,40752.0,40794.0,40839.0,40891.0,40939.0,40998.0,41045.0,41070.0,41129.0,41150.0,41188.0,41216.0,41247.0,41292.0
5099285,63900.0,63964.0,64179.0,64240.0,64256.0,64304.0,64335.0,64414.0,64462.0,64524.0,64572.0,64633.0,64712.0,64762.0,64780.0,64837.0,64890.0,64927.0,64987.0,65017.0,65068.0,65126.0,65163.0,65229.0,65286.0,65354.0,65410.0,65446.0,65507.0,65602.0,65655.0,65715.0,65756.0,65836.0,65931.0,66028.0,66088.0,66383.0,66595.0,66736.0,66889.0,66947.0,67002.0,67146.0,67277.0,67346.0,67416.0,67455.0,67503.0,67570.0,67632.0,67696.0,67770.0,67829.0,67885.0,67925.0,67967.0,68020.0,68069.0,68131.0,68178.0,68202.0,68260.0,68280.0,68316.0,68342.0,68371.0,68415.0
