tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P
5009631,32400.0,32457.0,32493.0,32526.0,32566.0,32614.0,32652.0,32723.0,32778.0,32821.0,32878.0,33064.0,33163.0,33290.0,33317.0,33371.0,33415.0,33453.0,33511.0,33584.0,33652.0,33695.0,33743.0,33859.0,33895.0,34090.0,34238.0,34449.0,34703.0,34803.0,34901.0,35071.0
5009633,42000.0,42049.0,42080.0,42108.0,42143.0,42184.0,42217.0,42278.0,42325.0,42362.0,42412.0,42554.0,42649.0,42771.0,42795.0,42842.0,42880.0,42914.0,42966.0,43032.0,43094.0,43133.0,43176.0,43284.0,43318.0,43483.0,43606.0,43714.0,43845.0,43944.0,44042.0,44212.0
5009638,61800.0,61845.0,61873.0,61899.0,61930.0,61968.0,61998.0,62053.0,62096.0,62130.0,62175.0,62318.0,62409.0,62526.0,62548.0,62592.0,62628.0,62659.0,62707.0,62768.0,62825.0,62861.0,62901.0,63016.0,63052.0,63238.0,63405.0,63517.0,63652.0,63751.0,63849.0,64018.0
5009640,67800.0,67845.0,67873.0,67899.0,67930.0,67968.0,67998.0,68053.0,68096.0,68130.0,68175.0,68318.0,68409.0,68526.0,68548.0,68592.0,68628.0,68659.0,68707.0,68768.0,68825.0,68861.0,68901.0,69016.0,69052.0,69238.0,69405.0,69517.0,69652.0,69751.0,69849.0,70018.0
5012007,28800.0,28857.0,28893.0,28926.0,28966.0,29014.0,29052.0,29123.0,29178.0,29221.0,29278.0,29464.0,29563.0,29690.0,29717.0,29771.0,29815.0,29853.0,29911.0,29984.0,30052.0,30095.0,30143.0,30259.0,30295.0,30490.0,30638.0,30849.0,31103.0,31203.0,31301.0,31471.0
5012013,47100.0,47150.0,47181.0,47209.0,47244.0,47286.0,47319.0,47380.0,47428.0,47465.0,47515.0,47686.0,47796.0,47936.0,47959.0,48006.0,48044.0,48077.0,48126.0,48188.0,48246.0,48283.0,48324.0,48437.0,48472.0,48646.0,48759.0,48860.0,48981.0,49078.0,49174.0,49339.0
5013749,36000.0,36049.0,36080.0,36108.0,36143.0,36184.0,36217.0,36278.0,36325.0,36362.0,36412.0,36554.0,36649.0,36771.0,36795.0,36842.0,36880.0,36914.0,36966.0,37032.0,37094.0,37133.0,37176.0,37284.0,37318.0,37483.0,37606.0,37714.0,37845.0,37944.0,38042.0,38212.0
5013753,48900.0,48950.0,48981.0,49009.0,49044.0,49086.0,49119.0,49180.0,49228.0,49265.0,49315.0,49486.0,49596.0,49736.0,49759.0,49806.0,49844.0,49877.0,49926.0,49988.0,50046.0,50083.0,50124.0,50237.0,50272.0,50446.0,50559.0,50660.0,50781.0,50878.0,50974.0,51139.0
5017494,34200.0,34257.0,34293.0,34326.0,34366.0,34414.0,34452.0,34523.0,34578.0,34621.0,34678.0,34864.0,34963.0,35090.0,35117.0,35171.0,35215.0,35253.0,35311.0,35384.0,35452.0,35495.0,35543.0,35659.0,35695.0,35890.0,36038.0,36249.0,36503.0,36603.0,36701.0,36871.0
5017496,39900.0,39949.0,39980.0,40008.0,40043.0,40084.0,40117.0,40178.0,40225.0,40262.0,40312.0,40454.0,40549.0,40671.0,40695.0,40742.0,40780.0,40814.0,40866.0,40932.0,40994.0,41033.0,41076.0,41184.0,41218.0,41383.0,41506.0,41614.0,41745.0,41844.0,41942.0,42112.0
