tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P
5003113,41400.0,41541.0,41642.0,41745.0,41815.0,42050.0,42224.0,42445.0,42568.0,42661.0,42722.0,42790.0,42852.0,42900.0,42937.0,42993.0,43047.0,43082.0,43158.0,43214.0,43244.0,43270.0,43332.0,43398.0,43459.0,43502.0,43571.0,43638.0,43682.0,43781.0,43820.0,43884.0,43923.0,43996.0,44038.0,44068.0,44108.0,44160.0,44242.0,44317.0,44337.0,44367.0,44396.0,44436.0,44470.0,44528.0,44585.0,44654.0,44699.0,44777.0,44803.0,44855.0,44868.0,44897.0,44920.0,45007.0,45115.0,45174.0,45267.0,45371.0,45425.0,45494.0,45566.0,45616.0,45677.0,45732.0,45813.0,45843.0,45894.0,45976.0
5003115,53400.0,53532.0,53627.0,53708.0,53764.0,53978.0,54136.0,54368.0,54496.0,54594.0,54658.0,54729.0,54794.0,54857.0,54904.0,54970.0,55033.0,55072.0,55179.0,55259.0,55296.0,55327.0,55389.0,55460.0,55527.0,55578.0,55660.0,55732.0,55787.0,55895.0,55940.0,56011.0,56054.0,56136.0,56184.0,56219.0,56268.0,56327.0,56419.0,56504.0,56526.0,56560.0,56593.0,56642.0,56684.0,56756.0,56816.0,56901.0,56956.0,57052.0,57081.0,57141.0,57154.0,57182.0,57212.0,57367.0,57491.0,57551.0,57644.0,57749.0,57807.0,57882.0,57957.0,58009.0,58073.0,58130.0,58221.0,58254.0,58312.0,58403.0
5003117,66000.0,66184.0,66315.0,66409.0,66473.0,66744.0,66944.0,67190.0,67327.0,67431.0,67499.0,67591.0,67674.0,67751.0,67809.0,67887.0,67962.0,68005.0,68115.0,68196.0,68229.0,68258.0,68328.0,68404.0,68474.0,68527.0,68613.0,68682.0,68734.0,68852.0,68899.0,68983.0,69029.0,69118.0,69169.0,69205.0,69256.0,69313.0,69402.0,69487.0,69509.0,69542.0,69574.0,69620.0,69660.0,69727.0,69786.0,69856.0,69901.0,69981.0,70009.0,70067.0,70080.0,70109.0,70129.0,70217.0,70297.0,70343.0,70416.0,70498.0,70544.0,70602.0,70670.0,70718.0,70780.0,70832.0,70912.0,70941.0,70991.0,71071.0
5003170,32400.0,32532.0,32627.0,32701.0,32752.0,32890.0,32992.0,33164.0,33260.0,33338.0,33389.0,33438.0,33482.0,33531.0,33569.0,33615.0,33659.0,33688.0,33744.0,33785.0,33816.0,33842.0,33879.0,33941.0,33999.0,34046.0,34122.0,34181.0,34216.0,34293.0,34328.0,34389.0,34415.0,34465.0,34500.0,34525.0,34555.0,34608.0,34691.0,34752.0,34768.0,34796.0,34818.0,34848.0,34874.0,34918.0,34967.0,35029.0,35069.0,35139.0,35166.0,35222.0,35236.0,35266.0,35285.0,35360.0,35421.0,35460.0,35521.0,35589.0,35635.0,35693.0,35748.0,35786.0,35836.0,35875.0,35948.0,35975.0,36021.0,36094.0
5003172,44100.0,44220.0,44306.0,44387.0,44443.0,44652.0,44806.0,45052.0,45189.0,45268.0,45320.0,45387.0,45449.0,45500.0,45539.0,45594.0,45647.0,45695.0,45770.0,45825.0,45856.0,45882.0,45926.0,45990.0,46049.0,46097.0,46174.0,46230.0,46279.0,46367.0,46410.0,46464.0,46498.0,46563.0,46604.0,46633.0,46677.0,46730.0,46812.0,46871.0,46887.0,46918.0,46947.0,46989.0,47025.0,47087.0,47142.0,47209.0,47252.0,47335.0,47365.0,47425.0,47438.0,47467.0,47487.0,47725.0,47885.0,47942.0,48032.0,48133.0,48180.0,48240.0,48307.0,48353.0,48422.0,48478.0,48542.0,48565.0,48605.0,48670.0
5003174,56700.0,56828.0,56920.0,57008.0,57068.0,57284.0,57444.0,57670.0,57795.0,57885.0,57944.0,58002.0,58055.0,58108.0,58149.0,58189.0,58227.0,58265.0,58331.0,58380.0,58414.0,58443.0,58489.0,58568.0,58642.0,58683.0,58750.0,58810.0,58883.0,59002.0,59042.0,59099.0,59141.0,59220.0,59263.0,59293.0,59342.0,59407.0,59508.0,59573.0,59590.0,59624.0,59653.0,59694.0,59729.0,59788.0,59836.0,59903.0,59947.0,60025.0,60053.0,60109.0,60120.0,60145.0,60169.0,60248.0,60351.0,60422.0,60534.0,60659.0,60716.0,60789.0,60860.0,60910.0,60970.0,61028.0,61100.0,61126.0,61172.0,61245.0
5003176,69000.0,69110.0,69188.0,69278.0,69340.0,69630.0,69844.0,70077.0,70206.0,70289.0,70344.0,70414.0,70478.0,70523.0,70557.0,70619.0,70678.0,70720.0,70820.0,70895.0,70926.0,70953.0,71005.0,71067.0,71125.0,71173.0,71249.0,71312.0,71365.0,71475.0,71512.0,71558.0,71600.0,71681.0,71724.0,71755.0,71791.0,71846.0,71932.0,72029.0,72055.0,72090.0,72123.0,72168.0,72207.0,72272.0,72325.0,72401.0,72450.0,72531.0,72562.0,72625.0,72638.0,72667.0,72686.0,72774.0,72840.0,72886.0,72958.0,73038.0,73080.0,73134.0,73200.0,73246.0,73314.0,73373.0,73439.0,73463.0,73505.0,73570.0
5003178,79800.0,79900.0,79972.0,80024.0,80060.0,80241.0,80375.0,80582.0,80697.0,80787.0,80846.0,80918.0,80984.0,81028.0,81062.0,81108.0,81153.0,81188.0,81247.0,81290.0,81312.0,81331.0,81375.0,81431.0,81484.0,81519.0,81574.0,81626.0,81671.0,81768.0,81808.0,81847.0,81877.0,81934.0,81980.0,82013.0,82043.0,82091.0,82166.0,82249.0,82271.0,82301.0,82330.0,82373.0,82410.0,82474.0,82525.0,82591.0,82634.0,82709.0,82737.0,82795.0,82805.0,82829.0,82847.0,82911.0,82968.0,82999.0,83047.0,83101.0,83141.0,83192.0,83252.0,83294.0,83358.0,83413.0,83474.0,83496.0,83534.0,83595.0
5003507,59100.0,59309.0,59458.0,59553.0,59617.0,59905.0,60118.0,60386.0,60535.0,60647.0,60720.0,60808.0,60889.0,60964.0,61021.0,61098.0,61171.0,61214.0,61314.0,61389.0,61428.0,61462.0,61514.0,61599.0,61678.0,61738.0,61835.0,61909.0,61969.0,62092.0,62140.0,62222.0,62268.0,62357.0,62410.0,62448.0,62500.0,62567.0,62672.0,62758.0,62781.0,62816.0,62854.0,62908.0,62954.0,63033.0,63091.0,63175.0,63230.0,63349.0,63379.0,63441.0,63453.0,63481.0,63502.0,63698.0,63807.0,63860.0,63943.0,64037.0,64084.0,64143.0,64217.0,64268.0,64331.0,64387.0,64472.0,64503.0,64557.0,64641.0
5004595,65700.0,65884.0,66015.0,66109.0,66173.0,66444.0,66644.0,66890.0,67027.0,67131.0,67199.0,67291.0,67374.0,67451.0,67509.0,67587.0,67662.0,67705.0,67815.0,67896.0,67929.0,67958.0,68028.0,68104.0,68174.0,68227.0,68313.0,68382.0,68434.0,68552.0,68599.0,68683.0,68729.0,68818.0,68869.0,68905.0,68956.0,69013.0,69102.0,69187.0,69209.0,69242.0,69274.0,69320.0,69360.0,69427.0,69486.0,69556.0,69601.0,69681.0,69709.0,69767.0,69780.0,69809.0,69829.0,69917.0,69997.0,70043.0,70116.0,70198.0,70244.0,70302.0,70370.0,70418.0,70480.0,70532.0,70612.0,70641.0,70691.0,70771.0
5004979,30000.0,30139.0,30238.0,30387.0,30489.0,30797.0,31025.0,31267.0,31402.0,31527.0,31608.0,31692.0,31769.0,31840.0,31894.0,31959.0,32022.0,32066.0,32168.0,32244.0,32281.0,32312.0,32384.0,32454.0,32520.0,32570.0,32649.0,32709.0,32755.0,32871.0,32916.0,32989.0,33030.0,33108.0,33151.0,33181.0,33234.0,33287.0,33371.0,33479.0,33507.0,33532.0,33556.0,33597.0,33633.0,33693.0,33749.0,33822.0,33870.0,33950.0,33975.0,34026.0,34037.0,34063.0,34085.0,34199.0,34313.0,34363.0,34441.0,34528.0,34575.0,34635.0,34697.0,34741.0,34794.0,34839.0,34933.0,34967.0,35026.0,35120.0
5004981,42600.0,42741.0,42842.0,42945.0,43015.0,43250.0,43424.0,43645.0,43768.0,43861.0,43922.0,43990.0,44052.0,44100.0,44137.0,44193.0,44247.0,44282.0,44358.0,44414.0,44444.0,44470.0,44532.0,44598.0,44659.0,44702.0,44771.0,44838.0,44882.0,44981.0,45020.0,45084.0,45123.0,45196.0,45238.0,45268.0,45308.0,45360.0,45442.0,45517.0,45537.0,45567.0,45596.0,45636.0,45670.0,45728.0,45785.0,45854.0,45899.0,45977.0,46003.0,46055.0,46068.0,46097.0,46120.0,46207.0,46315.0,46374.0,46467.0,46571.0,46625.0,46694.0,46766.0,46816.0,46877.0,46932.0,47013.0,47043.0,47094.0,47176.0
