tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
0,7391.0,493.0,494.0,495.0,400.0,346.0,317.0,312.0,1444.0,1445.0,7078.0,1449.0,1450.0,1451.0,2191.0,2192.0,2193.0,2194.0,2195.0,2196.0,2197.0,2198.0,2200.0,2201.0,7239.0,4401.0,2213.0,2214.0,2215.0,2216.0,4599.0,2217.0,2218.0,2219.0,3365.0,3366.0,3367.0,3886.0,3887.0,3888.0,7186.0,7187.0,3954.0,3955.0,3956.0,3957.0,3958.0,3959.0,3960.0,3961.0,3962.0,3963.0,3964.0,3965.0,3968.0,3966.0,5113.0,3918.0,5114.0
5003016,51300.0,51397.0,51504.0,51633.0,51737.0,51813.0,51926.0,52167.0,52266.0,52327.0,52519.0,52583.0,52612.0,52638.0,52709.0,52734.0,52764.0,52785.0,52823.0,52866.0,52921.0,52979.0,53009.0,53187.0,53232.0,53264.0,53382.0,53419.0,53457.0,53489.0,53567.0,53617.0,53664.0,53697.0,53717.0,53742.0,53816.0,53891.0,53952.0,54002.0,54066.0,54081.0,54182.0,54200.0,54221.0,54274.0,54319.0,54373.0,54413.0,54450.0,54511.0,54547.0,54592.0,54629.0,54759.0,54926.0,54996.0,55169.0,55296.0
5003022,78300.0,78380.0,78469.0,78576.0,78663.0,78727.0,78831.0,79052.0,79123.0,79167.0,79378.0,79420.0,79447.0,79471.0,79509.0,79534.0,79565.0,79584.0,79619.0,79658.0,79707.0,79759.0,79786.0,79908.0,79939.0,79961.0,80071.0,80105.0,80143.0,80200.0,80267.0,80310.0,80343.0,80371.0,80388.0,80409.0,80468.0,80523.0,80580.0,80626.0,80692.0,80711.0,80797.0,80819.0,80836.0,80878.0,80914.0,80957.0,81011.0,81044.0,81097.0,81128.0,81166.0,81197.0,81306.0,81444.0,81475.0,81552.0,81610.0
5003151,36900.0,37008.0,37127.0,37271.0,37387.0,37471.0,37567.0,37771.0,37873.0,37936.0,38161.0,38222.0,38248.0,38270.0,38324.0,38349.0,38381.0,38402.0,38440.0,38482.0,38536.0,38592.0,38622.0,38765.0,38801.0,38827.0,38957.0,39004.0,39051.0,39087.0,39166.0,39217.0,39261.0,39300.0,39324.0,39353.0,39426.0,39500.0,39546.0,39584.0,39666.0,39690.0,39874.0,39894.0,39920.0,39986.0,40042.0,40111.0,40149.0,40187.0,40249.0,40284.0,40326.0,40361.0,40484.0,40635.0,40693.0,40836.0,40941.0
5003155,53100.0,53193.0,53297.0,53422.0,53523.0,53596.0,53707.0,53941.0,54049.0,54115.0,54340.0,54403.0,54434.0,54461.0,54527.0,54555.0,54589.0,54612.0,54654.0,54701.0,54760.0,54823.0,54856.0,55023.0,55066.0,55096.0,55244.0,55290.0,55335.0,55369.0,55456.0,55511.0,55564.0,55613.0,55643.0,55681.0,55818.0,55889.0,55936.0,55974.0,56044.0,56063.0,56186.0,56287.0,56322.0,56412.0,56488.0,56582.0,56630.0,56673.0,56743.0,56781.0,56828.0,56867.0,57001.0,57181.0,57245.0,57403.0,57519.0
5003161,81900.0,81966.0,82039.0,82127.0,82198.0,82249.0,82364.0,82608.0,82687.0,82736.0,82926.0,82965.0,82994.0,83019.0,83061.0,83086.0,83116.0,83135.0,83171.0,83209.0,83257.0,83308.0,83335.0,83458.0,83489.0,83511.0,83628.0,83672.0,83719.0,83752.0,83815.0,83855.0,83891.0,83920.0,83938.0,83961.0,84019.0,84060.0,84101.0,84135.0,84205.0,84226.0,84316.0,84334.0,84350.0,84391.0,84425.0,84467.0,84506.0,84537.0,84587.0,84618.0,84656.0,84688.0,84800.0,84944.0,84980.0,85068.0,85133.0
5003358,27600.0,27671.0,27750.0,27845.0,27922.0,27978.0,28056.0,28220.0,28313.0,28371.0,28585.0,28625.0,28648.0,28668.0,28736.0,28761.0,28791.0,28814.0,28855.0,28906.0,28971.0,29039.0,29075.0,29233.0,29273.0,29302.0,29429.0,29479.0,29524.0,29563.0,29651.0,29708.0,29761.0,29796.0,29818.0,29845.0,29921.0,29976.0,30018.0,30053.0,30123.0,30139.0,30230.0,30248.0,30265.0,30309.0,30346.0,30392.0,30433.0,30477.0,30548.0,30589.0,30639.0,30681.0,30828.0,30971.0,31020.0,31141.0,31230.0
5003416,69300.0,69396.0,69502.0,69630.0,69734.0,69809.0,69929.0,70185.0,70282.0,70341.0,70567.0,70620.0,70661.0,70697.0,70755.0,70782.0,70817.0,70841.0,70884.0,70930.0,70988.0,71049.0,71081.0,71235.0,71274.0,71302.0,71446.0,71492.0,71546.0,71584.0,71659.0,71707.0,71747.0,71782.0,71804.0,71831.0,71901.0,71964.0,72011.0,72050.0,72120.0,72142.0,72236.0,72259.0,72279.0,72329.0,72371.0,72423.0,72468.0,72504.0,72564.0,72597.0,72637.0,72671.0,72788.0,72939.0,72985.0,73098.0,73182.0
5003418,80100.0,80166.0,80239.0,80327.0,80398.0,80449.0,80564.0,80808.0,80887.0,80936.0,81126.0,81165.0,81194.0,81219.0,81261.0,81286.0,81316.0,81335.0,81371.0,81409.0,81457.0,81508.0,81535.0,81658.0,81689.0,81711.0,81828.0,81872.0,81919.0,81952.0,82015.0,82055.0,82091.0,82120.0,82138.0,82161.0,82219.0,82260.0,82301.0,82335.0,82405.0,82426.0,82516.0,82534.0,82550.0,82591.0,82625.0,82667.0,82706.0,82737.0,82787.0,82818.0,82856.0,82888.0,83000.0,83144.0,83180.0,83268.0,83333.0
5003960,45900.0,45993.0,46097.0,46222.0,46323.0,46396.0,46507.0,46741.0,46849.0,46915.0,47140.0,47203.0,47234.0,47261.0,47327.0,47355.0,47389.0,47412.0,47454.0,47501.0,47560.0,47623.0,47656.0,47823.0,47866.0,47896.0,48044.0,48090.0,48135.0,48169.0,48256.0,48311.0,48364.0,48413.0,48443.0,48481.0,48618.0,48689.0,48736.0,48774.0,48844.0,48863.0,48986.0,49087.0,49122.0,49212.0,49288.0,49382.0,49430.0,49473.0,49543.0,49581.0,49628.0,49667.0,49801.0,49981.0,50045.0,50203.0,50319.0
