tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P
5084694,63000.0,63084.0,63138.0,63192.0,63244.0,63277.0,63375.0,63485.0,63504.0,63553.0,63592.0,63803.0,63859.0,63968.0,64070.0,64398.0,64474.0,64686.0,64730.0,64781.0,64836.0,64927.0,64971.0,65017.0,65326.0,65362.0,65460.0,65480.0,65522.0,65605.0,65632.0,65813.0,65819.0
5084696,70200.0,70237.0,70261.0,70284.0,70307.0,70322.0,70364.0,70412.0,70420.0,70440.0,70477.0,70680.0,70731.0,70829.0,70920.0,71115.0,71160.0,71400.0,71640.0,71756.0,71880.0,72000.0,72058.0,72120.0,72335.0,72360.0,72559.0,72600.0,72629.0,72688.0,72707.0,72835.0,72840.0
5098463,23400.0,23464.0,23506.0,23547.0,23587.0,23613.0,23688.0,23772.0,23786.0,23822.0,23860.0,24066.0,24122.0,24230.0,24331.0,24572.0,24628.0,24795.0,24841.0,24887.0,24937.0,25010.0,25045.0,25083.0,25347.0,25378.0,25484.0,25506.0,25547.0,25628.0,25655.0,25832.0,25838.0
5098465,30600.0,30693.0,30753.0,30813.0,30870.0,30907.0,31015.0,31136.0,31156.0,31210.0,31269.0,31593.0,31643.0,31740.0,31831.0,32011.0,32053.0,32293.0,32338.0,32384.0,32433.0,32520.0,32562.0,32606.0,32868.0,32899.0,33013.0,33037.0,33076.0,33154.0,33180.0,33350.0,33355.0
5098467,45000.0,45071.0,45117.0,45163.0,45207.0,45235.0,45318.0,45410.0,45426.0,45467.0,45503.0,45699.0,45749.0,45845.0,45935.0,46122.0,46165.0,46344.0,46393.0,46439.0,46488.0,46566.0,46604.0,46644.0,46913.0,46944.0,47062.0,47086.0,47130.0,47217.0,47246.0,47436.0,47442.0
5098470,59400.0,59484.0,59538.0,59592.0,59644.0,59677.0,59775.0,59885.0,59904.0,59953.0,59992.0,60203.0,60259.0,60368.0,60470.0,60798.0,60874.0,61086.0,61130.0,61181.0,61236.0,61327.0,61371.0,61417.0,61726.0,61762.0,61860.0,61880.0,61922.0,62005.0,62032.0,62213.0,62219.0
5098473,77400.0,77457.0,77494.0,77530.0,77565.0,77587.0,77653.0,77727.0,77739.0,77772.0,77805.0,77986.0,78038.0,78138.0,78231.0,78332.0,78356.0,78490.0,78524.0,78562.0,78602.0,78682.0,78720.0,78761.0,78996.0,79024.0,79121.0,79141.0,79181.0,79261.0,79287.0,79460.0,79466.0
5098475,84600.0,84657.0,84694.0,84730.0,84765.0,84787.0,84853.0,84927.0,84939.0,84972.0,85005.0,85186.0,85238.0,85338.0,85431.0,85532.0,85556.0,85690.0,85724.0,85762.0,85802.0,85882.0,85920.0,85961.0,86196.0,86224.0,86321.0,86341.0,86381.0,86461.0,86487.0,86660.0,86666.0
5113981,27000.0,27064.0,27106.0,27147.0,27187.0,27213.0,27288.0,27372.0,27386.0,27422.0,27460.0,27666.0,27722.0,27830.0,27931.0,28172.0,28228.0,28395.0,28441.0,28487.0,28537.0,28610.0,28645.0,28683.0,28947.0,28978.0,29084.0,29106.0,29147.0,29228.0,29255.0,29432.0,29438.0
5113983,34200.0,34293.0,34353.0,34413.0,34470.0,34507.0,34615.0,34736.0,34756.0,34810.0,34869.0,35193.0,35243.0,35340.0,35431.0,35611.0,35653.0,35893.0,35938.0,35984.0,36033.0,36120.0,36162.0,36206.0,36468.0,36499.0,36613.0,36637.0,36676.0,36754.0,36780.0,36950.0,36955.0
5113984,48600.0,48671.0,48717.0,48763.0,48807.0,48835.0,48918.0,49010.0,49026.0,49067.0,49103.0,49299.0,49349.0,49445.0,49535.0,49722.0,49765.0,49944.0,49993.0,50039.0,50088.0,50166.0,50204.0,50244.0,50513.0,50544.0,50662.0,50686.0,50730.0,50817.0,50846.0,51036.0,51042.0
5113987,63000.0,63084.0,63138.0,63192.0,63244.0,63277.0,63375.0,63485.0,63504.0,63553.0,63592.0,63803.0,63859.0,63968.0,64070.0,64398.0,64474.0,64686.0,64730.0,64781.0,64836.0,64927.0,64971.0,65017.0,65326.0,65362.0,65460.0,65480.0,65522.0,65605.0,65632.0,65813.0,65819.0
5114105,23400.0,23464.0,23506.0,23547.0,23587.0,23613.0,23688.0,23772.0,23786.0,23822.0,23860.0,24066.0,24122.0,24230.0,24331.0,24572.0,24628.0,24795.0,24841.0,24887.0,24937.0,25010.0,25045.0,25083.0,25347.0,25378.0,25484.0,25506.0,25547.0,25628.0,25655.0,25832.0,25838.0
5114107,30600.0,30693.0,30753.0,30813.0,30870.0,30907.0,31015.0,31136.0,31156.0,31210.0,31269.0,31593.0,31643.0,31740.0,31831.0,32011.0,32053.0,32293.0,32338.0,32384.0,32433.0,32520.0,32562.0,32606.0,32868.0,32899.0,33013.0,33037.0,33076.0,33154.0,33180.0,33350.0,33355.0
5114112,59400.0,59484.0,59538.0,59592.0,59644.0,59677.0,59775.0,59885.0,59904.0,59953.0,59992.0,60203.0,60259.0,60368.0,60470.0,60798.0,60874.0,61086.0,61130.0,61181.0,61236.0,61327.0,61371.0,61417.0,61726.0,61762.0,61860.0,61880.0,61922.0,62005.0,62032.0,62213.0,62219.0
