tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P
5011152,57600.0,57685.0,57775.0,57920.0,57980.0,58050.0,58129.0,58144.0,58166.0,58305.0,58333.0,58351.0,58385.0,58416.0,58484.0,58653.0,58732.0,58816.0,58834.0,58851.0,58896.0,58934.0,59033.0,59164.0,59199.0,59255.0,59292.0,59369.0,59395.0,59447.0,59458.0,59482.0,59501.0,59588.0,59629.0,59688.0,59780.0,59931.0,60013.0,60131.0,60214.0,60358.0,60451.0,60528.0,60578.0,60606.0,60699.0,60716.0,60732.0,60768.0,60782.0,60792.0,60870.0,60915.0,60947.0,60996.0,61028.0,61064.0,61092.0,61116.0,61173.0,61321.0,61381.0,61407.0,61443.0,61494.0,61522.0,61538.0,61577.0,61615.0,61650.0,61690.0,61715.0,61753.0,61794.0,61830.0,61869.0,61911.0,61996.0,62032.0,62058.0,62100.0,62154.0,62171.0,62223.0
5011154,68400.0,68453.0,68510.0,68601.0,68630.0,68670.0,68716.0,68728.0,68747.0,68823.0,68851.0,68869.0,68898.0,68924.0,68963.0,69060.0,69105.0,69154.0,69178.0,69202.0,69238.0,69269.0,69347.0,69460.0,69497.0,69564.0,69607.0,69700.0,69723.0,69769.0,69780.0,69805.0,69825.0,69900.0,69964.0,70143.0,70424.0,70886.0,71135.0,71195.0,71237.0,71311.0,71359.0,71399.0,71440.0,71468.0,71561.0,71578.0,71608.0,71652.0,71677.0,71693.0,71750.0,71783.0,71810.0,71853.0,71881.0,71912.0,71936.0,71957.0,72012.0,72071.0,72122.0,72145.0,72187.0,72240.0,72269.0,72286.0,72320.0,72353.0,72384.0,72418.0,72442.0,72489.0,72540.0,72584.0,72632.0,72685.0,72790.0,72824.0,72849.0,72890.0,72944.0,72961.0,73015.0
5011156,79200.0,79252.0,79308.0,79397.0,79422.0,79462.0,79507.0,79530.0,79564.0,79641.0,79666.0,79682.0,79697.0,79711.0,79749.0,79844.0,79888.0,79936.0,79955.0,79974.0,80012.0,80045.0,80129.0,80229.0,80263.0,80319.0,80355.0,80431.0,80456.0,80508.0,80519.0,80544.0,80564.0,80627.0,80682.0,80712.0,80760.0,80838.0,80881.0,80939.0,80980.0,81052.0,81098.0,81137.0,81174.0,81203.0,81299.0,81315.0,81331.0,81369.0,81385.0,81398.0,81441.0,81465.0,81499.0,81552.0,81586.0,81625.0,81655.0,81681.0,81732.0,81814.0,81872.0,81897.0,81934.0,81981.0,82007.0,82022.0,82064.0,82105.0,82143.0,82186.0,82212.0,82247.0,82285.0,82318.0,82353.0,82392.0,82470.0,82508.0,82536.0,82581.0,82628.0,82643.0,82690.0
5011308,30600.0,30691.0,30788.0,30944.0,30999.0,31063.0,31135.0,31152.0,31178.0,31323.0,31353.0,31372.0,31397.0,31420.0,31485.0,31646.0,31721.0,31800.0,31819.0,31837.0,31886.0,31929.0,32039.0,32203.0,32259.0,32328.0,32373.0,32446.0,32471.0,32523.0,32537.0,32570.0,32601.0,32724.0,32869.0,32911.0,32977.0,33086.0,33146.0,33229.0,33287.0,33389.0,33455.0,33511.0,33559.0,33589.0,33687.0,33705.0,33728.0,33773.0,33792.0,33806.0,33858.0,33888.0,33921.0,33972.0,34005.0,34042.0,34070.0,34095.0,34164.0,34217.0,34269.0,34292.0,34331.0,34383.0,34412.0,34428.0,34464.0,34499.0,34531.0,34567.0,34590.0,34623.0,34659.0,34690.0,34724.0,34761.0,34835.0,34875.0,34904.0,34951.0,34995.0,35009.0,35053.0
5011310,42000.0,42069.0,42142.0,42260.0,42285.0,42341.0,42405.0,42425.0,42456.0,42597.0,42626.0,42644.0,42675.0,42704.0,42759.0,42896.0,42960.0,43029.0,43051.0,43073.0,43113.0,43147.0,43235.0,43353.0,43405.0,43478.0,43525.0,43605.0,43628.0,43675.0,43687.0,43714.0,43745.0,43838.0,43954.0,43996.0,44062.0,44170.0,44229.0,44350.0,44435.0,44584.0,44680.0,44760.0,44818.0,44851.0,44963.0,44980.0,45002.0,45044.0,45060.0,45074.0,45146.0,45187.0,45224.0,45282.0,45320.0,45362.0,45394.0,45423.0,45500.0,45600.0,45665.0,45694.0,45742.0,45795.0,45824.0,45841.0,45885.0,45928.0,45967.0,46010.0,46034.0,46078.0,46126.0,46167.0,46211.0,46260.0,46357.0,46395.0,46423.0,46469.0,46515.0,46529.0,46575.0
5011312,52800.0,52864.0,52932.0,53040.0,53160.0,53216.0,53280.0,53327.0,53400.0,53520.0,53593.0,53640.0,53733.0,53820.0,53840.0,53891.0,53915.0,53940.0,54030.0,54120.0,54179.0,54230.0,54360.0,54420.0,54600.0,54673.0,54720.0,54840.0,54860.0,54900.0,54918.0,54960.0,55200.0,55500.0,55560.0,55588.0,55631.0,55702.0,55740.0,55754.0,55764.0,55781.0,55792.0,55800.0,55860.0,55874.0,55920.0,56040.0,56160.0,56220.0,56280.0,56460.0,56498.0,56520.0,56539.0,56568.0,56587.0,56609.0,56625.0,56640.0,56700.0,56760.0,56802.0,56820.0,57000.0,57064.0,57099.0,57120.0,57135.0,57150.0,57164.0,57180.0,57240.0,57273.0,57308.0,57339.0,57372.0,57408.0,57480.0,57542.0,57587.0,57660.0,57738.0,57762.0,57840.0
5011314,63600.0,63697.0,63800.0,63965.0,64012.0,64073.0,64143.0,64165.0,64198.0,64375.0,64413.0,64437.0,64467.0,64494.0,64565.0,64743.0,64825.0,64914.0,64936.0,64957.0,65000.0,65037.0,65133.0,65285.0,65366.0,65451.0,65506.0,65607.0,65636.0,65695.0,65707.0,65733.0,65753.0,65970.0,66118.0,66162.0,66231.0,66345.0,66407.0,66491.0,66550.0,66653.0,66719.0,66775.0,66815.0,66854.0,66982.0,66999.0,67014.0,67049.0,67067.0,67081.0,67140.0,67173.0,67203.0,67250.0,67281.0,67316.0,67342.0,67365.0,67425.0,67492.0,67543.0,67566.0,67610.0,67660.0,67688.0,67704.0,67738.0,67772.0,67803.0,67838.0,67867.0,67901.0,67938.0,67970.0,68004.0,68041.0,68115.0,68147.0,68171.0,68209.0,68256.0,68271.0,68318.0
5011316,74400.0,74446.0,74495.0,74575.0,74596.0,74639.0,74687.0,74704.0,74730.0,74820.0,74847.0,74865.0,74884.0,74902.0,74941.0,75037.0,75082.0,75129.0,75153.0,75177.0,75213.0,75244.0,75325.0,75434.0,75470.0,75523.0,75558.0,75623.0,75643.0,75685.0,75696.0,75720.0,75738.0,75808.0,75864.0,75933.0,76041.0,76218.0,76314.0,76380.0,76426.0,76507.0,76559.0,76603.0,76638.0,76665.0,76756.0,76773.0,76793.0,76834.0,76851.0,76865.0,76919.0,76950.0,76980.0,77027.0,77058.0,77093.0,77119.0,77142.0,77183.0,77222.0,77274.0,77297.0,77349.0,77394.0,77418.0,77432.0,77465.0,77498.0,77528.0,77562.0,77583.0,77615.0,77649.0,77679.0,77711.0,77746.0,77816.0,77854.0,77882.0,77926.0,77974.0,77989.0,78037.0
5011318,84600.0,84646.0,84695.0,84775.0,84796.0,84839.0,84887.0,84904.0,84930.0,85020.0,85047.0,85065.0,85084.0,85102.0,85141.0,85237.0,85282.0,85329.0,85353.0,85377.0,85413.0,85444.0,85525.0,85634.0,85670.0,85723.0,85758.0,85823.0,85843.0,85885.0,85896.0,85920.0,85938.0,86008.0,86064.0,86133.0,86241.0,86418.0,86514.0,86580.0,86626.0,86707.0,86759.0,86803.0,86838.0,86865.0,86956.0,86973.0,86993.0,87034.0,87051.0,87065.0,87119.0,87150.0,87180.0,87227.0,87258.0,87293.0,87319.0,87342.0,87383.0,87422.0,87474.0,87497.0,87549.0,87594.0,87618.0,87632.0,87665.0,87698.0,87728.0,87762.0,87783.0,87815.0,87849.0,87879.0,87911.0,87946.0,88016.0,88054.0,88082.0,88126.0,88174.0,88189.0,88237.0
5016866,30600.0,30646.0,30695.0,30772.0,30787.0,30842.0,30905.0,30929.0,30966.0,31051.0,31079.0,31097.0,31116.0,31133.0,31179.0,31293.0,31346.0,31403.0,31421.0,31439.0,31485.0,31524.0,31626.0,31729.0,31763.0,31807.0,31836.0,31901.0,31923.0,31967.0,31976.0,31997.0,32014.0,32062.0,32098.0,32204.0,32371.0,32645.0,32794.0,32861.0,32908.0,32990.0,33043.0,33087.0,33114.0,33140.0,33225.0,33242.0,33260.0,33301.0,33318.0,33332.0,33371.0,33393.0,33423.0,33470.0,33501.0,33536.0,33562.0,33586.0,33632.0,33719.0,33779.0,33806.0,33842.0,33900.0,33932.0,33950.0,33987.0,34023.0,34056.0,34093.0,34140.0,34184.0,34231.0,34272.0,34316.0,34364.0,34461.0,34501.0,34530.0,34578.0,34629.0,34645.0,34695.0
5016868,41400.0,41462.0,41528.0,41632.0,41680.0,41746.0,41821.0,41837.0,41862.0,42026.0,42059.0,42080.0,42107.0,42133.0,42186.0,42317.0,42378.0,42442.0,42470.0,42497.0,42546.0,42589.0,42699.0,42840.0,42874.0,42945.0,42991.0,43095.0,43122.0,43176.0,43189.0,43218.0,43238.0,43339.0,43485.0,43545.0,43640.0,43796.0,43880.0,43995.0,44076.0,44217.0,44308.0,44383.0,44433.0,44460.0,44551.0,44570.0,44587.0,44630.0,44650.0,44666.0,44730.0,44767.0,44804.0,44862.0,44900.0,44942.0,44974.0,45003.0,45054.0,45151.0,45208.0,45233.0,45280.0,45330.0,45357.0,45373.0,45411.0,45448.0,45482.0,45520.0,45539.0,45581.0,45626.0,45665.0,45707.0,45753.0,45846.0,45885.0,45914.0,45960.0,46009.0,46024.0,46072.0
5016870,52200.0,52248.0,52299.0,52380.0,52500.0,52528.0,52560.0,52607.0,52680.0,52800.0,52910.0,52980.0,53042.0,53100.0,53120.0,53171.0,53195.0,53220.0,53280.0,53340.0,53384.0,53422.0,53520.0,53580.0,53700.0,53773.0,53820.0,53940.0,53960.0,54000.0,54018.0,54060.0,54240.0,54540.0,54600.0,54618.0,54647.0,54694.0,54720.0,54734.0,54744.0,54761.0,54772.0,54780.0,54840.0,54854.0,54900.0,55020.0,55080.0,55140.0,55200.0,55320.0,55358.0,55380.0,55399.0,55428.0,55447.0,55469.0,55485.0,55500.0,55560.0,55620.0,55662.0,55680.0,55800.0,55864.0,55899.0,55920.0,55935.0,55950.0,55964.0,55980.0,56040.0,56064.0,56091.0,56114.0,56139.0,56166.0,56220.0,56261.0,56291.0,56340.0,56392.0,56408.0,56460.0
5016874,73800.0,73852.0,73908.0,73997.0,74022.0,74062.0,74107.0,74130.0,74164.0,74241.0,74266.0,74282.0,74297.0,74311.0,74349.0,74444.0,74488.0,74536.0,74555.0,74574.0,74612.0,74645.0,74729.0,74829.0,74863.0,74919.0,74955.0,75031.0,75056.0,75108.0,75119.0,75144.0,75164.0,75227.0,75282.0,75312.0,75360.0,75438.0,75481.0,75539.0,75580.0,75652.0,75698.0,75737.0,75774.0,75803.0,75899.0,75915.0,75931.0,75969.0,75985.0,75998.0,76041.0,76065.0,76099.0,76152.0,76186.0,76225.0,76255.0,76281.0,76332.0,76414.0,76472.0,76497.0,76534.0,76581.0,76607.0,76622.0,76664.0,76705.0,76743.0,76786.0,76812.0,76847.0,76885.0,76918.0,76953.0,76992.0,77070.0,77108.0,77136.0,77181.0,77228.0,77243.0,77290.0
5016876,84600.0,84652.0,84708.0,84797.0,84822.0,84862.0,84907.0,84930.0,84964.0,85041.0,85066.0,85082.0,85097.0,85111.0,85149.0,85244.0,85288.0,85336.0,85355.0,85374.0,85412.0,85445.0,85529.0,85629.0,85663.0,85719.0,85755.0,85831.0,85856.0,85908.0,85919.0,85944.0,85964.0,86027.0,86082.0,86112.0,86160.0,86238.0,86281.0,86339.0,86380.0,86452.0,86498.0,86537.0,86574.0,86603.0,86699.0,86715.0,86731.0,86769.0,86785.0,86798.0,86841.0,86865.0,86899.0,86952.0,86986.0,87025.0,87055.0,87081.0,87132.0,87214.0,87272.0,87297.0,87334.0,87381.0,87407.0,87422.0,87464.0,87505.0,87543.0,87586.0,87612.0,87647.0,87685.0,87718.0,87753.0,87792.0,87870.0,87908.0,87936.0,87981.0,88028.0,88043.0,88090.0
5016906,27000.0,27055.0,27113.0,27207.0,27245.0,27308.0,27379.0,27406.0,27448.0,27554.0,27580.0,27596.0,27618.0,27639.0,27688.0,27810.0,27867.0,27928.0,27947.0,27965.0,28016.0,28060.0,28174.0,28299.0,28343.0,28414.0,28460.0,28535.0,28564.0,28622.0,28635.0,28665.0,28701.0,28824.0,28882.0,29022.0,29242.0,29604.0,29799.0,29909.0,29986.0,30121.0,30208.0,30280.0,30350.0,30386.0,30508.0,30525.0,30544.0,30596.0,30612.0,30625.0,30679.0,30710.0,30746.0,30803.0,30840.0,30882.0,30914.0,30941.0,31024.0,31087.0,31138.0,31161.0,31204.0,31253.0,31280.0,31296.0,31341.0,31385.0,31425.0,31469.0,31491.0,31532.0,31576.0,31614.0,31655.0,31701.0,31793.0,31835.0,31866.0,31916.0,31967.0,31983.0,32034.0
5016908,38400.0,38460.0,38524.0,38625.0,38662.0,38718.0,38781.0,38801.0,38831.0,38956.0,38988.0,39009.0,39034.0,39057.0,39112.0,39249.0,39313.0,39381.0,39405.0,39428.0,39466.0,39499.0,39585.0,39697.0,39750.0,39811.0,39851.0,39926.0,39952.0,40006.0,40019.0,40048.0,40078.0,40153.0,40246.0,40299.0,40382.0,40519.0,40594.0,40686.0,40751.0,40864.0,40937.0,40997.0,41042.0,41075.0,41185.0,41205.0,41224.0,41272.0,41291.0,41310.0,41372.0,41407.0,41442.0,41496.0,41531.0,41571.0,41601.0,41627.0,41703.0,41787.0,41858.0,41890.0,41932.0,41984.0,42013.0,42029.0,42073.0,42116.0,42156.0,42201.0,42232.0,42279.0,42330.0,42374.0,42421.0,42473.0,42576.0,42622.0,42656.0,42710.0,42762.0,42778.0,42830.0
5016910,49200.0,49272.0,49349.0,49473.0,49508.0,49579.0,49659.0,49684.0,49722.0,49852.0,49886.0,49908.0,49934.0,49959.0,50005.0,50120.0,50173.0,50230.0,50249.0,50268.0,50304.0,50335.0,50416.0,50603.0,50712.0,50801.0,50858.0,50937.0,50964.0,51020.0,51032.0,51060.0,51078.0,51169.0,51299.0,51336.0,51394.0,51489.0,51540.0,51660.0,51744.0,51890.0,51984.0,52063.0,52103.0,52134.0,52238.0,52255.0,52271.0,52318.0,52336.0,52350.0,52428.0,52473.0,52518.0,52588.0,52634.0,52685.0,52724.0,52758.0,52866.0,52999.0,53064.0,53093.0,53133.0,53193.0,53226.0,53244.0,53284.0,53323.0,53359.0,53398.0,53420.0,53492.0,53570.0,53637.0,53710.0,53790.0,53951.0,53988.0,54015.0,54060.0,54104.0,54118.0,54160.0
5016912,60000.0,60086.0,60178.0,60325.0,60355.0,60411.0,60475.0,60566.0,60705.0,60982.0,61018.0,61041.0,61075.0,61106.0,61207.0,61459.0,61576.0,61701.0,61728.0,61754.0,61811.0,61860.0,61988.0,62240.0,62293.0,62397.0,62465.0,62583.0,62611.0,62667.0,62678.0,62703.0,62742.0,63023.0,63145.0,63194.0,63271.0,63397.0,63465.0,63574.0,63651.0,63785.0,63871.0,63943.0,64000.0,64036.0,64156.0,64173.0,64189.0,64233.0,64250.0,64264.0,64323.0,64357.0,64391.0,64444.0,64479.0,64518.0,64548.0,64574.0,64632.0,64714.0,64777.0,64805.0,64853.0,64914.0,64947.0,64966.0,65011.0,65055.0,65095.0,65140.0,65165.0,65207.0,65252.0,65291.0,65333.0,65380.0,65473.0,65516.0,65548.0,65598.0,65646.0,65661.0,65709.0
5016914,70800.0,70853.0,70910.0,71001.0,71030.0,71070.0,71116.0,71128.0,71147.0,71223.0,71251.0,71269.0,71298.0,71324.0,71363.0,71460.0,71505.0,71554.0,71578.0,71602.0,71638.0,71669.0,71747.0,71860.0,71897.0,71964.0,72007.0,72100.0,72123.0,72169.0,72180.0,72205.0,72225.0,72300.0,72364.0,72543.0,72824.0,73286.0,73535.0,73595.0,73637.0,73711.0,73759.0,73799.0,73840.0,73868.0,73961.0,73978.0,74008.0,74052.0,74077.0,74093.0,74150.0,74183.0,74210.0,74253.0,74281.0,74312.0,74336.0,74357.0,74412.0,74471.0,74522.0,74545.0,74587.0,74640.0,74669.0,74686.0,74720.0,74753.0,74784.0,74818.0,74842.0,74889.0,74940.0,74984.0,75032.0,75085.0,75190.0,75224.0,75249.0,75290.0,75344.0,75361.0,75415.0
5016916,82200.0,82246.0,82295.0,82375.0,82396.0,82439.0,82487.0,82504.0,82530.0,82620.0,82647.0,82665.0,82684.0,82702.0,82741.0,82837.0,82882.0,82929.0,82953.0,82977.0,83013.0,83044.0,83125.0,83234.0,83270.0,83323.0,83358.0,83423.0,83443.0,83485.0,83496.0,83520.0,83538.0,83608.0,83664.0,83733.0,83841.0,84018.0,84114.0,84180.0,84226.0,84307.0,84359.0,84403.0,84438.0,84465.0,84556.0,84573.0,84593.0,84634.0,84651.0,84665.0,84719.0,84750.0,84780.0,84827.0,84858.0,84893.0,84919.0,84942.0,84983.0,85022.0,85074.0,85097.0,85149.0,85194.0,85218.0,85232.0,85265.0,85298.0,85328.0,85362.0,85383.0,85415.0,85449.0,85479.0,85511.0,85546.0,85616.0,85654.0,85682.0,85726.0,85774.0,85789.0,85837.0
5084958,27000.0,27053.0,27109.0,27199.0,27236.0,27297.0,27365.0,27391.0,27431.0,27533.0,27557.0,27573.0,27594.0,27614.0,27661.0,27779.0,27834.0,27892.0,27910.0,27928.0,27977.0,28019.0,28129.0,28249.0,28291.0,28360.0,28404.0,28476.0,28504.0,28560.0,28573.0,28601.0,28636.0,28754.0,28810.0,28945.0,29156.0,29504.0,29692.0,29798.0,29872.0,30002.0,30086.0,30155.0,30222.0,30257.0,30374.0,30390.0,30408.0,30458.0,30473.0,30486.0,30538.0,30568.0,30603.0,30658.0,30693.0,30733.0,30763.0,30790.0,30870.0,30931.0,30980.0,31002.0,31043.0,31090.0,31116.0,31131.0,31174.0,31216.0,31255.0,31297.0,31318.0,31357.0,31400.0,31437.0,31477.0,31521.0,31608.0,31648.0,31678.0,31726.0,31775.0,31790.0,31839.0
5084960,38400.0,38457.0,38518.0,38616.0,38652.0,38705.0,38766.0,38785.0,38814.0,38934.0,38965.0,38985.0,39009.0,39031.0,39084.0,39216.0,39277.0,39343.0,39366.0,39388.0,39425.0,39457.0,39539.0,39647.0,39698.0,39757.0,39795.0,39867.0,39892.0,39944.0,39956.0,39984.0,40013.0,40085.0,40174.0,40225.0,40305.0,40437.0,40509.0,40598.0,40660.0,40769.0,40839.0,40897.0,40940.0,40972.0,41078.0,41097.0,41115.0,41161.0,41179.0,41197.0,41256.0,41290.0,41323.0,41375.0,41409.0,41447.0,41476.0,41502.0,41575.0,41656.0,41725.0,41755.0,41795.0,41845.0,41872.0,41888.0,41930.0,41972.0,42010.0,42053.0,42083.0,42128.0,42177.0,42219.0,42264.0,42314.0,42414.0,42458.0,42491.0,42543.0,42593.0,42609.0,42658.0
5084962,49200.0,49270.0,49344.0,49463.0,49497.0,49565.0,49642.0,49666.0,49703.0,49828.0,49861.0,49882.0,49907.0,49931.0,49975.0,50085.0,50136.0,50192.0,50211.0,50229.0,50264.0,50294.0,50371.0,50551.0,50656.0,50741.0,50796.0,50872.0,50898.0,50952.0,50964.0,50990.0,51007.0,51095.0,51220.0,51255.0,51311.0,51402.0,51452.0,51567.0,51648.0,51789.0,51880.0,51955.0,51993.0,52023.0,52123.0,52139.0,52154.0,52199.0,52216.0,52229.0,52304.0,52347.0,52390.0,52457.0,52501.0,52550.0,52587.0,52621.0,52725.0,52853.0,52915.0,52943.0,52981.0,53038.0,53069.0,53088.0,53126.0,53163.0,53197.0,53236.0,53257.0,53326.0,53401.0,53466.0,53536.0,53613.0,53768.0,53804.0,53830.0,53873.0,53915.0,53928.0,53969.0
5084964,60000.0,60083.0,60171.0,60313.0,60342.0,60396.0,60457.0,60544.0,60678.0,60944.0,60979.0,61001.0,61034.0,61064.0,61161.0,61403.0,61515.0,61636.0,61662.0,61687.0,61742.0,61789.0,61912.0,62154.0,62205.0,62305.0,62370.0,62483.0,62510.0,62564.0,62575.0,62599.0,62637.0,62907.0,63024.0,63071.0,63145.0,63266.0,63332.0,63437.0,63511.0,63640.0,63723.0,63792.0,63847.0,63882.0,63997.0,64013.0,64028.0,64070.0,64086.0,64099.0,64156.0,64188.0,64221.0,64272.0,64305.0,64343.0,64372.0,64397.0,64453.0,64532.0,64593.0,64620.0,64666.0,64725.0,64757.0,64775.0,64818.0,64860.0,64899.0,64942.0,64966.0,65006.0,65050.0,65088.0,65129.0,65174.0,65262.0,65303.0,65333.0,65382.0,65429.0,65443.0,65489.0
5084966,70800.0,70851.0,70906.0,70993.0,71021.0,71060.0,71104.0,71116.0,71134.0,71207.0,71234.0,71251.0,71278.0,71304.0,71342.0,71435.0,71478.0,71525.0,71548.0,71571.0,71605.0,71634.0,71710.0,71819.0,71855.0,71919.0,71961.0,72050.0,72072.0,72116.0,72127.0,72151.0,72170.0,72242.0,72304.0,72476.0,72746.0,73190.0,73430.0,73488.0,73529.0,73600.0,73646.0,73684.0,73723.0,73750.0,73839.0,73855.0,73884.0,73926.0,73950.0,73965.0,74020.0,74052.0,74078.0,74119.0,74146.0,74176.0,74199.0,74219.0,74272.0,74329.0,74378.0,74400.0,74440.0,74491.0,74519.0,74535.0,74568.0,74600.0,74630.0,74662.0,74685.0,74731.0,74780.0,74823.0,74869.0,74920.0,75020.0,75053.0,75077.0,75116.0,75168.0,75184.0,75236.0
5086560,30600.0,30688.0,30781.0,30931.0,30984.0,31045.0,31115.0,31131.0,31156.0,31295.0,31324.0,31342.0,31366.0,31388.0,31450.0,31604.0,31676.0,31753.0,31771.0,31789.0,31837.0,31878.0,31983.0,32141.0,32195.0,32262.0,32305.0,32375.0,32399.0,32449.0,32463.0,32494.0,32524.0,32642.0,32781.0,32822.0,32886.0,32991.0,33047.0,33127.0,33183.0,33281.0,33344.0,33398.0,33444.0,33472.0,33567.0,33584.0,33606.0,33649.0,33667.0,33680.0,33730.0,33759.0,33790.0,33839.0,33871.0,33907.0,33934.0,33958.0,34024.0,34075.0,34125.0,34147.0,34185.0,34235.0,34262.0,34278.0,34312.0,34346.0,34377.0,34412.0,34434.0,34466.0,34501.0,34531.0,34563.0,34599.0,34670.0,34708.0,34736.0,34782.0,34825.0,34838.0,34880.0
5086562,42000.0,42066.0,42137.0,42250.0,42274.0,42328.0,42389.0,42408.0,42438.0,42574.0,42601.0,42619.0,42649.0,42677.0,42730.0,42862.0,42923.0,42990.0,43011.0,43032.0,43070.0,43103.0,43188.0,43301.0,43351.0,43421.0,43466.0,43543.0,43565.0,43610.0,43622.0,43648.0,43678.0,43767.0,43879.0,43919.0,43982.0,44086.0,44143.0,44260.0,44342.0,44485.0,44577.0,44654.0,44710.0,44742.0,44849.0,44865.0,44886.0,44926.0,44941.0,44954.0,45023.0,45063.0,45099.0,45155.0,45191.0,45232.0,45263.0,45290.0,45364.0,45460.0,45522.0,45550.0,45596.0,45647.0,45675.0,45691.0,45733.0,45774.0,45812.0,45854.0,45877.0,45919.0,45965.0,46005.0,46048.0,46095.0,46188.0,46225.0,46252.0,46296.0,46340.0,46354.0,46398.0
5086564,52800.0,52864.0,52932.0,53040.0,53160.0,53216.0,53280.0,53327.0,53400.0,53520.0,53593.0,53640.0,53733.0,53820.0,53840.0,53891.0,53915.0,53940.0,54030.0,54120.0,54179.0,54230.0,54360.0,54420.0,54600.0,54673.0,54720.0,54840.0,54860.0,54900.0,54918.0,54960.0,55200.0,55500.0,55560.0,55588.0,55631.0,55702.0,55740.0,55754.0,55764.0,55781.0,55792.0,55800.0,55860.0,55874.0,55920.0,56040.0,56160.0,56220.0,56280.0,56460.0,56498.0,56520.0,56539.0,56568.0,56587.0,56609.0,56625.0,56640.0,56700.0,56760.0,56802.0,56820.0,57000.0,57064.0,57099.0,57120.0,57135.0,57150.0,57164.0,57180.0,57240.0,57273.0,57308.0,57339.0,57372.0,57408.0,57480.0,57542.0,57587.0,57660.0,57738.0,57762.0,57840.0
5086568,74400.0,74445.0,74492.0,74568.0,74588.0,74629.0,74676.0,74692.0,74717.0,74804.0,74830.0,74847.0,74866.0,74883.0,74920.0,75012.0,75055.0,75101.0,75124.0,75147.0,75182.0,75212.0,75289.0,75394.0,75429.0,75481.0,75514.0,75577.0,75597.0,75637.0,75647.0,75671.0,75688.0,75755.0,75809.0,75875.0,75979.0,76150.0,76242.0,76306.0,76351.0,76429.0,76479.0,76520.0,76554.0,76580.0,76667.0,76683.0,76702.0,76741.0,76757.0,76770.0,76822.0,76852.0,76881.0,76926.0,76956.0,76989.0,77014.0,77037.0,77076.0,77114.0,77164.0,77186.0,77236.0,77279.0,77303.0,77316.0,77348.0,77380.0,77409.0,77441.0,77461.0,77491.0,77524.0,77552.0,77583.0,77617.0,77685.0,77721.0,77748.0,77791.0,77838.0,77852.0,77898.0
5086570,84600.0,84645.0,84692.0,84768.0,84788.0,84829.0,84876.0,84892.0,84917.0,85004.0,85030.0,85047.0,85066.0,85083.0,85120.0,85212.0,85255.0,85301.0,85324.0,85347.0,85382.0,85412.0,85489.0,85594.0,85629.0,85681.0,85714.0,85777.0,85797.0,85837.0,85847.0,85871.0,85888.0,85955.0,86009.0,86075.0,86179.0,86350.0,86442.0,86506.0,86551.0,86629.0,86679.0,86720.0,86754.0,86780.0,86867.0,86883.0,86902.0,86941.0,86957.0,86970.0,87022.0,87052.0,87081.0,87126.0,87156.0,87189.0,87214.0,87237.0,87276.0,87314.0,87364.0,87386.0,87436.0,87479.0,87503.0,87516.0,87548.0,87580.0,87609.0,87641.0,87661.0,87691.0,87724.0,87752.0,87783.0,87817.0,87885.0,87921.0,87948.0,87991.0,88038.0,88052.0,88098.0
5088814,41400.0,41446.0,41495.0,41572.0,41602.0,41644.0,41692.0,41705.0,41726.0,41829.0,41854.0,41870.0,41886.0,41901.0,41929.0,41998.0,42030.0,42064.0,42089.0,42113.0,42151.0,42184.0,42269.0,42382.0,42421.0,42482.0,42521.0,42588.0,42612.0,42661.0,42674.0,42703.0,42719.0,42832.0,42896.0,43001.0,43165.0,43435.0,43581.0,43657.0,43710.0,43803.0,43863.0,43914.0,43958.0,43988.0,44087.0,44102.0,44116.0,44155.0,44170.0,44183.0,44245.0,44280.0,44310.0,44356.0,44386.0,44420.0,44446.0,44469.0,44522.0,44571.0,44624.0,44648.0,44682.0,44721.0,44742.0,44755.0,44792.0,44828.0,44861.0,44898.0,44917.0,44947.0,44980.0,45008.0,45038.0,45072.0,45139.0,45171.0,45195.0,45234.0,45274.0,45287.0,45327.0
