tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P
5101561,30600.0,30688.0,30781.0,30931.0,30984.0,31045.0,31115.0,31131.0,31156.0,31295.0,31324.0,31342.0,31366.0,31388.0,31450.0,31604.0,31676.0,31753.0,31771.0,31789.0,31837.0,31878.0,31983.0,32141.0,32195.0,32262.0,32305.0,32375.0,32399.0,32449.0,32463.0,32494.0,32524.0,32642.0,32781.0,32822.0,32886.0,32991.0,33047.0,33127.0,33183.0,33281.0,33344.0,33398.0,33444.0,33472.0,33567.0,33584.0,33606.0,33649.0,33667.0,33680.0,33730.0,33759.0,33790.0,33839.0,33871.0,33907.0,33934.0,33958.0,34024.0,34075.0,34125.0,34147.0,34185.0,34235.0,34262.0,34278.0,34312.0,34346.0,34377.0,34412.0,34434.0,34466.0,34501.0,34531.0,34563.0,34599.0,34670.0,34708.0,34736.0,34782.0,34825.0,34838.0,34880.0
5101567,63600.0,63693.0,63792.0,63951.0,63996.0,64055.0,64122.0,64143.0,64175.0,64345.0,64382.0,64405.0,64434.0,64460.0,64529.0,64700.0,64779.0,64864.0,64885.0,64905.0,64946.0,64982.0,65074.0,65220.0,65298.0,65380.0,65433.0,65530.0,65558.0,65615.0,65626.0,65652.0,65671.0,65880.0,66022.0,66064.0,66131.0,66241.0,66300.0,66381.0,66438.0,66537.0,66601.0,66654.0,66692.0,66729.0,66853.0,66869.0,66883.0,66917.0,66934.0,66947.0,67003.0,67035.0,67064.0,67109.0,67139.0,67172.0,67197.0,67220.0,67278.0,67342.0,67391.0,67413.0,67455.0,67503.0,67529.0,67545.0,67578.0,67611.0,67641.0,67674.0,67702.0,67734.0,67769.0,67799.0,67832.0,67868.0,67940.0,67971.0,67994.0,68030.0,68076.0,68090.0,68135.0
5101569,74400.0,74445.0,74492.0,74568.0,74588.0,74629.0,74676.0,74692.0,74717.0,74804.0,74830.0,74847.0,74866.0,74883.0,74920.0,75012.0,75055.0,75101.0,75124.0,75147.0,75182.0,75212.0,75289.0,75394.0,75429.0,75481.0,75514.0,75577.0,75597.0,75637.0,75647.0,75671.0,75688.0,75755.0,75809.0,75875.0,75979.0,76150.0,76242.0,76306.0,76351.0,76429.0,76479.0,76520.0,76554.0,76580.0,76667.0,76683.0,76702.0,76741.0,76757.0,76770.0,76822.0,76852.0,76881.0,76926.0,76956.0,76989.0,77014.0,77037.0,77076.0,77114.0,77164.0,77186.0,77236.0,77279.0,77303.0,77316.0,77348.0,77380.0,77409.0,77441.0,77461.0,77491.0,77524.0,77552.0,77583.0,77617.0,77685.0,77721.0,77748.0,77791.0,77838.0,77852.0,77898.0
5101571,84600.0,84645.0,84692.0,84768.0,84788.0,84829.0,84876.0,84892.0,84917.0,85004.0,85030.0,85047.0,85066.0,85083.0,85120.0,85212.0,85255.0,85301.0,85324.0,85347.0,85382.0,85412.0,85489.0,85594.0,85629.0,85681.0,85714.0,85777.0,85797.0,85837.0,85847.0,85871.0,85888.0,85955.0,86009.0,86075.0,86179.0,86350.0,86442.0,86506.0,86551.0,86629.0,86679.0,86720.0,86754.0,86780.0,86867.0,86883.0,86902.0,86941.0,86957.0,86970.0,87022.0,87052.0,87081.0,87126.0,87156.0,87189.0,87214.0,87237.0,87276.0,87314.0,87364.0,87386.0,87436.0,87479.0,87503.0,87516.0,87548.0,87580.0,87609.0,87641.0,87661.0,87691.0,87724.0,87752.0,87783.0,87817.0,87885.0,87921.0,87948.0,87991.0,88038.0,88052.0,88098.0
5110456,27000.0,27053.0,27109.0,27199.0,27236.0,27297.0,27365.0,27391.0,27431.0,27533.0,27557.0,27573.0,27594.0,27614.0,27661.0,27779.0,27834.0,27892.0,27910.0,27928.0,27977.0,28019.0,28129.0,28249.0,28291.0,28360.0,28404.0,28476.0,28504.0,28560.0,28573.0,28601.0,28636.0,28754.0,28810.0,28945.0,29156.0,29504.0,29692.0,29798.0,29872.0,30002.0,30086.0,30155.0,30222.0,30257.0,30374.0,30390.0,30408.0,30458.0,30473.0,30486.0,30538.0,30568.0,30603.0,30658.0,30693.0,30733.0,30763.0,30790.0,30870.0,30931.0,30980.0,31002.0,31043.0,31090.0,31116.0,31131.0,31174.0,31216.0,31255.0,31297.0,31318.0,31357.0,31400.0,31437.0,31477.0,31521.0,31608.0,31648.0,31678.0,31726.0,31775.0,31790.0,31839.0
5110466,82200.0,82245.0,82292.0,82368.0,82388.0,82429.0,82476.0,82492.0,82517.0,82604.0,82630.0,82647.0,82666.0,82683.0,82720.0,82812.0,82855.0,82901.0,82924.0,82947.0,82982.0,83012.0,83089.0,83194.0,83229.0,83281.0,83314.0,83377.0,83397.0,83437.0,83447.0,83471.0,83488.0,83555.0,83609.0,83675.0,83779.0,83950.0,84042.0,84106.0,84151.0,84229.0,84279.0,84320.0,84354.0,84380.0,84467.0,84483.0,84502.0,84541.0,84557.0,84570.0,84622.0,84652.0,84681.0,84726.0,84756.0,84789.0,84814.0,84837.0,84876.0,84914.0,84964.0,84986.0,85036.0,85079.0,85103.0,85116.0,85148.0,85180.0,85209.0,85241.0,85261.0,85291.0,85324.0,85352.0,85383.0,85417.0,85485.0,85521.0,85548.0,85591.0,85638.0,85652.0,85698.0
5116424,23400.0,23447.0,23498.0,23579.0,23599.0,23631.0,23668.0,23681.0,23700.0,23747.0,23770.0,23785.0,23803.0,23820.0,23855.0,23943.0,23984.0,24027.0,24045.0,24063.0,24097.0,24126.0,24202.0,24305.0,24336.0,24385.0,24417.0,24484.0,24509.0,24559.0,24570.0,24596.0,24615.0,24679.0,24732.0,24875.0,25099.0,25468.0,25668.0,25722.0,25760.0,25826.0,25868.0,25903.0,25939.0,25965.0,26053.0,26068.0,26083.0,26119.0,26134.0,26147.0,26197.0,26225.0,26250.0,26288.0,26313.0,26341.0,26362.0,26381.0,26422.0,26468.0,26517.0,26539.0,26574.0,26611.0,26631.0,26642.0,26673.0,26704.0,26732.0,26764.0,26787.0,26818.0,26851.0,26880.0,26911.0,26945.0,27012.0,27055.0,27087.0,27139.0,27193.0,27210.0,27264.0
5116426,34800.0,34882.0,34969.0,35109.0,35144.0,35200.0,35264.0,35278.0,35300.0,35405.0,35433.0,35451.0,35473.0,35493.0,35531.0,35627.0,35671.0,35719.0,35741.0,35763.0,35800.0,35832.0,35915.0,36042.0,36084.0,36139.0,36174.0,36242.0,36269.0,36324.0,36335.0,36361.0,36378.0,36439.0,36541.0,36599.0,36690.0,36839.0,36919.0,37004.0,37063.0,37167.0,37234.0,37289.0,37333.0,37359.0,37447.0,37463.0,37478.0,37517.0,37537.0,37550.0,37608.0,37641.0,37669.0,37713.0,37741.0,37773.0,37797.0,37819.0,37873.0,37929.0,37989.0,38016.0,38052.0,38098.0,38123.0,38138.0,38169.0,38200.0,38228.0,38260.0,38282.0,38317.0,38355.0,38387.0,38422.0,38461.0,38537.0,38576.0,38605.0,38652.0,38699.0,38714.0,38761.0
5116428,45600.0,45666.0,45737.0,45850.0,45874.0,45928.0,45989.0,46008.0,46038.0,46174.0,46201.0,46219.0,46249.0,46277.0,46330.0,46462.0,46523.0,46590.0,46611.0,46632.0,46670.0,46703.0,46788.0,46901.0,46951.0,47021.0,47066.0,47143.0,47165.0,47210.0,47222.0,47248.0,47278.0,47367.0,47479.0,47519.0,47582.0,47686.0,47743.0,47860.0,47942.0,48085.0,48177.0,48254.0,48310.0,48342.0,48449.0,48465.0,48486.0,48526.0,48541.0,48554.0,48623.0,48663.0,48699.0,48755.0,48791.0,48832.0,48863.0,48890.0,48964.0,49060.0,49122.0,49150.0,49196.0,49247.0,49275.0,49291.0,49333.0,49374.0,49412.0,49454.0,49477.0,49519.0,49565.0,49605.0,49648.0,49695.0,49788.0,49825.0,49852.0,49896.0,49940.0,49954.0,49998.0
5116434,78600.0,78645.0,78692.0,78768.0,78788.0,78829.0,78876.0,78892.0,78917.0,79004.0,79030.0,79047.0,79066.0,79083.0,79120.0,79212.0,79255.0,79301.0,79324.0,79347.0,79382.0,79412.0,79489.0,79594.0,79629.0,79681.0,79714.0,79777.0,79797.0,79837.0,79847.0,79871.0,79888.0,79955.0,80009.0,80075.0,80179.0,80350.0,80442.0,80506.0,80551.0,80629.0,80679.0,80720.0,80754.0,80780.0,80867.0,80883.0,80902.0,80941.0,80957.0,80970.0,81022.0,81052.0,81081.0,81126.0,81156.0,81189.0,81214.0,81237.0,81276.0,81314.0,81364.0,81386.0,81436.0,81479.0,81503.0,81516.0,81548.0,81580.0,81609.0,81641.0,81661.0,81691.0,81724.0,81752.0,81783.0,81817.0,81885.0,81921.0,81948.0,81991.0,82038.0,82052.0,82098.0
