tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P
5004440,27000.0,27051.0,27131.0,27176.0,27267.0,27333.0,27392.0,27448.0,27484.0,27520.0,27562.0,27825.0,27995.0,28032.0,28072.0,28121.0,28191.0,28249.0,28364.0,28559.0,28690.0,28764.0,28806.0,28979.0,29033.0,29128.0,29276.0,29356.0,29434.0,29510.0,29569.0,29613.0,29674.0,29726.0
5004442,34200.0,34252.0,34333.0,34379.0,34472.0,34540.0,34596.0,34649.0,34688.0,34727.0,34766.0,35005.0,35159.0,35193.0,35224.0,35262.0,35317.0,35362.0,35452.0,35605.0,35709.0,35783.0,35815.0,35946.0,35999.0,36091.0,36236.0,36315.0,36393.0,36469.0,36528.0,36572.0,36633.0,36685.0
5004768,28800.0,28838.0,28898.0,28931.0,28999.0,29049.0,29089.0,29128.0,29154.0,29181.0,29208.0,29374.0,29481.0,29504.0,29523.0,29546.0,29580.0,29608.0,29663.0,29756.0,29819.0,29856.0,29875.0,29951.0,29983.0,30039.0,30126.0,30182.0,30256.0,30328.0,30384.0,30426.0,30484.0,30533.0
5004769,39600.0,39660.0,39753.0,39805.0,39911.0,39987.0,40049.0,40108.0,40148.0,40188.0,40233.0,40514.0,40695.0,40735.0,40768.0,40809.0,40868.0,40916.0,41012.0,41176.0,41287.0,41364.0,41402.0,41557.0,41602.0,41681.0,41805.0,41883.0,41961.0,42037.0,42096.0,42140.0,42201.0,42253.0
5004771,46800.0,46860.0,46953.0,47005.0,47111.0,47187.0,47249.0,47308.0,47348.0,47388.0,47433.0,47714.0,47895.0,47935.0,47968.0,48009.0,48068.0,48116.0,48212.0,48376.0,48487.0,48564.0,48602.0,48757.0,48802.0,48881.0,49005.0,49083.0,49161.0,49237.0,49296.0,49340.0,49401.0,49453.0
5004772,55800.0,55857.0,55945.0,55994.0,56095.0,56169.0,56245.0,56317.0,56360.0,56403.0,56462.0,56827.0,57063.0,57115.0,57145.0,57182.0,57234.0,57277.0,57363.0,57509.0,57607.0,57694.0,57725.0,57852.0,57894.0,57968.0,58085.0,58158.0,58236.0,58312.0,58371.0,58415.0,58476.0,58528.0
5004774,63000.0,63049.0,63126.0,63169.0,63257.0,63320.0,63379.0,63435.0,63468.0,63502.0,63554.0,63874.0,64081.0,64126.0,64153.0,64187.0,64236.0,64276.0,64356.0,64492.0,64583.0,64662.0,64697.0,64840.0,64873.0,64930.0,65020.0,65098.0,65176.0,65252.0,65311.0,65355.0,65416.0,65468.0
5004777,79200.0,79245.0,79315.0,79354.0,79434.0,79492.0,79542.0,79590.0,79615.0,79641.0,79671.0,79860.0,79982.0,80010.0,80030.0,80054.0,80089.0,80118.0,80175.0,80272.0,80336.0,80384.0,80407.0,80500.0,80533.0,80590.0,80679.0,80741.0,80817.0,80892.0,80950.0,80993.0,81053.0,81104.0
5004779,84600.0,84645.0,84715.0,84754.0,84834.0,84892.0,84942.0,84990.0,85015.0,85041.0,85071.0,85260.0,85382.0,85410.0,85430.0,85454.0,85489.0,85518.0,85575.0,85672.0,85736.0,85784.0,85807.0,85900.0,85933.0,85990.0,86079.0,86141.0,86217.0,86292.0,86350.0,86393.0,86453.0,86504.0
5005131,43200.0,43270.0,43379.0,43440.0,43564.0,43654.0,43715.0,43773.0,43824.0,43875.0,43916.0,44173.0,44339.0,44375.0,44406.0,44444.0,44499.0,44544.0,44634.0,44787.0,44891.0,44966.0,44998.0,45126.0,45179.0,45272.0,45419.0,45497.0,45575.0,45651.0,45710.0,45754.0,45815.0,45867.0
5005133,50400.0,50470.0,50579.0,50640.0,50764.0,50854.0,50915.0,50973.0,51024.0,51075.0,51116.0,51373.0,51539.0,51575.0,51606.0,51644.0,51699.0,51744.0,51834.0,51987.0,52091.0,52166.0,52198.0,52326.0,52379.0,52472.0,52619.0,52697.0,52775.0,52851.0,52910.0,52954.0,53015.0,53067.0
5005134,56400.0,56470.0,56579.0,56640.0,56765.0,56856.0,56928.0,56996.0,57054.0,57113.0,57155.0,57414.0,57581.0,57617.0,57647.0,57684.0,57737.0,57781.0,57868.0,58016.0,58116.0,58197.0,58235.0,58392.0,58457.0,58570.0,58748.0,58827.0,58905.0,58981.0,59040.0,59084.0,59145.0,59197.0
5005136,64800.0,64865.0,64966.0,65023.0,65139.0,65222.0,65352.0,65477.0,65532.0,65587.0,65626.0,65867.0,66022.0,66056.0,66083.0,66117.0,66165.0,66204.0,66282.0,66416.0,66506.0,66567.0,66592.0,66694.0,66738.0,66815.0,66936.0,67013.0,67091.0,67167.0,67226.0,67270.0,67331.0,67383.0
5005137,73800.0,73836.0,73891.0,73922.0,73985.0,74031.0,74076.0,74119.0,74145.0,74172.0,74204.0,74401.0,74528.0,74555.0,74575.0,74599.0,74634.0,74663.0,74720.0,74817.0,74881.0,74924.0,74943.0,75018.0,75049.0,75103.0,75187.0,75255.0,75328.0,75399.0,75454.0,75495.0,75552.0,75601.0
5005139,79200.0,79236.0,79291.0,79322.0,79385.0,79431.0,79476.0,79519.0,79545.0,79572.0,79604.0,79801.0,79928.0,79955.0,79975.0,79999.0,80034.0,80063.0,80120.0,80217.0,80281.0,80324.0,80343.0,80418.0,80449.0,80503.0,80587.0,80655.0,80728.0,80799.0,80854.0,80895.0,80952.0,81001.0
5005141,84600.0,84636.0,84691.0,84722.0,84785.0,84831.0,84876.0,84919.0,84945.0,84972.0,85004.0,85201.0,85328.0,85355.0,85375.0,85399.0,85434.0,85463.0,85520.0,85617.0,85681.0,85724.0,85743.0,85818.0,85849.0,85903.0,85987.0,86055.0,86128.0,86199.0,86254.0,86295.0,86352.0,86401.0
5005410,28200.0,28251.0,28331.0,28376.0,28467.0,28533.0,28592.0,28648.0,28684.0,28720.0,28762.0,29025.0,29195.0,29232.0,29272.0,29321.0,29391.0,29449.0,29564.0,29759.0,29890.0,29964.0,30006.0,30179.0,30233.0,30328.0,30476.0,30556.0,30634.0,30710.0,30769.0,30813.0,30874.0,30926.0
5005412,36000.0,36052.0,36133.0,36179.0,36272.0,36340.0,36396.0,36449.0,36488.0,36527.0,36566.0,36805.0,36959.0,36993.0,37024.0,37062.0,37117.0,37162.0,37252.0,37405.0,37509.0,37583.0,37615.0,37746.0,37799.0,37891.0,38036.0,38115.0,38193.0,38269.0,38328.0,38372.0,38433.0,38485.0
5005414,55200.0,55270.0,55379.0,55440.0,55565.0,55656.0,55728.0,55796.0,55854.0,55913.0,55955.0,56214.0,56381.0,56417.0,56447.0,56484.0,56537.0,56581.0,56668.0,56816.0,56916.0,56997.0,57035.0,57192.0,57257.0,57370.0,57548.0,57627.0,57705.0,57781.0,57840.0,57884.0,57945.0,57997.0
5005416,63600.0,63665.0,63766.0,63823.0,63939.0,64022.0,64152.0,64277.0,64332.0,64387.0,64426.0,64667.0,64822.0,64856.0,64883.0,64917.0,64965.0,65004.0,65082.0,65216.0,65306.0,65367.0,65392.0,65494.0,65538.0,65615.0,65736.0,65813.0,65891.0,65967.0,66026.0,66070.0,66131.0,66183.0
5005418,70200.0,70248.0,70322.0,70363.0,70448.0,70509.0,70555.0,70599.0,70638.0,70678.0,70714.0,70940.0,71086.0,71119.0,71143.0,71173.0,71216.0,71251.0,71321.0,71441.0,71522.0,71581.0,71605.0,71703.0,71738.0,71799.0,71896.0,71968.0,72046.0,72122.0,72180.0,72224.0,72285.0,72337.0
5005757,75600.0,75636.0,75691.0,75722.0,75785.0,75831.0,75876.0,75919.0,75945.0,75972.0,76004.0,76201.0,76328.0,76355.0,76375.0,76399.0,76434.0,76463.0,76520.0,76617.0,76681.0,76724.0,76743.0,76818.0,76849.0,76903.0,76987.0,77055.0,77128.0,77199.0,77254.0,77295.0,77352.0,77401.0
5005759,81000.0,81036.0,81091.0,81122.0,81185.0,81231.0,81276.0,81319.0,81345.0,81372.0,81404.0,81601.0,81728.0,81755.0,81775.0,81799.0,81834.0,81863.0,81920.0,82017.0,82081.0,82124.0,82143.0,82218.0,82249.0,82303.0,82387.0,82455.0,82528.0,82599.0,82654.0,82695.0,82752.0,82801.0
5006477,31800.0,31865.0,31966.0,32022.0,32137.0,32221.0,32279.0,32334.0,32373.0,32413.0,32450.0,32678.0,32825.0,32858.0,32888.0,32925.0,32977.0,33020.0,33106.0,33252.0,33350.0,33409.0,33437.0,33550.0,33591.0,33663.0,33775.0,33835.0,33913.0,33989.0,34048.0,34092.0,34153.0,34205.0
5006478,48600.0,48670.0,48779.0,48840.0,48964.0,49054.0,49115.0,49173.0,49224.0,49275.0,49316.0,49573.0,49739.0,49775.0,49806.0,49844.0,49899.0,49944.0,50034.0,50187.0,50291.0,50366.0,50398.0,50526.0,50579.0,50672.0,50819.0,50897.0,50975.0,51051.0,51110.0,51154.0,51215.0,51267.0
5006480,61200.0,61275.0,61391.0,61456.0,61589.0,61686.0,61813.0,61935.0,61996.0,62057.0,62100.0,62364.0,62535.0,62572.0,62603.0,62641.0,62696.0,62741.0,62831.0,62984.0,63087.0,63163.0,63197.0,63335.0,63388.0,63481.0,63628.0,63713.0,63791.0,63867.0,63926.0,63970.0,64031.0,64083.0
5006482,68400.0,68448.0,68522.0,68563.0,68648.0,68709.0,68755.0,68799.0,68838.0,68878.0,68914.0,69140.0,69286.0,69319.0,69343.0,69373.0,69416.0,69451.0,69521.0,69641.0,69722.0,69781.0,69805.0,69903.0,69938.0,69999.0,70096.0,70168.0,70246.0,70322.0,70380.0,70424.0,70485.0,70537.0
5007015,23400.0,23451.0,23530.0,23574.0,23665.0,23732.0,23780.0,23826.0,23853.0,23880.0,23913.0,24121.0,24255.0,24285.0,24309.0,24339.0,24382.0,24417.0,24487.0,24606.0,24687.0,24741.0,24762.0,24848.0,24881.0,24939.0,25030.0,25105.0,25183.0,25259.0,25318.0,25362.0,25423.0,25475.0
5007017,37800.0,37870.0,37979.0,38040.0,38164.0,38254.0,38315.0,38373.0,38424.0,38475.0,38516.0,38773.0,38939.0,38975.0,39006.0,39044.0,39099.0,39144.0,39234.0,39387.0,39491.0,39566.0,39598.0,39726.0,39779.0,39872.0,40019.0,40097.0,40175.0,40251.0,40310.0,40354.0,40415.0,40467.0
5007019,45000.0,45070.0,45179.0,45240.0,45364.0,45454.0,45515.0,45573.0,45624.0,45675.0,45716.0,45973.0,46139.0,46175.0,46206.0,46244.0,46299.0,46344.0,46434.0,46587.0,46691.0,46766.0,46798.0,46926.0,46979.0,47072.0,47219.0,47297.0,47375.0,47451.0,47510.0,47554.0,47615.0,47667.0
5007021,60000.0,60075.0,60191.0,60256.0,60389.0,60486.0,60613.0,60735.0,60796.0,60857.0,60900.0,61164.0,61335.0,61372.0,61403.0,61441.0,61496.0,61541.0,61631.0,61784.0,61887.0,61963.0,61997.0,62135.0,62188.0,62281.0,62428.0,62513.0,62591.0,62667.0,62726.0,62770.0,62831.0,62883.0
