tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P
0,1184.0,7490.0,497.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,669.0,670.0,671.0,672.0,4382.0,1196.0,1197.0,1198.0,1199.0,1200.0,4385.0,1201.0,1202.0,1203.0,6115.0,4849.0,1205.0,1206.0,1207.0,1208.0,1209.0,1210.0,1211.0,3575.0,3576.0,3577.0,3578.0,3579.0,3580.0,3640.0,3574.0,3641.0,3642.0,3643.0,3583.0,3584.0,3585.0,3625.0,3626.0,3627.0,3628.0,6052.0,3613.0,3615.0,3616.0
5084462,33000.0,33097.0,33143.0,33293.0,33408.0,33438.0,33475.0,33497.0,33528.0,33546.0,33557.0,33591.0,33625.0,33651.0,33692.0,33713.0,33793.0,33831.0,33897.0,33948.0,33979.0,34020.0,34080.0,34126.0,34189.0,34237.0,34277.0,34292.0,34393.0,34419.0,34455.0,34476.0,34492.0,34514.0,34543.0,34581.0,34614.0,34679.0,34712.0,34736.0,34788.0,34859.0,34942.0,34980.0,35110.0,35171.0,35194.0,35254.0,35335.0,35383.0,35417.0,35463.0,35631.0,35653.0,35674.0,35739.0
5084464,40200.0,40333.0,40381.0,40539.0,40659.0,40695.0,40740.0,40763.0,40796.0,40815.0,40832.0,40884.0,40935.0,40960.0,41000.0,41020.0,41092.0,41127.0,41195.0,41244.0,41274.0,41307.0,41355.0,41392.0,41458.0,41520.0,41552.0,41571.0,41697.0,41720.0,41753.0,41772.0,41787.0,41811.0,41841.0,41876.0,41906.0,41965.0,41995.0,42030.0,42094.0,42181.0,42282.0,42329.0,42488.0,42563.0,42587.0,42674.0,42789.0,42830.0,42859.0,42897.0,43058.0,43079.0,43100.0,43161.0
5085814,34200.0,34324.0,34348.0,34427.0,34488.0,34531.0,34584.0,34613.0,34654.0,34678.0,34695.0,34745.0,34794.0,34820.0,34861.0,34882.0,34945.0,34975.0,35042.0,35095.0,35127.0,35166.0,35223.0,35266.0,35320.0,35382.0,35423.0,35440.0,35554.0,35582.0,35623.0,35639.0,35651.0,35675.0,35707.0,35745.0,35773.0,35827.0,35854.0,35879.0,35937.0,36016.0,36108.0,36151.0,36295.0,36363.0,36378.0,36449.0,36544.0,36583.0,36611.0,36648.0,36809.0,36830.0,36851.0,36913.0
5085816,43200.0,43336.0,43363.0,43450.0,43517.0,43560.0,43612.0,43640.0,43680.0,43705.0,43724.0,43781.0,43837.0,43870.0,43922.0,43948.0,44028.0,44067.0,44150.0,44218.0,44259.0,44303.0,44367.0,44416.0,44486.0,44550.0,44600.0,44620.0,44756.0,44783.0,44821.0,44843.0,44859.0,44888.0,44926.0,44964.0,44994.0,45053.0,45084.0,45108.0,45171.0,45257.0,45357.0,45403.0,45560.0,45634.0,45650.0,45728.0,45833.0,45877.0,45908.0,45951.0,46132.0,46155.0,46178.0,46249.0
5085818,52200.0,52361.0,52390.0,52484.0,52556.0,52604.0,52662.0,52693.0,52737.0,52763.0,52786.0,52857.0,52926.0,52962.0,53020.0,53049.0,53130.0,53169.0,53272.0,53340.0,53381.0,53428.0,53497.0,53550.0,53629.0,53701.0,53744.0,53765.0,53905.0,53932.0,53971.0,53990.0,54005.0,54027.0,54056.0,54093.0,54120.0,54173.0,54200.0,54224.0,54283.0,54364.0,54458.0,54501.0,54648.0,54717.0,54737.0,54808.0,54903.0,54949.0,54982.0,55026.0,55211.0,55235.0,55259.0,55330.0
5085820,60600.0,60804.0,60841.0,60963.0,61056.0,61109.0,61173.0,61209.0,61260.0,61291.0,61325.0,61427.0,61527.0,61560.0,61613.0,61640.0,61731.0,61774.0,61855.0,61925.0,61967.0,62012.0,62078.0,62128.0,62224.0,62300.0,62345.0,62365.0,62500.0,62526.0,62564.0,62586.0,62602.0,62628.0,62661.0,62701.0,62735.0,62801.0,62834.0,62858.0,62924.0,63015.0,63120.0,63169.0,63334.0,63412.0,63434.0,63518.0,63629.0,63674.0,63706.0,63749.0,63929.0,63952.0,63975.0,64044.0
5085822,69300.0,69467.0,69502.0,69617.0,69705.0,69750.0,69806.0,69841.0,69890.0,69920.0,69943.0,70013.0,70082.0,70110.0,70154.0,70176.0,70256.0,70294.0,70357.0,70412.0,70445.0,70486.0,70546.0,70592.0,70655.0,70718.0,70760.0,70776.0,70879.0,70905.0,70941.0,70960.0,70974.0,70996.0,71024.0,71062.0,71090.0,71145.0,71173.0,71195.0,71253.0,71332.0,71424.0,71466.0,71609.0,71676.0,71695.0,71774.0,71879.0,71919.0,71947.0,71985.0,72152.0,72173.0,72194.0,72259.0
5085824,76500.0,76609.0,76633.0,76713.0,76774.0,76809.0,76852.0,76876.0,76910.0,76930.0,76946.0,76994.0,77040.0,77065.0,77104.0,77123.0,77187.0,77217.0,77274.0,77317.0,77342.0,77375.0,77423.0,77460.0,77515.0,77567.0,77603.0,77617.0,77713.0,77736.0,77770.0,77786.0,77798.0,77819.0,77846.0,77881.0,77903.0,77947.0,77969.0,77991.0,78044.0,78117.0,78202.0,78241.0,78374.0,78436.0,78454.0,78515.0,78597.0,78636.0,78664.0,78701.0,78873.0,78895.0,78917.0,78984.0
5085826,84600.0,84709.0,84733.0,84813.0,84874.0,84909.0,84952.0,84976.0,85010.0,85030.0,85046.0,85094.0,85140.0,85165.0,85204.0,85223.0,85287.0,85317.0,85374.0,85417.0,85442.0,85475.0,85523.0,85560.0,85615.0,85667.0,85703.0,85717.0,85813.0,85836.0,85870.0,85886.0,85898.0,85919.0,85946.0,85981.0,86003.0,86047.0,86069.0,86091.0,86144.0,86217.0,86302.0,86341.0,86474.0,86536.0,86554.0,86615.0,86697.0,86736.0,86764.0,86801.0,86973.0,86995.0,87017.0,87084.0
5087654,49200.0,49333.0,49381.0,49539.0,49659.0,49695.0,49740.0,49763.0,49796.0,49815.0,49832.0,49884.0,49935.0,49960.0,50000.0,50020.0,50092.0,50127.0,50195.0,50244.0,50274.0,50307.0,50355.0,50392.0,50458.0,50520.0,50552.0,50571.0,50697.0,50720.0,50753.0,50772.0,50787.0,50811.0,50841.0,50876.0,50906.0,50965.0,50995.0,51030.0,51094.0,51181.0,51282.0,51329.0,51488.0,51563.0,51587.0,51674.0,51789.0,51830.0,51859.0,51897.0,52058.0,52079.0,52100.0,52161.0
5087656,58200.0,58343.0,58368.0,58452.0,58516.0,58572.0,58641.0,58671.0,58713.0,58739.0,58748.0,58775.0,58801.0,58835.0,58888.0,58915.0,59006.0,59049.0,59099.0,59154.0,59187.0,59237.0,59309.0,59365.0,59422.0,59479.0,59519.0,59538.0,59668.0,59687.0,59714.0,59730.0,59742.0,59757.0,59777.0,59818.0,59841.0,59886.0,59909.0,59947.0,59995.0,60060.0,60136.0,60171.0,60290.0,60345.0,60369.0,60442.0,60539.0,60583.0,60614.0,60657.0,60816.0,60836.0,60856.0,60918.0
5087658,66900.0,67026.0,67052.0,67136.0,67200.0,67237.0,67282.0,67303.0,67333.0,67351.0,67367.0,67416.0,67464.0,67486.0,67521.0,67538.0,67613.0,67649.0,67699.0,67751.0,67782.0,67827.0,67893.0,67944.0,67999.0,68065.0,68106.0,68123.0,68239.0,68268.0,68309.0,68324.0,68335.0,68354.0,68379.0,68414.0,68433.0,68471.0,68490.0,68508.0,68562.0,68636.0,68722.0,68762.0,68896.0,68958.0,68973.0,69031.0,69109.0,69152.0,69182.0,69222.0,69385.0,69406.0,69427.0,69490.0
