tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P
0,395.0,396.0,397.0,398.0,399.0,400.0,4522.0,1934.0,2310.0,2311.0,2312.0,2313.0,2314.0,2315.0,2094.0,1406.0,1407.0,1409.0,2095.0,2096.0,2097.0,2099.0,2101.0,2102.0,2103.0,2332.0,2333.0,2334.0,4662.0,2335.0,2336.0,2337.0,2339.0,2420.0,2421.0,2423.0,2424.0,2447.0,5133.0,2596.0,2611.0,2602.0,2613.0,2614.0,2615.0,2535.0,2536.0,2616.0,2617.0,2557.0,4436.0,5008.0,4640.0,4347.0,2349.0,2351.0,2558.0,2559.0,2560.0,2561.0,2562.0,2564.0,4927.0,4928.0,2352.0,2573.0,2574.0,2575.0,4929.0,7460.0,4930.0,4931.0,7459.0
5002670,66600.0,66689.0,66739.0,66789.0,66830.0,66904.0,67229.0,67347.0,67502.0,67616.0,67706.0,67755.0,67780.0,67830.0,67905.0,67975.0,68020.0,68061.0,68122.0,68171.0,68211.0,68298.0,68319.0,68412.0,68475.0,68502.0,68563.0,68595.0,68646.0,68663.0,68692.0,68719.0,68762.0,68801.0,68849.0,68885.0,68941.0,68977.0,69015.0,69052.0,69130.0,69186.0,69233.0,69265.0,69326.0,69385.0,69437.0,69485.0,69541.0,69595.0,69669.0,69740.0,69817.0,69924.0,69977.0,70061.0,70124.0,70225.0,70270.0,70325.0,70364.0,70405.0,70440.0,70465.0,70531.0,70607.0,70632.0,70707.0,70758.0,70781.0,70845.0,70876.0,70904.0
5002671,79200.0,79266.0,79303.0,79339.0,79368.0,79421.0,79687.0,79813.0,79977.0,80087.0,80140.0,80169.0,80189.0,80229.0,80295.0,80351.0,80388.0,80422.0,80469.0,80508.0,80535.0,80601.0,80617.0,80687.0,80731.0,80750.0,80794.0,80822.0,80868.0,80884.0,80911.0,80938.0,80979.0,81016.0,81063.0,81099.0,81154.0,81188.0,81223.0,81255.0,81323.0,81372.0,81413.0,81441.0,81491.0,81539.0,81577.0,81612.0,81652.0,81691.0,81744.0,81795.0,81850.0,81927.0,81963.0,82020.0,82072.0,82155.0,82192.0,82237.0,82269.0,82303.0,82332.0,82352.0,82406.0,82467.0,82488.0,82553.0,82598.0,82618.0,82673.0,82700.0,82724.0
5003737,64500.0,64593.0,64644.0,64711.0,64766.0,64865.0,65205.0,65321.0,65472.0,65621.0,65712.0,65762.0,65796.0,65866.0,65962.0,66050.0,66111.0,66165.0,66243.0,66307.0,66350.0,66450.0,66474.0,66580.0,66657.0,66690.0,66765.0,66812.0,66888.0,66915.0,66960.0,67012.0,67076.0,67126.0,67178.0,67217.0,67277.0,67318.0,67360.0,67403.0,67494.0,67560.0,67615.0,67653.0,67757.0,67858.0,67913.0,67964.0,68024.0,68081.0,68159.0,68234.0,68316.0,68430.0,68486.0,68575.0,68646.0,68760.0,68811.0,68872.0,68916.0,68962.0,69001.0,69029.0,69101.0,69183.0,69210.0,69289.0,69343.0,69367.0,69434.0,69467.0,69498.0
5003739,75600.0,75668.0,75706.0,75745.0,75777.0,75834.0,76053.0,76162.0,76304.0,76406.0,76473.0,76510.0,76534.0,76582.0,76642.0,76692.0,76732.0,76768.0,76816.0,76855.0,76884.0,76959.0,76977.0,77056.0,77102.0,77121.0,77166.0,77199.0,77252.0,77271.0,77304.0,77335.0,77379.0,77417.0,77465.0,77501.0,77557.0,77593.0,77630.0,77667.0,77744.0,77800.0,77847.0,77879.0,77931.0,77981.0,78024.0,78063.0,78109.0,78153.0,78214.0,78272.0,78335.0,78424.0,78470.0,78543.0,78598.0,78686.0,78725.0,78772.0,78806.0,78842.0,78872.0,78893.0,78950.0,79020.0,79043.0,79110.0,79156.0,79177.0,79234.0,79262.0,79287.0
5003996,30000.0,30089.0,30139.0,30193.0,30238.0,30318.0,30698.0,30786.0,30902.0,31063.0,31157.0,31209.0,31239.0,31299.0,31374.0,31443.0,31503.0,31556.0,31620.0,31672.0,31715.0,31808.0,31830.0,31929.0,31993.0,32020.0,32083.0,32121.0,32183.0,32221.0,32284.0,32348.0,32394.0,32437.0,32480.0,32512.0,32562.0,32602.0,32644.0,32685.0,32772.0,32835.0,32888.0,32925.0,32995.0,33064.0,33116.0,33164.0,33220.0,33274.0,33348.0,33419.0,33496.0,33605.0,33658.0,33742.0,33801.0,33895.0,33937.0,33988.0,34024.0,34062.0,34094.0,34117.0,34178.0,34243.0,34265.0,34337.0,34386.0,34408.0,34469.0,34499.0,34525.0
5003998,42000.0,42073.0,42114.0,42160.0,42198.0,42267.0,42568.0,42684.0,42837.0,42962.0,43055.0,43106.0,43133.0,43188.0,43265.0,43344.0,43404.0,43458.0,43532.0,43593.0,43632.0,43731.0,43755.0,43861.0,43927.0,43955.0,44021.0,44062.0,44129.0,44150.0,44185.0,44222.0,44275.0,44317.0,44366.0,44403.0,44460.0,44497.0,44536.0,44575.0,44658.0,44718.0,44768.0,44803.0,44870.0,44936.0,44995.0,45049.0,45112.0,45172.0,45255.0,45335.0,45421.0,45541.0,45590.0,45668.0,45733.0,45837.0,45883.0,45939.0,45979.0,46021.0,46057.0,46082.0,46149.0,46221.0,46245.0,46323.0,46377.0,46401.0,46467.0,46499.0,46528.0
5004001,67800.0,67893.0,67944.0,68011.0,68066.0,68165.0,68505.0,68621.0,68772.0,68921.0,69012.0,69062.0,69096.0,69166.0,69262.0,69350.0,69411.0,69465.0,69543.0,69607.0,69650.0,69750.0,69774.0,69880.0,69957.0,69990.0,70065.0,70112.0,70188.0,70215.0,70260.0,70312.0,70376.0,70426.0,70478.0,70517.0,70577.0,70618.0,70660.0,70703.0,70794.0,70860.0,70915.0,70953.0,71057.0,71158.0,71213.0,71264.0,71324.0,71381.0,71459.0,71534.0,71616.0,71730.0,71786.0,71875.0,71946.0,72060.0,72111.0,72172.0,72216.0,72262.0,72301.0,72329.0,72401.0,72483.0,72510.0,72589.0,72643.0,72667.0,72734.0,72767.0,72798.0
5004003,79200.0,79268.0,79306.0,79345.0,79377.0,79434.0,79653.0,79762.0,79904.0,80006.0,80073.0,80110.0,80134.0,80182.0,80242.0,80292.0,80332.0,80368.0,80416.0,80455.0,80484.0,80559.0,80577.0,80656.0,80702.0,80721.0,80766.0,80799.0,80852.0,80871.0,80904.0,80935.0,80979.0,81017.0,81065.0,81101.0,81157.0,81193.0,81230.0,81267.0,81344.0,81400.0,81447.0,81479.0,81531.0,81581.0,81624.0,81663.0,81709.0,81753.0,81814.0,81872.0,81935.0,82024.0,82070.0,82143.0,82198.0,82286.0,82325.0,82372.0,82406.0,82442.0,82472.0,82493.0,82550.0,82620.0,82643.0,82710.0,82756.0,82777.0,82834.0,82862.0,82887.0
5004497,21600.0,21659.0,21692.0,21727.0,21756.0,21809.0,21988.0,22059.0,22152.0,22269.0,22341.0,22381.0,22403.0,22448.0,22502.0,22558.0,22598.0,22633.0,22680.0,22718.0,22743.0,22819.0,22837.0,22918.0,22964.0,22984.0,23030.0,23065.0,23123.0,23144.0,23179.0,23239.0,23283.0,23321.0,23362.0,23393.0,23441.0,23474.0,23509.0,23545.0,23620.0,23674.0,23719.0,23750.0,23806.0,23861.0,23907.0,23949.0,23998.0,24045.0,24110.0,24172.0,24240.0,24334.0,24386.0,24468.0,24533.0,24637.0,24683.0,24739.0,24779.0,24821.0,24857.0,24882.0,24948.0,25010.0,25031.0,25112.0,25168.0,25193.0,25262.0,25296.0,25327.0
5004499,32400.0,32489.0,32539.0,32593.0,32638.0,32718.0,33098.0,33186.0,33302.0,33463.0,33557.0,33609.0,33639.0,33699.0,33774.0,33843.0,33903.0,33956.0,34020.0,34072.0,34115.0,34208.0,34230.0,34329.0,34393.0,34420.0,34483.0,34521.0,34583.0,34621.0,34684.0,34748.0,34794.0,34837.0,34880.0,34912.0,34962.0,35002.0,35044.0,35085.0,35172.0,35235.0,35288.0,35325.0,35395.0,35464.0,35516.0,35564.0,35620.0,35674.0,35748.0,35819.0,35896.0,36005.0,36058.0,36142.0,36201.0,36295.0,36337.0,36388.0,36424.0,36462.0,36494.0,36517.0,36578.0,36643.0,36665.0,36737.0,36786.0,36808.0,36869.0,36899.0,36925.0
5004501,44400.0,44480.0,44525.0,44577.0,44620.0,44697.0,44957.0,45076.0,45232.0,45363.0,45457.0,45509.0,45540.0,45603.0,45689.0,45769.0,45834.0,45892.0,45976.0,46044.0,46091.0,46198.0,46224.0,46338.0,46413.0,46445.0,46519.0,46564.0,46637.0,46662.0,46704.0,46752.0,46810.0,46869.0,46919.0,46957.0,47014.0,47056.0,47100.0,47141.0,47228.0,47291.0,47344.0,47380.0,47461.0,47539.0,47599.0,47654.0,47718.0,47779.0,47863.0,47944.0,48032.0,48154.0,48209.0,48295.0,48368.0,48484.0,48536.0,48599.0,48644.0,48691.0,48731.0,48759.0,48834.0,48915.0,48942.0,49024.0,49081.0,49106.0,49176.0,49210.0,49241.0
5004503,56400.0,56493.0,56544.0,56611.0,56666.0,56765.0,57105.0,57221.0,57372.0,57521.0,57612.0,57662.0,57696.0,57766.0,57862.0,57950.0,58011.0,58065.0,58143.0,58207.0,58250.0,58350.0,58374.0,58480.0,58557.0,58590.0,58665.0,58712.0,58788.0,58815.0,58860.0,58912.0,58976.0,59026.0,59078.0,59117.0,59177.0,59218.0,59260.0,59303.0,59394.0,59460.0,59515.0,59553.0,59657.0,59758.0,59813.0,59864.0,59924.0,59981.0,60059.0,60134.0,60216.0,60330.0,60386.0,60475.0,60546.0,60660.0,60711.0,60772.0,60816.0,60862.0,60901.0,60929.0,61001.0,61083.0,61110.0,61189.0,61243.0,61267.0,61334.0,61367.0,61398.0
5004720,47400.0,47464.0,47500.0,47565.0,47619.0,47716.0,47908.0,48017.0,48159.0,48279.0,48348.0,48386.0,48409.0,48457.0,48546.0,48615.0,48662.0,48705.0,48758.0,48802.0,48833.0,48910.0,48929.0,49011.0,49060.0,49081.0,49129.0,49160.0,49211.0,49229.0,49258.0,49286.0,49324.0,49355.0,49402.0,49438.0,49493.0,49528.0,49565.0,49600.0,49673.0,49726.0,49770.0,49799.0,49862.0,49923.0,49971.0,50015.0,50067.0,50117.0,50185.0,50251.0,50322.0,50422.0,50474.0,50557.0,50612.0,50701.0,50741.0,50789.0,50823.0,50859.0,50889.0,50911.0,50967.0,51037.0,51061.0,51135.0,51186.0,51209.0,51272.0,51303.0,51329.0
