tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P
5093732,73200.0,73260.0,73305.0,73380.0,73450.0,73553.0,73560.0,73778.0,73949.0,74017.0,74280.0,74460.0,74483.0,74509.0,74552.0,74580.0,74613.0,74700.0,74734.0,74760.0,74820.0,74880.0,74940.0,74968.0,75000.0,75037.0,75060.0,75120.0,75180.0,75240.0,75297.0,75407.0,75822.0,75840.0,75867.0,75887.0,75919.0,75945.0,75960.0,76080.0,76200.0,76320.0,76349.0,76440.0,76560.0,76625.0,76680.0
5093734,80400.0,80460.0,80505.0,80580.0,80626.0,80695.0,80700.0,80936.0,81122.0,81195.0,81480.0,81540.0,81552.0,81565.0,81587.0,81600.0,81616.0,81660.0,81694.0,81720.0,81780.0,81840.0,81900.0,81928.0,81960.0,81997.0,82020.0,82080.0,82140.0,82200.0,82246.0,82334.0,82666.0,82680.0,82693.0,82703.0,82719.0,82732.0,82740.0,82800.0,82920.0,83040.0,83069.0,83160.0,83280.0,83345.0,83400.0
5094872,30600.0,30870.0,30898.0,30946.0,31074.0,31263.0,31277.0,31461.0,31606.0,31663.0,31885.0,31960.0,32011.0,32067.0,32161.0,32221.0,32244.0,32307.0,32367.0,32412.0,32441.0,32484.0,32547.0,32580.0,32617.0,32658.0,32684.0,32704.0,32745.0,32765.0,32812.0,32902.0,33242.0,33256.0,33293.0,33321.0,33365.0,33401.0,33423.0,33492.0,33563.0,33611.0,33625.0,33670.0,33705.0,33897.0,34061.0
5096386,65400.0,65563.0,65599.0,65659.0,65787.0,65976.0,65990.0,66152.0,66279.0,66329.0,66523.0,66674.0,66746.0,66826.0,66960.0,67046.0,67101.0,67250.0,67292.0,67323.0,67357.0,67441.0,67595.0,67658.0,67729.0,67790.0,67829.0,67889.0,67952.0,67992.0,68047.0,68153.0,68553.0,68571.0,68613.0,68644.0,68693.0,68734.0,68757.0,68828.0,68915.0,69013.0,69028.0,69075.0,69138.0,69330.0,69494.0
5098132,69000.0,69060.0,69105.0,69180.0,69250.0,69353.0,69360.0,69524.0,69653.0,69704.0,69900.0,70020.0,70032.0,70045.0,70067.0,70080.0,70113.0,70200.0,70234.0,70260.0,70320.0,70440.0,70560.0,70588.0,70620.0,70694.0,70740.0,70800.0,70920.0,70980.0,71037.0,71147.0,71562.0,71580.0,71607.0,71627.0,71659.0,71685.0,71700.0,71760.0,71820.0,71940.0,71954.0,72000.0,72060.0,72125.0,72180.0
5098134,76200.0,76320.0,76365.0,76440.0,76486.0,76555.0,76560.0,76724.0,76853.0,76904.0,77100.0,77160.0,77172.0,77185.0,77207.0,77220.0,77253.0,77340.0,77374.0,77400.0,77460.0,77580.0,77640.0,77697.0,77760.0,77797.0,77820.0,77940.0,78000.0,78060.0,78117.0,78227.0,78642.0,78660.0,78687.0,78707.0,78739.0,78765.0,78780.0,78840.0,78900.0,79020.0,79034.0,79080.0,79140.0,79205.0,79260.0
5098136,83400.0,83520.0,83565.0,83640.0,83686.0,83755.0,83760.0,83924.0,84053.0,84104.0,84300.0,84360.0,84372.0,84385.0,84407.0,84420.0,84453.0,84540.0,84574.0,84600.0,84660.0,84780.0,84840.0,84897.0,84960.0,84997.0,85020.0,85140.0,85200.0,85260.0,85317.0,85427.0,85842.0,85860.0,85887.0,85907.0,85939.0,85965.0,85980.0,86040.0,86100.0,86220.0,86234.0,86280.0,86340.0,86405.0,86460.0
5099503,32700.0,32760.0,32805.0,32880.0,32973.0,33110.0,33120.0,33320.0,33477.0,33539.0,33780.0,33900.0,33923.0,33949.0,33992.0,34020.0,34036.0,34080.0,34114.0,34140.0,34200.0,34260.0,34320.0,34348.0,34380.0,34417.0,34440.0,34500.0,34560.0,34620.0,34677.0,34787.0,35202.0,35220.0,35247.0,35267.0,35299.0,35325.0,35340.0,35400.0,35460.0,35520.0,35534.0,35580.0,35640.0,35705.0,35760.0
5099505,39900.0,39960.0,40005.0,40080.0,40173.0,40310.0,40320.0,40502.0,40645.0,40701.0,40920.0,41040.0,41063.0,41089.0,41132.0,41160.0,41176.0,41220.0,41254.0,41280.0,41340.0,41400.0,41460.0,41488.0,41520.0,41557.0,41580.0,41640.0,41700.0,41760.0,41817.0,41927.0,42342.0,42360.0,42387.0,42407.0,42439.0,42465.0,42480.0,42540.0,42600.0,42660.0,42674.0,42720.0,42780.0,42845.0,42900.0
5099507,47100.0,47160.0,47205.0,47280.0,47350.0,47453.0,47460.0,47660.0,47817.0,47879.0,48120.0,48240.0,48263.0,48289.0,48332.0,48360.0,48393.0,48480.0,48514.0,48540.0,48600.0,48720.0,48780.0,48808.0,48840.0,48877.0,48900.0,49020.0,49080.0,49140.0,49197.0,49307.0,49722.0,49740.0,49767.0,49787.0,49819.0,49845.0,49860.0,49920.0,49980.0,50100.0,50114.0,50160.0,50220.0,50285.0,50340.0
5099509,54300.0,54360.0,54405.0,54480.0,54573.0,54710.0,54720.0,54920.0,55077.0,55139.0,55380.0,55560.0,55595.0,55634.0,55699.0,55740.0,55756.0,55800.0,55834.0,55860.0,55920.0,55980.0,56100.0,56128.0,56160.0,56234.0,56280.0,56340.0,56460.0,56520.0,56589.0,56721.0,57219.0,57240.0,57267.0,57287.0,57319.0,57345.0,57360.0,57420.0,57480.0,57600.0,57614.0,57660.0,57720.0,57785.0,57840.0
