tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P
5013172,39600.0,39724.0,39820.0,39886.0,39924.0,39948.0,39974.0,40008.0,40087.0,40116.0,40174.0,40225.0,40398.0,40400.0,40524.0,40573.0,40616.0,40651.0,40691.0,40735.0,40781.0,40841.0,40876.0,40904.0,40958.0,40985.0,41090.0,41174.0,41220.0,41265.0,41296.0,41360.0,41381.0,41414.0,41438.0,41472.0,41500.0,41572.0,41612.0,41652.0,41682.0,41747.0,41782.0,41840.0,41899.0,41941.0,41989.0,42023.0,42061.0,42135.0,42176.0,42238.0,42298.0,42335.0,42360.0,42401.0,42434.0,42512.0,42540.0,42572.0,42594.0,42664.0,42690.0,42724.0,42784.0,42808.0
5013174,51000.0,51144.0,51255.0,51334.0,51380.0,51406.0,51434.0,51472.0,51559.0,51592.0,51658.0,51716.0,51915.0,51917.0,52056.0,52111.0,52159.0,52198.0,52242.0,52293.0,52345.0,52407.0,52444.0,52472.0,52541.0,52576.0,52698.0,52795.0,52841.0,52898.0,52937.0,53021.0,53048.0,53090.0,53120.0,53164.0,53202.0,53263.0,53306.0,53349.0,53381.0,53461.0,53505.0,53577.0,53650.0,53696.0,53749.0,53788.0,53831.0,53915.0,53962.0,54034.0,54100.0,54141.0,54169.0,54211.0,54244.0,54317.0,54343.0,54374.0,54403.0,54497.0,54528.0,54569.0,54642.0,54672.0
5013176,63600.0,63737.0,63842.0,63923.0,63971.0,63997.0,64025.0,64078.0,64199.0,64233.0,64312.0,64381.0,64615.0,64618.0,64790.0,64857.0,64916.0,64964.0,65019.0,65081.0,65134.0,65219.0,65269.0,65309.0,65418.0,65474.0,65623.0,65743.0,65790.0,65853.0,65896.0,65989.0,66014.0,66053.0,66081.0,66122.0,66166.0,66247.0,66293.0,66339.0,66373.0,66450.0,66492.0,66561.0,66630.0,66683.0,66744.0,66788.0,66844.0,66925.0,66970.0,67039.0,67101.0,67140.0,67166.0,67208.0,67242.0,67317.0,67344.0,67375.0,67401.0,67483.0,67512.0,67550.0,67618.0,67646.0
5013178,72600.0,72721.0,72814.0,72876.0,72913.0,72936.0,72962.0,72996.0,73073.0,73108.0,73174.0,73232.0,73427.0,73429.0,73554.0,73603.0,73646.0,73681.0,73721.0,73767.0,73833.0,73898.0,73936.0,73966.0,74018.0,74044.0,74146.0,74227.0,74269.0,74321.0,74356.0,74431.0,74456.0,74495.0,74523.0,74565.0,74601.0,74672.0,74713.0,74754.0,74784.0,74861.0,74903.0,74972.0,75040.0,75095.0,75158.0,75204.0,75251.0,75317.0,75354.0,75410.0,75472.0,75511.0,75536.0,75577.0,75609.0,75682.0,75708.0,75738.0,75761.0,75834.0,75868.0,75913.0,75994.0,76028.0
5015250,27000.0,27124.0,27219.0,27312.0,27366.0,27392.0,27421.0,27505.0,27698.0,27733.0,27792.0,27844.0,28021.0,28023.0,28168.0,28225.0,28275.0,28316.0,28362.0,28414.0,28461.0,28521.0,28556.0,28584.0,28629.0,28652.0,28762.0,28850.0,28892.0,28936.0,28966.0,29030.0,29053.0,29088.0,29114.0,29151.0,29185.0,29232.0,29278.0,29324.0,29360.0,29437.0,29479.0,29548.0,29617.0,29657.0,29703.0,29737.0,29780.0,29845.0,29881.0,29936.0,29991.0,30025.0,30048.0,30087.0,30118.0,30188.0,30213.0,30243.0,30277.0,30384.0,30414.0,30454.0,30526.0,30556.0
5015252,37800.0,37924.0,38020.0,38086.0,38124.0,38148.0,38174.0,38208.0,38287.0,38316.0,38374.0,38425.0,38598.0,38600.0,38724.0,38773.0,38816.0,38851.0,38891.0,38935.0,38981.0,39041.0,39076.0,39104.0,39158.0,39185.0,39290.0,39374.0,39420.0,39465.0,39496.0,39560.0,39581.0,39614.0,39638.0,39672.0,39700.0,39772.0,39812.0,39852.0,39882.0,39947.0,39982.0,40040.0,40099.0,40141.0,40189.0,40223.0,40261.0,40335.0,40376.0,40438.0,40498.0,40535.0,40560.0,40601.0,40634.0,40712.0,40740.0,40772.0,40794.0,40864.0,40890.0,40924.0,40984.0,41008.0
5015254,48900.0,49044.0,49155.0,49234.0,49280.0,49306.0,49334.0,49372.0,49459.0,49492.0,49558.0,49616.0,49815.0,49817.0,49956.0,50011.0,50059.0,50098.0,50142.0,50193.0,50245.0,50307.0,50344.0,50372.0,50441.0,50476.0,50598.0,50695.0,50741.0,50798.0,50837.0,50921.0,50948.0,50990.0,51020.0,51064.0,51102.0,51163.0,51206.0,51249.0,51281.0,51361.0,51405.0,51477.0,51550.0,51596.0,51649.0,51688.0,51731.0,51815.0,51862.0,51934.0,52000.0,52041.0,52069.0,52111.0,52144.0,52217.0,52243.0,52274.0,52303.0,52397.0,52428.0,52469.0,52542.0,52572.0
5015258,69300.0,69421.0,69514.0,69576.0,69613.0,69636.0,69662.0,69696.0,69773.0,69808.0,69874.0,69932.0,70127.0,70129.0,70254.0,70303.0,70346.0,70381.0,70421.0,70467.0,70533.0,70598.0,70636.0,70666.0,70718.0,70744.0,70846.0,70927.0,70969.0,71021.0,71056.0,71131.0,71156.0,71195.0,71223.0,71265.0,71301.0,71372.0,71413.0,71454.0,71484.0,71561.0,71603.0,71672.0,71740.0,71795.0,71858.0,71904.0,71951.0,72017.0,72054.0,72110.0,72172.0,72211.0,72236.0,72277.0,72309.0,72382.0,72408.0,72438.0,72461.0,72534.0,72568.0,72613.0,72694.0,72728.0
5015483,26400.0,26491.0,26561.0,26594.0,26614.0,26642.0,26672.0,26708.0,26792.0,26813.0,26846.0,26875.0,26972.0,26974.0,27076.0,27116.0,27151.0,27179.0,27211.0,27248.0,27265.0,27303.0,27326.0,27344.0,27369.0,27382.0,27434.0,27475.0,27500.0,27527.0,27546.0,27585.0,27601.0,27626.0,27644.0,27672.0,27686.0,27711.0,27738.0,27765.0,27785.0,27829.0,27853.0,27892.0,27931.0,27980.0,28036.0,28077.0,28113.0,28156.0,28180.0,28216.0,28259.0,28286.0,28303.0,28337.0,28364.0,28407.0,28422.0,28440.0,28457.0,28509.0,28536.0,28571.0,28634.0,28659.0
5015485,37800.0,37868.0,37920.0,37996.0,38040.0,38097.0,38160.0,38196.0,38280.0,38460.0,38485.0,38507.0,38580.0,38581.0,38625.0,38642.0,38657.0,38669.0,38683.0,38700.0,38820.0,38849.0,38866.0,38880.0,38960.0,39000.0,39067.0,39120.0,39180.0,39199.0,39212.0,39240.0,39251.0,39269.0,39282.0,39300.0,39420.0,39540.0,39562.0,39584.0,39600.0,39618.0,39628.0,39644.0,39660.0,39680.0,39703.0,39720.0,39840.0,39890.0,39918.0,39960.0,40019.0,40056.0,40080.0,40147.0,40200.0,40268.0,40292.0,40320.0,40349.0,40440.0,40461.0,40489.0,40539.0,40560.0
5015487,44700.0,44824.0,44920.0,44976.0,45009.0,45029.0,45052.0,45084.0,45157.0,45190.0,45241.0,45286.0,45437.0,45439.0,45547.0,45589.0,45626.0,45656.0,45690.0,45730.0,45788.0,45861.0,45904.0,45937.0,46012.0,46050.0,46145.0,46222.0,46259.0,46320.0,46362.0,46451.0,46477.0,46518.0,46548.0,46593.0,46655.0,46698.0,46741.0,46784.0,46817.0,46882.0,46917.0,46975.0,47033.0,47076.0,47126.0,47162.0,47230.0,47314.0,47361.0,47432.0,47498.0,47539.0,47566.0,47609.0,47643.0,47689.0,47705.0,47725.0,47747.0,47816.0,47853.0,47902.0,47989.0,48025.0
5015492,66000.0,66068.0,66120.0,66196.0,66240.0,66326.0,66420.0,66493.0,66660.0,66900.0,66925.0,66947.0,67020.0,67021.0,67065.0,67082.0,67097.0,67109.0,67123.0,67140.0,67260.0,67318.0,67353.0,67380.0,67460.0,67500.0,67567.0,67620.0,67800.0,67838.0,67864.0,67920.0,67942.0,67977.0,68002.0,68040.0,68160.0,68280.0,68324.0,68368.0,68400.0,68436.0,68456.0,68488.0,68520.0,68560.0,68606.0,68640.0,68760.0,68810.0,68838.0,68880.0,68939.0,68976.0,69000.0,69067.0,69120.0,69188.0,69212.0,69240.0,69269.0,69360.0,69381.0,69409.0,69459.0,69480.0
5015507,27900.0,27991.0,28061.0,28094.0,28114.0,28142.0,28172.0,28208.0,28292.0,28313.0,28346.0,28375.0,28472.0,28474.0,28576.0,28616.0,28651.0,28679.0,28711.0,28748.0,28765.0,28803.0,28826.0,28844.0,28869.0,28882.0,28934.0,28975.0,29000.0,29027.0,29046.0,29085.0,29101.0,29126.0,29144.0,29172.0,29186.0,29211.0,29238.0,29265.0,29285.0,29329.0,29353.0,29392.0,29431.0,29480.0,29536.0,29577.0,29613.0,29656.0,29680.0,29716.0,29759.0,29786.0,29803.0,29837.0,29864.0,29907.0,29922.0,29940.0,29957.0,30009.0,30036.0,30071.0,30134.0,30159.0
5015509,34800.0,34868.0,34920.0,34996.0,35040.0,35126.0,35220.0,35256.0,35340.0,35520.0,35545.0,35567.0,35640.0,35641.0,35685.0,35702.0,35717.0,35729.0,35743.0,35760.0,35880.0,35938.0,35973.0,36000.0,36080.0,36120.0,36187.0,36240.0,36360.0,36398.0,36424.0,36480.0,36502.0,36537.0,36562.0,36600.0,36720.0,36840.0,36905.0,36970.0,37020.0,37074.0,37103.0,37151.0,37200.0,37220.0,37243.0,37260.0,37380.0,37430.0,37458.0,37500.0,37559.0,37596.0,37620.0,37687.0,37740.0,37808.0,37832.0,37860.0,37889.0,37980.0,38001.0,38029.0,38079.0,38100.0
5084587,32400.0,32519.0,32611.0,32700.0,32752.0,32777.0,32805.0,32886.0,33071.0,33105.0,33162.0,33212.0,33382.0,33384.0,33523.0,33578.0,33626.0,33665.0,33709.0,33760.0,33805.0,33862.0,33896.0,33923.0,33966.0,33988.0,34093.0,34178.0,34218.0,34260.0,34289.0,34351.0,34373.0,34407.0,34431.0,34467.0,34500.0,34545.0,34590.0,34635.0,34668.0,34742.0,34782.0,34848.0,34915.0,34954.0,34998.0,35030.0,35071.0,35133.0,35168.0,35221.0,35274.0,35307.0,35329.0,35366.0,35396.0,35464.0,35488.0,35516.0,35549.0,35652.0,35681.0,35719.0,35788.0,35817.0
5084589,55200.0,55331.0,55433.0,55511.0,55557.0,55582.0,55609.0,55660.0,55776.0,55809.0,55884.0,55950.0,56176.0,56178.0,56343.0,56408.0,56465.0,56511.0,56564.0,56624.0,56675.0,56757.0,56805.0,56843.0,56949.0,57002.0,57146.0,57261.0,57306.0,57367.0,57409.0,57497.0,57521.0,57558.0,57585.0,57625.0,57667.0,57745.0,57789.0,57833.0,57866.0,57940.0,57980.0,58046.0,58113.0,58164.0,58222.0,58265.0,58319.0,58397.0,58441.0,58507.0,58567.0,58604.0,58629.0,58670.0,58702.0,58774.0,58800.0,58830.0,58855.0,58934.0,58962.0,58999.0,59065.0,59091.0
5084591,65100.0,65231.0,65333.0,65411.0,65457.0,65482.0,65509.0,65560.0,65676.0,65709.0,65784.0,65850.0,66076.0,66078.0,66243.0,66308.0,66365.0,66411.0,66464.0,66524.0,66575.0,66657.0,66705.0,66743.0,66849.0,66902.0,67046.0,67161.0,67206.0,67267.0,67309.0,67397.0,67421.0,67458.0,67485.0,67525.0,67567.0,67645.0,67689.0,67733.0,67766.0,67840.0,67880.0,67946.0,68013.0,68064.0,68122.0,68165.0,68219.0,68297.0,68341.0,68407.0,68467.0,68504.0,68529.0,68570.0,68602.0,68674.0,68700.0,68730.0,68755.0,68834.0,68862.0,68899.0,68965.0,68991.0
5087816,25500.0,25619.0,25711.0,25800.0,25852.0,25877.0,25905.0,25986.0,26171.0,26205.0,26262.0,26312.0,26482.0,26484.0,26623.0,26678.0,26726.0,26765.0,26809.0,26860.0,26905.0,26962.0,26996.0,27023.0,27066.0,27088.0,27193.0,27278.0,27318.0,27360.0,27389.0,27451.0,27473.0,27507.0,27531.0,27567.0,27600.0,27645.0,27690.0,27735.0,27768.0,27842.0,27882.0,27948.0,28015.0,28054.0,28098.0,28130.0,28171.0,28233.0,28268.0,28321.0,28374.0,28407.0,28429.0,28466.0,28496.0,28564.0,28588.0,28616.0,28649.0,28752.0,28781.0,28819.0,28888.0,28917.0
5087818,39600.0,39720.0,39812.0,39875.0,39912.0,39935.0,39960.0,39993.0,40069.0,40097.0,40153.0,40202.0,40368.0,40370.0,40489.0,40536.0,40577.0,40610.0,40648.0,40692.0,40736.0,40793.0,40827.0,40854.0,40906.0,40932.0,41033.0,41114.0,41158.0,41201.0,41230.0,41293.0,41313.0,41345.0,41368.0,41401.0,41428.0,41497.0,41535.0,41573.0,41603.0,41665.0,41699.0,41755.0,41812.0,41852.0,41898.0,41931.0,41968.0,42039.0,42079.0,42138.0,42195.0,42231.0,42255.0,42294.0,42326.0,42401.0,42428.0,42459.0,42480.0,42547.0,42571.0,42603.0,42661.0,42685.0
5087820,51000.0,51138.0,51245.0,51321.0,51365.0,51390.0,51417.0,51453.0,51537.0,51569.0,51633.0,51689.0,51880.0,51882.0,52016.0,52068.0,52114.0,52151.0,52194.0,52243.0,52293.0,52352.0,52387.0,52415.0,52481.0,52515.0,52632.0,52726.0,52770.0,52825.0,52863.0,52943.0,52969.0,53009.0,53038.0,53081.0,53118.0,53177.0,53218.0,53259.0,53290.0,53367.0,53409.0,53478.0,53549.0,53594.0,53645.0,53682.0,53723.0,53804.0,53849.0,53918.0,53982.0,54022.0,54048.0,54088.0,54120.0,54190.0,54215.0,54245.0,54273.0,54363.0,54393.0,54432.0,54502.0,54531.0
5087822,63600.0,63731.0,63833.0,63911.0,63957.0,63982.0,64009.0,64060.0,64176.0,64209.0,64284.0,64350.0,64576.0,64578.0,64743.0,64808.0,64865.0,64911.0,64964.0,65024.0,65075.0,65157.0,65205.0,65243.0,65349.0,65402.0,65546.0,65661.0,65706.0,65767.0,65809.0,65897.0,65921.0,65958.0,65985.0,66025.0,66067.0,66145.0,66189.0,66233.0,66266.0,66340.0,66380.0,66446.0,66513.0,66564.0,66622.0,66665.0,66719.0,66797.0,66841.0,66907.0,66967.0,67004.0,67029.0,67070.0,67102.0,67174.0,67200.0,67230.0,67255.0,67334.0,67362.0,67399.0,67465.0,67491.0
5087824,72600.0,72716.0,72806.0,72866.0,72901.0,72923.0,72948.0,72981.0,73055.0,73089.0,73152.0,73207.0,73396.0,73398.0,73519.0,73566.0,73607.0,73641.0,73679.0,73723.0,73786.0,73848.0,73885.0,73914.0,73964.0,73989.0,74087.0,74165.0,74205.0,74255.0,74289.0,74361.0,74385.0,74423.0,74450.0,74490.0,74525.0,74593.0,74632.0,74671.0,74701.0,74775.0,74815.0,74881.0,74947.0,75000.0,75061.0,75105.0,75150.0,75214.0,75250.0,75303.0,75362.0,75399.0,75424.0,75463.0,75494.0,75564.0,75589.0,75618.0,75640.0,75710.0,75743.0,75787.0,75865.0,75897.0
